,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,3040,1863
C9-e003Coalescence-mGAM-p3,3203,1963
C11-e003Coalescence-mBHI-p3,3164,1937
D11-e003Coalescence-mBHI-p5,3061,1886
C9-e003Coalescence-mGAM-p7,3191,1952
C8-e003Coalescence-mGAM-p7,3079,1908
D10-e003Coalescence-mBHI-p3,3212,1976
A8-e003Coalescence-mBHI-p3,3215,1975
e004-inoculumn-fecal-BD,1089,703
B9-e003Coalescence-mGAM-p5,3218,1975
A4-e003Coalescence-mBHI-inoculumn-redo,1583,1011
B3-e003Coalescence-mBHI-p3,3233,1982
B3-e004Assembly-mBHI-p7,2600,1675
B5-e004Assembly-mBHI-p7,2720,1681
D4-e003Coalescence-mBHI-p3,1475,883
C4-e003GlycerolRevival-mBHI-p2,3167,1941
C5-e004Assembly-mBHI-p3,2838,1764
C3-e004Assembly-mBHI-p5,2509,1580
B8-e003Assembly-mGAM-p5,1041,699
B12-e003Coalescence-mBHI-p3,1378,764
e004-inoculumn-fecal-AK,1412,852
D3-e004Assembly-mGAM-p7,3025,1900
D4-e004Assembly-mGAM-p5,2274,1398
D3-e003Coalescence-Inoculumn-mBHI,3236,1985
C3-e003Coalescence-mBHI-p7,2285,1374
D11-e003Coalescence-mGAM-p5,3226,1976
A11-e003Coalescence-mGAM-p7,2426,1410
B8-e003Coalescence-mBHI-p5,3231,1972
B10-e003Assembly-mGAM-p5,1608,1020
C2-e003Coalescence-mGAM-p7,3240,1989
B11-e003Coalescence-mGAM-p3,3242,1990
B5-e003Assembly-mBHI-p5,1691,1010
D8-e003Assembly-mGAM-p5,2180,1388
D5-e003Coalescence-mGAM-p5,1524,1008
B5-e003Coalescence-mBHI-p5,943,507
D5-e003Coalescence-mBHI-p7,1374,833
C9-e003Coalescence-mBHI-p5,3210,1970
A5-e003Coalescence-mGAM-p3,2960,1821
A2-e003Coalescence-Inoculumn-mGAM,3242,1990
