,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mGAM-p3,0.167,0.03560916837120856
A9-e003Coalescence-mBHI-p3,0.010761640453157596,0.86
A2-e003Coalescence-Inoculumn-mBHI,0.9994572748698767,0.00032770472739605594
C3-e003Coalescence-mBHI-p5,0.019220924383336984,0.9794513286516776
D2-e003Assembly-mBHI-p3,0.9671620476534921,0.026954266161509786
B3-e003Assembly-mBHI-p5,0.08014354060332154,0.8788138013015396
A9-e003Coalescence-mBHI-p5,0.016019134745574943,0.965345109129767
D5-e003Coalescence-Inoculumn-mBHI,0.011882293089880109,0.333
B2-e003Coalescence-mGAM-p3,0.24,0.714
B4-e003Assembly-mBHI-p3,0.23156394062908767,0.21646343296410045
C11-e003Coalescence-mGAM-p5,0.014641809584279705,0.030977092363539467
G4-e004Assembly-epsilon-p3,0.18274257588243847,0.1935572331551808
B3-e003Coalescence-Inoculumn-mBHI,0.010476542497775805,0.9775479746768153
A8-e003Coalescence-mBHI-p5,0.9985182499306394,0.0010686982189866089
C2-e003Assembly-mBHI-p5,0.8443285223060812,0.14939826292614336
BG-Fecal,0.05166000262823818,0.0615813977156775
D2-e003Coalescence-mGAM-p5,0.10597342453012856,0.14503582577622698
D3-e003Coalescence-mGAM-p3,0.05322791349822241,0.364
D9-e003Coalescence-mGAM-p3,0.0034539528730403567,0.9898132033292848
D3-e003Coalescence-mGAM-p5,0.0417255502215536,0.667
C10-e003Coalescence-mGAM-p3,0.03725388918308604,0.04300211446540504
A5-e003Coalescence-mBHI-inoculumn-redo,0.636,0.04037556114831049
D2-e003Assembly-mBHI-p5,0.9556137651946153,0.04069712895493915
B9-e003Coalescence-mGAM-p7,0.030986517559681334,0.9613225182277009
B11-e003Coalescence-mGAM-p7,0.055778658703852846,0.907965623241958
C3-e003Coalescence-Inoculumn-mGAM,0.013303693004195927,0.524
B5-e003Coalescence-mBHI-p7,0.1334162455898317,0.8643836897147089
A3-e003Coalescence-mGAM-p7,0.018710711580478625,0.980230632009257
D4-e003Coalescence-Inoculumn-mBHI,0.01841181047196402,0.364
B3-e003Coalescence-mBHI-p7,0.1427138672611611,0.8456013620232236
D10-e003Coalescence-mGAM-p7,0.01060638213145536,0.02219325023905332
C12-e003Coalescence-mGAM-p3,0.026213924398469795,0.052646192108357796
C11-e003Coalescence-mGAM-p3,0.005896855047946533,0.038
A10-e003Coalescence-mBHI-p7,0.588,0.03141501750828982
C10-e003Coalescence-mBHI-p7,0.018712101181819974,0.0216054159020064
B9-e003Coalescence-mBHI-p5,0.009597633653235576,0.885
B10-e003Coalescence-mBHI-p3,0.03977833988027157,0.714
C11-e003Coalescence-mBHI-p5,0.008606517704812819,0.21999999999999997
A2-e003Coalescence-mGAM-p7,0.9883334476646578,0.00953604323232429
E3-e004Assembly-mGAM-p5,0.019565945119744018,0.02052194260897269
C3-e003GlycerolRevival-mBHI-p2,0.0392181826910637,0.545
D10-e003Coalescence-mGAM-p3,0.0953446431945179,0.12900429889830134
B10-e003Coalescence-mGAM-p7,0.212116887282388,0.754433815299308
C4-e004Assembly-mBHI-p3,0.05654155586534006,0.06516455388998901
A9-e003Coalescence-mBHI-p7,0.008196046636967028,0.87
C2-e003Coalescence-Inoculumn-mGAM,0.12,0.019946245324220867
B3-e003Coalescence-Inoculumn-mGAM,0.008315284170976092,0.979538835955459
D11-e003Coalescence-mGAM-p7,0.07508766077772143,0.11500833701046127
D5-e003Coalescence-mGAM-p3,0.013311003302469187,0.02974533119421146
E4-e004Assembly-mGAM-p5,0.07778816376088084,0.08943822944156662
E5-e004Assembly-mGAM-p3,0.08533930473532583,0.09322046894662968
D2-e003Coalescence-Inoculumn-mBHI,0.6,0.05873847356362579
B4-e003Coalescence-Inoculumn-mGAM,0.00978403241340878,0.5429999999999999
A10-e003Coalescence-mGAM-p7,0.025395867987759023,0.028384691617927327
B2-e003Assembly-mBHI-p3,0.990956093633325,0.007223328618445976
D9-e003Coalescence-mBHI-p5,0.015079251947849804,0.9592605997799988
C4-e003Coalescence-Inoculumn-mGAM,0.015534436410781685,0.017880902826140153
D4-e003Coalescence-mGAM-p3,0.019810631516193354,0.2165
B9-e003Coalescence-mBHI-p7,0.007154616665583596,0.9861394043589494
A2-e003Coalescence-mGAM-p5,0.9933103533294694,0.005362980741124368
B11-e003GlycerolRevival-mGAM-p2,0.10905982000326883,0.16728869911616434
C5-e004Assembly-mBHI-p7,0.22789182146244058,0.2419507139321487
D9-e003Coalescence-mBHI-p7,0.030624739100507288,0.9453615750298877
D3-e004Assembly-mGAM-p5,0.02933225021953947,0.0305211255782794
C5-e003Coalescence-mBHI-p7,0.07945148017476825,0.333
D4-e004Assembly-mGAM-p7,0.029581253541452694,0.03570703132704823
C11-e003Coalescence-mGAM-p7,0.025269350503528566,0.04773800081715867
D10-e003Coalescence-mBHI-p7,0.022883160121664373,0.29300000000000004
C9-e003Coalescence-mBHI-p7,0.025649572762422634,0.9394206230041011
B8-e003Coalescence-mGAM-p5,0.01274209180336326,0.9812430941780997
C3-e004Assembly-mBHI-p3,0.014712514114394186,0.015595597069462638
B10-e003GlycerolRevival-mGAM-p2,0.10887085550103794,0.11431202036357484
B3-e003Coalescence-mBHI-p5,0.012065573694902057,0.9771633163391514
C2-e003Coalescence-mBHI-inoculumn-redo,0.96110087677164,0.03558394166236371
C11-e003GlycerolRevival-mGAM-p2,0.18491113187842936,0.23981848868883046
B2-e003Coalescence-Inoculumn-mBHI,0.333,0.6
A11-e003Coalescence-mBHI-p5,0.021748481059806906,0.04438650047810664
C10-e003Coalescence-mGAM-p5,0.007297127739994178,0.008379252069238051
C4-e003Assembly-mBHI-p5,0.0320841252068478,0.03782111191764461
A5-e003Coalescence-Inoculumn-mGAM,0.28900000000000003,0.057518175622572755
D4-e003Coalescence-Inoculumn-mGAM,0.03742687554483282,0.235
C10-e003Coalescence-mBHI-p5,0.016180461826821042,0.018590404423041204
B9-e003Coalescence-mBHI-p3,0.015770417912465962,0.9663226210378563
C3-e003Coalescence-mBHI-inoculumn-redo,0.012935859033187813,0.9735114571583288
e004-inoculumn-fecal-AR,0.024261850790891794,0.038142064198672984
B5-e003Coalescence-mGAM-p3,0.037374050786308885,0.9194207317795366
BK-Fecal,0.23156394062908767,0.23392123804061102
C3-e003Assembly-mBHI-p5,0.12462699556883143,0.7775000000000001
C9-e003Coalescence-mGAM-p5,0.006900775427705811,0.9788291296357879
A2-e003Coalescence-mBHI-inoculumn-redo,0.9994330602822694,8.74814397139231e-05
C2-e003Coalescence-mGAM-p5,0.9620446732015939,0.03600214211935398
C8-e003Coalescence-mBHI-p5,0.265,0.00747569003825218
B8-e003Coalescence-mGAM-p7,0.01832583693526424,0.957081498247687
B4-e003Coalescence-Inoculumn-mBHI,0.009805300327603055,0.977844835618859
D2-e003Coalescence-Inoculumn-mGAM,0.267,0.04679997467058058
B8-e003Coalescence-mBHI-p7,0.011294930847805501,0.9687502064611871
B3-e004Assembly-mBHI-p3,0.02031728139606816,0.02142406904781669
e003-inoculumn-fecal-AE,0.1150452514249913,0.11852831472259828
D3-e003Coalescence-Inoculumn-mGAM,0.011028113995859908,0.688
B11-e003Coalescence-mBHI-p3,0.02046686556154207,0.9479033467020823
C5-e003Coalescence-Inoculumn-mGAM,0.013599012770661235,0.314
e004-inoculumn-fecal-BE,0.1447459421479064,0.1517287256835992
BA-Fecal,0.18695037300490244,0.2101392777034132
A11-e003Coalescence-mBHI-p3,0.004465200212302327,0.00957007579364194
A4-e003Coalescence-Inoculumn-mGAM,0.179,0.010544805198416562
B4-e003Coalescence-mBHI-p3,0.08589483916299574,0.905917737643592
A5-e003Coalescence-Inoculumn-mBHI,0.7,0.08676908888274551
A9-e003Coalescence-mGAM-p5,0.010399427909967701,0.889
C10-e003Coalescence-mGAM-p7,0.0063207019226788385,0.007258242670621604
A11-e003Coalescence-mGAM-p3,0.013357649778259695,0.028100042784049317
C10-e003Coalescence-mBHI-p3,0.012093105371235374,0.014129159075731475
D2-e003Coalescence-mBHI-p3,0.019859620438496043,0.353
H5-e003Coalescence-mBHI-p5_S40,0.03954903457456776,0.07736925270980477
E2-e003Coalescence-mGAM-p7_S145,0.99776258338476,0.0013536844107163712
G5-e003Coalescence-mBHI-p7_S124,0.0737589769390078,0.12081583303513616
H111-e003Coalescence-mGAM-p7_S188,0.013639115863517149,0.02950504492325178
F5-e003Coalescence-mGAM-p5_S64,0.08113722838545272,0.62
F8-e003Coalescence-mBHI-p3_S117,0.013026382650886861,0.9617720043165111
H3-e003Coalescence-mBHI-p3_S46,0.03965013527953107,0.9176071760596093
F100-e003Coalescence-mGAM-p7_S163,0.03256129642796998,0.583
F9-e003Coalescence-mBHI-p5_S18,0.00845045296762569,0.9743908991752367
E3-e003Coalescence-mGAM-p3_S58,0.31200000000000006,0.636
E8-e003Coalescence-mBHI-p5_S5,0.9988401648853933,0.0002730872728300466
E9-e003Coalescence-mBHI-p5_S6,0.016380651589692038,0.833
H111-e003Coalescence-mBHI-p3_S144,0.006797393949358746,0.015315116918631851
G111-e003Coalescence-mGAM-p5_S80,0.015674171816449967,0.03275509990517884
G100-e003Coalescence-mGAM-p3_S179,0.12016396850026655,0.12561359202822286
F111-e003Coalescence-mGAM-p5_S68,0.049493566987825664,0.923603300299966
G111-e003Coalescence-mBHI-p5_S32,0.008864607240571363,0.30800000000000005
H2-e003Coalescence-mGAM-p7_S181,0.0480389031597801,0.0829804038983423
G8-e003Coalescence-mGAM-p3_S177,0.5,0.16206024876640293
F2-e003Coalescence-mGAM-p7_S157,0.07657282676356553,0.8972917460798846
H3-e003Coalescence-mGAM-p3_S94,0.12016396850026655,0.7
F3-e003Coalescence-mGAM-p3_S70,0.05722778209873617,0.09636236718153739
E100-e003Coalescence-mBHI-p7_S103,0.9570017260066827,0.015254190522501727
F9-e003Coalescence-mGAM-p5_S66,0.0082590144487789,0.9786572205315628
E100-e003Coalescence-mGAM-p3_S155,0.545,0.0477873713253205
E3-e003Coalescence-mGAM-p5_S50,0.312,0.667
F5-e003Coalescence-mGAM-p3_S72,0.07908800216349315,0.571
E9-e003Coalescence-mBHI-p7_S102,0.008084232197118714,0.9828436250167325
F111-e003Coalescence-mGAM-p7_S164,0.01080907187840375,0.9731685128359399
E111-e003Coalescence-mBHI-p5_S8,0.012816298705060089,0.028013776369842137
H100-e003Coalescence-mBHI-p5_S43,0.012764348563795054,0.348
F2-e003Coalescence-mGAM-p5_S61,0.3485,0.619
F8-e003Coalescence-mGAM-p5_S65,0.13841255326851565,0.8474941268452795
H8-e003Coalescence-mBHI-p7_S137,0.008346547997137096,0.01716984186506348
G9-e003Coalescence-mGAM-p5_S78,0.08177443627210794,0.8832707114238055
G8-e003Coalescence-mGAM-p5_S77,0.273,0.04111566500131059
G3-e003Coalescence-mBHI-p3_S34,0.0195549135143885,0.632
G100-e003Coalescence-mBHI-p5_S31,0.012666072428040714,0.014391274875097807
F9-e003Coalescence-mBHI-p3_S118,0.1508206100339453,0.8218927248087514
E111-e003Coalescence-mBHI-p3_S108,0.016910379953503748,0.03611501415071468
G3-e003Coalescence-mBHI-p5_S26,0.03470705162857354,0.9644160583376363
G5-e003Coalescence-mBHI-p5_S28,0.0654180674408831,0.11036671463018354
H111-e003Coalescence-mGAM-p5_S92,0.008837108616407229,0.019549366166996703
H9-e003Coalescence-mGAM-p5_S90,0.01494322384133583,0.9748182932854528
H2-e003Coalescence-mBHI-p3_S45,0.06587439128534021,0.10400062614451286
E8-e003Coalescence-mBHI-p7_S101,0.949,0.04400000000000004
H2-e003Coalescence-mGAM-p3_S93,0.19045927453787448,0.24926182761641233
E4-e003Coalescence-mGAM-p5_S51,0.9342423206022786,0.055644660892326524
G9-e003Coalescence-mGAM-p7_S174,0.01935704370052966,0.9508249251279137
E8-e003Coalescence-mGAM-p3_S153,0.005138042028542141,0.005936880279489599
G111-e003Coalescence-mGAM-p3_S180,0.016521883103717206,0.035097461405571864
G5-e003Coalescence-mGAM-p3_S84,0.037508610124844674,0.07185938462211096
H8-e003Coalescence-mBHI-p5_S41,0.013699930790941551,0.03046617291560556
E100-e003Coalescence-mBHI-p5_S7,0.333,0.012358282024174405
G100-e003Coalescence-mGAM-p7_S175,0.19191630178718547,0.20150176639264886
F9-e003Coalescence-mGAM-p7_S162,0.044658243496527444,0.9207275059199233
F8-e003Coalescence-mGAM-p7_S161,0.05303784346636737,0.9226739279890261
F3-e003Coalescence-mBHI-p3_S22,0.02577341269539152,0.5
G3-e003Coalescence-mBHI-p7_S122,0.01313305906446216,0.9858251160428141
G5-e003Coalescence-mGAM-p5_S76,0.11773229884749074,0.17009449424109954
G5-e003Coalescence-mGAM-p7_S172,0.24939928124513755,0.3210014991230031
G8-e003Coalescence-mBHI-p3_S129,0.375,0.009590944419397575
E5-e003Coalescence-mGAM-p3_S60,0.02358246920290461,0.05088405444538307
G2-e003Coalescence-mGAM-p5_S73,0.9979811883425214,0.0008532155067411774
E5-e003Coalescence-mGAM-p7_S148,0.0358615664378487,0.07083373460539204
H9-e003Coalescence-mGAM-p7_S186,0.01104818383405068,0.9775764460813451
E100-e003Coalescence-mGAM-p5_S55,0.231,0.042199218841057
H5-e003Coalescence-mGAM-p3_S96,0.040330827473468556,0.07489467781331585
H5-e003Coalescence-mGAM-p5_S88,0.06911617127721319,0.1108231971825299
H8-e003Coalescence-mGAM-p5_S89,0.021569461990088364,0.04385394575443925
F3-e003Coalescence-mBHI-p5_S14,0.05688413921313126,0.09283058073723445
F100-e003Coalescence-mBHI-p7_S115,0.009829185177093656,0.792
E3-e003Coalescence-mGAM-p7_S146,0.4645,0.46199999999999997
F100-e003Coalescence-mGAM-p3_S167,0.007026080761185518,0.9905959377521283
G100-e003Coalescence-mBHI-p3_S131,0.9238165058299592,0.06838348779345624
E9-e003Coalescence-mGAM-p3_S154,0.005079224549546253,0.9858037316577544
G111-e003Coalescence-mBHI-p7_S128,0.0213469798110737,0.13
F111-e003Coalescence-mGAM-p3_S168,0.011549513684532744,0.9675477436078384
F8-e003Coalescence-mBHI-p7_S113,0.008780302600875116,0.9808962453697588
H4-e003Coalescence-mBHI-p3_S47,0.13626388459572053,0.1788584976560296
G8-e003Coalescence-mBHI-p7_S125,0.643,0.0195127370654087
F4-e003Coalescence-mBHI-p5_S15,0.04263871835810906,0.9527858650856087
H111-e003Coalescence-mBHI-p5_S44,0.013416758513021543,0.02950504492325178
E111-e003Coalescence-mBHI-p7_S104,0.011125052460263254,0.093
E2-e003Coalescence-mGAM-p3_S57,0.9990345386739301,0.0005812549664739491
F4-e003Coalescence-mBHI-p3_S23,0.15977710179748505,0.8001732895829347
F2-e003Coalescence-mGAM-p3_S69,0.429,0.5329999999999999
E9-e003Coalescence-mGAM-p5_S54,0.0649916875203806,0.9282163868786041
G3-e003Coalescence-mGAM-p5_S74,0.11096334107584042,0.8883789970773458
E111-e003Coalescence-mGAM-p5_S56,0.03545530698057724,0.0593424995362827
G100-e003Coalescence-mGAM-p5_S79,0.016140449020139922,0.018556034254708288
G9-e003Coalescence-mBHI-p3_S130,0.022059270703045943,0.9425720717441679
E4-e003Coalescence-mGAM-p3_S59,0.9132989671462964,0.08468920841886804
H100-e003Coalescence-mBHI-p7_S139,0.009771168468832985,0.23399999999999999
G8-e003Coalescence-mBHI-p5_S29,0.5860000000000001,0.013831770705654974
G8-e003Coalescence-mGAM-p7_S173,0.133,0.020975886467704943
E2-e003Coalescence-mGAM-p5_S49,0.9953486130946781,0.002335609354554654
H9-e003Coalescence-mBHI-p5_S42,0.018375079578404466,0.786
H111-e003Coalescence-mGAM-p3_S192,0.007679423882819064,0.017302626581373083
F5-e003Coalescence-mBHI-p3_S24,0.10008250790046261,0.8327113008838356
E8-e003Coalescence-mBHI-p3_S105,0.9993498428956394,0.00015397144766589964
E8-e003Coalescence-mGAM-p7_S149,0.8311297341607758,0.14980927834200894
G9-e003Coalescence-mBHI-p5_S30,0.011614162457872562,0.865
F111-e003Coalescence-mBHI-p7_S116,0.01867887681112595,0.9559524942445781
F5-e003Coalescence-mBHI-p7_S112,0.16031430344441316,0.8391322446539723
F111-e003Coalescence-mBHI-p3_S120,0.02272389091997809,0.9473984210740034
H3-e003Coalescence-mGAM-p5_S86,0.23156394062908767,0.429
E100-e003Coalescence-mGAM-p7_S151,0.025697527627644996,0.027873833434889396
G9-e003Coalescence-mGAM-p3_S178,0.015282047311791464,0.84
H9-e003Coalescence-mBHI-p7_S138,0.06633238708690029,0.8927828221096774
H8-e003Coalescence-mGAM-p7_S185,0.014463700219741235,0.031010246888499866
G2-e003Coalescence-mGAM-p3_S81,0.9950006908353921,0.0027545732843623763
F111-e003Coalescence-mBHI-p5_S20,0.06290574375888232,0.9190058938620538
F8-e003Coalescence-mBHI-p5_S17,0.009404316316012053,0.9744548285423912
G100-e003Coalescence-mBHI-p7_S127,0.01250936183999002,0.014364432118693801
