,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,288,292
C9-e003Coalescence-mGAM-p3,300,308
C11-e003Coalescence-mBHI-p3,295,301
D11-e003Coalescence-mBHI-p5,292,294
C9-e003Coalescence-mGAM-p7,300,308
C8-e003Coalescence-mGAM-p7,286,289
D10-e003Coalescence-mBHI-p3,300,304
A8-e003Coalescence-mBHI-p3,300,308
e004-inoculumn-fecal-BD,123,111
B9-e003Coalescence-mGAM-p5,302,309
A4-e003Coalescence-mBHI-inoculumn-redo,174,171
B3-e003Coalescence-mBHI-p3,302,310
B3-e004Assembly-mBHI-p7,242,241
B5-e004Assembly-mBHI-p7,243,271
D4-e003Coalescence-mBHI-p3,138,147
C4-e003GlycerolRevival-mBHI-p2,294,305
C5-e004Assembly-mBHI-p3,274,282
C3-e004Assembly-mBHI-p5,261,230
B8-e003Assembly-mGAM-p5,104,108
B12-e003Coalescence-mBHI-p3,98,103
e004-inoculumn-fecal-AK,143,138
D3-e004Assembly-mGAM-p7,287,291
D4-e004Assembly-mGAM-p5,234,224
D3-e003Coalescence-Inoculumn-mBHI,302,310
C3-e003Coalescence-mBHI-p7,207,228
D11-e003Coalescence-mGAM-p5,302,309
A11-e003Coalescence-mGAM-p7,240,226
B8-e003Coalescence-mBHI-p5,301,308
B10-e003Assembly-mGAM-p5,162,151
C2-e003Coalescence-mGAM-p7,300,308
B11-e003Coalescence-mGAM-p3,302,310
B5-e003Assembly-mBHI-p5,159,174
D8-e003Assembly-mGAM-p5,207,204
D5-e003Coalescence-mGAM-p5,179,145
B5-e003Coalescence-mBHI-p5,141,155
D5-e003Coalescence-mBHI-p7,149,128
C9-e003Coalescence-mBHI-p5,302,309
A5-e003Coalescence-mGAM-p3,282,286
A2-e003Coalescence-Inoculumn-mGAM,182,177
E5-e004Assembly-mGAM-p5,275,299
D8-e003Coalescence-mGAM-p5,295,304
A12-e003Coalescence-mGAM-p3,237,244
C4-e004Assembly-mBHI-p5,111,116
D9-e003Coalescence-mGAM-p7,286,285
D8-e003Assembly-mGAM-p3,124,120
E4-e004Assembly-mGAM-p7,214,213
E3-e004Assembly-mGAM-p3,286,287
B10-e003Coalescence-mGAM-p3,292,307
A9-e003Coalescence-mGAM-p7,267,268
B5-e003Coalescence-Inoculumn-mGAM,299,308
D10-e003Coalescence-mBHI-p5,288,294
D5-e003Coalescence-mBHI-p3,294,299
