,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,2922,5244
C9-e003Coalescence-mGAM-p3,3106,5741
C11-e003Coalescence-mBHI-p3,3082,5679
D11-e003Coalescence-mBHI-p5,2974,5493
C9-e003Coalescence-mGAM-p7,3093,5720
C8-e003Coalescence-mGAM-p7,2991,5527
D10-e003Coalescence-mBHI-p3,3119,5776
A8-e003Coalescence-mBHI-p3,3116,5787
e004-inoculumn-fecal-BD,1054,1824
B9-e003Coalescence-mGAM-p5,3114,5790
A4-e003Coalescence-mBHI-inoculumn-redo,1551,3010
B3-e003Coalescence-mBHI-p3,3114,5793
B3-e004Assembly-mBHI-p7,2519,4736
B5-e004Assembly-mBHI-p7,2640,4861
D4-e003Coalescence-mBHI-p3,1452,2580
C4-e003GlycerolRevival-mBHI-p2,3063,5664
C5-e004Assembly-mBHI-p3,2745,5108
C3-e004Assembly-mBHI-p5,2461,4508
B8-e003Assembly-mGAM-p5,1017,1945
B12-e003Coalescence-mBHI-p3,1275,2529
e004-inoculumn-fecal-AK,1350,2406
D3-e004Assembly-mGAM-p7,2934,5533
D4-e004Assembly-mGAM-p5,2256,4150
D3-e003Coalescence-Inoculumn-mBHI,3132,5824
C3-e003Coalescence-mBHI-p7,2200,4143
D11-e003Coalescence-mGAM-p5,3123,5790
A11-e003Coalescence-mGAM-p7,2338,4274
B8-e003Coalescence-mBHI-p5,3119,5805
B10-e003Assembly-mGAM-p5,1604,2887
C2-e003Coalescence-mGAM-p7,3135,5825
B11-e003Coalescence-mGAM-p3,3137,5832
B5-e003Assembly-mBHI-p5,1652,2995
D8-e003Assembly-mGAM-p5,2090,4015
D5-e003Coalescence-mGAM-p5,1500,2836
B5-e003Coalescence-mBHI-p5,940,1766
D5-e003Coalescence-mBHI-p7,1365,2413
C9-e003Coalescence-mBHI-p5,3114,5759
A5-e003Coalescence-mGAM-p3,2857,5314
A2-e003Coalescence-Inoculumn-mGAM,3137,5832
E5-e004Assembly-mGAM-p5,3003,5581
D8-e003Coalescence-mGAM-p5,3058,5676
A12-e003Coalescence-mGAM-p3,2253,4188
C4-e004Assembly-mBHI-p5,1155,1991
D9-e003Coalescence-mGAM-p7,2953,5492
D8-e003Assembly-mGAM-p3,1156,2274
E4-e004Assembly-mGAM-p7,2151,4065
E3-e004Assembly-mGAM-p3,2938,5523
B10-e003Coalescence-mGAM-p3,3043,5595
A9-e003Coalescence-mGAM-p7,2828,5219
B5-e003Coalescence-Inoculumn-mGAM,3082,5754
D10-e003Coalescence-mBHI-p5,3032,5522
D5-e003Coalescence-mBHI-p3,3021,5559
D9-e003Coalescence-mGAM-p5,3095,5764
C9-e003Coalescence-mBHI-p3,3119,5815
D10-e003Coalescence-mGAM-p5,3131,5808
C8-e003Coalescence-mBHI-p7,3020,5624
C3-e004Assembly-mBHI-p7,1825,3362
B5-e003Coalescence-mGAM-p5,1762,3339
BB-Fecal,3091,5748
B5-e003Coalescence-Inoculumn-mBHI,2979,5602
C2-e003Coalescence-mGAM-p3,1924,3542
