,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,9563,5426
C9-e003Coalescence-mGAM-p3,10554,5906
C11-e003Coalescence-mBHI-p3,10399,5820
D11-e003Coalescence-mBHI-p5,10117,5616
C9-e003Coalescence-mGAM-p7,10509,5886
C8-e003Coalescence-mGAM-p7,10122,5743
D10-e003Coalescence-mBHI-p3,10621,5932
A8-e003Coalescence-mBHI-p3,10607,5932
e004-inoculumn-fecal-BD,3397,1848
B9-e003Coalescence-mGAM-p5,10646,5951
A4-e003Coalescence-mBHI-inoculumn-redo,5389,2900
B3-e003Coalescence-mBHI-p3,10622,5945
B3-e004Assembly-mBHI-p7,8608,4799
B5-e004Assembly-mBHI-p7,8837,5025
D4-e003Coalescence-mBHI-p3,4824,2572
C4-e003GlycerolRevival-mBHI-p2,10442,5893
C5-e004Assembly-mBHI-p3,9311,5298
C3-e004Assembly-mBHI-p5,8213,4584
B8-e003Assembly-mGAM-p5,3480,1877
B12-e003Coalescence-mBHI-p3,4623,2249
e004-inoculumn-fecal-AK,4369,2483
D3-e004Assembly-mGAM-p7,10077,5602
D4-e004Assembly-mGAM-p5,7644,4290
D3-e003Coalescence-Inoculumn-mBHI,10708,5965
C3-e003Coalescence-mBHI-p7,7533,4204
D11-e003Coalescence-mGAM-p5,10660,5938
A11-e003Coalescence-mGAM-p7,7952,4334
B8-e003Coalescence-mBHI-p5,10665,5939
B10-e003Assembly-mGAM-p5,5156,2946
C2-e003Coalescence-mGAM-p7,10695,5968
B11-e003Coalescence-mGAM-p3,10722,5981
B5-e003Assembly-mBHI-p5,5479,2732
D8-e003Assembly-mGAM-p5,7286,4049
D5-e003Coalescence-mGAM-p5,5141,2746
B5-e003Coalescence-mBHI-p5,3060,1637
D5-e003Coalescence-mBHI-p7,4393,2394
C9-e003Coalescence-mBHI-p5,10596,5935
A5-e003Coalescence-mGAM-p3,9800,5383
A2-e003Coalescence-Inoculumn-mGAM,5744,3197
E5-e004Assembly-mGAM-p5,10201,5734
D8-e003Coalescence-mGAM-p5,10428,5829
A12-e003Coalescence-mGAM-p3,7728,4285
C4-e004Assembly-mBHI-p5,3741,2177
D9-e003Coalescence-mGAM-p7,10075,5439
D8-e003Assembly-mGAM-p3,3984,2241
E4-e004Assembly-mGAM-p7,7348,4094
E3-e004Assembly-mGAM-p3,10093,5586
B10-e003Coalescence-mGAM-p3,10238,5778
A9-e003Coalescence-mGAM-p7,9644,5316
B5-e003Coalescence-Inoculumn-mGAM,10585,5883
D10-e003Coalescence-mBHI-p5,10127,5638
D5-e003Coalescence-mBHI-p3,10216,5651
D9-e003Coalescence-mGAM-p5,10604,5907
C9-e003Coalescence-mBHI-p3,10697,5968
D10-e003Coalescence-mGAM-p5,10683,5957
C8-e003Coalescence-mBHI-p7,10281,5827
C3-e004Assembly-mBHI-p7,6234,3448
B5-e003Coalescence-mGAM-p5,6105,3119
BB-Fecal,10557,5883
B5-e003Coalescence-Inoculumn-mBHI,10291,5581
C2-e003Coalescence-mGAM-p3,6364,3618
D8-e003Coalescence-mBHI-p5,10432,5820
E5-e004Assembly-mGAM-p7,9111,5171
B10-e003Coalescence-mBHI-p5,10626,5959
D5-e003Coalescence-Inoculumn-mGAM,10722,5981
B3-e004Assembly-mBHI-p5,9367,5108
B5-e003Coalescence-mBHI-p3,4866,2672
C5-e003Coalescence-mBHI-inoculumn-redo,10486,5797
A10-e003Coalescence-mBHI-p5,9758,5640
BF-Fecal,8997,4801
AM-Fecal,6202,3536
B8-e003Assembly-mGAM-p3,3198,1795
A4-e003Coalescence-mGAM-p5,10203,5566
D5-e003Coalescence-mBHI-p5,10683,5961
D3-e003Assembly-mBHI-p3,4787,2701
e003-inoculumn-fecal-inoculumn,6852,3813
A8-e003Coalescence-mBHI-p7,10705,5971
e003-inoculumn-fecal-AC,7653,4370
B9-e003GlycerolRevival-mGAM-p2,6870,3701
B2-e003Coalescence-Inoculumn-mGAM,10444,5777
C5-e003Coalescence-mBHI-p5,7539,3831
C5-e003Coalescence-mGAM-p3,10393,5745
A3-e003Coalescence-mBHI-inoculumn-redo,3473,1785
B12-e003Coalescence-mGAM-p3,10392,5733
A11-e003Coalescence-mBHI-p7,8346,4538
A3-e003Coalescence-Inoculumn-mGAM,7949,4212
C10-e003GlycerolRevival-mGAM-p2,8017,4806
D3-e003Assembly-mBHI-p5,10461,5834
A10-e003Coalescence-mGAM-p3,9970,5725
A9-e003Coalescence-mBHI-p3,10719,5978
A2-e003Coalescence-Inoculumn-mBHI,10618,5907
C3-e003Coalescence-mBHI-p5,8914,4936
D2-e003Assembly-mBHI-p3,8698,4794
B3-e003Assembly-mBHI-p5,6610,3606
A9-e003Coalescence-mBHI-p5,10504,5848
D5-e003Coalescence-Inoculumn-mBHI,10695,5961
B2-e003Coalescence-mGAM-p3,10295,5723
B4-e003Assembly-mBHI-p3,3602,2184
C11-e003Coalescence-mGAM-p5,10488,5835
G4-e004Assembly-epsilon-p3,4967,2822
B3-e003Coalescence-Inoculumn-mBHI,10232,5695
A8-e003Coalescence-mBHI-p5,10492,5881
C2-e003Assembly-mBHI-p5,4116,2317
BG-Fecal,9500,5184
D2-e003Coalescence-mGAM-p5,6417,3540
D3-e003Coalescence-mGAM-p3,8891,4672
D9-e003Coalescence-mGAM-p3,10613,5925
D3-e003Coalescence-mGAM-p5,9132,4912
C10-e003Coalescence-mGAM-p3,9873,5579
A5-e003Coalescence-mBHI-inoculumn-redo,10501,5797
D2-e003Assembly-mBHI-p5,7486,4183
B9-e003Coalescence-mGAM-p7,8500,4648
B11-e003Coalescence-mGAM-p7,7720,3978
C3-e003Coalescence-Inoculumn-mGAM,10696,5968
B5-e003Coalescence-mBHI-p7,4777,2664
A3-e003Coalescence-mGAM-p7,10408,5784
D4-e003Coalescence-Inoculumn-mBHI,10600,5877
B3-e003Coalescence-mBHI-p7,4687,2660
D10-e003Coalescence-mGAM-p7,10617,5926
C12-e003Coalescence-mGAM-p3,10136,5645
C11-e003Coalescence-mGAM-p3,10711,5976
A10-e003Coalescence-mBHI-p7,9939,5754
C10-e003Coalescence-mBHI-p7,10441,5889
B9-e003Coalescence-mBHI-p5,10690,5972
B10-e003Coalescence-mBHI-p3,8877,5218
C11-e003Coalescence-mBHI-p5,10716,5980
A2-e003Coalescence-mGAM-p7,9620,5378
E3-e004Assembly-mGAM-p5,10121,5601
C3-e003GlycerolRevival-mBHI-p2,9792,5419
D10-e003Coalescence-mGAM-p3,6103,3343
B10-e003Coalescence-mGAM-p7,2769,1730
C4-e004Assembly-mBHI-p3,9021,5036
A9-e003Coalescence-mBHI-p7,10717,5981
C2-e003Coalescence-Inoculumn-mGAM,10465,5887
B3-e003Coalescence-Inoculumn-mGAM,10658,5937
D11-e003Coalescence-mGAM-p7,7445,4151
D5-e003Coalescence-mGAM-p3,10628,5913
E4-e004Assembly-mGAM-p5,8144,4425
E5-e004Assembly-mGAM-p3,7285,4343
D2-e003Coalescence-Inoculumn-mBHI,9600,5145
B4-e003Coalescence-Inoculumn-mGAM,10710,5974
A10-e003Coalescence-mGAM-p7,10253,5802
B2-e003Assembly-mBHI-p3,9751,5418
D9-e003Coalescence-mBHI-p5,10362,5757
C4-e003Coalescence-Inoculumn-mGAM,10722,5981
D4-e003Coalescence-mGAM-p3,10422,5779
B9-e003Coalescence-mBHI-p7,10270,5704
A2-e003Coalescence-mGAM-p5,9990,5541
B11-e003GlycerolRevival-mGAM-p2,5994,3278
C5-e004Assembly-mBHI-p7,3810,2171
D9-e003Coalescence-mBHI-p7,9443,5133
D3-e004Assembly-mGAM-p5,10059,5581
C5-e003Coalescence-mBHI-p7,7908,4070
D4-e004Assembly-mGAM-p7,10373,5766
C11-e003Coalescence-mGAM-p7,9820,5384
D10-e003Coalescence-mBHI-p7,10541,5918
C9-e003Coalescence-mBHI-p7,9365,5413
B8-e003Coalescence-mGAM-p5,9703,5383
C3-e004Assembly-mBHI-p3,10138,5630
B10-e003GlycerolRevival-mGAM-p2,6729,3871
B3-e003Coalescence-mBHI-p5,10072,5564
C2-e003Coalescence-mBHI-inoculumn-redo,7921,4407
C11-e003GlycerolRevival-mGAM-p2,4443,2266
B2-e003Coalescence-Inoculumn-mBHI,7944,4263
A11-e003Coalescence-mBHI-p5,10263,5683
C10-e003Coalescence-mGAM-p5,10656,5972
C4-e003Assembly-mBHI-p5,10142,5749
A5-e003Coalescence-Inoculumn-mGAM,9902,5381
D4-e003Coalescence-Inoculumn-mGAM,9870,5556
C10-e003Coalescence-mBHI-p5,10517,5907
B9-e003Coalescence-mBHI-p3,9918,5477
C3-e003Coalescence-mBHI-inoculumn-redo,9941,5526
e004-inoculumn-fecal-AR,10266,5756
B5-e003Coalescence-mGAM-p3,9003,4729
BK-Fecal,3844,2139
C3-e003Assembly-mBHI-p5,5652,3046
C9-e003Coalescence-mGAM-p5,10631,5949
A2-e003Coalescence-mBHI-inoculumn-redo,10647,5930
C2-e003Coalescence-mGAM-p5,8106,4411
C8-e003Coalescence-mBHI-p5,10706,5977
B8-e003Coalescence-mGAM-p7,10206,5602
B4-e003Coalescence-Inoculumn-mBHI,10265,5719
D2-e003Coalescence-Inoculumn-mGAM,10211,5578
B8-e003Coalescence-mBHI-p7,10608,5880
B3-e004Assembly-mBHI-p3,10131,5623
e003-inoculumn-fecal-AE,6477,3779
D3-e003Coalescence-Inoculumn-mGAM,10686,5956
B11-e003Coalescence-mBHI-p3,10074,5467
C5-e003Coalescence-Inoculumn-mGAM,10688,5965
e004-inoculumn-fecal-BE,5343,3083
BA-Fecal,4783,2579
A11-e003Coalescence-mBHI-p3,10720,5979
A4-e003Coalescence-Inoculumn-mGAM,10671,5968
B4-e003Coalescence-mBHI-p3,6152,3370
A5-e003Coalescence-Inoculumn-mBHI,7686,3894
A9-e003Coalescence-mGAM-p5,10636,5926
C10-e003Coalescence-mGAM-p7,10664,5961
A11-e003Coalescence-mGAM-p3,10612,5890
C10-e003Coalescence-mBHI-p3,10588,5939
D2-e003Coalescence-mBHI-p3,10460,5796
H5-e003Coalescence-mBHI-p5_S40,9423,5059
E2-e003Coalescence-mGAM-p7_S145,10426,5813
G5-e003Coalescence-mBHI-p7_S124,7739,4259
H111-e003Coalescence-mGAM-p7_S188,10580,5887
F5-e003Coalescence-mGAM-p5_S64,7001,3576
F8-e003Coalescence-mBHI-p3_S117,10474,5770
H3-e003Coalescence-mBHI-p3_S46,8710,4624
F100-e003Coalescence-mGAM-p7_S163,9331,5463
F9-e003Coalescence-mBHI-p5_S18,10503,5840
E3-e003Coalescence-mGAM-p3_S58,10358,5693
E8-e003Coalescence-mBHI-p5_S5,10579,5917
E9-e003Coalescence-mBHI-p5_S6,10563,5875
H111-e003Coalescence-mBHI-p3_S144,10714,5957
G111-e003Coalescence-mGAM-p5_S80,10442,5799
G100-e003Coalescence-mGAM-p3_S179,5834,3595
F111-e003Coalescence-mGAM-p5_S68,7564,3874
G111-e003Coalescence-mBHI-p5_S32,10703,5980
H2-e003Coalescence-mGAM-p7_S181,9217,4977
G8-e003Coalescence-mGAM-p3_S177,3577,2522
F2-e003Coalescence-mGAM-p7_S157,7915,4313
H3-e003Coalescence-mGAM-p3_S94,5897,2887
F3-e003Coalescence-mGAM-p3_S70,8521,4779
E100-e003Coalescence-mBHI-p7_S103,10080,5737
F9-e003Coalescence-mGAM-p5_S66,10277,5704
E100-e003Coalescence-mGAM-p3_S155,8291,5045
E3-e003Coalescence-mGAM-p5_S50,10718,5977
F5-e003Coalescence-mGAM-p3_S72,7073,3434
E9-e003Coalescence-mBHI-p7_S102,10569,5882
F111-e003Coalescence-mGAM-p7_S164,10304,5681
E111-e003Coalescence-mBHI-p5_S8,10629,5903
H100-e003Coalescence-mBHI-p5_S43,10701,5977
F2-e003Coalescence-mGAM-p5_S61,10661,5948
F8-e003Coalescence-mGAM-p5_S65,4602,2423
H8-e003Coalescence-mBHI-p7_S137,10674,5942
G9-e003Coalescence-mGAM-p5_S78,5787,3500
G8-e003Coalescence-mGAM-p5_S77,9207,5517
G3-e003Coalescence-mBHI-p3_S34,10513,5874
G100-e003Coalescence-mBHI-p5_S31,10509,5936
F9-e003Coalescence-mBHI-p3_S118,3784,1962
E111-e003Coalescence-mBHI-p3_S108,10394,5747
G3-e003Coalescence-mBHI-p5_S26,8230,4520
G5-e003Coalescence-mBHI-p5_S28,8377,4514
H111-e003Coalescence-mGAM-p5_S92,10668,5940
H9-e003Coalescence-mGAM-p5_S90,9742,5357
H2-e003Coalescence-mBHI-p3_S45,8126,4390
E8-e003Coalescence-mBHI-p7_S101,10705,5967
H2-e003Coalescence-mGAM-p3_S93,4316,2163
E4-e003Coalescence-mGAM-p5_S51,6761,3859
G9-e003Coalescence-mGAM-p7_S174,9758,5598
E8-e003Coalescence-mGAM-p3_S153,10575,5964
G111-e003Coalescence-mGAM-p3_S180,10481,5787
G5-e003Coalescence-mGAM-p3_S84,9525,5180
H8-e003Coalescence-mBHI-p5_S41,10556,5849
E100-e003Coalescence-mBHI-p5_S7,10659,5969
G100-e003Coalescence-mGAM-p7_S175,4229,2649
F9-e003Coalescence-mGAM-p7_S162,8583,4546
F8-e003Coalescence-mGAM-p7_S161,7458,3976
F3-e003Coalescence-mBHI-p3_S22,10341,5717
G3-e003Coalescence-mBHI-p7_S122,9437,5237
G5-e003Coalescence-mGAM-p5_S76,6328,3107
G5-e003Coalescence-mGAM-p7_S172,3075,1496
G8-e003Coalescence-mBHI-p3_S129,10688,5974
E5-e003Coalescence-mGAM-p3_S60,10365,5706
G2-e003Coalescence-mGAM-p5_S73,10497,5842
E5-e003Coalescence-mGAM-p7_S148,9739,5369
H9-e003Coalescence-mGAM-p7_S186,10006,5552
E100-e003Coalescence-mGAM-p5_S55,9302,5499
H5-e003Coalescence-mGAM-p3_S96,9347,5063
H5-e003Coalescence-mGAM-p5_S88,7656,4128
H8-e003Coalescence-mGAM-p5_S89,10209,5642
F3-e003Coalescence-mBHI-p5_S14,8681,4861
F100-e003Coalescence-mBHI-p7_S115,10693,5971
E3-e003Coalescence-mGAM-p7_S146,9203,5092
F100-e003Coalescence-mGAM-p3_S167,10088,5649
G100-e003Coalescence-mBHI-p3_S131,6587,3651
