,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,4614,2864
C9-e003Coalescence-mGAM-p3,4898,3085
C11-e003Coalescence-mBHI-p3,4840,3040
D11-e003Coalescence-mBHI-p5,4735,2957
C9-e003Coalescence-mGAM-p7,4872,3074
C8-e003Coalescence-mGAM-p7,4675,2982
D10-e003Coalescence-mBHI-p3,4909,3097
A8-e003Coalescence-mBHI-p3,4891,3104
e004-inoculumn-fecal-BD,1606,960
B9-e003Coalescence-mGAM-p5,4920,3102
A4-e003Coalescence-mBHI-inoculumn-redo,2427,1559
B3-e003Coalescence-mBHI-p3,4895,3110
B3-e004Assembly-mBHI-p7,3949,2543
B5-e004Assembly-mBHI-p7,4119,2608
D4-e003Coalescence-mBHI-p3,2250,1392
C4-e003GlycerolRevival-mBHI-p2,4869,3070
C5-e004Assembly-mBHI-p3,4353,2754
C3-e004Assembly-mBHI-p5,3893,2396
B8-e003Assembly-mGAM-p5,1571,987
B12-e003Coalescence-mBHI-p3,2059,1160
e004-inoculumn-fecal-AK,2178,1335
D3-e004Assembly-mGAM-p7,4619,2955
D4-e004Assembly-mGAM-p5,3576,2265
D3-e003Coalescence-Inoculumn-mBHI,4936,3119
C3-e003Coalescence-mBHI-p7,3450,2186
D11-e003Coalescence-mGAM-p5,4921,3092
A11-e003Coalescence-mGAM-p7,3707,2281
B8-e003Coalescence-mBHI-p5,4913,3099
B10-e003Assembly-mGAM-p5,2503,1550
C2-e003Coalescence-mGAM-p7,4930,3120
B11-e003Coalescence-mGAM-p3,4944,3124
B5-e003Assembly-mBHI-p5,2589,1594
D8-e003Assembly-mGAM-p5,3362,2149
D5-e003Coalescence-mGAM-p5,2449,1562
B5-e003Coalescence-mBHI-p5,1397,840
D5-e003Coalescence-mBHI-p7,2071,1352
C9-e003Coalescence-mBHI-p5,4912,3100
A5-e003Coalescence-mGAM-p3,4684,2974
A2-e003Coalescence-Inoculumn-mGAM,2620,1748
E5-e004Assembly-mGAM-p5,4720,2978
D8-e003Coalescence-mGAM-p5,4817,3038
A12-e003Coalescence-mGAM-p3,3636,2274
C4-e004Assembly-mBHI-p5,1815,1108
D9-e003Coalescence-mGAM-p7,4679,2881
D8-e003Assembly-mGAM-p3,1832,1234
E4-e004Assembly-mGAM-p7,3368,2201
E3-e004Assembly-mGAM-p3,4634,2926
B10-e003Coalescence-mGAM-p3,4782,3016
A9-e003Coalescence-mGAM-p7,4472,2747
B5-e003Coalescence-Inoculumn-mGAM,4885,3083
D10-e003Coalescence-mBHI-p5,4758,2973
D5-e003Coalescence-mBHI-p3,4748,2986
D9-e003Coalescence-mGAM-p5,4887,3076
C9-e003Coalescence-mBHI-p3,4927,3119
D10-e003Coalescence-mGAM-p5,4941,3113
C8-e003Coalescence-mBHI-p7,4788,3025
C3-e004Assembly-mBHI-p7,2971,1847
B5-e003Coalescence-mGAM-p5,2921,1661
BB-Fecal,4876,3066
B5-e003Coalescence-Inoculumn-mBHI,4718,2992
C2-e003Coalescence-mGAM-p3,2994,1838
D8-e003Coalescence-mBHI-p5,4815,3040
E5-e004Assembly-mGAM-p7,4251,2679
B10-e003Coalescence-mBHI-p5,4918,3106
D5-e003Coalescence-Inoculumn-mGAM,4886,3046
B3-e004Assembly-mBHI-p5,4276,2693
B5-e003Coalescence-mBHI-p3,2294,1357
C5-e003Coalescence-mBHI-inoculumn-redo,4853,3080
A10-e003Coalescence-mBHI-p5,4532,2915
BF-Fecal,4047,2568
AM-Fecal,2916,1893
B8-e003Assembly-mGAM-p3,1440,975
A4-e003Coalescence-mGAM-p5,4718,2972
D5-e003Coalescence-mBHI-p5,4925,3116
D3-e003Assembly-mBHI-p3,2205,1390
e003-inoculumn-fecal-inoculumn,3191,2028
A8-e003Coalescence-mBHI-p7,4936,3118
e003-inoculumn-fecal-AC,3513,2337
B9-e003GlycerolRevival-mGAM-p2,3186,1908
B2-e003Coalescence-Inoculumn-mGAM,4733,3015
C5-e003Coalescence-mBHI-p5,3441,2172
C5-e003Coalescence-mGAM-p3,4807,3024
A3-e003Coalescence-mBHI-inoculumn-redo,1260,971
B12-e003Coalescence-mGAM-p3,4796,2985
A11-e003Coalescence-mBHI-p7,3867,2400
A3-e003Coalescence-Inoculumn-mGAM,3417,2195
C10-e003GlycerolRevival-mGAM-p2,4083,2482
D3-e003Assembly-mBHI-p5,4825,3037
A10-e003Coalescence-mGAM-p3,4681,2958
A9-e003Coalescence-mBHI-p3,4940,3121
A2-e003Coalescence-Inoculumn-mBHI,4944,3124
C3-e003Coalescence-mBHI-p5,4144,2649
D2-e003Assembly-mBHI-p3,3864,2528
B3-e003Assembly-mBHI-p5,3106,1848
A9-e003Coalescence-mBHI-p5,4833,3053
D5-e003Coalescence-Inoculumn-mBHI,4944,3124
B2-e003Coalescence-mGAM-p3,4690,3004
B4-e003Assembly-mBHI-p3,1734,1061
C11-e003Coalescence-mGAM-p5,4862,3069
G4-e004Assembly-epsilon-p3,2360,1424
B3-e003Coalescence-Inoculumn-mBHI,4708,2972
A8-e003Coalescence-mBHI-p5,4853,3069
C2-e003Assembly-mBHI-p5,1910,1218
BG-Fecal,4389,2734
D2-e003Coalescence-mGAM-p5,3411,2142
D3-e003Coalescence-mGAM-p3,4160,2544
D9-e003Coalescence-mGAM-p3,4889,3100
D3-e003Coalescence-mGAM-p5,4246,2601
C10-e003Coalescence-mGAM-p3,4632,2913
A5-e003Coalescence-mBHI-inoculumn-redo,4854,3069
D2-e003Assembly-mBHI-p5,3423,2280
B9-e003Coalescence-mGAM-p7,3898,2435
B11-e003Coalescence-mGAM-p7,3542,2042
C3-e003Coalescence-Inoculumn-mGAM,4928,3118
B5-e003Coalescence-mBHI-p7,2224,1373
A3-e003Coalescence-mGAM-p7,4777,3030
D4-e003Coalescence-Inoculumn-mBHI,4889,3081
B3-e003Coalescence-mBHI-p7,2183,1323
D10-e003Coalescence-mGAM-p7,4918,3107
C12-e003Coalescence-mGAM-p3,4728,2970
C11-e003Coalescence-mGAM-p3,4943,3120
A10-e003Coalescence-mBHI-p7,4666,2963
C10-e003Coalescence-mBHI-p7,4851,3048
B9-e003Coalescence-mBHI-p5,4924,3121
B10-e003Coalescence-mBHI-p3,4326,2712
C11-e003Coalescence-mBHI-p5,4931,3109
A2-e003Coalescence-mGAM-p7,4445,2819
E3-e004Assembly-mGAM-p5,4641,2945
C3-e003GlycerolRevival-mBHI-p2,4496,2836
D10-e003Coalescence-mGAM-p3,3075,1858
B10-e003Coalescence-mGAM-p7,1485,844
