,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,3593,10244
C9-e003Coalescence-mGAM-p3,3846,11273
C11-e003Coalescence-mBHI-p3,3824,11088
D11-e003Coalescence-mBHI-p5,3688,10789
C9-e003Coalescence-mGAM-p7,3812,11211
C8-e003Coalescence-mGAM-p7,3760,10802
D10-e003Coalescence-mBHI-p3,3882,11328
A8-e003Coalescence-mBHI-p3,3869,11324
e004-inoculumn-fecal-BD,1311,3569
B9-e003Coalescence-mGAM-p5,3885,11361
A4-e003Coalescence-mBHI-inoculumn-redo,1964,5695
B3-e003Coalescence-mBHI-p3,3879,11346
B3-e004Assembly-mBHI-p7,3183,9135
B5-e004Assembly-mBHI-p7,3228,9422
D4-e003Coalescence-mBHI-p3,1732,5068
C4-e003GlycerolRevival-mBHI-p2,3804,11139
C5-e004Assembly-mBHI-p3,3443,9957
C3-e004Assembly-mBHI-p5,3096,8744
B8-e003Assembly-mGAM-p5,1311,3732
B12-e003Coalescence-mBHI-p3,1414,4850
e004-inoculumn-fecal-AK,1647,4656
D3-e004Assembly-mGAM-p7,3704,10775
D4-e004Assembly-mGAM-p5,2765,8141
D3-e003Coalescence-Inoculumn-mBHI,3896,11429
C3-e003Coalescence-mBHI-p7,2685,8078
D11-e003Coalescence-mGAM-p5,3880,11369
A11-e003Coalescence-mGAM-p7,2861,8434
B8-e003Coalescence-mBHI-p5,3879,11384
B10-e003Assembly-mGAM-p5,2003,5427
C2-e003Coalescence-mGAM-p7,3896,11417
B11-e003Coalescence-mGAM-p3,3904,11445
B5-e003Assembly-mBHI-p5,1952,5814
D8-e003Assembly-mGAM-p5,2646,7787
D5-e003Coalescence-mGAM-p5,1878,5456
B5-e003Coalescence-mBHI-p5,979,3259
D5-e003Coalescence-mBHI-p7,1601,4600
C9-e003Coalescence-mBHI-p5,3875,11295
A5-e003Coalescence-mGAM-p3,3558,10402
A2-e003Coalescence-Inoculumn-mGAM,2083,6105
E5-e004Assembly-mGAM-p5,3742,10894
D8-e003Coalescence-mGAM-p5,3814,11134
A12-e003Coalescence-mGAM-p3,2856,8190
C4-e004Assembly-mBHI-p5,1400,3950
D9-e003Coalescence-mGAM-p7,3577,10739
D8-e003Assembly-mGAM-p3,1489,4295
E4-e004Assembly-mGAM-p7,2635,7854
E3-e004Assembly-mGAM-p3,3700,10778
B10-e003Coalescence-mGAM-p3,3729,10937
A9-e003Coalescence-mGAM-p7,3414,10269
B5-e003Coalescence-Inoculumn-mGAM,3858,11304
D10-e003Coalescence-mBHI-p5,3757,10860
D5-e003Coalescence-mBHI-p3,3748,10865
D9-e003Coalescence-mGAM-p5,3864,11311
C9-e003Coalescence-mBHI-p3,3891,11422
D10-e003Coalescence-mGAM-p5,3887,11398
C8-e003Coalescence-mBHI-p7,3815,10969
C3-e004Assembly-mBHI-p7,2328,6593
B5-e003Coalescence-mGAM-p5,2095,6449
BB-Fecal,3827,11269
B5-e003Coalescence-Inoculumn-mBHI,3677,10967
C2-e003Coalescence-mGAM-p3,2388,6706
D8-e003Coalescence-mBHI-p5,3796,11115
E5-e004Assembly-mGAM-p7,3362,9687
B10-e003Coalescence-mBHI-p5,3881,11346
D5-e003Coalescence-Inoculumn-mGAM,3839,11202
B3-e004Assembly-mBHI-p5,3385,9959
B5-e003Coalescence-mBHI-p3,1676,5140
C5-e003Coalescence-mBHI-inoculumn-redo,3817,11189
A10-e003Coalescence-mBHI-p5,3664,10390
BF-Fecal,3255,9539
AM-Fecal,2377,6630
B8-e003Assembly-mGAM-p3,1241,3416
A4-e003Coalescence-mGAM-p5,3677,10846
D5-e003Coalescence-mBHI-p5,3891,11404
D3-e003Assembly-mBHI-p3,1721,5089
e003-inoculumn-fecal-inoculumn,2516,7229
A8-e003Coalescence-mBHI-p7,3898,11425
e003-inoculumn-fecal-AC,2693,8205
B9-e003GlycerolRevival-mGAM-p2,2314,7287
B2-e003Coalescence-Inoculumn-mGAM,3751,11163
C5-e003Coalescence-mBHI-p5,2655,7969
C5-e003Coalescence-mGAM-p3,3807,11084
A3-e003Coalescence-mBHI-inoculumn-redo,981,3632
B12-e003Coalescence-mGAM-p3,3750,11109
A11-e003Coalescence-mBHI-p7,3045,8890
A3-e003Coalescence-Inoculumn-mGAM,2627,8420
C10-e003GlycerolRevival-mGAM-p2,2945,8373
D3-e003Assembly-mBHI-p5,3805,11155
A10-e003Coalescence-mGAM-p3,3764,10625
A9-e003Coalescence-mBHI-p3,3898,11438
A2-e003Coalescence-Inoculumn-mBHI,3857,11334
C3-e003Coalescence-mBHI-p5,3229,9507
D2-e003Assembly-mBHI-p3,3125,9254
B3-e003Assembly-mBHI-p5,2170,6970
A9-e003Coalescence-mBHI-p5,3809,11222
D5-e003Coalescence-Inoculumn-mBHI,3891,11411
B2-e003Coalescence-mGAM-p3,3707,11003
B4-e003Assembly-mBHI-p3,1453,3845
C11-e003Coalescence-mGAM-p5,3819,11165
G4-e004Assembly-epsilon-p3,1850,5353
B3-e003Coalescence-Inoculumn-mBHI,3700,10934
A8-e003Coalescence-mBHI-p5,3826,11195
C2-e003Assembly-mBHI-p5,1479,4410
BG-Fecal,3395,10124
D2-e003Coalescence-mGAM-p5,2489,6848
D3-e003Coalescence-mGAM-p3,3167,9461
D9-e003Coalescence-mGAM-p3,3870,11353
D3-e003Coalescence-mGAM-p5,3218,9720
C10-e003Coalescence-mGAM-p3,3655,10553
A5-e003Coalescence-mBHI-inoculumn-redo,3830,11196
D2-e003Assembly-mBHI-p5,2721,8058
B9-e003Coalescence-mGAM-p7,3041,9043
