,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,0.23548135798726885,0.16604015725919685
C10-e003GlycerolRevival-mGAM-p2,0.19409608972415884,0.22842516147149677
D3-e003Assembly-mBHI-p5,0.26138254016368595,0.27931058691378824
A10-e003Coalescence-mGAM-p3,0.3327138526826311,0.2512816624543668
A9-e003Coalescence-mBHI-p3,0.2393473779933313,0.2951642796967144
A2-e003Coalescence-Inoculumn-mBHI,0.9920809336162474,0.0002698680146026397
C3-e003Coalescence-mBHI-p5,0.20239466505001516,0.2373754563324909
D2-e003Assembly-mBHI-p3,0.7762958472264323,0.0
B3-e003Assembly-mBHI-p5,0.14456592906941498,0.1635290648694187
A9-e003Coalescence-mBHI-p5,0.2437002121855108,0.27416933445661335
D5-e003Coalescence-Inoculumn-mBHI,0.04679266444377084,0.8350412805391744
B2-e003Coalescence-mGAM-p3,0.3980736586844498,0.19583937096321258
B4-e003Assembly-mBHI-p3,0.08638981509548348,0.10165683796686324
C11-e003Coalescence-mGAM-p5,0.003964837829645347,0.9649241786015164
G4-e004Assembly-epsilon-p3,0.141558047893301,0.12167930356641393
B3-e003Coalescence-Inoculumn-mBHI,0.22827099120945743,0.270396798652064
A8-e003Coalescence-mBHI-p5,0.9761564110336466,0.0002704296545914069
C2-e003Assembly-mBHI-p5,0.38496514095180356,0.0
BG-Fecal,0.22271112458320702,0.2804650379106992
D2-e003Coalescence-mGAM-p5,0.0007235525916944529,0.5968887952822242
D3-e003Coalescence-mGAM-p3,0.06504940891179145,0.5775891603482168
D9-e003Coalescence-mGAM-p3,0.22756380721430738,0.2979705139005897
D3-e003Coalescence-mGAM-p5,0.11622643225219763,0.4688447065431059
C10-e003Coalescence-mGAM-p3,0.25366626250378904,0.2858809323223813
A5-e003Coalescence-mBHI-inoculumn-redo,0.5712591694452864,0.3484456613310868
D2-e003Assembly-mBHI-p5,0.6999090633525311,0.0
B9-e003Coalescence-mGAM-p7,0.18343649590785088,0.22667059814658802
B11-e003Coalescence-mGAM-p7,0.14681479236132164,0.2118303847233923
C3-e003Coalescence-Inoculumn-mGAM,0.24716004849954534,0.29805223251895535
B5-e003Coalescence-mBHI-p7,0.10908608669293725,0.1253181690536366
A3-e003Coalescence-mGAM-p7,0.2680403152470446,0.2586416736871665
D4-e003Coalescence-Inoculumn-mBHI,0.07954471051833889,0.7353861274922775
B3-e003Coalescence-mBHI-p7,0.10171779327068808,0.1097104745857905
D10-e003Coalescence-mGAM-p7,0.004656259472567445,0.9739693906206123
C12-e003Coalescence-mGAM-p3,0.004284631706577752,0.9397402415051952
C11-e003Coalescence-mGAM-p3,0.010009093664746891,0.9712634091547317
A10-e003Coalescence-mBHI-p7,0.6004046680812367,0.13841898343162035
C10-e003Coalescence-mBHI-p7,0.2658381327675053,0.2965459140690817
B9-e003Coalescence-mBHI-p5,0.23688451045771444,0.29466273518674524
B10-e003Coalescence-mBHI-p3,0.21541406486814188,0.24343414771131705
C11-e003Coalescence-mBHI-p5,0.19104910578963324,0.5009446784611065
