,index,fixed_diffs,num_int_sites,sample1,species_id
0,e004-inoculumn-fecal-BD,0,1610051,e004-inoculumn-fecal-BD,102272
1,e004-inoculumn-fecal-AK,3355,1550452,e004-inoculumn-fecal-BD,102272
2,BB-Fecal,1055,580287,e004-inoculumn-fecal-BD,102272
3,Coalescence-H12-AA-fecal-0_S715,3144,1521676,e004-inoculumn-fecal-BD,102272
4,BF-Fecal,2734,1237258,e004-inoculumn-fecal-BD,102272
5,AM-Fecal,4421,1609703,e004-inoculumn-fecal-BD,102272
6,e003-inoculumn-fecal-AC,2665,1751416,e004-inoculumn-fecal-BD,102272
7,BG-Fecal,2989,1367217,e004-inoculumn-fecal-BD,102272
8,e004-inoculumn-fecal-AR,5046,1528077,e004-inoculumn-fecal-BD,102272
9,BC-Fecal,2640,1592937,e004-inoculumn-fecal-BD,102272
10,e004-inoculumn-fecal-BE,2651,1083331,e004-inoculumn-fecal-BD,102272
11,BA-Fecal,2948,1582313,e004-inoculumn-fecal-BD,102272
0,e004-inoculumn-fecal-BD,3747,1610051,e004-inoculumn-fecal-AK,102272
1,e004-inoculumn-fecal-AK,0,1550452,e004-inoculumn-fecal-AK,102272
2,BB-Fecal,1230,580287,e004-inoculumn-fecal-AK,102272
3,Coalescence-H12-AA-fecal-0_S715,3828,1521676,e004-inoculumn-fecal-AK,102272
4,BF-Fecal,3164,1237258,e004-inoculumn-fecal-AK,102272
5,AM-Fecal,5115,1609703,e004-inoculumn-fecal-AK,102272
6,e003-inoculumn-fecal-AC,3443,1751416,e004-inoculumn-fecal-AK,102272
7,BG-Fecal,3640,1367217,e004-inoculumn-fecal-AK,102272
8,e004-inoculumn-fecal-AR,5740,1528077,e004-inoculumn-fecal-AK,102272
9,BC-Fecal,3576,1592937,e004-inoculumn-fecal-AK,102272
10,e004-inoculumn-fecal-BE,3095,1083331,e004-inoculumn-fecal-AK,102272
11,BA-Fecal,3728,1582313,e004-inoculumn-fecal-AK,102272
0,e004-inoculumn-fecal-BD,1318,1610051,BB-Fecal,102272
1,e004-inoculumn-fecal-AK,1409,1550452,BB-Fecal,102272
2,BB-Fecal,0,580287,BB-Fecal,102272
3,Coalescence-H12-AA-fecal-0_S715,1336,1521676,BB-Fecal,102272
4,BF-Fecal,1244,1237258,BB-Fecal,102272
5,AM-Fecal,2025,1609703,BB-Fecal,102272
6,e003-inoculumn-fecal-AC,1216,1751416,BB-Fecal,102272
7,BG-Fecal,1324,1367217,BB-Fecal,102272
8,e004-inoculumn-fecal-AR,2231,1528077,BB-Fecal,102272
9,BC-Fecal,1345,1592937,BB-Fecal,102272
10,e004-inoculumn-fecal-BE,1199,1083331,BB-Fecal,102272
11,BA-Fecal,1438,1582313,BB-Fecal,102272
0,e004-inoculumn-fecal-BD,3353,1610051,Coalescence-H12-AA-fecal-0_S715,102272
1,e004-inoculumn-fecal-AK,3703,1550452,Coalescence-H12-AA-fecal-0_S715,102272
2,BB-Fecal,1157,580287,Coalescence-H12-AA-fecal-0_S715,102272
3,Coalescence-H12-AA-fecal-0_S715,0,1521676,Coalescence-H12-AA-fecal-0_S715,102272
4,BF-Fecal,3072,1237258,Coalescence-H12-AA-fecal-0_S715,102272
5,AM-Fecal,4731,1609703,Coalescence-H12-AA-fecal-0_S715,102272
6,e003-inoculumn-fecal-AC,3191,1751416,Coalescence-H12-AA-fecal-0_S715,102272
7,BG-Fecal,3288,1367217,Coalescence-H12-AA-fecal-0_S715,102272
8,e004-inoculumn-fecal-AR,5522,1528077,Coalescence-H12-AA-fecal-0_S715,102272
9,BC-Fecal,3273,1592937,Coalescence-H12-AA-fecal-0_S715,102272
10,e004-inoculumn-fecal-BE,2944,1083331,Coalescence-H12-AA-fecal-0_S715,102272
11,BA-Fecal,3565,1582313,Coalescence-H12-AA-fecal-0_S715,102272
0,e004-inoculumn-fecal-BD,3057,1610051,BF-Fecal,102272
1,e004-inoculumn-fecal-AK,3254,1550452,BF-Fecal,102272
2,BB-Fecal,1172,580287,BF-Fecal,102272
3,Coalescence-H12-AA-fecal-0_S715,3251,1521676,BF-Fecal,102272
4,BF-Fecal,0,1237258,BF-Fecal,102272
5,AM-Fecal,4340,1609703,BF-Fecal,102272
6,e003-inoculumn-fecal-AC,2717,1751416,BF-Fecal,102272
7,BG-Fecal,2961,1367217,BF-Fecal,102272
8,e004-inoculumn-fecal-AR,4874,1528077,BF-Fecal,102272
9,BC-Fecal,3015,1592937,BF-Fecal,102272
10,e004-inoculumn-fecal-BE,2018,1083331,BF-Fecal,102272
11,BA-Fecal,3113,1582313,BF-Fecal,102272
0,e004-inoculumn-fecal-BD,5649,1610051,AM-Fecal,102272
1,e004-inoculumn-fecal-AK,5884,1550452,AM-Fecal,102272
2,BB-Fecal,2078,580287,AM-Fecal,102272
3,Coalescence-H12-AA-fecal-0_S715,5653,1521676,AM-Fecal,102272
4,BF-Fecal,4711,1237258,AM-Fecal,102272
5,AM-Fecal,0,1609703,AM-Fecal,102272
6,e003-inoculumn-fecal-AC,5323,1751416,AM-Fecal,102272
7,BG-Fecal,5243,1367217,AM-Fecal,102272
8,e004-inoculumn-fecal-AR,7705,1528077,AM-Fecal,102272
9,BC-Fecal,5588,1592937,AM-Fecal,102272
