,index,fixed_diffs,comparisons,sample1,species_id
0,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,0,2014998,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
1,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,0,2215062,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
2,A_C11_C4_AE_AE_mBHI_mBHI_4_S35,0,2313518,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
3,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,21048,1787871,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
4,A_E10_A3_ACPP_AA_mBHI_mGAM_4_S58,20162,1710708,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
5,B_A7_E10_AE_AA_mGAM_mBHI_2_S103,41,1374481,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
6,B_A10_A9_ACPP_AA_mGAM_mBHI_4_S106,16740,1453685,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
7,B_A11_A10_AE_AA_mGAM_mBHI_4_S107,3,1985782,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
8,B_A12_A11_AF_AA_mGAM_mBHI_4_S108,22588,1969279,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
9,B_C7_G10_AE_AE_mGAM_mBHI_2_S127,0,1586784,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
10,B_C10_C9_ACPP_AE_mGAM_mBHI_4_S130,264,1979095,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
11,B_C11_C10_AE_AE_mGAM_mBHI_4_S131,0,1324750,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
12,B_D2_H3_ACPP_AF_mBHI_mBHI_2_S134,26026,2201134,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
13,B_D7_H10_AE_AF_mGAM_mBHI_2_S139,0,2345883,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
14,B_D10_D9_ACPP_AF_mGAM_mBHI_4_S142,17492,1459248,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
15,B_G10_C9_ACPP_AE_mGAM_mGAM_4_S178,14113,1483864,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
16,B_H2_H3_ACPP_AF_mBHI_mGAM_2_S182,22341,1888311,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
17,C_C3_C4_AE_AE_mBHI_mBHI_6_S219,0,2067573,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,100074
