,s1,s2,fixed_diffs,num_sites,Species
0,A3-e003Coalescence-Inoculumn-mGAM,A5-e003Coalescence-Inoculumn-mBHI,0,1642816,102320
1,A3-e003Coalescence-Inoculumn-mGAM,A5-e003Coalescence-Inoculumn-mGAM,0,1672107,102320
2,A3-e003Coalescence-Inoculumn-mGAM,A5-e003Coalescence-mBHI-inoculumn-redo,0,1723038,102320
3,A3-e003Coalescence-Inoculumn-mGAM,B11-e003GlycerolRevival-mGAM-p2,0,1640515,102320
4,A3-e003Coalescence-Inoculumn-mGAM,B2-e003Coalescence-Inoculumn-mGAM,0,1691603,102320
5,A3-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM,0,1702489,102320
6,A3-e003Coalescence-Inoculumn-mGAM,B4-e003Coalescence-Inoculumn-mGAM,0,1702454,102320
7,A3-e003Coalescence-Inoculumn-mGAM,B5-e003Coalescence-Inoculumn-mBHI,0,1701107,102320
8,A3-e003Coalescence-Inoculumn-mGAM,B5-e003Coalescence-Inoculumn-mGAM,0,1691381,102320
9,A3-e003Coalescence-Inoculumn-mGAM,B9-e003GlycerolRevival-mGAM-p2,0,1669176,102320
10,A3-e003Coalescence-Inoculumn-mGAM,C11-e003GlycerolRevival-mGAM-p2,3,1629569,102320
11,A3-e003Coalescence-Inoculumn-mGAM,C3-e003Coalescence-Inoculumn-mGAM,2,1228614,102320
12,A3-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-Inoculumn-mGAM,0,1695133,102320
13,A3-e003Coalescence-Inoculumn-mGAM,C5-e003Coalescence-mBHI-inoculumn-redo,0,1716517,102320
14,A3-e003Coalescence-Inoculumn-mGAM,D2-e003Coalescence-Inoculumn-mBHI,0,1699584,102320
15,A3-e003Coalescence-Inoculumn-mGAM,D2-e003Coalescence-Inoculumn-mGAM,0,1645789,102320
16,A3-e003Coalescence-Inoculumn-mGAM,D3-e003Coalescence-Inoculumn-mBHI,0,1710787,102320
17,A3-e003Coalescence-Inoculumn-mGAM,D3-e003Coalescence-Inoculumn-mGAM,1,1010027,102320
18,A3-e003Coalescence-Inoculumn-mGAM,D4-e003Coalescence-Inoculumn-mBHI,0,1696585,102320
19,A3-e003Coalescence-Inoculumn-mGAM,D4-e003Coalescence-Inoculumn-mGAM,0,589908,102320
20,A3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mBHI,0,1713477,102320
21,A3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM,0,1650650,102320
22,A5-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-Inoculumn-mGAM,0,1633870,102320
23,A5-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-mBHI-inoculumn-redo,0,1669377,102320
24,A5-e003Coalescence-Inoculumn-mBHI,B11-e003GlycerolRevival-mGAM-p2,0,1607927,102320
25,A5-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-Inoculumn-mGAM,0,1651927,102320
26,A5-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mGAM,0,1664417,102320
27,A5-e003Coalescence-Inoculumn-mBHI,B4-e003Coalescence-Inoculumn-mGAM,0,1662658,102320
28,A5-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-Inoculumn-mBHI,0,1664574,102320
29,A5-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-Inoculumn-mGAM,0,1658913,102320
30,A5-e003Coalescence-Inoculumn-mBHI,B9-e003GlycerolRevival-mGAM-p2,0,1636642,102320
31,A5-e003Coalescence-Inoculumn-mBHI,C11-e003GlycerolRevival-mGAM-p2,3,1600249,102320
32,A5-e003Coalescence-Inoculumn-mBHI,C3-e003Coalescence-Inoculumn-mGAM,1,1209324,102320
33,A5-e003Coalescence-Inoculumn-mBHI,C5-e003Coalescence-Inoculumn-mGAM,0,1655056,102320
34,A5-e003Coalescence-Inoculumn-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,0,1667615,102320
35,A5-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mBHI,0,1660966,102320
36,A5-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-Inoculumn-mGAM,0,1615591,102320
37,A5-e003Coalescence-Inoculumn-mBHI,D3-e003Coalescence-Inoculumn-mBHI,0,1670697,102320
