,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,1644,2832
D5-e003Coalescence-Inoculumn-mGAM,1644,2832
A11-e003Coalescence-mBHI-p3,1642,2829
A11-e003Coalescence-mBHI-p5,1295,2203
A11-e003Coalescence-mGAM-p3,1640,2823
A11-e003Coalescence-mGAM-p7,1602,2762
A5-e003Coalescence-Inoculumn-mGAM,1643,2831
D2-e003Coalescence-Inoculumn-mGAM,1641,2832
D8-e003Coalescence-mBHI-p5,1578,2732
D8-e003Coalescence-mGAM-p5,1639,2816
E111-e003Coalescence-mBHI-p3_S108,1431,2506
E111-e003Coalescence-mBHI-p5_S8,1535,2666
E111-e003Coalescence-mBHI-p7_S104,1553,2687
E111-e003Coalescence-mGAM-p5_S56,1613,2796
H8-e003Coalescence-mBHI-p5_S41,1614,2809
H8-e003Coalescence-mBHI-p7_S137,1635,2820
H8-e003Coalescence-mGAM-p5_S89,1631,2818
H8-e003Coalescence-mGAM-p7_S185,1644,2832
