,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mGAM-p1_S768,7660,7347
A10-e003Coalescence-mGAM-p3,10973,10723
A10-e003Coalescence-mGAM-p7,9523,9403
A4-e003Coalescence-Inoculumn-mGAM,10969,10715
A_G5_C8_AA_AE_mGAM_mGAM_2_S77,10973,10712
B_E7_E10_AE_AA_mGAM_mGAM_2_S151,10972,10719
B_G9_C8_AA_AE_mGAM_mGAM_4_S177,7208,7157
C2-e003Coalescence-Inoculumn-mGAM,10633,10383
C8-e003Coalescence-mGAM-p7,10582,10375
C_E7_A10_AE_AA_mGAM_mGAM_6_S247,10180,9951
Coalescence-C2-A10-AA-AE-mGAM-mGAM-5_S645,10637,10439
Coalescence-D3-C8-AA-AE-mGAM-mGAM-5_S658,9766,9611
Coalescence-F9-C8-AA-AE-mGAM-mGAM-3_S688,10923,10661
D_E6_A9_ACPP_AA_mGAM_mGAM_6_S342,10859,10592
D_E7_A10_AE_AA_mGAM_mGAM_6_S343,7706,7603
E10-e003Coalescence-mGAM-p1_S832,6043,5682
E100-e003Coalescence-mGAM-p3_S155,10965,10706
E100-e003Coalescence-mGAM-p5_S55,10487,10287
E100-e003Coalescence-mGAM-p7_S151,10497,10261
G8-e003Coalescence-mGAM-p1_S818,7494,7139
G8-e003Coalescence-mGAM-p3_S177,10980,10725
G8-e003Coalescence-mGAM-p5_S77,10905,10643
G8-e003Coalescence-mGAM-p7_S173,10928,10682
