,index,fixed_diffs,comparisons,sample1,species_id
0,C_B11_e003Assembly_4_S215,0,2514736,C_B11_e003Assembly_4_S215,101456
1,C_F3_e003Assembly_6_S255,0,2383378,C_B11_e003Assembly_4_S215,101456
2,C_F7_e003Assembly_6_S259,0,2491055,C_B11_e003Assembly_4_S215,101456
3,C_F11_e003Assembly_4_S263,0,2521620,C_B11_e003Assembly_4_S215,101456
4,D_B7_e003Assembly_S307,0,2501333,C_B11_e003Assembly_4_S215,101456
5,D_F7_e003Assembly_S355,0,2510946,C_B11_e003Assembly_4_S215,101456
6,D_F11_e003Assembly_S359,0,2526989,C_B11_e003Assembly_4_S215,101456
0,C_B11_e003Assembly_4_S215,0,2514736,C_F3_e003Assembly_6_S255,101456
1,C_F3_e003Assembly_6_S255,0,2383378,C_F3_e003Assembly_6_S255,101456
2,C_F7_e003Assembly_6_S259,1,2491055,C_F3_e003Assembly_6_S255,101456
3,C_F11_e003Assembly_4_S263,0,2521620,C_F3_e003Assembly_6_S255,101456
4,D_B7_e003Assembly_S307,1,2501333,C_F3_e003Assembly_6_S255,101456
5,D_F7_e003Assembly_S355,0,2510946,C_F3_e003Assembly_6_S255,101456
6,D_F11_e003Assembly_S359,0,2526989,C_F3_e003Assembly_6_S255,101456
0,C_B11_e003Assembly_4_S215,0,2514736,C_F7_e003Assembly_6_S259,101456
1,C_F3_e003Assembly_6_S255,1,2383378,C_F7_e003Assembly_6_S259,101456
2,C_F7_e003Assembly_6_S259,0,2491055,C_F7_e003Assembly_6_S259,101456
3,C_F11_e003Assembly_4_S263,1,2521620,C_F7_e003Assembly_6_S259,101456
4,D_B7_e003Assembly_S307,0,2501333,C_F7_e003Assembly_6_S259,101456
5,D_F7_e003Assembly_S355,1,2510946,C_F7_e003Assembly_6_S259,101456
6,D_F11_e003Assembly_S359,1,2526989,C_F7_e003Assembly_6_S259,101456
0,C_B11_e003Assembly_4_S215,0,2514736,C_F11_e003Assembly_4_S263,101456
1,C_F3_e003Assembly_6_S255,0,2383378,C_F11_e003Assembly_4_S263,101456
2,C_F7_e003Assembly_6_S259,1,2491055,C_F11_e003Assembly_4_S263,101456
3,C_F11_e003Assembly_4_S263,0,2521620,C_F11_e003Assembly_4_S263,101456
4,D_B7_e003Assembly_S307,0,2501333,C_F11_e003Assembly_4_S263,101456
5,D_F7_e003Assembly_S355,1,2510946,C_F11_e003Assembly_4_S263,101456
6,D_F11_e003Assembly_S359,1,2526989,C_F11_e003Assembly_4_S263,101456
0,C_B11_e003Assembly_4_S215,0,2514736,D_B7_e003Assembly_S307,101456
1,C_F3_e003Assembly_6_S255,1,2383378,D_B7_e003Assembly_S307,101456
2,C_F7_e003Assembly_6_S259,0,2491055,D_B7_e003Assembly_S307,101456
3,C_F11_e003Assembly_4_S263,0,2521620,D_B7_e003Assembly_S307,101456
4,D_B7_e003Assembly_S307,0,2501333,D_B7_e003Assembly_S307,101456
5,D_F7_e003Assembly_S355,0,2510946,D_B7_e003Assembly_S307,101456
6,D_F11_e003Assembly_S359,0,2526989,D_B7_e003Assembly_S307,101456
0,C_B11_e003Assembly_4_S215,0,2514736,D_F7_e003Assembly_S355,101456
1,C_F3_e003Assembly_6_S255,0,2383378,D_F7_e003Assembly_S355,101456
2,C_F7_e003Assembly_6_S259,1,2491055,D_F7_e003Assembly_S355,101456
3,C_F11_e003Assembly_4_S263,1,2521620,D_F7_e003Assembly_S355,101456
4,D_B7_e003Assembly_S307,0,2501333,D_F7_e003Assembly_S355,101456
5,D_F7_e003Assembly_S355,0,2510946,D_F7_e003Assembly_S355,101456
6,D_F11_e003Assembly_S359,0,2526989,D_F7_e003Assembly_S355,101456
0,C_B11_e003Assembly_4_S215,0,2514736,D_F11_e003Assembly_S359,101456
1,C_F3_e003Assembly_6_S255,0,2383378,D_F11_e003Assembly_S359,101456
2,C_F7_e003Assembly_6_S259,1,2491055,D_F11_e003Assembly_S359,101456
3,C_F11_e003Assembly_4_S263,1,2521620,D_F11_e003Assembly_S359,101456
4,D_B7_e003Assembly_S307,0,2501333,D_F11_e003Assembly_S359,101456
5,D_F7_e003Assembly_S355,0,2510946,D_F11_e003Assembly_S359,101456
6,D_F11_e003Assembly_S359,0,2526989,D_F11_e003Assembly_S359,101456
