,index,fixed_diffs,comparisons,sample1,species_id
0,C11-e003Assembly-mGAM-p3,0,1519727,C11-e003Assembly-mGAM-p3,102445
1,C11-e003Assembly-mGAM-p5,0,2127541,C11-e003Assembly-mGAM-p3,102445
2,C11-e003GlycerolRevival-mGAM-p2,1,2132553,C11-e003Assembly-mGAM-p3,102445
3,C_F4_e003Assembly_6_S256,9,2370060,C11-e003Assembly-mGAM-p3,102445
4,C_F8_e003Assembly_6_S260,11,2288275,C11-e003Assembly-mGAM-p3,102445
5,D_F8_e003Assembly_S356,6,2383959,C11-e003Assembly-mGAM-p3,102445
6,D_F12_e003Assembly_S360,6,2392815,C11-e003Assembly-mGAM-p3,102445
7,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,8,2253152,C11-e003Assembly-mGAM-p3,102445
0,C11-e003Assembly-mGAM-p3,0,1519727,C11-e003Assembly-mGAM-p5,102445
1,C11-e003Assembly-mGAM-p5,0,2127541,C11-e003Assembly-mGAM-p5,102445
2,C11-e003GlycerolRevival-mGAM-p2,1,2132553,C11-e003Assembly-mGAM-p5,102445
3,C_F4_e003Assembly_6_S256,18,2370060,C11-e003Assembly-mGAM-p5,102445
4,C_F8_e003Assembly_6_S260,27,2288275,C11-e003Assembly-mGAM-p5,102445
5,D_F8_e003Assembly_S356,16,2383959,C11-e003Assembly-mGAM-p5,102445
6,D_F12_e003Assembly_S360,17,2392815,C11-e003Assembly-mGAM-p5,102445
7,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,17,2253152,C11-e003Assembly-mGAM-p5,102445
0,C11-e003Assembly-mGAM-p3,1,1519727,C11-e003GlycerolRevival-mGAM-p2,102445
1,C11-e003Assembly-mGAM-p5,1,2127541,C11-e003GlycerolRevival-mGAM-p2,102445
2,C11-e003GlycerolRevival-mGAM-p2,0,2132553,C11-e003GlycerolRevival-mGAM-p2,102445
3,C_F4_e003Assembly_6_S256,19,2370060,C11-e003GlycerolRevival-mGAM-p2,102445
4,C_F8_e003Assembly_6_S260,22,2288275,C11-e003GlycerolRevival-mGAM-p2,102445
5,D_F8_e003Assembly_S356,19,2383959,C11-e003GlycerolRevival-mGAM-p2,102445
6,D_F12_e003Assembly_S360,21,2392815,C11-e003GlycerolRevival-mGAM-p2,102445
7,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,16,2253152,C11-e003GlycerolRevival-mGAM-p2,102445
0,C11-e003Assembly-mGAM-p3,9,1519727,C_F4_e003Assembly_6_S256,102445
1,C11-e003Assembly-mGAM-p5,18,2127541,C_F4_e003Assembly_6_S256,102445
2,C11-e003GlycerolRevival-mGAM-p2,19,2132553,C_F4_e003Assembly_6_S256,102445
3,C_F4_e003Assembly_6_S256,0,2370060,C_F4_e003Assembly_6_S256,102445
4,C_F8_e003Assembly_6_S260,10,2288275,C_F4_e003Assembly_6_S256,102445
5,D_F8_e003Assembly_S356,0,2383959,C_F4_e003Assembly_6_S256,102445
6,D_F12_e003Assembly_S360,1,2392815,C_F4_e003Assembly_6_S256,102445
7,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,1,2253152,C_F4_e003Assembly_6_S256,102445
0,C11-e003Assembly-mGAM-p3,11,1519727,C_F8_e003Assembly_6_S260,102445
1,C11-e003Assembly-mGAM-p5,27,2127541,C_F8_e003Assembly_6_S260,102445
2,C11-e003GlycerolRevival-mGAM-p2,22,2132553,C_F8_e003Assembly_6_S260,102445
3,C_F4_e003Assembly_6_S256,10,2370060,C_F8_e003Assembly_6_S260,102445
4,C_F8_e003Assembly_6_S260,0,2288275,C_F8_e003Assembly_6_S260,102445
5,D_F8_e003Assembly_S356,9,2383959,C_F8_e003Assembly_6_S260,102445
6,D_F12_e003Assembly_S360,12,2392815,C_F8_e003Assembly_6_S260,102445
7,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,10,2253152,C_F8_e003Assembly_6_S260,102445
0,C11-e003Assembly-mGAM-p3,6,1519727,D_F8_e003Assembly_S356,102445
1,C11-e003Assembly-mGAM-p5,16,2127541,D_F8_e003Assembly_S356,102445
2,C11-e003GlycerolRevival-mGAM-p2,19,2132553,D_F8_e003Assembly_S356,102445
3,C_F4_e003Assembly_6_S256,0,2370060,D_F8_e003Assembly_S356,102445
4,C_F8_e003Assembly_6_S260,9,2288275,D_F8_e003Assembly_S356,102445
5,D_F8_e003Assembly_S356,0,2383959,D_F8_e003Assembly_S356,102445
6,D_F12_e003Assembly_S360,1,2392815,D_F8_e003Assembly_S356,102445
7,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,0,2253152,D_F8_e003Assembly_S356,102445
0,C11-e003Assembly-mGAM-p3,6,1519727,D_F12_e003Assembly_S360,102445
1,C11-e003Assembly-mGAM-p5,17,2127541,D_F12_e003Assembly_S360,102445
2,C11-e003GlycerolRevival-mGAM-p2,21,2132553,D_F12_e003Assembly_S360,102445
3,C_F4_e003Assembly_6_S256,1,2370060,D_F12_e003Assembly_S360,102445
4,C_F8_e003Assembly_6_S260,12,2288275,D_F12_e003Assembly_S360,102445
5,D_F8_e003Assembly_S356,1,2383959,D_F12_e003Assembly_S360,102445
6,D_F12_e003Assembly_S360,0,2392815,D_F12_e003Assembly_S360,102445
7,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,6,2253152,D_F12_e003Assembly_S360,102445
0,C11-e003Assembly-mGAM-p3,8,1519727,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,102445
1,C11-e003Assembly-mGAM-p5,17,2127541,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,102445
2,C11-e003GlycerolRevival-mGAM-p2,16,2132553,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,102445
3,C_F4_e003Assembly_6_S256,1,2370060,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,102445
4,C_F8_e003Assembly_6_S260,10,2288275,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,102445
5,D_F8_e003Assembly_S356,0,2383959,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,102445
6,D_F12_e003Assembly_S360,6,2392815,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,102445
7,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,0,2253152,C_H10_H3_ACPP_AF_mBHI_mGAM_4_S286,102445
