,index,fixed_diffs,comparisons,sample1,species_id
0,C10-e003Assembly-mGAM-p3,0,1269155,C10-e003Assembly-mGAM-p3,102353
1,D_F3_e003Assembly_S351,8,2002668,C10-e003Assembly-mGAM-p3,102353
2,D_F11_e003Assembly_S359,6,1761681,C10-e003Assembly-mGAM-p3,102353
3,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,8,1964683,C10-e003Assembly-mGAM-p3,102353
4,C_G6_e003Assembly_S270,9,1954978,C10-e003Assembly-mGAM-p3,102353
0,C10-e003Assembly-mGAM-p3,8,1269155,D_F3_e003Assembly_S351,102353
1,D_F3_e003Assembly_S351,0,2002668,D_F3_e003Assembly_S351,102353
2,D_F11_e003Assembly_S359,0,1761681,D_F3_e003Assembly_S351,102353
3,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,0,1964683,D_F3_e003Assembly_S351,102353
4,C_G6_e003Assembly_S270,0,1954978,D_F3_e003Assembly_S351,102353
0,C10-e003Assembly-mGAM-p3,6,1269155,D_F11_e003Assembly_S359,102353
1,D_F3_e003Assembly_S351,0,2002668,D_F11_e003Assembly_S359,102353
2,D_F11_e003Assembly_S359,0,1761681,D_F11_e003Assembly_S359,102353
3,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,0,1964683,D_F11_e003Assembly_S359,102353
4,C_G6_e003Assembly_S270,0,1954978,D_F11_e003Assembly_S359,102353
0,C10-e003Assembly-mGAM-p3,8,1269155,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,102353
1,D_F3_e003Assembly_S351,0,2002668,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,102353
2,D_F11_e003Assembly_S359,0,1761681,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,102353
3,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,0,1964683,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,102353
4,C_G6_e003Assembly_S270,0,1954978,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,102353
0,C10-e003Assembly-mGAM-p3,9,1269155,C_G6_e003Assembly_S270,102353
1,D_F3_e003Assembly_S351,0,2002668,C_G6_e003Assembly_S270,102353
2,D_F11_e003Assembly_S359,0,1761681,C_G6_e003Assembly_S270,102353
3,C_C10_G3_ACPP_AE_mBHI_mBHI_4_S226,0,1964683,C_G6_e003Assembly_S270,102353
4,C_G6_e003Assembly_S270,0,1954978,C_G6_e003Assembly_S270,102353
