,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
A4-e003Coalescence-mBHI-inoculumn-redo,172,156
A4-e003Coalescence-mBHI-p1_S732,153,106
A4-e003Coalescence-mGAM-p1_S736,137,118
A_A11_A4_AE_AA_mBHI_mBHI_4_S11,158,138
A_C9_C2_AA_AE_mBHI_mBHI_4_S33,211,182
A_G9_C2_AA_AE_mBHI_mGAM_4_S81,210,176
B_C1_G2_AA_AE_mBHI_mBHI_2_S121,212,183
B_G1_G2_AA_AE_mBHI_mGAM_2_S169,117,102
C2-e003Coalescence-mBHI-inoculumn-redo,187,166
C2-e003Coalescence-mGAM-p1_S722,142,137
C2-e003Coalescence-mGAM-p7,152,121
C_A11_E4_AE_AA_mBHI_mBHI_4_S203,189,163
C_C9_G2_AA_AE_mBHI_mBHI_4_S225,121,99
C_E11_E4_AE_AA_mBHI_mGAM_4_S251,173,148
D_E3_A4_AE_AA_mBHI_mGAM_6_S339,169,145
