,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,397,342
A5-e003Coalescence-mBHI-inoculumn-redo,448,397
A5-e003Coalescence-mBHI-p7,316,245
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,373,309
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,395,342
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,428,388
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,436,391
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,287,281
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,214,202
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,444,378
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,444,395
D2-e003Coalescence-Inoculumn-mBHI,319,301
D2-e003Coalescence-mGAM-p5,325,286
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,452,397
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,454,399
E5-e003Coalescence-mGAM-p7_S148,447,398
H2-e003Coalescence-mGAM-p1_S787,243,228
H2-e003Coalescence-mGAM-p7_S181,452,399
