,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,13932,13047
A5-e003Coalescence-mBHI-inoculumn-redo,14023,13214
A5-e003Coalescence-mBHI-p1_S740,14011,13218
A5-e003Coalescence-mBHI-p3,13980,13200
A5-e003Coalescence-mBHI-p7,14018,13216
A5-e003Coalescence-mGAM-p1_S744,13701,13098
A5-e003Coalescence-mGAM-p3,13928,13166
A_A12_A5_AF_AA_mBHI_mBHI_4_S12,13990,13216
A_A4_A5_AF_AA_mBHI_mBHI_2_S4,13999,13211
A_D1_D2_AA_AF_mBHI_mBHI_2_S37,14017,13221
A_D9_D2_AA_AF_mBHI_mBHI_4_S45,14001,13216
A_E12_A5_AF_AA_mBHI_mGAM_4_S60,13951,13207
A_E4_A5_AF_AA_mBHI_mGAM_2_S52,13997,13207
A_H1_D2_AA_AF_mBHI_mGAM_2_S85,14024,13222
A_H9_D2_AA_AF_mBHI_mGAM_4_S93,14008,13214
B_A4_E5_AF_AA_mBHI_mBHI_2_S100,14000,13212
B_D1_H2_AA_AF_mBHI_mBHI_2_S133,13742,13112
B_E4_E5_AF_AA_mBHI_mGAM_2_S148,14011,13216
C_A4_A5_AF_AA_mBHI_mBHI_6_S196,6997,7275
C_D1_D2_AA_AF_mBHI_mBHI_6_S229,13146,12762
C_D9_H2_AA_AF_mBHI_mBHI_4_S237,13993,13209
C_E4_A5_AF_AA_mBHI_mGAM_6_S244,13980,13200
C_H9_H2_AA_AF_mBHI_mGAM_4_S285,13860,13146
Coalescence-C7-A5-AA-AF-mBHI-mBHI-5_S650,13977,13206
Coalescence-D5-H2-AA-AF-mBHI-mBHI-5_S660,13984,13211
D2-e003Coalescence-Inoculumn-mBHI,14025,13221
D2-e003Coalescence-mBHI-p1_S719,13999,13214
D2-e003Coalescence-mBHI-p3,14009,13217
D2-e003Coalescence-mBHI-p5,14003,13215
D2-e003Coalescence-mBHI-p7,13842,13119
D2-e003Coalescence-mGAM-p1_S723,13897,13165
D2-e003Coalescence-mGAM-p5,14002,13219
D_A4_A5_AF_AA_mBHI_mBHI_6_S292,14006,13216
D_D1_D2_AA_AF_mBHI_mBHI_6_S325,13915,13187
D_E4_A5_AF_AA_mBHI_mGAM_6_S340,13986,13211
D_H1_D2_AA_AF_mBHI_mGAM_6_S373,13854,13187
E5-e003Coalescence-mBHI-p1_S804,14013,13217
E5-e003Coalescence-mBHI-p3_S12,13940,13201
E5-e003Coalescence-mBHI-p5_S4,13812,13166
E5-e003Coalescence-mBHI-p7_S100,13730,13133
E5-e003Coalescence-mGAM-p1_S808,13831,13150
E5-e003Coalescence-mGAM-p3_S60,13471,12911
E5-e003Coalescence-mGAM-p5_S52,13829,13162
E5-e003Coalescence-mGAM-p7_S148,13866,13179
H2-e003Coalescence-mBHI-p1_S783,14015,13219
H2-e003Coalescence-mBHI-p3_S45,13950,13202
H2-e003Coalescence-mBHI-p7_S133,13909,13192
H2-e003Coalescence-mGAM-p1_S787,13947,13189
H2-e003Coalescence-mGAM-p3_S93,13879,13164
H2-e003Coalescence-mGAM-p5_S85,13014,12726
H2-e003Coalescence-mGAM-p7_S181,13913,13185
