,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-mBHI-inoculumn-redo,625,673
A5-e003Coalescence-mBHI-p7,858,931
D2-e003Coalescence-Inoculumn-mBHI,695,717
D2-e003Coalescence-mBHI-p5,751,787
D2-e003Coalescence-mGAM-p5,775,844
E5-e003Coalescence-mBHI-p3_S12,878,948
E5-e003Coalescence-mBHI-p5_S4,826,903
E5-e003Coalescence-mBHI-p7_S100,922,993
E5-e003Coalescence-mGAM-p7_S148,912,976
H2-e003Coalescence-mBHI-p7_S133,792,882
H2-e003Coalescence-mGAM-p3_S93,643,640
H2-e003Coalescence-mGAM-p7_S181,920,986
