,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C11-e003Coalescence-mBHI-p5,0.893,0.5609999999999999
C11-e003Coalescence-mGAM-p5,0.128,1.0
C11-e003Coalescence-mGAM-p7,0.13,0.978
C5-e003Coalescence-Inoculumn-mGAM,0.376,0.911
D10-e003Coalescence-mBHI-p5,1.0,0.647
D10-e003Coalescence-mBHI-p7,1.0,0.579
D10-e003Coalescence-mGAM-p5,0.277,0.993
D10-e003Coalescence-mGAM-p7,0.28900000000000003,0.987
D4-e003Coalescence-Inoculumn-mGAM,0.385,1.0
