,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A10-e003Coalescence-mGAM-p7,1.0,1.0
A4-e003Coalescence-Inoculumn-mGAM,0.9410000000000001,0.95
C2-e003Coalescence-Inoculumn-mGAM,0.948,0.954
C8-e003Coalescence-mBHI-p5,0.8,1.0
C8-e003Coalescence-mGAM-p7,0.852,1.0
