,A2-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p5,1.0,0.211
A11-e003Coalescence-mGAM-p7,0.0,1.0
A5-e003Coalescence-Inoculumn-mGAM,0.621,0.453
D2-e003Coalescence-Inoculumn-mGAM,0.624,0.446
D8-e003Coalescence-mBHI-p5,0.72,0.385
D8-e003Coalescence-mGAM-p5,0.054,0.953
