,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
A3-e003Coalescence-Inoculumn-mGAM,0.825,0.174
A9-e003Coalescence-mBHI-p5,0.15,0.865
A9-e003Coalescence-mBHI-p7,0.162,0.829
A9-e003Coalescence-mGAM-p5,0.397,0.567
A9-e003Coalescence-mGAM-p7,0.19,0.796
B2-e003Coalescence-Inoculumn-mGAM,0.835,0.16800000000000004
B8-e003Coalescence-mBHI-p5,0.182,0.806
B8-e003Coalescence-mBHI-p7,0.148,0.87
B8-e003Coalescence-mGAM-p5,0.5509999999999999,0.41900000000000004
B8-e003Coalescence-mGAM-p7,0.28200000000000003,0.692
