,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C11-e003Coalescence-mGAM-p3,148.0,111.0
C11-e003Coalescence-mGAM-p5,117.0,116.0
C11-e003Coalescence-mGAM-p7,183.0,154.0
C5-e003Coalescence-Inoculumn-mGAM,1287.0,1004.0
D10-e003Coalescence-mGAM-p3,240.0,209.0
D10-e003Coalescence-mGAM-p5,65.0,55.0
D10-e003Coalescence-mGAM-p7,122.0,99.0
D4-e003Coalescence-Inoculumn-mGAM,172.0,119.0
G111-e003Coalescence-mGAM-p3_S180,105.0,94.0
G111-e003Coalescence-mGAM-p5_S80,77.0,74.0
H100-e003Coalescence-mBHI-p7_S139,131.0,92.0
H100-e003Coalescence-mGAM-p5_S91,256.0,190.0
H100-e003Coalescence-mGAM-p7_S187,170.0,121.0
