,A2-e003Coalescence-Inoculumn-mGAM,A2-e003Coalescence-Inoculumn-mGAM
A11-e003Coalescence-mBHI-p3,3462.0,3440.0
A11-e003Coalescence-mGAM-p3,24808.0,25728.0
A11-e003Coalescence-mGAM-p7,28780.0,29633.0
A5-e003Coalescence-Inoculumn-mGAM,99845.0,105133.0
D2-e003Coalescence-Inoculumn-mGAM,101366.0,106525.0
D8-e003Coalescence-mGAM-p5,25970.0,27030.0
E111-e003Coalescence-mGAM-p5_S56,23748.0,24482.0
H8-e003Coalescence-mGAM-p5_S89,25913.0,26709.0
H8-e003Coalescence-mGAM-p7_S185,113380.0,114914.0
