,B3-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B5-e003Coalescence-Inoculumn-mBHI,9112,8183
B5-e003Coalescence-mBHI-p3,9103,8183
B5-e003Coalescence-mBHI-p5,9104,8171
B5-e003Coalescence-mBHI-p7,9111,8181
B5-e003Coalescence-mGAM-p3,9012,8072
B5-e003Coalescence-mGAM-p5,4192,3565
B5-e003Coalescence-mGAM-p7,6137,5124
D3-e003Coalescence-Inoculumn-mBHI,9111,8186
D3-e003Coalescence-mBHI-p5,9108,8185
D3-e003Coalescence-mBHI-p7,5721,4783
D3-e003Coalescence-mGAM-p3,9105,8180
D3-e003Coalescence-mGAM-p5,9112,8188
F5-e003Coalescence-mBHI-p3_S24,9100,8158
F5-e003Coalescence-mBHI-p5_S16,9089,8134
F5-e003Coalescence-mBHI-p7_S112,9004,8003
F5-e003Coalescence-mGAM-p5_S64,9104,8179
F5-e003Coalescence-mGAM-p7_S160,9064,8086
H3-e003Coalescence-mBHI-p3_S46,7165,6013
H3-e003Coalescence-mBHI-p5_S38,9098,8154
H3-e003Coalescence-mBHI-p7_S134,9087,8143
H3-e003Coalescence-mGAM-p3_S94,9092,8162
H3-e003Coalescence-mGAM-p5_S86,9103,8172
H3-e003Coalescence-mGAM-p7_S182,9102,8177
