,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
A5-e003Coalescence-Inoculumn-mBHI,8102,6177
A5-e003Coalescence-mBHI-inoculumn-redo,8190,6225
A5-e003Coalescence-mBHI-p3,8180,6217
A5-e003Coalescence-mBHI-p7,8171,6214
A5-e003Coalescence-mGAM-p3,8161,6216
D2-e003Coalescence-Inoculumn-mBHI,8189,6225
D2-e003Coalescence-mBHI-p3,8187,6222
D2-e003Coalescence-mBHI-p5,8119,6189
D2-e003Coalescence-mGAM-p5,8187,6225
E5-e003Coalescence-mBHI-p3_S12,8188,6223
E5-e003Coalescence-mBHI-p5_S4,8175,6205
E5-e003Coalescence-mBHI-p7_S100,8083,6153
E5-e003Coalescence-mGAM-p7_S148,8170,6212
H2-e003Coalescence-mBHI-p3_S45,3906,2950
H2-e003Coalescence-mBHI-p7_S133,8173,6212
H2-e003Coalescence-mGAM-p3_S93,8161,6195
H2-e003Coalescence-mGAM-p5_S85,7765,5799
H2-e003Coalescence-mGAM-p7_S181,8169,6217
