,index,fixed_diffs,num_int_sites,sample1,species_id
0,e004-inoculumn-fecal-BD,0,775715,e004-inoculumn-fecal-BD,103166
1,e004-inoculumn-fecal-AK,5959,1865166,e004-inoculumn-fecal-BD,103166
2,e003-inoculumn-fecal-AA,2825,874548,e004-inoculumn-fecal-BD,103166
3,E5-e004Assembly-mGAM-p5,4174,883225,e004-inoculumn-fecal-BD,103166
4,BB-Fecal,6986,1726464,e004-inoculumn-fecal-BD,103166
5,Coalescence-H12-AA-fecal-0_S715,4755,1757633,e004-inoculumn-fecal-BD,103166
6,BF-Fecal,5873,1832801,e004-inoculumn-fecal-BD,103166
7,e003-inoculumn-fecal-inoculumn,4497,1486112,e004-inoculumn-fecal-BD,103166
8,e003-inoculumn-fecal-AC,1492,436638,e004-inoculumn-fecal-BD,103166
9,BG-Fecal,5039,1678434,e004-inoculumn-fecal-BD,103166
10,BK-Fecal,4854,1644774,e004-inoculumn-fecal-BD,103166
11,e003-inoculumn-fecal-AE,5704,1580412,e004-inoculumn-fecal-BD,103166
12,e004-inoculumn-fecal-BE,7483,1761875,e004-inoculumn-fecal-BD,103166
0,e004-inoculumn-fecal-BD,5148,775715,e004-inoculumn-fecal-AK,103166
1,e004-inoculumn-fecal-AK,0,1865166,e004-inoculumn-fecal-AK,103166
2,e003-inoculumn-fecal-AA,4393,874548,e004-inoculumn-fecal-AK,103166
3,E5-e004Assembly-mGAM-p5,6819,883225,e004-inoculumn-fecal-AK,103166
4,BB-Fecal,3737,1726464,e004-inoculumn-fecal-AK,103166
5,Coalescence-H12-AA-fecal-0_S715,7155,1757633,e004-inoculumn-fecal-AK,103166
6,BF-Fecal,10009,1832801,e004-inoculumn-fecal-AK,103166
7,e003-inoculumn-fecal-inoculumn,6997,1486112,e004-inoculumn-fecal-AK,103166
8,e003-inoculumn-fecal-AC,2674,436638,e004-inoculumn-fecal-AK,103166
9,BG-Fecal,11928,1678434,e004-inoculumn-fecal-AK,103166
10,BK-Fecal,11653,1644774,e004-inoculumn-fecal-AK,103166
11,e003-inoculumn-fecal-AE,9737,1580412,e004-inoculumn-fecal-AK,103166
12,e004-inoculumn-fecal-BE,13401,1761875,e004-inoculumn-fecal-AK,103166
0,e004-inoculumn-fecal-BD,2543,775715,e003-inoculumn-fecal-AA,103166
1,e004-inoculumn-fecal-AK,4452,1865166,e003-inoculumn-fecal-AA,103166
2,e003-inoculumn-fecal-AA,0,874548,e003-inoculumn-fecal-AA,103166
3,E5-e004Assembly-mGAM-p5,4066,883225,e003-inoculumn-fecal-AA,103166
4,BB-Fecal,5384,1726464,e003-inoculumn-fecal-AA,103166
5,Coalescence-H12-AA-fecal-0_S715,2046,1757633,e003-inoculumn-fecal-AA,103166
6,BF-Fecal,5278,1832801,e003-inoculumn-fecal-AA,103166
7,e003-inoculumn-fecal-inoculumn,1586,1486112,e003-inoculumn-fecal-AA,103166
8,e003-inoculumn-fecal-AC,1495,436638,e003-inoculumn-fecal-AA,103166
9,BG-Fecal,5954,1678434,e003-inoculumn-fecal-AA,103166
10,BK-Fecal,5826,1644774,e003-inoculumn-fecal-AA,103166
11,e003-inoculumn-fecal-AE,5209,1580412,e003-inoculumn-fecal-AA,103166
12,e004-inoculumn-fecal-BE,7333,1761875,e003-inoculumn-fecal-AA,103166
0,e004-inoculumn-fecal-BD,4210,775715,E5-e004Assembly-mGAM-p5,103166
1,e004-inoculumn-fecal-AK,7783,1865166,E5-e004Assembly-mGAM-p5,103166
2,e003-inoculumn-fecal-AA,4283,874548,E5-e004Assembly-mGAM-p5,103166
3,E5-e004Assembly-mGAM-p5,0,883225,E5-e004Assembly-mGAM-p5,103166
4,BB-Fecal,9445,1726464,E5-e004Assembly-mGAM-p5,103166
5,Coalescence-H12-AA-fecal-0_S715,6676,1757633,E5-e004Assembly-mGAM-p5,103166
6,BF-Fecal,8173,1832801,E5-e004Assembly-mGAM-p5,103166
7,e003-inoculumn-fecal-inoculumn,6534,1486112,E5-e004Assembly-mGAM-p5,103166
8,e003-inoculumn-fecal-AC,1000,436638,E5-e004Assembly-mGAM-p5,103166
9,BG-Fecal,9203,1678434,E5-e004Assembly-mGAM-p5,103166
10,BK-Fecal,9001,1644774,E5-e004Assembly-mGAM-p5,103166
11,e003-inoculumn-fecal-AE,7897,1580412,E5-e004Assembly-mGAM-p5,103166
12,e004-inoculumn-fecal-BE,146,1761875,E5-e004Assembly-mGAM-p5,103166
0,e004-inoculumn-fecal-BD,7000,775715,BB-Fecal,103166
1,e004-inoculumn-fecal-AK,7945,1865166,BB-Fecal,103166
2,e003-inoculumn-fecal-AA,6229,874548,BB-Fecal,103166
3,E5-e004Assembly-mGAM-p5,9425,883225,BB-Fecal,103166
4,BB-Fecal,0,1726464,BB-Fecal,103166
5,Coalescence-H12-AA-fecal-0_S715,11393,1757633,BB-Fecal,103166
6,BF-Fecal,14336,1832801,BB-Fecal,103166
7,e003-inoculumn-fecal-inoculumn,10319,1486112,BB-Fecal,103166
