,sample,experiment,sub_experiment,comm,parent_subjects,is_inoculumn,parent_media,media,passage
54,B2-e003Coalescence-mBHI-p7,e003,e003Coalescence,B2,AC/PP-AA,False,mBHI,mBHI,7
55,B2-e003Coalescence-mGAM-p3,e003,e003Coalescence,B2,AC/PP-AA,False,mBHI,mGAM,3
56,B2-e003Coalescence-mGAM-p7,e003,e003Coalescence,B2,AC/PP-AA,False,mBHI,mGAM,7
57,B3-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,B3,AC/PP-AC/PP,True,mBHI,mBHI,0
58,B3-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,B3,AC/PP-AC/PP,True,mGAM,mGAM,0
59,B3-e003Coalescence-mBHI-p3,e003,e003Coalescence,B3,AC/PP-AC/PP,False,mBHI,mBHI,3
60,B3-e003Coalescence-mBHI-p5,e003,e003Coalescence,B3,AC/PP-AC/PP,False,mBHI,mBHI,5
61,B3-e003Coalescence-mBHI-p7,e003,e003Coalescence,B3,AC/PP-AC/PP,False,mBHI,mBHI,7
62,B3-e003Coalescence-mGAM-p5,e003,e003Coalescence,B3,AC/PP-AC/PP,False,mBHI,mGAM,5
63,B4-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,B4,AC/PP-AE,True,mBHI,mBHI,0
64,B4-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,B4,AC/PP-AE,True,mGAM,mGAM,0
65,B4-e003Coalescence-mBHI-p3,e003,e003Coalescence,B4,AC/PP-AE,False,mBHI,mBHI,3
66,B4-e003Coalescence-mBHI-p5,e003,e003Coalescence,B4,AC/PP-AE,False,mBHI,mBHI,5
67,B4-e003Coalescence-mBHI-p7,e003,e003Coalescence,B4,AC/PP-AE,False,mBHI,mBHI,7
68,B4-e003Coalescence-mGAM-p5,e003,e003Coalescence,B4,AC/PP-AE,False,mBHI,mGAM,5
69,B5-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,B5,AC/PP-AF,True,mBHI,mBHI,0
70,B5-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,B5,AC/PP-AF,True,mGAM,mGAM,0
71,B5-e003Coalescence-mBHI-p3,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mBHI,3
72,B5-e003Coalescence-mBHI-p5,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mBHI,5
73,B5-e003Coalescence-mBHI-p7,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mBHI,7
74,B5-e003Coalescence-mGAM-p3,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mGAM,3
75,B5-e003Coalescence-mGAM-p5,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mGAM,5
76,B5-e003Coalescence-mGAM-p7,e003,e003Coalescence,B5,AC/PP-AF,False,mBHI,mGAM,7
77,B8-e003Coalescence-mBHI-p3,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mBHI,3
78,B8-e003Coalescence-mBHI-p5,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mBHI,5
79,B8-e003Coalescence-mBHI-p7,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mBHI,7
80,B8-e003Coalescence-mGAM-p3,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mGAM,3
81,B8-e003Coalescence-mGAM-p5,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mGAM,5
82,B8-e003Coalescence-mGAM-p7,e003,e003Coalescence,B8,AC/PP-AA,False,mGAM,mGAM,7
83,B9-e003Coalescence-mBHI-p3,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mBHI,3
84,B9-e003Coalescence-mBHI-p5,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mBHI,5
85,B9-e003Coalescence-mBHI-p7,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mBHI,7
86,B9-e003Coalescence-mGAM-p3,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mGAM,3
87,B9-e003Coalescence-mGAM-p5,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mGAM,5
88,B9-e003Coalescence-mGAM-p7,e003,e003Coalescence,B9,AC/PP-AC/PP,False,mGAM,mGAM,7
89,C10-e003Coalescence-mBHI-p5,e003,e003Coalescence,C10,AE-AE,False,mGAM,mBHI,5
90,C10-e003Coalescence-mBHI-p7,e003,e003Coalescence,C10,AE-AE,False,mGAM,mBHI,7
91,C10-e003Coalescence-mGAM-p5,e003,e003Coalescence,C10,AE-AE,False,mGAM,mGAM,5
92,C10-e003Coalescence-mGAM-p7,e003,e003Coalescence,C10,AE-AE,False,mGAM,mGAM,7
93,C11-e003Coalescence-mBHI-p5,e003,e003Coalescence,C11,AE-AF,False,mGAM,mBHI,5
94,C11-e003Coalescence-mGAM-p5,e003,e003Coalescence,C11,AE-AF,False,mGAM,mGAM,5
95,C11-e003Coalescence-mGAM-p7,e003,e003Coalescence,C11,AE-AF,False,mGAM,mGAM,7
96,C2-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,C2,AE-AA,True,mGAM,mGAM,0
97,C2-e003Coalescence-mBHI-inoculumn-redo,e003,e003Coalescence,C2,AE-AA,True,mBHI,mBHI,0
98,C2-e003Coalescence-mBHI-p3,e003,e003Coalescence,C2,AE-AA,False,mBHI,mBHI,3
99,C2-e003Coalescence-mBHI-p5,e003,e003Coalescence,C2,AE-AA,False,mBHI,mBHI,5
100,C2-e003Coalescence-mBHI-p7,e003,e003Coalescence,C2,AE-AA,False,mBHI,mBHI,7
101,C2-e003Coalescence-mGAM-p3,e003,e003Coalescence,C2,AE-AA,False,mBHI,mGAM,3
102,C2-e003Coalescence-mGAM-p5,e003,e003Coalescence,C2,AE-AA,False,mBHI,mGAM,5
103,C2-e003Coalescence-mGAM-p7,e003,e003Coalescence,C2,AE-AA,False,mBHI,mGAM,7
104,C3-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,C3,AE-AC/PP,True,mGAM,mGAM,0
105,C3-e003Coalescence-mBHI-inoculumn-redo,e003,e003Coalescence,C3,AE-AC/PP,True,mBHI,mBHI,0
106,C3-e003Coalescence-mBHI-p3,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mBHI,3
107,C3-e003Coalescence-mBHI-p5,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mBHI,5
108,C3-e003Coalescence-mBHI-p7,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mBHI,7
109,C3-e003Coalescence-mGAM-p3,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mGAM,3
110,C3-e003Coalescence-mGAM-p5,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mGAM,5
111,C3-e003Coalescence-mGAM-p7,e003,e003Coalescence,C3,AE-AC/PP,False,mBHI,mGAM,7
112,C4-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,C4,AE-AE,True,mGAM,mGAM,0
113,C4-e003Coalescence-mBHI-inoculumn-redo,e003,e003Coalescence,C4,AE-AE,True,mBHI,mBHI,0
114,C4-e003Coalescence-mBHI-p3,e003,e003Coalescence,C4,AE-AE,False,mBHI,mBHI,3
