comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts,mesocosm-passage
B5,B5-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mBHI,B5-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,2,A_B4_B5_AF_ACPP_mBHI_mBHI_2_S16,AC/PP-AF-mBHI-mBHI,False,1,B5-AC/PP-AF-mBHI-mBHI-2
B8,B8-mBHI,AA-AC/PP-mGAM,B2-e003Coalescence-Inoculumn-mGAM,False,mBHI,B8-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,2,A_B5_B8_AA_ACPP_mGAM_mBHI_2_S17,AA-AC/PP-mGAM-mBHI,False,1,B8-AA-AC/PP-mGAM-mBHI-2
B11,B11-mBHI,AC/PP-AF-mGAM,B5-e003Coalescence-Inoculumn-mGAM,False,mBHI,B11-AC/PP-AF-mGAM-mBHI,mGAM,AC/PP-AF,2,A_B8_B11_AF_ACPP_mGAM_mBHI_2_S20,AC/PP-AF-mGAM-mBHI,False,1,B11-AC/PP-AF-mGAM-mBHI-2
B2,B2-mBHI,AA-AC/PP-mBHI,B2-e003Coalescence-Inoculumn-mBHI,False,mBHI,B2-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,4,A_B9_B2_AA_ACPP_mBHI_mBHI_4_S21,AA-AC/PP-mBHI-mBHI,False,1,B2-AA-AC/PP-mBHI-mBHI-4
B3,B3-mBHI,AC/PP-AC/PP-mBHI,B3-e003Coalescence-Inoculumn-mBHI,False,mBHI,B3-AC/PP-AC/PP-mBHI-mBHI,mBHI,AC/PP-AC/PP,4,A_B10_B3_ACPP_ACPP_mBHI_mBHI_4_S22,AC/PP-AC/PP-mBHI-mBHI,False,1,B3-AC/PP-AC/PP-mBHI-mBHI-4
B4,B4-mBHI,AC/PP-AE-mBHI,B4-e003Coalescence-Inoculumn-mBHI,False,mBHI,B4-AC/PP-AE-mBHI-mBHI,mBHI,AC/PP-AE,4,A_B11_B4_AE_ACPP_mBHI_mBHI_4_S23,AC/PP-AE-mBHI-mBHI,False,1,B4-AC/PP-AE-mBHI-mBHI-4
B5,B5-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mBHI,B5-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,4,A_B12_B5_AF_ACPP_mBHI_mBHI_4_S24,AC/PP-AF-mBHI-mBHI,False,1,B5-AC/PP-AF-mBHI-mBHI-4
C2,C2-mBHI,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C2-AA-AE-mBHI-mBHI,mBHI,AA-AE,2,A_C1_C2_AA_AE_mBHI_mBHI_2_S25,AA-AE-mBHI-mBHI,False,1,C2-AA-AE-mBHI-mBHI-2
C3,C3-mBHI,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C3-AC/PP-AE-mBHI-mBHI,mBHI,AC/PP-AE,2,A_C2_C3_ACPP_AE_mBHI_mBHI_2_S26,AC/PP-AE-mBHI-mBHI,False,1,C3-AC/PP-AE-mBHI-mBHI-2
C4,C4-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C4-AE-AE-mBHI-mBHI,mBHI,AE-AE,2,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,AE-AE-mBHI-mBHI,False,1,C4-AE-AE-mBHI-mBHI-2
C5,C5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C5-AE-AF-mBHI-mBHI,mBHI,AE-AF,2,A_C4_C5_AF_AE_mBHI_mBHI_2_S28,AE-AF-mBHI-mBHI,False,1,C5-AE-AF-mBHI-mBHI-2
C8,C8-mBHI,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,False,mBHI,C8-AA-AE-mGAM-mBHI,mGAM,AA-AE,2,A_C5_C8_AA_AE_mGAM_mBHI_2_S29,AA-AE-mGAM-mBHI,False,1,C8-AA-AE-mGAM-mBHI-2
C11,C11-mBHI,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mBHI,C11-AE-AF-mGAM-mBHI,mGAM,AE-AF,2,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,AE-AF-mGAM-mBHI,False,1,C11-AE-AF-mGAM-mBHI-2
C2,C2-mBHI,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C2-AA-AE-mBHI-mBHI,mBHI,AA-AE,4,A_C9_C2_AA_AE_mBHI_mBHI_4_S33,AA-AE-mBHI-mBHI,False,1,C2-AA-AE-mBHI-mBHI-4
C3,C3-mBHI,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C3-AC/PP-AE-mBHI-mBHI,mBHI,AC/PP-AE,4,A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,AC/PP-AE-mBHI-mBHI,False,1,C3-AC/PP-AE-mBHI-mBHI-4
C4,C4-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C4-AE-AE-mBHI-mBHI,mBHI,AE-AE,4,A_C11_C4_AE_AE_mBHI_mBHI_4_S35,AE-AE-mBHI-mBHI,False,1,C4-AE-AE-mBHI-mBHI-4
C5,C5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C5-AE-AF-mBHI-mBHI,mBHI,AE-AF,4,A_C12_C5_AF_AE_mBHI_mBHI_4_S36,AE-AF-mBHI-mBHI,False,1,C5-AE-AF-mBHI-mBHI-4
D2,D2-mBHI,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mBHI,D2-AA-AF-mBHI-mBHI,mBHI,AA-AF,2,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,AA-AF-mBHI-mBHI,False,1,D2-AA-AF-mBHI-mBHI-2
D3,D3-mBHI,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mBHI,D3-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,2,A_D2_D3_ACPP_AF_mBHI_mBHI_2_S38,AC/PP-AF-mBHI-mBHI,False,1,D3-AC/PP-AF-mBHI-mBHI-2
D4,D4-mBHI,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mBHI,D4-AE-AF-mBHI-mBHI,mBHI,AE-AF,2,A_D3_D4_AE_AF_mBHI_mBHI_2_S39,AE-AF-mBHI-mBHI,False,1,D4-AE-AF-mBHI-mBHI-2
D5,D5-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mBHI,D5-AF-AF-mBHI-mBHI,mBHI,AF-AF,2,A_D4_D5_AF_AF_mBHI_mBHI_2_S40,AF-AF-mBHI-mBHI,False,1,D5-AF-AF-mBHI-mBHI-2
D8,D8-mBHI,AA-AF-mGAM,D2-e003Coalescence-Inoculumn-mGAM,False,mBHI,D8-AA-AF-mGAM-mBHI,mGAM,AA-AF,2,A_D5_D8_AA_AF_mGAM_mBHI_2_S41,AA-AF-mGAM-mBHI,False,1,D8-AA-AF-mGAM-mBHI-2
D11,D11-mBHI,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mBHI,D11-AF-AF-mGAM-mBHI,mGAM,AF-AF,2,A_D8_D11_AF_AF_mGAM_mBHI_2_S44,AF-AF-mGAM-mBHI,False,1,D11-AF-AF-mGAM-mBHI-2
D2,D2-mBHI,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mBHI,D2-AA-AF-mBHI-mBHI,mBHI,AA-AF,4,A_D9_D2_AA_AF_mBHI_mBHI_4_S45,AA-AF-mBHI-mBHI,False,1,D2-AA-AF-mBHI-mBHI-4
