,sample 2,fixed diffs,sample 1
27,B2-e003Coalescence-mBHI-p5,1255,A2-e003Coalescence-Inoculumn-mBHI
28,B2-e003Coalescence-mGAM-p7,5367,A2-e003Coalescence-Inoculumn-mBHI
29,B3-e003Coalescence-Inoculumn-mBHI,5159,A2-e003Coalescence-Inoculumn-mBHI
30,B3-e003Coalescence-Inoculumn-mGAM,15597,A2-e003Coalescence-Inoculumn-mBHI
31,B3-e003Coalescence-mBHI-p7,3847,A2-e003Coalescence-Inoculumn-mBHI
32,B3-e003Coalescence-mGAM-p5,5623,A2-e003Coalescence-Inoculumn-mBHI
33,B4-e003Coalescence-Inoculumn-mBHI,5589,A2-e003Coalescence-Inoculumn-mBHI
34,B4-e003Coalescence-Inoculumn-mGAM,11387,A2-e003Coalescence-Inoculumn-mBHI
35,B4-e003Coalescence-mGAM-p5,7999,A2-e003Coalescence-Inoculumn-mBHI
36,B5-e003Coalescence-Inoculumn-mBHI,4096,A2-e003Coalescence-Inoculumn-mBHI
37,B5-e003Coalescence-Inoculumn-mGAM,29390,A2-e003Coalescence-Inoculumn-mBHI
38,B5-e003Coalescence-mGAM-p5,895,A2-e003Coalescence-Inoculumn-mBHI
39,B5-e003Coalescence-mGAM-p7,1921,A2-e003Coalescence-Inoculumn-mBHI
40,B8-e003Coalescence-mGAM-p5,24326,A2-e003Coalescence-Inoculumn-mBHI
41,B9-e003Coalescence-mGAM-p5,5155,A2-e003Coalescence-Inoculumn-mBHI
42,C2-e003Coalescence-Inoculumn-mGAM,3420,A2-e003Coalescence-Inoculumn-mBHI
43,C2-e003Coalescence-mBHI-inoculumn-redo,65,A2-e003Coalescence-Inoculumn-mBHI
44,C2-e003Coalescence-mBHI-p7,5,A2-e003Coalescence-Inoculumn-mBHI
45,C2-e003Coalescence-mGAM-p5,12,A2-e003Coalescence-Inoculumn-mBHI
46,C2-e003Coalescence-mGAM-p7,11,A2-e003Coalescence-Inoculumn-mBHI
47,C3-e003Coalescence-Inoculumn-mGAM,5072,A2-e003Coalescence-Inoculumn-mBHI
48,C3-e003Coalescence-mBHI-inoculumn-redo,5463,A2-e003Coalescence-Inoculumn-mBHI
49,C3-e003Coalescence-mBHI-p7,33694,A2-e003Coalescence-Inoculumn-mBHI
50,C3-e003Coalescence-mGAM-p5,3961,A2-e003Coalescence-Inoculumn-mBHI
51,C4-e003Coalescence-mGAM-p7,3496,A2-e003Coalescence-Inoculumn-mBHI
52,C5-e003Coalescence-Inoculumn-mGAM,34034,A2-e003Coalescence-Inoculumn-mBHI
53,C5-e003Coalescence-mBHI-inoculumn-redo,11630,A2-e003Coalescence-Inoculumn-mBHI
54,C5-e003Coalescence-mGAM-p7,2789,A2-e003Coalescence-Inoculumn-mBHI
55,C8-e003Coalescence-mBHI-p5,26,A2-e003Coalescence-Inoculumn-mBHI
56,C8-e003Coalescence-mBHI-p7,10,A2-e003Coalescence-Inoculumn-mBHI
57,C8-e003Coalescence-mGAM-p7,173,A2-e003Coalescence-Inoculumn-mBHI
58,C9-e003Coalescence-mGAM-p5,6050,A2-e003Coalescence-Inoculumn-mBHI
59,D10-e003Coalescence-mBHI-p7,5733,A2-e003Coalescence-Inoculumn-mBHI
60,D11-e003Coalescence-mBHI-p5,25366,A2-e003Coalescence-Inoculumn-mBHI
61,D11-e003Coalescence-mGAM-p5,20650,A2-e003Coalescence-Inoculumn-mBHI
62,D11-e003Coalescence-mGAM-p7,19404,A2-e003Coalescence-Inoculumn-mBHI
63,D2-e003Coalescence-Inoculumn-mBHI,514,A2-e003Coalescence-Inoculumn-mBHI
64,D2-e003Coalescence-Inoculumn-mGAM,4741,A2-e003Coalescence-Inoculumn-mBHI
65,D2-e003Coalescence-mGAM-p5,44,A2-e003Coalescence-Inoculumn-mBHI
66,D3-e003Coalescence-Inoculumn-mBHI,4036,A2-e003Coalescence-Inoculumn-mBHI
67,D3-e003Coalescence-Inoculumn-mGAM,38788,A2-e003Coalescence-Inoculumn-mBHI
68,D3-e003Coalescence-mGAM-p5,2833,A2-e003Coalescence-Inoculumn-mBHI
69,D4-e003Coalescence-Inoculumn-mBHI,15732,A2-e003Coalescence-Inoculumn-mBHI
70,D4-e003Coalescence-Inoculumn-mGAM,2900,A2-e003Coalescence-Inoculumn-mBHI
71,D4-e003Coalescence-mGAM-p5,1644,A2-e003Coalescence-Inoculumn-mBHI
72,D4-e003Coalescence-mGAM-p7,2924,A2-e003Coalescence-Inoculumn-mBHI
73,D5-e003Coalescence-Inoculumn-mBHI,7936,A2-e003Coalescence-Inoculumn-mBHI
74,D5-e003Coalescence-Inoculumn-mGAM,39835,A2-e003Coalescence-Inoculumn-mBHI
75,D5-e003Coalescence-mBHI-p5,13,A2-e003Coalescence-Inoculumn-mBHI
76,D5-e003Coalescence-mGAM-p5,1458,A2-e003Coalescence-Inoculumn-mBHI
77,D8-e003Coalescence-mBHI-p5,1937,A2-e003Coalescence-Inoculumn-mBHI
78,D8-e003Coalescence-mGAM-p5,38,A2-e003Coalescence-Inoculumn-mBHI
79,D9-e003Coalescence-mGAM-p5,6214,A2-e003Coalescence-Inoculumn-mBHI
80,D9-e003Coalescence-mGAM-p7,4724,A2-e003Coalescence-Inoculumn-mBHI
0,A10-e003Coalescence-mBHI-p7,1222,A2-e003Coalescence-Inoculumn-mGAM
1,A11-e003Coalescence-mBHI-p5,4639,A2-e003Coalescence-Inoculumn-mGAM
2,A11-e003Coalescence-mBHI-p7,942,A2-e003Coalescence-Inoculumn-mGAM
3,A11-e003Coalescence-mGAM-p7,2,A2-e003Coalescence-Inoculumn-mGAM
4,A2-e003Coalescence-Inoculumn-mBHI,4124,A2-e003Coalescence-Inoculumn-mGAM
5,A2-e003Coalescence-Inoculumn-mGAM,0,A2-e003Coalescence-Inoculumn-mGAM
6,A2-e003Coalescence-mBHI-inoculumn-redo,5581,A2-e003Coalescence-Inoculumn-mGAM
7,A2-e003Coalescence-mBHI-p5,3816,A2-e003Coalescence-Inoculumn-mGAM
8,A2-e003Coalescence-mGAM-p5,2386,A2-e003Coalescence-Inoculumn-mGAM
9,A2-e003Coalescence-mGAM-p7,5935,A2-e003Coalescence-Inoculumn-mGAM
10,A3-e003Coalescence-Inoculumn-mGAM,255,A2-e003Coalescence-Inoculumn-mGAM
11,A3-e003Coalescence-mBHI-inoculumn-redo,786,A2-e003Coalescence-Inoculumn-mGAM
12,A4-e003Coalescence-Inoculumn-mGAM,5,A2-e003Coalescence-Inoculumn-mGAM
