,species_id,AJ_powersoil_01312023_SW_66,PP_AC_inPowersoil_1007_SW_60,PP_AC_inPowersoil_1007_SW_68,AB_powersoil_01312023_SW_62,AA_powersoil_01312023_SW_61,AF_powersoil_01312023_SW_65,AE_powersoil_01312023_SW_64,PP_powersoil_DNA_SW_16,AD_powersoil_01312023_SW_63,AL_powersoil_01312023_SW_67,Lineage,species,genus,family,order,class,phylum
27,101490,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum,s__Bifidobacterium catenulatum,g__Bifidobacterium,f__Bifidobacteriaceae,o__Actinomycetales,c__Actinobacteria,p__Actinobacteriota
28,101289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__,s__,g__Streptococcus,f__Streptococcaceae,o__Lactobacillales,c__Bacilli,p__Firmicutes
29,103848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,s__,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
30,101715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,s__,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
31,103066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,s__,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
32,104399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,s__,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
33,102844,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,s__,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
34,102509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae;g__Slackia_A;s__,s__,g__Slackia_A,f__Eggerthellaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
35,100262,0.01,0.007,0.007,0.005,0.015,0.0,0.0,0.007,0.011,0.004,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_E;s__Eubacterium_E hallii,s__Eubacterium_E hallii,g__Eubacterium_E,f__Lachnospiraceae,o__Lachnospirales,c__Clostridia,p__Firmicutes_A
36,104378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,s__,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
37,103225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,s__,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
38,102032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,s__,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
39,104497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_F,s__Collinsella aerofaciens_F,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
40,102748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,s__,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
41,104349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__,s__,g__Collinsella,f__Coriobacteriaceae,o__Coriobacteriales,c__Coriobacteriia,p__Actinobacteriota
