,sample,experiment,sub_experiment,comm,parent_subjects,is_inoculumn,parent_media,media,passage,mesocosm,single-subject,inoculumn,type_meso
119,C4-e003Coalescence-mGAM-p7,e003,e003Coalescence,C4,AE-AE,False,mBHI,mGAM,7,C4-AE-AE-mBHI-mGAM,True,AE-AE-mBHI,AE-AE-mBHI-mGAM
120,C5-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,C5,AE-AF,True,mGAM,mGAM,0,C5-AE-AF-mGAM-mGAM,False,AE-AF-mGAM,AE-AF-mGAM-mGAM
121,C5-e003Coalescence-mBHI-inoculumn-redo,e003,e003Coalescence,C5,AE-AF,True,mBHI,mBHI,0,C5-AE-AF-mBHI-mBHI,False,AE-AF-mBHI,AE-AF-mBHI-mBHI
122,C5-e003Coalescence-mBHI-p3,e003,e003Coalescence,C5,AE-AF,False,mBHI,mBHI,3,C5-AE-AF-mBHI-mBHI,False,AE-AF-mBHI,AE-AF-mBHI-mBHI
123,C5-e003Coalescence-mBHI-p5,e003,e003Coalescence,C5,AE-AF,False,mBHI,mBHI,5,C5-AE-AF-mBHI-mBHI,False,AE-AF-mBHI,AE-AF-mBHI-mBHI
124,C5-e003Coalescence-mBHI-p7,e003,e003Coalescence,C5,AE-AF,False,mBHI,mBHI,7,C5-AE-AF-mBHI-mBHI,False,AE-AF-mBHI,AE-AF-mBHI-mBHI
125,C5-e003Coalescence-mGAM-p3,e003,e003Coalescence,C5,AE-AF,False,mBHI,mGAM,3,C5-AE-AF-mBHI-mGAM,False,AE-AF-mBHI,AE-AF-mBHI-mGAM
126,C5-e003Coalescence-mGAM-p5,e003,e003Coalescence,C5,AE-AF,False,mBHI,mGAM,5,C5-AE-AF-mBHI-mGAM,False,AE-AF-mBHI,AE-AF-mBHI-mGAM
127,C5-e003Coalescence-mGAM-p7,e003,e003Coalescence,C5,AE-AF,False,mBHI,mGAM,7,C5-AE-AF-mBHI-mGAM,False,AE-AF-mBHI,AE-AF-mBHI-mGAM
128,C8-e003Coalescence-mBHI-p3,e003,e003Coalescence,C8,AE-AA,False,mGAM,mBHI,3,C8-AE-AA-mGAM-mBHI,False,AA-AE-mGAM,AA-AE-mGAM-mBHI
129,C8-e003Coalescence-mBHI-p5,e003,e003Coalescence,C8,AE-AA,False,mGAM,mBHI,5,C8-AE-AA-mGAM-mBHI,False,AA-AE-mGAM,AA-AE-mGAM-mBHI
130,C8-e003Coalescence-mBHI-p7,e003,e003Coalescence,C8,AE-AA,False,mGAM,mBHI,7,C8-AE-AA-mGAM-mBHI,False,AA-AE-mGAM,AA-AE-mGAM-mBHI
131,C8-e003Coalescence-mGAM-p3,e003,e003Coalescence,C8,AE-AA,False,mGAM,mGAM,3,C8-AE-AA-mGAM-mGAM,False,AA-AE-mGAM,AA-AE-mGAM-mGAM
132,C8-e003Coalescence-mGAM-p5,e003,e003Coalescence,C8,AE-AA,False,mGAM,mGAM,5,C8-AE-AA-mGAM-mGAM,False,AA-AE-mGAM,AA-AE-mGAM-mGAM
133,C8-e003Coalescence-mGAM-p7,e003,e003Coalescence,C8,AE-AA,False,mGAM,mGAM,7,C8-AE-AA-mGAM-mGAM,False,AA-AE-mGAM,AA-AE-mGAM-mGAM
134,C9-e003Coalescence-mBHI-p3,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mBHI,3,C9-AE-AC/PP-mGAM-mBHI,False,AC/PP-AE-mGAM,AC/PP-AE-mGAM-mBHI
135,C9-e003Coalescence-mBHI-p5,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mBHI,5,C9-AE-AC/PP-mGAM-mBHI,False,AC/PP-AE-mGAM,AC/PP-AE-mGAM-mBHI
136,C9-e003Coalescence-mBHI-p7,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mBHI,7,C9-AE-AC/PP-mGAM-mBHI,False,AC/PP-AE-mGAM,AC/PP-AE-mGAM-mBHI
137,C9-e003Coalescence-mGAM-p3,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mGAM,3,C9-AE-AC/PP-mGAM-mGAM,False,AC/PP-AE-mGAM,AC/PP-AE-mGAM-mGAM
138,C9-e003Coalescence-mGAM-p5,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mGAM,5,C9-AE-AC/PP-mGAM-mGAM,False,AC/PP-AE-mGAM,AC/PP-AE-mGAM-mGAM
139,C9-e003Coalescence-mGAM-p7,e003,e003Coalescence,C9,AE-AC/PP,False,mGAM,mGAM,7,C9-AE-AC/PP-mGAM-mGAM,False,AC/PP-AE-mGAM,AC/PP-AE-mGAM-mGAM
140,D10-e003Coalescence-mBHI-p5,e003,e003Coalescence,D10,AF-AE,False,mGAM,mBHI,5,D10-AF-AE-mGAM-mBHI,False,AE-AF-mGAM,AE-AF-mGAM-mBHI
141,D10-e003Coalescence-mBHI-p7,e003,e003Coalescence,D10,AF-AE,False,mGAM,mBHI,7,D10-AF-AE-mGAM-mBHI,False,AE-AF-mGAM,AE-AF-mGAM-mBHI
142,D10-e003Coalescence-mGAM-p5,e003,e003Coalescence,D10,AF-AE,False,mGAM,mGAM,5,D10-AF-AE-mGAM-mGAM,False,AE-AF-mGAM,AE-AF-mGAM-mGAM
143,D10-e003Coalescence-mGAM-p7,e003,e003Coalescence,D10,AF-AE,False,mGAM,mGAM,7,D10-AF-AE-mGAM-mGAM,False,AE-AF-mGAM,AE-AF-mGAM-mGAM
144,D11-e003Coalescence-mBHI-p5,e003,e003Coalescence,D11,AF-AF,False,mGAM,mBHI,5,D11-AF-AF-mGAM-mBHI,True,AF-AF-mGAM,AF-AF-mGAM-mBHI
145,D11-e003Coalescence-mGAM-p5,e003,e003Coalescence,D11,AF-AF,False,mGAM,mGAM,5,D11-AF-AF-mGAM-mGAM,True,AF-AF-mGAM,AF-AF-mGAM-mGAM
146,D11-e003Coalescence-mGAM-p7,e003,e003Coalescence,D11,AF-AF,False,mGAM,mGAM,7,D11-AF-AF-mGAM-mGAM,True,AF-AF-mGAM,AF-AF-mGAM-mGAM
147,D2-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,D2,AF-AA,True,mBHI,mBHI,0,D2-AF-AA-mBHI-mBHI,False,AA-AF-mBHI,AA-AF-mBHI-mBHI
148,D2-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,D2,AF-AA,True,mGAM,mGAM,0,D2-AF-AA-mGAM-mGAM,False,AA-AF-mGAM,AA-AF-mGAM-mGAM
149,D2-e003Coalescence-mBHI-p3,e003,e003Coalescence,D2,AF-AA,False,mBHI,mBHI,3,D2-AF-AA-mBHI-mBHI,False,AA-AF-mBHI,AA-AF-mBHI-mBHI
150,D2-e003Coalescence-mBHI-p5,e003,e003Coalescence,D2,AF-AA,False,mBHI,mBHI,5,D2-AF-AA-mBHI-mBHI,False,AA-AF-mBHI,AA-AF-mBHI-mBHI
151,D2-e003Coalescence-mBHI-p7,e003,e003Coalescence,D2,AF-AA,False,mBHI,mBHI,7,D2-AF-AA-mBHI-mBHI,False,AA-AF-mBHI,AA-AF-mBHI-mBHI
152,D2-e003Coalescence-mGAM-p5,e003,e003Coalescence,D2,AF-AA,False,mBHI,mGAM,5,D2-AF-AA-mBHI-mGAM,False,AA-AF-mBHI,AA-AF-mBHI-mGAM
153,D3-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,D3,AF-AC/PP,True,mBHI,mBHI,0,D3-AF-AC/PP-mBHI-mBHI,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mBHI
154,D3-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,D3,AF-AC/PP,True,mGAM,mGAM,0,D3-AF-AC/PP-mGAM-mGAM,False,AC/PP-AF-mGAM,AC/PP-AF-mGAM-mGAM
155,D3-e003Coalescence-mBHI-p5,e003,e003Coalescence,D3,AF-AC/PP,False,mBHI,mBHI,5,D3-AF-AC/PP-mBHI-mBHI,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mBHI
156,D3-e003Coalescence-mBHI-p7,e003,e003Coalescence,D3,AF-AC/PP,False,mBHI,mBHI,7,D3-AF-AC/PP-mBHI-mBHI,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mBHI
157,D3-e003Coalescence-mGAM-p3,e003,e003Coalescence,D3,AF-AC/PP,False,mBHI,mGAM,3,D3-AF-AC/PP-mBHI-mGAM,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mGAM
158,D3-e003Coalescence-mGAM-p5,e003,e003Coalescence,D3,AF-AC/PP,False,mBHI,mGAM,5,D3-AF-AC/PP-mBHI-mGAM,False,AC/PP-AF-mBHI,AC/PP-AF-mBHI-mGAM
159,D4-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,D4,AF-AE,True,mBHI,mBHI,0,D4-AF-AE-mBHI-mBHI,False,AE-AF-mBHI,AE-AF-mBHI-mBHI
160,D4-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,D4,AF-AE,True,mGAM,mGAM,0,D4-AF-AE-mGAM-mGAM,False,AE-AF-mGAM,AE-AF-mGAM-mGAM
161,D4-e003Coalescence-mBHI-p3,e003,e003Coalescence,D4,AF-AE,False,mBHI,mBHI,3,D4-AF-AE-mBHI-mBHI,False,AE-AF-mBHI,AE-AF-mBHI-mBHI
162,D4-e003Coalescence-mBHI-p5,e003,e003Coalescence,D4,AF-AE,False,mBHI,mBHI,5,D4-AF-AE-mBHI-mBHI,False,AE-AF-mBHI,AE-AF-mBHI-mBHI
163,D4-e003Coalescence-mBHI-p7,e003,e003Coalescence,D4,AF-AE,False,mBHI,mBHI,7,D4-AF-AE-mBHI-mBHI,False,AE-AF-mBHI,AE-AF-mBHI-mBHI
164,D4-e003Coalescence-mGAM-p3,e003,e003Coalescence,D4,AF-AE,False,mBHI,mGAM,3,D4-AF-AE-mBHI-mGAM,False,AE-AF-mBHI,AE-AF-mBHI-mGAM
165,D4-e003Coalescence-mGAM-p5,e003,e003Coalescence,D4,AF-AE,False,mBHI,mGAM,5,D4-AF-AE-mBHI-mGAM,False,AE-AF-mBHI,AE-AF-mBHI-mGAM
166,D4-e003Coalescence-mGAM-p7,e003,e003Coalescence,D4,AF-AE,False,mBHI,mGAM,7,D4-AF-AE-mBHI-mGAM,False,AE-AF-mBHI,AE-AF-mBHI-mGAM
167,D5-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,D5,AF-AF,True,mBHI,mBHI,0,D5-AF-AF-mBHI-mBHI,True,AF-AF-mBHI,AF-AF-mBHI-mBHI
168,D5-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,D5,AF-AF,True,mGAM,mGAM,0,D5-AF-AF-mGAM-mGAM,True,AF-AF-mGAM,AF-AF-mGAM-mGAM
169,D5-e003Coalescence-mBHI-p3,e003,e003Coalescence,D5,AF-AF,False,mBHI,mBHI,3,D5-AF-AF-mBHI-mBHI,True,AF-AF-mBHI,AF-AF-mBHI-mBHI
170,D5-e003Coalescence-mBHI-p5,e003,e003Coalescence,D5,AF-AF,False,mBHI,mBHI,5,D5-AF-AF-mBHI-mBHI,True,AF-AF-mBHI,AF-AF-mBHI-mBHI
171,D5-e003Coalescence-mBHI-p7,e003,e003Coalescence,D5,AF-AF,False,mBHI,mBHI,7,D5-AF-AF-mBHI-mBHI,True,AF-AF-mBHI,AF-AF-mBHI-mBHI
172,D5-e003Coalescence-mGAM-p3,e003,e003Coalescence,D5,AF-AF,False,mBHI,mGAM,3,D5-AF-AF-mBHI-mGAM,True,AF-AF-mBHI,AF-AF-mBHI-mGAM
173,D5-e003Coalescence-mGAM-p5,e003,e003Coalescence,D5,AF-AF,False,mBHI,mGAM,5,D5-AF-AF-mBHI-mGAM,True,AF-AF-mBHI,AF-AF-mBHI-mGAM
174,D5-e003Coalescence-mGAM-p7,e003,e003Coalescence,D5,AF-AF,False,mBHI,mGAM,7,D5-AF-AF-mBHI-mGAM,True,AF-AF-mBHI,AF-AF-mBHI-mGAM
175,D8-e003Coalescence-mBHI-p3,e003,e003Coalescence,D8,AF-AA,False,mGAM,mBHI,3,D8-AF-AA-mGAM-mBHI,False,AA-AF-mGAM,AA-AF-mGAM-mBHI
176,D8-e003Coalescence-mBHI-p5,e003,e003Coalescence,D8,AF-AA,False,mGAM,mBHI,5,D8-AF-AA-mGAM-mBHI,False,AA-AF-mGAM,AA-AF-mGAM-mBHI
177,D8-e003Coalescence-mGAM-p3,e003,e003Coalescence,D8,AF-AA,False,mGAM,mGAM,3,D8-AF-AA-mGAM-mGAM,False,AA-AF-mGAM,AA-AF-mGAM-mGAM
178,D8-e003Coalescence-mGAM-p5,e003,e003Coalescence,D8,AF-AA,False,mGAM,mGAM,5,D8-AF-AA-mGAM-mGAM,False,AA-AF-mGAM,AA-AF-mGAM-mGAM
179,D9-e003Coalescence-mBHI-p3,e003,e003Coalescence,D9,AF-AC/PP,False,mGAM,mBHI,3,D9-AF-AC/PP-mGAM-mBHI,False,AC/PP-AF-mGAM,AC/PP-AF-mGAM-mBHI
180,D9-e003Coalescence-mBHI-p5,e003,e003Coalescence,D9,AF-AC/PP,False,mGAM,mBHI,5,D9-AF-AC/PP-mGAM-mBHI,False,AC/PP-AF-mGAM,AC/PP-AF-mGAM-mBHI
181,D9-e003Coalescence-mBHI-p7,e003,e003Coalescence,D9,AF-AC/PP,False,mGAM,mBHI,7,D9-AF-AC/PP-mGAM-mBHI,False,AC/PP-AF-mGAM,AC/PP-AF-mGAM-mBHI
182,D9-e003Coalescence-mGAM-p5,e003,e003Coalescence,D9,AF-AC/PP,False,mGAM,mGAM,5,D9-AF-AC/PP-mGAM-mGAM,False,AC/PP-AF-mGAM,AC/PP-AF-mGAM-mGAM
183,D9-e003Coalescence-mGAM-p7,e003,e003Coalescence,D9,AF-AC/PP,False,mGAM,mGAM,7,D9-AF-AC/PP-mGAM-mGAM,False,AC/PP-AF-mGAM,AC/PP-AF-mGAM-mGAM
