,sample,experiment,sub_experiment,comm,parent_subjects,is_inoculumn,parent_media,media,passage,mesocosm,single-subject,inoculumn,type_meso
24,A4-e003Coalescence-mBHI-p3,e003,e003Coalescence,A4,AA-AE,False,mBHI,mBHI,3,A4-AA-AE-mBHI-mBHI,False,AA-AE-mBHI,AA-AE-mBHI-mBHI
25,A4-e003Coalescence-mBHI-p5,e003,e003Coalescence,A4,AA-AE,False,mBHI,mBHI,5,A4-AA-AE-mBHI-mBHI,False,AA-AE-mBHI,AA-AE-mBHI-mBHI
26,A4-e003Coalescence-mBHI-p7,e003,e003Coalescence,A4,AA-AE,False,mBHI,mBHI,7,A4-AA-AE-mBHI-mBHI,False,AA-AE-mBHI,AA-AE-mBHI-mBHI
27,A4-e003Coalescence-mGAM-p3,e003,e003Coalescence,A4,AA-AE,False,mBHI,mGAM,3,A4-AA-AE-mBHI-mGAM,False,AA-AE-mBHI,AA-AE-mBHI-mGAM
28,A4-e003Coalescence-mGAM-p5,e003,e003Coalescence,A4,AA-AE,False,mBHI,mGAM,5,A4-AA-AE-mBHI-mGAM,False,AA-AE-mBHI,AA-AE-mBHI-mGAM
29,A5-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,A5,AA-AF,True,mBHI,mBHI,0,A5-AA-AF-mBHI-mBHI,False,AA-AF-mBHI,AA-AF-mBHI-mBHI
30,A5-e003Coalescence-Inoculumn-mGAM,e003,e003Coalescence,A5,AA-AF,True,mGAM,mGAM,0,A5-AA-AF-mGAM-mGAM,False,AA-AF-mGAM,AA-AF-mGAM-mGAM
31,A5-e003Coalescence-mBHI-inoculumn-redo,e003,e003Coalescence,A5,AA-AF,True,mBHI,mBHI,0,A5-AA-AF-mBHI-mBHI,False,AA-AF-mBHI,AA-AF-mBHI-mBHI
32,A5-e003Coalescence-mBHI-p3,e003,e003Coalescence,A5,AA-AF,False,mBHI,mBHI,3,A5-AA-AF-mBHI-mBHI,False,AA-AF-mBHI,AA-AF-mBHI-mBHI
33,A5-e003Coalescence-mBHI-p5,e003,e003Coalescence,A5,AA-AF,False,mBHI,mBHI,5,A5-AA-AF-mBHI-mBHI,False,AA-AF-mBHI,AA-AF-mBHI-mBHI
34,A5-e003Coalescence-mBHI-p7,e003,e003Coalescence,A5,AA-AF,False,mBHI,mBHI,7,A5-AA-AF-mBHI-mBHI,False,AA-AF-mBHI,AA-AF-mBHI-mBHI
35,A5-e003Coalescence-mGAM-p3,e003,e003Coalescence,A5,AA-AF,False,mBHI,mGAM,3,A5-AA-AF-mBHI-mGAM,False,AA-AF-mBHI,AA-AF-mBHI-mGAM
36,A5-e003Coalescence-mGAM-p5,e003,e003Coalescence,A5,AA-AF,False,mBHI,mGAM,5,A5-AA-AF-mBHI-mGAM,False,AA-AF-mBHI,AA-AF-mBHI-mGAM
37,A8-e003Coalescence-mBHI-p3,e003,e003Coalescence,A8,AA-AA,False,mGAM,mBHI,3,A8-AA-AA-mGAM-mBHI,True,AA-AA-mGAM,AA-AA-mGAM-mBHI
38,A8-e003Coalescence-mBHI-p5,e003,e003Coalescence,A8,AA-AA,False,mGAM,mBHI,5,A8-AA-AA-mGAM-mBHI,True,AA-AA-mGAM,AA-AA-mGAM-mBHI
39,A8-e003Coalescence-mBHI-p7,e003,e003Coalescence,A8,AA-AA,False,mGAM,mBHI,7,A8-AA-AA-mGAM-mBHI,True,AA-AA-mGAM,AA-AA-mGAM-mBHI
40,A8-e003Coalescence-mGAM-p3,e003,e003Coalescence,A8,AA-AA,False,mGAM,mGAM,3,A8-AA-AA-mGAM-mGAM,True,AA-AA-mGAM,AA-AA-mGAM-mGAM
41,A8-e003Coalescence-mGAM-p7,e003,e003Coalescence,A8,AA-AA,False,mGAM,mGAM,7,A8-AA-AA-mGAM-mGAM,True,AA-AA-mGAM,AA-AA-mGAM-mGAM
42,A9-e003Coalescence-mBHI-p5,e003,e003Coalescence,A9,AA-AC/PP,False,mGAM,mBHI,5,A9-AA-AC/PP-mGAM-mBHI,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mBHI
43,A9-e003Coalescence-mBHI-p7,e003,e003Coalescence,A9,AA-AC/PP,False,mGAM,mBHI,7,A9-AA-AC/PP-mGAM-mBHI,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mBHI
44,A9-e003Coalescence-mGAM-p3,e003,e003Coalescence,A9,AA-AC/PP,False,mGAM,mGAM,3,A9-AA-AC/PP-mGAM-mGAM,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mGAM
45,A9-e003Coalescence-mGAM-p5,e003,e003Coalescence,A9,AA-AC/PP,False,mGAM,mGAM,5,A9-AA-AC/PP-mGAM-mGAM,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mGAM
46,A9-e003Coalescence-mGAM-p7,e003,e003Coalescence,A9,AA-AC/PP,False,mGAM,mGAM,7,A9-AA-AC/PP-mGAM-mGAM,False,AA-AC/PP-mGAM,AA-AC/PP-mGAM-mGAM
47,B10-e003Coalescence-mBHI-p5,e003,e003Coalescence,B10,AC/PP-AE,False,mGAM,mBHI,5,B10-AC/PP-AE-mGAM-mBHI,False,AC/PP-AE-mGAM,AC/PP-AE-mGAM-mBHI
48,B10-e003Coalescence-mGAM-p7,e003,e003Coalescence,B10,AC/PP-AE,False,mGAM,mGAM,7,B10-AC/PP-AE-mGAM-mGAM,False,AC/PP-AE-mGAM,AC/PP-AE-mGAM-mGAM
49,B11-e003Coalescence-mGAM-p7,e003,e003Coalescence,B11,AC/PP-AF,False,mGAM,mGAM,7,B11-AC/PP-AF-mGAM-mGAM,False,AC/PP-AF-mGAM,AC/PP-AF-mGAM-mGAM
50,B2-e003Coalescence-Inoculumn-mBHI,e003,e003Coalescence,B2,AC/PP-AA,True,mBHI,mBHI,0,B2-AC/PP-AA-mBHI-mBHI,False,AA-AC/PP-mBHI,AA-AC/PP-mBHI-mBHI
