species_id,sample,relative_abundance,experiment,sub_experiment,comm,media,passage,subject
101361,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101433,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101365,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100044,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102470,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100486,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100591,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100068,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101714,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102659,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100138,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100242,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100120,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101362,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100910,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103439,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100059,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101611,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102684,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102945,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102287,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104285,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100243,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101303,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102035,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100322,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102487,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102340,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
102528,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101500,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100071,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104321,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
103872,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
101638,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
100003,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
104016,F2-e004Assembly-epsilon-p5,0.0,e004,e004Assembly,F2,epsilon,5,AK
