,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn,sample2,sample_name2
87,A8-e003Coalescence-mBHI-p5,False,A8-e003Coalescence-mBHI-p5,True,A8,False,5,mBHI,mGAM,AA-AA,A8-AA-AA-mGAM-mBHI,AA-AA-mGAM-mBHI,AA-AA-mGAM,A8-e003Coalescence-mBHI-p5,A8-e003Coalescence-mBHI-p5
88,D9-e003Coalescence-mBHI-p3,False,D9-e003Coalescence-mBHI-p3,True,D9,False,3,mBHI,mGAM,AC/PP-AF,D9-AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM-mBHI,AF-AC/PP-mGAM,D9-e003Coalescence-mBHI-p3,D9-e003Coalescence-mBHI-p3
89,C5-e003Coalescence-mGAM-p5,False,C5-e003Coalescence-mGAM-p5,True,C5,False,5,mGAM,mBHI,AE-AF,C5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI,C5-e003Coalescence-mGAM-p5,C5-e003Coalescence-mGAM-p5
90,A5-e003Coalescence-mBHI-p7,False,A5-e003Coalescence-mBHI-p7,True,A5,False,7,mBHI,mBHI,AA-AF,A5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI,A5-e003Coalescence-mBHI-p7,A5-e003Coalescence-mBHI-p7
91,D2-e003Coalescence-mGAM-p5,False,D2-e003Coalescence-mGAM-p5,True,D2,False,5,mGAM,mBHI,AA-AF,D2-AA-AF-mBHI-mGAM,AA-AF-mBHI-mGAM,AF-AA-mBHI,D2-e003Coalescence-mGAM-p5,D2-e003Coalescence-mGAM-p5
92,D3-e003Coalescence-mGAM-p3,False,D3-e003Coalescence-mGAM-p3,True,D3,False,3,mGAM,mBHI,AC/PP-AF,D3-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AF-AC/PP-mBHI,D3-e003Coalescence-mGAM-p3,D3-e003Coalescence-mGAM-p3
93,D9-e003Coalescence-mGAM-p3,False,D9-e003Coalescence-mGAM-p3,True,D9,False,3,mGAM,mGAM,AC/PP-AF,D9-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AF-AC/PP-mGAM,D9-e003Coalescence-mGAM-p3,D9-e003Coalescence-mGAM-p3
94,D3-e003Coalescence-mGAM-p5,False,D3-e003Coalescence-mGAM-p5,True,D3,False,5,mGAM,mBHI,AC/PP-AF,D3-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AF-AC/PP-mBHI,D3-e003Coalescence-mGAM-p5,D3-e003Coalescence-mGAM-p5
95,C10-e003Coalescence-mGAM-p3,False,C10-e003Coalescence-mGAM-p3,True,C10,False,3,mGAM,mGAM,AE-AE,C10-AE-AE-mGAM-mGAM,AE-AE-mGAM-mGAM,AE-AE-mGAM,C10-e003Coalescence-mGAM-p3,C10-e003Coalescence-mGAM-p3
96,B9-e003Coalescence-mGAM-p7,False,B9-e003Coalescence-mGAM-p7,True,B9,False,7,mGAM,mGAM,AC/PP-AC/PP,B9-AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM,B9-e003Coalescence-mGAM-p7,B9-e003Coalescence-mGAM-p7
97,B11-e003Coalescence-mGAM-p7,False,B11-e003Coalescence-mGAM-p7,True,B11,False,7,mGAM,mGAM,AC/PP-AF,B11-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM,B11-e003Coalescence-mGAM-p7,B11-e003Coalescence-mGAM-p7
98,B5-e003Coalescence-mBHI-p7,False,B5-e003Coalescence-mBHI-p7,True,B5,False,7,mBHI,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-mBHI-p7,B5-e003Coalescence-mBHI-p7
99,A3-e003Coalescence-mGAM-p7,False,A3-e003Coalescence-mGAM-p7,True,A3,False,7,mGAM,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI,A3-e003Coalescence-mGAM-p7,A3-e003Coalescence-mGAM-p7
100,A4-e003Coalescence-mBHI-p5,False,A4-e003Coalescence-mBHI-p5,True,A4,False,5,mBHI,mBHI,AA-AE,A4-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AA-AE-mBHI,A4-e003Coalescence-mBHI-p5,A4-e003Coalescence-mBHI-p5
101,B3-e003Coalescence-mBHI-p7,False,B3-e003Coalescence-mBHI-p7,True,B3,False,7,mBHI,mBHI,AC/PP-AC/PP,B3-AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI,B3-e003Coalescence-mBHI-p7,B3-e003Coalescence-mBHI-p7
102,D10-e003Coalescence-mGAM-p7,False,D10-e003Coalescence-mGAM-p7,True,D10,False,7,mGAM,mGAM,AE-AF,D10-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AF-AE-mGAM,D10-e003Coalescence-mGAM-p7,D10-e003Coalescence-mGAM-p7
103,C11-e003Coalescence-mGAM-p3,False,C11-e003Coalescence-mGAM-p3,True,C11,False,3,mGAM,mGAM,AE-AF,C11-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AE-AF-mGAM,C11-e003Coalescence-mGAM-p3,C11-e003Coalescence-mGAM-p3
104,A10-e003Coalescence-mBHI-p7,False,A10-e003Coalescence-mBHI-p7,True,A10,False,7,mBHI,mGAM,AA-AE,A10-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM,A10-e003Coalescence-mBHI-p7,A10-e003Coalescence-mBHI-p7
105,C10-e003Coalescence-mBHI-p7,False,C10-e003Coalescence-mBHI-p7,True,C10,False,7,mBHI,mGAM,AE-AE,C10-AE-AE-mGAM-mBHI,AE-AE-mGAM-mBHI,AE-AE-mGAM,C10-e003Coalescence-mBHI-p7,C10-e003Coalescence-mBHI-p7
106,B9-e003Coalescence-mBHI-p5,False,B9-e003Coalescence-mBHI-p5,True,B9,False,5,mBHI,mGAM,AC/PP-AC/PP,B9-AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM,B9-e003Coalescence-mBHI-p5,B9-e003Coalescence-mBHI-p5
107,B10-e003Coalescence-mBHI-p3,False,B10-e003Coalescence-mBHI-p3,True,B10,False,3,mBHI,mGAM,AC/PP-AE,B10-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM,B10-e003Coalescence-mBHI-p3,B10-e003Coalescence-mBHI-p3
108,C11-e003Coalescence-mBHI-p5,False,C11-e003Coalescence-mBHI-p5,True,C11,False,5,mBHI,mGAM,AE-AF,C11-AE-AF-mGAM-mBHI,AE-AF-mGAM-mBHI,AE-AF-mGAM,C11-e003Coalescence-mBHI-p5,C11-e003Coalescence-mBHI-p5
109,A2-e003Coalescence-mGAM-p7,False,A2-e003Coalescence-mGAM-p7,True,A2,False,7,mGAM,mBHI,AA-AA,A2-AA-AA-mBHI-mGAM,AA-AA-mBHI-mGAM,AA-AA-mBHI,A2-e003Coalescence-mGAM-p7,A2-e003Coalescence-mGAM-p7
110,D10-e003Coalescence-mGAM-p3,False,D10-e003Coalescence-mGAM-p3,True,D10,False,3,mGAM,mGAM,AE-AF,D10-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AF-AE-mGAM,D10-e003Coalescence-mGAM-p3,D10-e003Coalescence-mGAM-p3
111,B10-e003Coalescence-mGAM-p7,False,B10-e003Coalescence-mGAM-p7,True,B10,False,7,mGAM,mGAM,AC/PP-AE,B10-AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM,B10-e003Coalescence-mGAM-p7,B10-e003Coalescence-mGAM-p7
112,B4-e003Coalescence-mBHI-p7,False,B4-e003Coalescence-mBHI-p7,True,B4,False,7,mBHI,mBHI,AC/PP-AE,B4-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI,B4-e003Coalescence-mBHI-p7,B4-e003Coalescence-mBHI-p7
113,A9-e003Coalescence-mBHI-p7,False,A9-e003Coalescence-mBHI-p7,True,A9,False,7,mBHI,mGAM,AA-AC/PP,A9-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM,A9-e003Coalescence-mBHI-p7,A9-e003Coalescence-mBHI-p7
114,D11-e003Coalescence-mGAM-p7,False,D11-e003Coalescence-mGAM-p7,True,D11,False,7,mGAM,mGAM,AF-AF,D11-AF-AF-mGAM-mGAM,AF-AF-mGAM-mGAM,AF-AF-mGAM,D11-e003Coalescence-mGAM-p7,D11-e003Coalescence-mGAM-p7
115,D5-e003Coalescence-mGAM-p3,False,D5-e003Coalescence-mGAM-p3,True,D5,False,3,mGAM,mBHI,AF-AF,D5-AF-AF-mBHI-mGAM,AF-AF-mBHI-mGAM,AF-AF-mBHI,D5-e003Coalescence-mGAM-p3,D5-e003Coalescence-mGAM-p3
116,A10-e003Coalescence-mGAM-p7,False,A10-e003Coalescence-mGAM-p7,True,A10,False,7,mGAM,mGAM,AA-AE,A10-AA-AE-mGAM-mGAM,AA-AE-mGAM-mGAM,AA-AE-mGAM,A10-e003Coalescence-mGAM-p7,A10-e003Coalescence-mGAM-p7
117,D9-e003Coalescence-mBHI-p5,False,D9-e003Coalescence-mBHI-p5,True,D9,False,5,mBHI,mGAM,AC/PP-AF,D9-AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM-mBHI,AF-AC/PP-mGAM,D9-e003Coalescence-mBHI-p5,D9-e003Coalescence-mBHI-p5
118,D4-e003Coalescence-mGAM-p3,False,D4-e003Coalescence-mGAM-p3,True,D4,False,3,mGAM,mBHI,AE-AF,D4-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AF-AE-mBHI,D4-e003Coalescence-mGAM-p3,D4-e003Coalescence-mGAM-p3
119,B9-e003Coalescence-mBHI-p7,False,B9-e003Coalescence-mBHI-p7,True,B9,False,7,mBHI,mGAM,AC/PP-AC/PP,B9-AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM,B9-e003Coalescence-mBHI-p7,B9-e003Coalescence-mBHI-p7
120,A2-e003Coalescence-mGAM-p5,False,A2-e003Coalescence-mGAM-p5,True,A2,False,5,mGAM,mBHI,AA-AA,A2-AA-AA-mBHI-mGAM,AA-AA-mBHI-mGAM,AA-AA-mBHI,A2-e003Coalescence-mGAM-p5,A2-e003Coalescence-mGAM-p5
121,C3-e003Coalescence-mGAM-p7,False,C3-e003Coalescence-mGAM-p7,True,C3,False,7,mGAM,mBHI,AC/PP-AE,C3-AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI-mGAM,AE-AC/PP-mBHI,C3-e003Coalescence-mGAM-p7,C3-e003Coalescence-mGAM-p7
122,A3-e003Coalescence-mGAM-p5,False,A3-e003Coalescence-mGAM-p5,True,A3,False,5,mGAM,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI,A3-e003Coalescence-mGAM-p5,A3-e003Coalescence-mGAM-p5
123,B3-e003Coalescence-mGAM-p5,False,B3-e003Coalescence-mGAM-p5,True,B3,False,5,mGAM,mBHI,AC/PP-AC/PP,B3-AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI-mGAM,AC/PP-AC/PP-mBHI,B3-e003Coalescence-mGAM-p5,B3-e003Coalescence-mGAM-p5
124,D9-e003Coalescence-mBHI-p7,False,D9-e003Coalescence-mBHI-p7,True,D9,False,7,mBHI,mGAM,AC/PP-AF,D9-AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM-mBHI,AF-AC/PP-mGAM,D9-e003Coalescence-mBHI-p7,D9-e003Coalescence-mBHI-p7
125,C5-e003Coalescence-mBHI-p7,False,C5-e003Coalescence-mBHI-p7,True,C5,False,7,mBHI,mBHI,AE-AF,C5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-p7,C5-e003Coalescence-mBHI-p7
126,C11-e003Coalescence-mGAM-p7,False,C11-e003Coalescence-mGAM-p7,True,C11,False,7,mGAM,mGAM,AE-AF,C11-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AE-AF-mGAM,C11-e003Coalescence-mGAM-p7,C11-e003Coalescence-mGAM-p7
127,D10-e003Coalescence-mBHI-p7,False,D10-e003Coalescence-mBHI-p7,True,D10,False,7,mBHI,mGAM,AE-AF,D10-AE-AF-mGAM-mBHI,AE-AF-mGAM-mBHI,AF-AE-mGAM,D10-e003Coalescence-mBHI-p7,D10-e003Coalescence-mBHI-p7
128,C9-e003Coalescence-mBHI-p7,False,C9-e003Coalescence-mBHI-p7,True,C9,False,7,mBHI,mGAM,AC/PP-AE,C9-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AE-AC/PP-mGAM,C9-e003Coalescence-mBHI-p7,C9-e003Coalescence-mBHI-p7
129,A2-e003Coalescence-mBHI-p3,False,A2-e003Coalescence-mBHI-p3,True,A2,False,3,mBHI,mBHI,AA-AA,A2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI,A2-e003Coalescence-mBHI-p3,A2-e003Coalescence-mBHI-p3
130,B8-e003Coalescence-mGAM-p5,False,B8-e003Coalescence-mGAM-p5,True,B8,False,5,mGAM,mGAM,AA-AC/PP,B8-AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM-mGAM,AC/PP-AA-mGAM,B8-e003Coalescence-mGAM-p5,B8-e003Coalescence-mGAM-p5
131,B3-e003Coalescence-mBHI-p5,False,B3-e003Coalescence-mBHI-p5,True,B3,False,5,mBHI,mBHI,AC/PP-AC/PP,B3-AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI,B3-e003Coalescence-mBHI-p5,B3-e003Coalescence-mBHI-p5
132,A8-e003Coalescence-mGAM-p7,False,A8-e003Coalescence-mGAM-p7,True,A8,False,7,mGAM,mGAM,AA-AA,A8-AA-AA-mGAM-mGAM,AA-AA-mGAM-mGAM,AA-AA-mGAM,A8-e003Coalescence-mGAM-p7,A8-e003Coalescence-mGAM-p7
133,A11-e003Coalescence-mBHI-p5,False,A11-e003Coalescence-mBHI-p5,True,A11,False,5,mBHI,mGAM,AA-AF,A11-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AA-AF-mGAM,A11-e003Coalescence-mBHI-p5,A11-e003Coalescence-mBHI-p5
134,C10-e003Coalescence-mGAM-p5,False,C10-e003Coalescence-mGAM-p5,True,C10,False,5,mGAM,mGAM,AE-AE,C10-AE-AE-mGAM-mGAM,AE-AE-mGAM-mGAM,AE-AE-mGAM,C10-e003Coalescence-mGAM-p5,C10-e003Coalescence-mGAM-p5
135,A3-e003Coalescence-mBHI-p3,False,A3-e003Coalescence-mBHI-p3,True,A3,False,3,mBHI,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-p3,A3-e003Coalescence-mBHI-p3
136,A2-e003Coalescence-mBHI-p5,False,A2-e003Coalescence-mBHI-p5,True,A2,False,5,mBHI,mBHI,AA-AA,A2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI,A2-e003Coalescence-mBHI-p5,A2-e003Coalescence-mBHI-p5
137,C10-e003Coalescence-mBHI-p5,False,C10-e003Coalescence-mBHI-p5,True,C10,False,5,mBHI,mGAM,AE-AE,C10-AE-AE-mGAM-mBHI,AE-AE-mGAM-mBHI,AE-AE-mGAM,C10-e003Coalescence-mBHI-p5,C10-e003Coalescence-mBHI-p5
138,B9-e003Coalescence-mBHI-p3,False,B9-e003Coalescence-mBHI-p3,True,B9,False,3,mBHI,mGAM,AC/PP-AC/PP,B9-AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM,B9-e003Coalescence-mBHI-p3,B9-e003Coalescence-mBHI-p3
139,B5-e003Coalescence-mGAM-p3,False,B5-e003Coalescence-mGAM-p3,True,B5,False,3,mGAM,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-mGAM-p3,B5-e003Coalescence-mGAM-p3
140,A3-e003Coalescence-mBHI-p5,False,A3-e003Coalescence-mBHI-p5,True,A3,False,5,mBHI,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-p5,A3-e003Coalescence-mBHI-p5
141,A5-e003Coalescence-mBHI-p3,False,A5-e003Coalescence-mBHI-p3,True,A5,False,3,mBHI,mBHI,AA-AF,A5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI,A5-e003Coalescence-mBHI-p3,A5-e003Coalescence-mBHI-p3
142,A4-e003Coalescence-mBHI-p3,False,A4-e003Coalescence-mBHI-p3,True,A4,False,3,mBHI,mBHI,AA-AE,A4-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AA-AE-mBHI,A4-e003Coalescence-mBHI-p3,A4-e003Coalescence-mBHI-p3
143,C9-e003Coalescence-mGAM-p5,False,C9-e003Coalescence-mGAM-p5,True,C9,False,5,mGAM,mGAM,AC/PP-AE,C9-AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM-mGAM,AE-AC/PP-mGAM,C9-e003Coalescence-mGAM-p5,C9-e003Coalescence-mGAM-p5
144,C2-e003Coalescence-mGAM-p5,False,C2-e003Coalescence-mGAM-p5,True,C2,False,5,mGAM,mBHI,AA-AE,C2-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AE-AA-mBHI,C2-e003Coalescence-mGAM-p5,C2-e003Coalescence-mGAM-p5
145,C8-e003Coalescence-mBHI-p5,False,C8-e003Coalescence-mBHI-p5,True,C8,False,5,mBHI,mGAM,AA-AE,C8-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AE-AA-mGAM,C8-e003Coalescence-mBHI-p5,C8-e003Coalescence-mBHI-p5
146,B8-e003Coalescence-mGAM-p7,False,B8-e003Coalescence-mGAM-p7,True,B8,False,7,mGAM,mGAM,AA-AC/PP,B8-AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM-mGAM,AC/PP-AA-mGAM,B8-e003Coalescence-mGAM-p7,B8-e003Coalescence-mGAM-p7
147,B8-e003Coalescence-mBHI-p7,False,B8-e003Coalescence-mBHI-p7,True,B8,False,7,mBHI,mGAM,AA-AC/PP,B8-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AC/PP-AA-mGAM,B8-e003Coalescence-mBHI-p7,B8-e003Coalescence-mBHI-p7
148,B11-e003Coalescence-mBHI-p3,False,B11-e003Coalescence-mBHI-p3,True,B11,False,3,mBHI,mGAM,AC/PP-AF,B11-AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM-mBHI,AC/PP-AF-mGAM,B11-e003Coalescence-mBHI-p3,B11-e003Coalescence-mBHI-p3
149,C4-e003Coalescence-mBHI-p5,False,C4-e003Coalescence-mBHI-p5,True,C4,False,5,mBHI,mBHI,AE-AE,C4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-p5,C4-e003Coalescence-mBHI-p5
150,A11-e003Coalescence-mBHI-p3,False,A11-e003Coalescence-mBHI-p3,True,A11,False,3,mBHI,mGAM,AA-AF,A11-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AA-AF-mGAM,A11-e003Coalescence-mBHI-p3,A11-e003Coalescence-mBHI-p3
151,B2-e003Coalescence-mBHI-p7,False,B2-e003Coalescence-mBHI-p7,True,B2,False,7,mBHI,mBHI,AA-AC/PP,B2-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AC/PP-AA-mBHI,B2-e003Coalescence-mBHI-p7,B2-e003Coalescence-mBHI-p7
152,B4-e003Coalescence-mBHI-p3,False,B4-e003Coalescence-mBHI-p3,True,B4,False,3,mBHI,mBHI,AC/PP-AE,B4-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI,B4-e003Coalescence-mBHI-p3,B4-e003Coalescence-mBHI-p3
153,C2-e003Coalescence-mBHI-p7,False,C2-e003Coalescence-mBHI-p7,True,C2,False,7,mBHI,mBHI,AA-AE,C2-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AE-AA-mBHI,C2-e003Coalescence-mBHI-p7,C2-e003Coalescence-mBHI-p7
154,A9-e003Coalescence-mGAM-p5,False,A9-e003Coalescence-mGAM-p5,True,A9,False,5,mGAM,mGAM,AA-AC/PP,A9-AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM,A9-e003Coalescence-mGAM-p5,A9-e003Coalescence-mGAM-p5
155,C10-e003Coalescence-mGAM-p7,False,C10-e003Coalescence-mGAM-p7,True,C10,False,7,mGAM,mGAM,AE-AE,C10-AE-AE-mGAM-mGAM,AE-AE-mGAM-mGAM,AE-AE-mGAM,C10-e003Coalescence-mGAM-p7,C10-e003Coalescence-mGAM-p7
156,A11-e003Coalescence-mGAM-p3,False,A11-e003Coalescence-mGAM-p3,True,A11,False,3,mGAM,mGAM,AA-AF,A11-AA-AF-mGAM-mGAM,AA-AF-mGAM-mGAM,AA-AF-mGAM,A11-e003Coalescence-mGAM-p3,A11-e003Coalescence-mGAM-p3
157,C10-e003Coalescence-mBHI-p3,False,C10-e003Coalescence-mBHI-p3,True,C10,False,3,mBHI,mGAM,AE-AE,C10-AE-AE-mGAM-mBHI,AE-AE-mGAM-mBHI,AE-AE-mGAM,C10-e003Coalescence-mBHI-p3,C10-e003Coalescence-mBHI-p3
158,D2-e003Coalescence-mBHI-p3,False,D2-e003Coalescence-mBHI-p3,True,D2,False,3,mBHI,mBHI,AA-AF,D2-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AF-AA-mBHI,D2-e003Coalescence-mBHI-p3,D2-e003Coalescence-mBHI-p3
159,H5-e003Coalescence-mBHI-p5,True,H5-e003Coalescence-mBHI-p5_S40,True,H5,False,5,mBHI,mBHI,AF-AF,H5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI,H5-e003Coalescence-mBHI-p5_S40,H5-e003Coalescence-mBHI-p5
160,E2-e003Coalescence-mGAM-p7,True,E2-e003Coalescence-mGAM-p7_S145,True,E2,False,7,mGAM,mBHI,AA-AA,E2-AA-AA-mBHI-mGAM,AA-AA-mBHI-mGAM,AA-AA-mBHI,E2-e003Coalescence-mGAM-p7_S145,E2-e003Coalescence-mGAM-p7
161,G5-e003Coalescence-mBHI-p7,True,G5-e003Coalescence-mBHI-p7_S124,True,G5,False,7,mBHI,mBHI,AE-AF,G5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI,G5-e003Coalescence-mBHI-p7_S124,G5-e003Coalescence-mBHI-p7
162,H11-e003Coalescence-mGAM-p7,True,H111-e003Coalescence-mGAM-p7_S188,True,H11,False,7,mGAM,mGAM,AF-AF,H11-AF-AF-mGAM-mGAM,AF-AF-mGAM-mGAM,AF-AF-mGAM,H111-e003Coalescence-mGAM-p7_S188,H11-e003Coalescence-mGAM-p7
163,H4-e003Coalescence-mGAM-p7,True,H4-e003Coalescence-mGAM-p7_S183,True,H4,False,7,mGAM,mBHI,AE-AF,H4-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AF-AE-mBHI,H4-e003Coalescence-mGAM-p7_S183,H4-e003Coalescence-mGAM-p7
164,F5-e003Coalescence-mGAM-p5,True,F5-e003Coalescence-mGAM-p5_S64,True,F5,False,5,mGAM,mBHI,AC/PP-AF,F5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI,F5-e003Coalescence-mGAM-p5_S64,F5-e003Coalescence-mGAM-p5
165,F5-e003Coalescence-mGAM-p7,True,F5-e003Coalescence-mGAM-p7_S160,True,F5,False,7,mGAM,mBHI,AC/PP-AF,F5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI,F5-e003Coalescence-mGAM-p7_S160,F5-e003Coalescence-mGAM-p7
166,F8-e003Coalescence-mBHI-p3,True,F8-e003Coalescence-mBHI-p3_S117,True,F8,False,3,mBHI,mGAM,AA-AC/PP,F8-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AC/PP-AA-mGAM,F8-e003Coalescence-mBHI-p3_S117,F8-e003Coalescence-mBHI-p3
167,H3-e003Coalescence-mBHI-p3,True,H3-e003Coalescence-mBHI-p3_S46,True,H3,False,3,mBHI,mBHI,AC/PP-AF,H3-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AF-AC/PP-mBHI,H3-e003Coalescence-mBHI-p3_S46,H3-e003Coalescence-mBHI-p3
168,H2-e003Coalescence-mBHI-p7,True,H2-e003Coalescence-mBHI-p7_S133,True,H2,False,7,mBHI,mBHI,AA-AF,H2-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AF-AA-mBHI,H2-e003Coalescence-mBHI-p7_S133,H2-e003Coalescence-mBHI-p7
169,E3-e003Coalescence-mBHI-p7,True,E3-e003Coalescence-mBHI-p7_S98,True,E3,False,7,mBHI,mBHI,AA-AC/PP,E3-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI,E3-e003Coalescence-mBHI-p7_S98,E3-e003Coalescence-mBHI-p7
170,E5-e003Coalescence-mBHI-p3,True,E5-e003Coalescence-mBHI-p3_S12,True,E5,False,3,mBHI,mBHI,AA-AF,E5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI,E5-e003Coalescence-mBHI-p3_S12,E5-e003Coalescence-mBHI-p3
171,F10-e003Coalescence-mGAM-p7,True,F100-e003Coalescence-mGAM-p7_S163,True,F10,False,7,mGAM,mGAM,AC/PP-AE,F10-AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM,F100-e003Coalescence-mGAM-p7_S163,F10-e003Coalescence-mGAM-p7
172,E11-e003Coalescence-mGAM-p7,True,E111-e003Coalescence-mGAM-p7_S152,True,E11,False,7,mGAM,mGAM,AA-AF,E11-AA-AF-mGAM-mGAM,AA-AF-mGAM-mGAM,AA-AF-mGAM,E111-e003Coalescence-mGAM-p7_S152,E11-e003Coalescence-mGAM-p7
173,F9-e003Coalescence-mBHI-p5,True,F9-e003Coalescence-mBHI-p5_S18,True,F9,False,5,mBHI,mGAM,AC/PP-AC/PP,F9-AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM-mBHI,AC/PP-AC/PP-mGAM,F9-e003Coalescence-mBHI-p5_S18,F9-e003Coalescence-mBHI-p5
