,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn,sample2,sample_name2
11,B4-e003Coalescence-mBHI-p5,False,B4-e003Coalescence-mBHI-p5,True,B4,False,5,mBHI,mBHI,AC/PP-AE,B4-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI,B4-e003Coalescence-mBHI-p5,B4-e003Coalescence-mBHI-p5
12,A3-e003Coalescence-mBHI-p7,False,A3-e003Coalescence-mBHI-p7,True,A3,False,7,mBHI,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-p7,A3-e003Coalescence-mBHI-p7
13,B9-e003Coalescence-mGAM-p5,False,B9-e003Coalescence-mGAM-p5,True,B9,False,5,mGAM,mGAM,AC/PP-AC/PP,B9-AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM,B9-e003Coalescence-mGAM-p5,B9-e003Coalescence-mGAM-p5
14,B3-e003Coalescence-mBHI-p3,False,B3-e003Coalescence-mBHI-p3,True,B3,False,3,mBHI,mBHI,AC/PP-AC/PP,B3-AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI,B3-e003Coalescence-mBHI-p3,B3-e003Coalescence-mBHI-p3
15,D4-e003Coalescence-mBHI-p5,False,D4-e003Coalescence-mBHI-p5,True,D4,False,5,mBHI,mBHI,AE-AF,D4-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AF-AE-mBHI,D4-e003Coalescence-mBHI-p5,D4-e003Coalescence-mBHI-p5
16,C2-e003Coalescence-mBHI-p5,False,C2-e003Coalescence-mBHI-p5,True,C2,False,5,mBHI,mBHI,AA-AE,C2-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AE-AA-mBHI,C2-e003Coalescence-mBHI-p5,C2-e003Coalescence-mBHI-p5
17,D4-e003Coalescence-mBHI-p3,False,D4-e003Coalescence-mBHI-p3,True,D4,False,3,mBHI,mBHI,AE-AF,D4-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AF-AE-mBHI,D4-e003Coalescence-mBHI-p3,D4-e003Coalescence-mBHI-p3
18,B2-e003Coalescence-mBHI-p5,False,B2-e003Coalescence-mBHI-p5,True,B2,False,5,mBHI,mBHI,AA-AC/PP,B2-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AC/PP-AA-mBHI,B2-e003Coalescence-mBHI-p5,B2-e003Coalescence-mBHI-p5
19,C4-e003Coalescence-mGAM-p7,False,C4-e003Coalescence-mGAM-p7,True,C4,False,7,mGAM,mBHI,AE-AE,C4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI,C4-e003Coalescence-mGAM-p7,C4-e003Coalescence-mGAM-p7
20,B2-e003Coalescence-mGAM-p7,False,B2-e003Coalescence-mGAM-p7,True,B2,False,7,mGAM,mBHI,AA-AC/PP,B2-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AC/PP-AA-mBHI,B2-e003Coalescence-mGAM-p7,B2-e003Coalescence-mGAM-p7
21,C3-e003Coalescence-mGAM-p3,False,C3-e003Coalescence-mGAM-p3,True,C3,False,3,mGAM,mBHI,AC/PP-AE,C3-AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI-mGAM,AE-AC/PP-mBHI,C3-e003Coalescence-mGAM-p3,C3-e003Coalescence-mGAM-p3
22,C3-e003Coalescence-mBHI-p7,False,C3-e003Coalescence-mBHI-p7,True,C3,False,7,mBHI,mBHI,AC/PP-AE,C3-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AE-AC/PP-mBHI,C3-e003Coalescence-mBHI-p7,C3-e003Coalescence-mBHI-p7
23,D11-e003Coalescence-mGAM-p5,False,D11-e003Coalescence-mGAM-p5,True,D11,False,5,mGAM,mGAM,AF-AF,D11-AF-AF-mGAM-mGAM,AF-AF-mGAM-mGAM,AF-AF-mGAM,D11-e003Coalescence-mGAM-p5,D11-e003Coalescence-mGAM-p5
24,A11-e003Coalescence-mGAM-p7,False,A11-e003Coalescence-mGAM-p7,True,A11,False,7,mGAM,mGAM,AA-AF,A11-AA-AF-mGAM-mGAM,AA-AF-mGAM-mGAM,AA-AF-mGAM,A11-e003Coalescence-mGAM-p7,A11-e003Coalescence-mGAM-p7
25,A3-e003Coalescence-mGAM-p3,False,A3-e003Coalescence-mGAM-p3,True,A3,False,3,mGAM,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI,A3-e003Coalescence-mGAM-p3,A3-e003Coalescence-mGAM-p3
26,B8-e003Coalescence-mBHI-p5,False,B8-e003Coalescence-mBHI-p5,True,B8,False,5,mBHI,mGAM,AA-AC/PP,B8-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AC/PP-AA-mGAM,B8-e003Coalescence-mBHI-p5,B8-e003Coalescence-mBHI-p5
27,C2-e003Coalescence-mGAM-p7,False,C2-e003Coalescence-mGAM-p7,True,C2,False,7,mGAM,mBHI,AA-AE,C2-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AE-AA-mBHI,C2-e003Coalescence-mGAM-p7,C2-e003Coalescence-mGAM-p7
28,D3-e003Coalescence-mBHI-p5,False,D3-e003Coalescence-mBHI-p5,True,D3,False,5,mBHI,mBHI,AC/PP-AF,D3-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AF-AC/PP-mBHI,D3-e003Coalescence-mBHI-p5,D3-e003Coalescence-mBHI-p5
29,B11-e003Coalescence-mGAM-p3,False,B11-e003Coalescence-mGAM-p3,True,B11,False,3,mGAM,mGAM,AC/PP-AF,B11-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM,B11-e003Coalescence-mGAM-p3,B11-e003Coalescence-mGAM-p3
30,D2-e003Coalescence-mBHI-p5,False,D2-e003Coalescence-mBHI-p5,True,D2,False,5,mBHI,mBHI,AA-AF,D2-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AF-AA-mBHI,D2-e003Coalescence-mBHI-p5,D2-e003Coalescence-mBHI-p5
31,C8-e003Coalescence-mGAM-p5,False,C8-e003Coalescence-mGAM-p5,True,C8,False,5,mGAM,mGAM,AA-AE,C8-AA-AE-mGAM-mGAM,AA-AE-mGAM-mGAM,AE-AA-mGAM,C8-e003Coalescence-mGAM-p5,C8-e003Coalescence-mGAM-p5
32,D5-e003Coalescence-mGAM-p5,False,D5-e003Coalescence-mGAM-p5,True,D5,False,5,mGAM,mBHI,AF-AF,D5-AF-AF-mBHI-mGAM,AF-AF-mBHI-mGAM,AF-AF-mBHI,D5-e003Coalescence-mGAM-p5,D5-e003Coalescence-mGAM-p5
33,B5-e003Coalescence-mBHI-p5,False,B5-e003Coalescence-mBHI-p5,True,B5,False,5,mBHI,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-mBHI-p5,B5-e003Coalescence-mBHI-p5
34,D5-e003Coalescence-mBHI-p7,False,D5-e003Coalescence-mBHI-p7,True,D5,False,7,mBHI,mBHI,AF-AF,D5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI,D5-e003Coalescence-mBHI-p7,D5-e003Coalescence-mBHI-p7
35,C9-e003Coalescence-mBHI-p5,False,C9-e003Coalescence-mBHI-p5,True,C9,False,5,mBHI,mGAM,AC/PP-AE,C9-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AE-AC/PP-mGAM,C9-e003Coalescence-mBHI-p5,C9-e003Coalescence-mBHI-p5
