,sample 2,fixed diffs,sample 1
0,A11-e003Coalescence-mBHI-p5,2151,A2-e003Coalescence-Inoculumn-mBHI
1,A11-e003Coalescence-mGAM-p7,3313,A2-e003Coalescence-Inoculumn-mBHI
2,A2-e003Coalescence-Inoculumn-mBHI,0,A2-e003Coalescence-Inoculumn-mBHI
3,A2-e003Coalescence-Inoculumn-mGAM,4126,A2-e003Coalescence-Inoculumn-mBHI
4,A2-e003Coalescence-mBHI-inoculumn-redo,0,A2-e003Coalescence-Inoculumn-mBHI
5,A2-e003Coalescence-mBHI-p5,0,A2-e003Coalescence-Inoculumn-mBHI
6,A2-e003Coalescence-mGAM-p7,0,A2-e003Coalescence-Inoculumn-mBHI
7,A3-e003Coalescence-Inoculumn-mGAM,2241,A2-e003Coalescence-Inoculumn-mBHI
8,A4-e003Coalescence-Inoculumn-mGAM,4005,A2-e003Coalescence-Inoculumn-mBHI
9,A5-e003Coalescence-Inoculumn-mGAM,4438,A2-e003Coalescence-Inoculumn-mBHI
10,A5-e003Coalescence-mBHI-inoculumn-redo,787,A2-e003Coalescence-Inoculumn-mBHI
11,A5-e003Coalescence-mBHI-p7,2993,A2-e003Coalescence-Inoculumn-mBHI
12,A5-e003Coalescence-mGAM-p3,195,A2-e003Coalescence-Inoculumn-mBHI
13,A8-e003Coalescence-mBHI-p3,1234,A2-e003Coalescence-Inoculumn-mBHI
14,A8-e003Coalescence-mBHI-p7,2555,A2-e003Coalescence-Inoculumn-mBHI
15,B2-e003Coalescence-Inoculumn-mGAM,3474,A2-e003Coalescence-Inoculumn-mBHI
16,B2-e003Coalescence-mGAM-p7,5367,A2-e003Coalescence-Inoculumn-mBHI
17,B3-e003Coalescence-Inoculumn-mBHI,5159,A2-e003Coalescence-Inoculumn-mBHI
18,B3-e003Coalescence-mBHI-p3,4955,A2-e003Coalescence-Inoculumn-mBHI
19,B3-e003Coalescence-mGAM-p5,5623,A2-e003Coalescence-Inoculumn-mBHI
20,B4-e003Coalescence-Inoculumn-mBHI,5589,A2-e003Coalescence-Inoculumn-mBHI
21,B5-e003Coalescence-Inoculumn-mBHI,4096,A2-e003Coalescence-Inoculumn-mBHI
22,B5-e003Coalescence-Inoculumn-mGAM,29390,A2-e003Coalescence-Inoculumn-mBHI
23,B5-e003Coalescence-mGAM-p3,4431,A2-e003Coalescence-Inoculumn-mBHI
24,B8-e003Coalescence-mGAM-p5,24326,A2-e003Coalescence-Inoculumn-mBHI
25,C2-e003Coalescence-Inoculumn-mGAM,3420,A2-e003Coalescence-Inoculumn-mBHI
26,C2-e003Coalescence-mBHI-p7,5,A2-e003Coalescence-Inoculumn-mBHI
27,C2-e003Coalescence-mGAM-p5,12,A2-e003Coalescence-Inoculumn-mBHI
28,C2-e003Coalescence-mGAM-p7,11,A2-e003Coalescence-Inoculumn-mBHI
29,C3-e003Coalescence-mBHI-inoculumn-redo,5463,A2-e003Coalescence-Inoculumn-mBHI
30,C3-e003Coalescence-mBHI-p7,33694,A2-e003Coalescence-Inoculumn-mBHI
31,C3-e003Coalescence-mGAM-p3,37866,A2-e003Coalescence-Inoculumn-mBHI
32,C5-e003Coalescence-Inoculumn-mGAM,34034,A2-e003Coalescence-Inoculumn-mBHI
33,C5-e003Coalescence-mBHI-inoculumn-redo,11630,A2-e003Coalescence-Inoculumn-mBHI
34,C5-e003Coalescence-mGAM-p3,3488,A2-e003Coalescence-Inoculumn-mBHI
35,C5-e003Coalescence-mGAM-p7,2789,A2-e003Coalescence-Inoculumn-mBHI
36,C9-e003Coalescence-mBHI-p3,35,A2-e003Coalescence-Inoculumn-mBHI
37,D11-e003Coalescence-mBHI-p5,25366,A2-e003Coalescence-Inoculumn-mBHI
38,D2-e003Coalescence-Inoculumn-mGAM,4741,A2-e003Coalescence-Inoculumn-mBHI
39,D3-e003Coalescence-Inoculumn-mBHI,4036,A2-e003Coalescence-Inoculumn-mBHI
40,D3-e003Coalescence-Inoculumn-mGAM,38788,A2-e003Coalescence-Inoculumn-mBHI
41,D4-e003Coalescence-Inoculumn-mBHI,15732,A2-e003Coalescence-Inoculumn-mBHI
42,D4-e003Coalescence-mGAM-p3,3128,A2-e003Coalescence-Inoculumn-mBHI
43,D4-e003Coalescence-mGAM-p7,2924,A2-e003Coalescence-Inoculumn-mBHI
44,D5-e003Coalescence-Inoculumn-mBHI,7936,A2-e003Coalescence-Inoculumn-mBHI
45,D5-e003Coalescence-Inoculumn-mGAM,39835,A2-e003Coalescence-Inoculumn-mBHI
46,D5-e003Coalescence-mGAM-p3,3033,A2-e003Coalescence-Inoculumn-mBHI
47,D8-e003Coalescence-mGAM-p5,38,A2-e003Coalescence-Inoculumn-mBHI
0,A11-e003Coalescence-mBHI-p5,4639,A2-e003Coalescence-Inoculumn-mGAM
1,A11-e003Coalescence-mGAM-p7,2,A2-e003Coalescence-Inoculumn-mGAM
2,A2-e003Coalescence-Inoculumn-mBHI,4124,A2-e003Coalescence-Inoculumn-mGAM
3,A2-e003Coalescence-Inoculumn-mGAM,0,A2-e003Coalescence-Inoculumn-mGAM
4,A2-e003Coalescence-mBHI-inoculumn-redo,5581,A2-e003Coalescence-Inoculumn-mGAM
5,A2-e003Coalescence-mBHI-p5,3816,A2-e003Coalescence-Inoculumn-mGAM
6,A2-e003Coalescence-mGAM-p7,5935,A2-e003Coalescence-Inoculumn-mGAM
7,A3-e003Coalescence-Inoculumn-mGAM,255,A2-e003Coalescence-Inoculumn-mGAM
8,A4-e003Coalescence-Inoculumn-mGAM,5,A2-e003Coalescence-Inoculumn-mGAM
9,A5-e003Coalescence-Inoculumn-mGAM,2933,A2-e003Coalescence-Inoculumn-mGAM
10,A5-e003Coalescence-mBHI-inoculumn-redo,3463,A2-e003Coalescence-Inoculumn-mGAM
11,A5-e003Coalescence-mBHI-p7,4472,A2-e003Coalescence-Inoculumn-mGAM
12,A5-e003Coalescence-mGAM-p3,3699,A2-e003Coalescence-Inoculumn-mGAM
13,A8-e003Coalescence-mBHI-p3,201,A2-e003Coalescence-Inoculumn-mGAM
14,A8-e003Coalescence-mBHI-p7,6,A2-e003Coalescence-Inoculumn-mGAM
15,B2-e003Coalescence-Inoculumn-mGAM,273,A2-e003Coalescence-Inoculumn-mGAM
16,B2-e003Coalescence-mGAM-p7,7600,A2-e003Coalescence-Inoculumn-mGAM
17,B3-e003Coalescence-Inoculumn-mBHI,7450,A2-e003Coalescence-Inoculumn-mGAM
18,B3-e003Coalescence-mBHI-p3,7035,A2-e003Coalescence-Inoculumn-mGAM
19,B3-e003Coalescence-mGAM-p5,8715,A2-e003Coalescence-Inoculumn-mGAM
20,B4-e003Coalescence-Inoculumn-mBHI,8684,A2-e003Coalescence-Inoculumn-mGAM
21,B5-e003Coalescence-Inoculumn-mBHI,6320,A2-e003Coalescence-Inoculumn-mGAM
22,B5-e003Coalescence-Inoculumn-mGAM,46342,A2-e003Coalescence-Inoculumn-mGAM
23,B5-e003Coalescence-mGAM-p3,6446,A2-e003Coalescence-Inoculumn-mGAM
24,B8-e003Coalescence-mGAM-p5,38895,A2-e003Coalescence-Inoculumn-mGAM
25,C2-e003Coalescence-Inoculumn-mGAM,28,A2-e003Coalescence-Inoculumn-mGAM
26,C2-e003Coalescence-mBHI-p7,6265,A2-e003Coalescence-Inoculumn-mGAM
27,C2-e003Coalescence-mGAM-p5,3568,A2-e003Coalescence-Inoculumn-mGAM
28,C2-e003Coalescence-mGAM-p7,6281,A2-e003Coalescence-Inoculumn-mGAM
29,C3-e003Coalescence-mBHI-inoculumn-redo,8502,A2-e003Coalescence-Inoculumn-mGAM
30,C3-e003Coalescence-mBHI-p7,53710,A2-e003Coalescence-Inoculumn-mGAM
31,C3-e003Coalescence-mGAM-p3,60561,A2-e003Coalescence-Inoculumn-mGAM
32,C5-e003Coalescence-Inoculumn-mGAM,54352,A2-e003Coalescence-Inoculumn-mGAM
33,C5-e003Coalescence-mBHI-inoculumn-redo,19301,A2-e003Coalescence-Inoculumn-mGAM
34,C5-e003Coalescence-mGAM-p3,4935,A2-e003Coalescence-Inoculumn-mGAM
35,C5-e003Coalescence-mGAM-p7,3609,A2-e003Coalescence-Inoculumn-mGAM
36,C9-e003Coalescence-mBHI-p3,6019,A2-e003Coalescence-Inoculumn-mGAM
37,D11-e003Coalescence-mBHI-p5,39440,A2-e003Coalescence-Inoculumn-mGAM
38,D2-e003Coalescence-Inoculumn-mGAM,3688,A2-e003Coalescence-Inoculumn-mGAM
39,D3-e003Coalescence-Inoculumn-mBHI,7054,A2-e003Coalescence-Inoculumn-mGAM
40,D3-e003Coalescence-Inoculumn-mGAM,61960,A2-e003Coalescence-Inoculumn-mGAM
41,D4-e003Coalescence-Inoculumn-mBHI,26231,A2-e003Coalescence-Inoculumn-mGAM
42,D4-e003Coalescence-mGAM-p3,4576,A2-e003Coalescence-Inoculumn-mGAM
43,D4-e003Coalescence-mGAM-p7,3827,A2-e003Coalescence-Inoculumn-mGAM
44,D5-e003Coalescence-Inoculumn-mBHI,13606,A2-e003Coalescence-Inoculumn-mGAM
45,D5-e003Coalescence-Inoculumn-mGAM,63558,A2-e003Coalescence-Inoculumn-mGAM
46,D5-e003Coalescence-mGAM-p3,4981,A2-e003Coalescence-Inoculumn-mGAM
47,D8-e003Coalescence-mGAM-p5,88,A2-e003Coalescence-Inoculumn-mGAM
0,A11-e003Coalescence-mBHI-p5,3276,A2-e003Coalescence-mBHI-inoculumn-redo
1,A11-e003Coalescence-mGAM-p7,4443,A2-e003Coalescence-mBHI-inoculumn-redo
2,A2-e003Coalescence-Inoculumn-mBHI,0,A2-e003Coalescence-mBHI-inoculumn-redo
3,A2-e003Coalescence-Inoculumn-mGAM,5584,A2-e003Coalescence-mBHI-inoculumn-redo
4,A2-e003Coalescence-mBHI-inoculumn-redo,0,A2-e003Coalescence-mBHI-inoculumn-redo
5,A2-e003Coalescence-mBHI-p5,0,A2-e003Coalescence-mBHI-inoculumn-redo
6,A2-e003Coalescence-mGAM-p7,0,A2-e003Coalescence-mBHI-inoculumn-redo
7,A3-e003Coalescence-Inoculumn-mGAM,3007,A2-e003Coalescence-mBHI-inoculumn-redo
