,sample,experiment,sub_experiment,comm,subject,media,passage
0,B10-e003Assembly-mGAM-p3,e003,e003Assembly,B10,AE,mGAM,3
1,B10-e003Assembly-mGAM-p5,e003,e003Assembly,B10,AE,mGAM,5
2,B11-e003Assembly-mGAM-p3,e003,e003Assembly,B11,AF,mGAM,3
3,B11-e003Assembly-mGAM-p5,e003,e003Assembly,B11,AF,mGAM,5
4,B2-e003Assembly-mBHI-p3,e003,e003Assembly,B2,AA,mBHI,3
5,B2-e003Assembly-mBHI-p5,e003,e003Assembly,B2,AA,mBHI,5
6,B3-e003Assembly-mBHI-p3,e003,e003Assembly,B3,AC/PP,mBHI,3
7,B3-e003Assembly-mBHI-p5,e003,e003Assembly,B3,AC/PP,mBHI,5
8,B4-e003Assembly-mBHI-p3,e003,e003Assembly,B4,AE,mBHI,3
9,B4-e003Assembly-mBHI-p5,e003,e003Assembly,B4,AE,mBHI,5
10,B5-e003Assembly-mBHI-p5,e003,e003Assembly,B5,AF,mBHI,5
11,B8-e003Assembly-mGAM-p3,e003,e003Assembly,B8,AA,mGAM,3
12,B8-e003Assembly-mGAM-p5,e003,e003Assembly,B8,AA,mGAM,5
13,B9-e003Assembly-mGAM-p5,e003,e003Assembly,B9,AC/PP,mGAM,5
14,C10-e003Assembly-mGAM-p3,e003,e003Assembly,C10,AE,mGAM,3
15,C11-e003Assembly-mGAM-p3,e003,e003Assembly,C11,AF,mGAM,3
16,C11-e003Assembly-mGAM-p5,e003,e003Assembly,C11,AF,mGAM,5
17,C2-e003Assembly-mBHI-p5,e003,e003Assembly,C2,AA,mBHI,5
18,C3-e003Assembly-mBHI-p5,e003,e003Assembly,C3,AC/PP,mBHI,5
19,C4-e003Assembly-mBHI-p3,e003,e003Assembly,C4,AE,mBHI,3
20,C4-e003Assembly-mBHI-p5,e003,e003Assembly,C4,AE,mBHI,5
21,C5-e003Assembly-mBHI-p3,e003,e003Assembly,C5,AF,mBHI,3
22,C5-e003Assembly-mBHI-p5,e003,e003Assembly,C5,AF,mBHI,5
23,C8-e003Assembly-mGAM-p3,e003,e003Assembly,C8,AA,mGAM,3
24,C8-e003Assembly-mGAM-p5,e003,e003Assembly,C8,AA,mGAM,5
25,C9-e003Assembly-mGAM-p5,e003,e003Assembly,C9,AC/PP,mGAM,5
26,D10-e003Assembly-mGAM-p3,e003,e003Assembly,D10,AE,mGAM,3
27,D10-e003Assembly-mGAM-p5,e003,e003Assembly,D10,AE,mGAM,5
28,D11-e003Assembly-mGAM-p3,e003,e003Assembly,D11,AF,mGAM,3
29,D11-e003Assembly-mGAM-p5,e003,e003Assembly,D11,AF,mGAM,5
30,D2-e003Assembly-mBHI-p3,e003,e003Assembly,D2,AA,mBHI,3
31,D2-e003Assembly-mBHI-p5,e003,e003Assembly,D2,AA,mBHI,5
32,D3-e003Assembly-mBHI-p3,e003,e003Assembly,D3,AC/PP,mBHI,3
33,D3-e003Assembly-mBHI-p5,e003,e003Assembly,D3,AC/PP,mBHI,5
34,D5-e003Assembly-mBHI-p5,e003,e003Assembly,D5,AF,mBHI,5
35,D8-e003Assembly-mGAM-p3,e003,e003Assembly,D8,AA,mGAM,3
36,D8-e003Assembly-mGAM-p5,e003,e003Assembly,D8,AA,mGAM,5
37,D9-e003Assembly-mGAM-p5,e003,e003Assembly,D9,AC/PP,mGAM,5
38,e003-inoculumn-fecal-AC,e003,inoculumn,AC,AC/PP,inoculumn,0
39,e003-inoculumn-fecal-AE,e003,inoculumn,AE,AE,inoculumn,0
40,e003-inoculumn-fecal-AF,e003,inoculumn,AF,AF,inoculumn,0
41,e003-inoculumn-fecal-inoculumn,e003,inoculumn,inoculumn,AA,inoculumn,0
