,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts
103,C11,C11-mGAM,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mGAM,C11-AE-AF-mGAM-mGAM,mGAM,AE-AF,3,C11-e003Coalescence-mGAM-p3,AE-AF-mGAM-mGAM,False,1
104,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,A10-e003Coalescence-mBHI-p7,AA-AE-mGAM-mBHI,False,1
105,C10,C10-mBHI,AE-AE-mGAM,C4-e003Coalescence-Inoculumn-mGAM,False,mBHI,C10-AE-AE-mGAM-mBHI,mGAM,AE-AE,7,C10-e003Coalescence-mBHI-p7,AE-AE-mGAM-mBHI,False,1
106,B9,B9-mBHI,AC/PP-AC/PP-mGAM,B3-e003Coalescence-Inoculumn-mGAM,False,mBHI,B9-AC/PP-AC/PP-mGAM-mBHI,mGAM,AC/PP-AC/PP,5,B9-e003Coalescence-mBHI-p5,AC/PP-AC/PP-mGAM-mBHI,False,1
107,B10,B10-mBHI,AC/PP-AE-mGAM,B4-e003Coalescence-Inoculumn-mGAM,False,mBHI,B10-AC/PP-AE-mGAM-mBHI,mGAM,AC/PP-AE,3,B10-e003Coalescence-mBHI-p3,AC/PP-AE-mGAM-mBHI,False,1
108,C11,C11-mBHI,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mBHI,C11-AE-AF-mGAM-mBHI,mGAM,AE-AF,5,C11-e003Coalescence-mBHI-p5,AE-AF-mGAM-mBHI,False,1
109,A2,A2-mGAM,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A2-AA-AA-mBHI-mGAM,mBHI,AA-AA,7,A2-e003Coalescence-mGAM-p7,AA-AA-mBHI-mGAM,False,1
110,D10,D10-mGAM,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,False,mGAM,D10-AE-AF-mGAM-mGAM,mGAM,AE-AF,3,D10-e003Coalescence-mGAM-p3,AE-AF-mGAM-mGAM,False,1
111,B10,B10-mGAM,AC/PP-AE-mGAM,B4-e003Coalescence-Inoculumn-mGAM,False,mGAM,B10-AC/PP-AE-mGAM-mGAM,mGAM,AC/PP-AE,7,B10-e003Coalescence-mGAM-p7,AC/PP-AE-mGAM-mGAM,False,1
112,B4,B4-mBHI,AC/PP-AE-mBHI,B4-e003Coalescence-Inoculumn-mBHI,False,mBHI,B4-AC/PP-AE-mBHI-mBHI,mBHI,AC/PP-AE,7,B4-e003Coalescence-mBHI-p7,AC/PP-AE-mBHI-mBHI,False,1
113,A9,A9-mBHI,AA-AC/PP-mGAM,A3-e003Coalescence-Inoculumn-mGAM,False,mBHI,A9-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,7,A9-e003Coalescence-mBHI-p7,AA-AC/PP-mGAM-mBHI,False,1
114,D11,D11-mGAM,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mGAM,D11-AF-AF-mGAM-mGAM,mGAM,AF-AF,7,D11-e003Coalescence-mGAM-p7,AF-AF-mGAM-mGAM,False,1
115,D5,D5-mGAM,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mGAM,D5-AF-AF-mBHI-mGAM,mBHI,AF-AF,3,D5-e003Coalescence-mGAM-p3,AF-AF-mBHI-mGAM,False,1
116,A10,A10-mGAM,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mGAM,A10-AA-AE-mGAM-mGAM,mGAM,AA-AE,7,A10-e003Coalescence-mGAM-p7,AA-AE-mGAM-mGAM,False,1
117,D9,D9-mBHI,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,False,mBHI,D9-AC/PP-AF-mGAM-mBHI,mGAM,AC/PP-AF,5,D9-e003Coalescence-mBHI-p5,AC/PP-AF-mGAM-mBHI,False,1
118,D4,D4-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mGAM,D4-AE-AF-mBHI-mGAM,mBHI,AE-AF,3,D4-e003Coalescence-mGAM-p3,AE-AF-mBHI-mGAM,False,1
119,B9,B9-mBHI,AC/PP-AC/PP-mGAM,B3-e003Coalescence-Inoculumn-mGAM,False,mBHI,B9-AC/PP-AC/PP-mGAM-mBHI,mGAM,AC/PP-AC/PP,7,B9-e003Coalescence-mBHI-p7,AC/PP-AC/PP-mGAM-mBHI,False,1
120,A2,A2-mGAM,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A2-AA-AA-mBHI-mGAM,mBHI,AA-AA,5,A2-e003Coalescence-mGAM-p5,AA-AA-mBHI-mGAM,False,1
121,C3,C3-mGAM,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C3-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,7,C3-e003Coalescence-mGAM-p7,AC/PP-AE-mBHI-mGAM,False,1
122,A3,A3-mGAM,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,A3-AA-AC/PP-mBHI-mGAM,mBHI,AA-AC/PP,5,A3-e003Coalescence-mGAM-p5,AA-AC/PP-mBHI-mGAM,False,1
123,B3,B3-mGAM,AC/PP-AC/PP-mBHI,B3-e003Coalescence-Inoculumn-mBHI,False,mGAM,B3-AC/PP-AC/PP-mBHI-mGAM,mBHI,AC/PP-AC/PP,5,B3-e003Coalescence-mGAM-p5,AC/PP-AC/PP-mBHI-mGAM,False,1
124,D9,D9-mBHI,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,False,mBHI,D9-AC/PP-AF-mGAM-mBHI,mGAM,AC/PP-AF,7,D9-e003Coalescence-mBHI-p7,AC/PP-AF-mGAM-mBHI,False,1
125,C5,C5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C5-AE-AF-mBHI-mBHI,mBHI,AE-AF,7,C5-e003Coalescence-mBHI-p7,AE-AF-mBHI-mBHI,False,1
126,C11,C11-mGAM,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mGAM,C11-AE-AF-mGAM-mGAM,mGAM,AE-AF,7,C11-e003Coalescence-mGAM-p7,AE-AF-mGAM-mGAM,False,1
127,D10,D10-mBHI,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,False,mBHI,D10-AE-AF-mGAM-mBHI,mGAM,AE-AF,7,D10-e003Coalescence-mBHI-p7,AE-AF-mGAM-mBHI,False,1
128,C9,C9-mBHI,AC/PP-AE-mGAM,C3-e003Coalescence-Inoculumn-mGAM,False,mBHI,C9-AC/PP-AE-mGAM-mBHI,mGAM,AC/PP-AE,7,C9-e003Coalescence-mBHI-p7,AC/PP-AE-mGAM-mBHI,False,1
129,A2,A2-mBHI,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,A2-AA-AA-mBHI-mBHI,mBHI,AA-AA,3,A2-e003Coalescence-mBHI-p3,AA-AA-mBHI-mBHI,False,1
130,B8,B8-mGAM,AA-AC/PP-mGAM,B2-e003Coalescence-Inoculumn-mGAM,False,mGAM,B8-AA-AC/PP-mGAM-mGAM,mGAM,AA-AC/PP,5,B8-e003Coalescence-mGAM-p5,AA-AC/PP-mGAM-mGAM,False,1
131,B3,B3-mBHI,AC/PP-AC/PP-mBHI,B3-e003Coalescence-Inoculumn-mBHI,False,mBHI,B3-AC/PP-AC/PP-mBHI-mBHI,mBHI,AC/PP-AC/PP,5,B3-e003Coalescence-mBHI-p5,AC/PP-AC/PP-mBHI-mBHI,False,1
132,A8,A8-mGAM,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,False,mGAM,A8-AA-AA-mGAM-mGAM,mGAM,AA-AA,7,A8-e003Coalescence-mGAM-p7,AA-AA-mGAM-mGAM,False,1
133,A11,A11-mBHI,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,False,mBHI,A11-AA-AF-mGAM-mBHI,mGAM,AA-AF,5,A11-e003Coalescence-mBHI-p5,AA-AF-mGAM-mBHI,False,1
134,C10,C10-mGAM,AE-AE-mGAM,C4-e003Coalescence-Inoculumn-mGAM,False,mGAM,C10-AE-AE-mGAM-mGAM,mGAM,AE-AE,5,C10-e003Coalescence-mGAM-p5,AE-AE-mGAM-mGAM,False,1
135,A3,A3-mBHI,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,A3-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,3,A3-e003Coalescence-mBHI-p3,AA-AC/PP-mBHI-mBHI,False,1
136,A2,A2-mBHI,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,A2-AA-AA-mBHI-mBHI,mBHI,AA-AA,5,A2-e003Coalescence-mBHI-p5,AA-AA-mBHI-mBHI,False,1
137,C10,C10-mBHI,AE-AE-mGAM,C4-e003Coalescence-Inoculumn-mGAM,False,mBHI,C10-AE-AE-mGAM-mBHI,mGAM,AE-AE,5,C10-e003Coalescence-mBHI-p5,AE-AE-mGAM-mBHI,False,1
138,B9,B9-mBHI,AC/PP-AC/PP-mGAM,B3-e003Coalescence-Inoculumn-mGAM,False,mBHI,B9-AC/PP-AC/PP-mGAM-mBHI,mGAM,AC/PP-AC/PP,3,B9-e003Coalescence-mBHI-p3,AC/PP-AC/PP-mGAM-mBHI,False,1
139,B5,B5-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mGAM,B5-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,3,B5-e003Coalescence-mGAM-p3,AC/PP-AF-mBHI-mGAM,False,1
140,A3,A3-mBHI,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,A3-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,5,A3-e003Coalescence-mBHI-p5,AA-AC/PP-mBHI-mBHI,False,1
141,A5,A5-mBHI,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,False,mBHI,A5-AA-AF-mBHI-mBHI,mBHI,AA-AF,3,A5-e003Coalescence-mBHI-p3,AA-AF-mBHI-mBHI,False,1
142,A4,A4-mBHI,AA-AE-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,A4-AA-AE-mBHI-mBHI,mBHI,AA-AE,3,A4-e003Coalescence-mBHI-p3,AA-AE-mBHI-mBHI,False,1
143,C9,C9-mGAM,AC/PP-AE-mGAM,C3-e003Coalescence-Inoculumn-mGAM,False,mGAM,C9-AC/PP-AE-mGAM-mGAM,mGAM,AC/PP-AE,5,C9-e003Coalescence-mGAM-p5,AC/PP-AE-mGAM-mGAM,False,1
144,C2,C2-mGAM,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,C2-AA-AE-mBHI-mGAM,mBHI,AA-AE,5,C2-e003Coalescence-mGAM-p5,AA-AE-mBHI-mGAM,False,1
145,C8,C8-mBHI,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,False,mBHI,C8-AA-AE-mGAM-mBHI,mGAM,AA-AE,5,C8-e003Coalescence-mBHI-p5,AA-AE-mGAM-mBHI,False,1
146,B8,B8-mGAM,AA-AC/PP-mGAM,B2-e003Coalescence-Inoculumn-mGAM,False,mGAM,B8-AA-AC/PP-mGAM-mGAM,mGAM,AA-AC/PP,7,B8-e003Coalescence-mGAM-p7,AA-AC/PP-mGAM-mGAM,False,1
147,B8,B8-mBHI,AA-AC/PP-mGAM,B2-e003Coalescence-Inoculumn-mGAM,False,mBHI,B8-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,7,B8-e003Coalescence-mBHI-p7,AA-AC/PP-mGAM-mBHI,False,1
148,B11,B11-mBHI,AC/PP-AF-mGAM,B5-e003Coalescence-Inoculumn-mGAM,False,mBHI,B11-AC/PP-AF-mGAM-mBHI,mGAM,AC/PP-AF,3,B11-e003Coalescence-mBHI-p3,AC/PP-AF-mGAM-mBHI,False,1
149,C4,C4-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C4-AE-AE-mBHI-mBHI,mBHI,AE-AE,5,C4-e003Coalescence-mBHI-p5,AE-AE-mBHI-mBHI,False,1
150,A11,A11-mBHI,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,False,mBHI,A11-AA-AF-mGAM-mBHI,mGAM,AA-AF,3,A11-e003Coalescence-mBHI-p3,AA-AF-mGAM-mBHI,False,1
151,B2,B2-mBHI,AA-AC/PP-mBHI,B2-e003Coalescence-Inoculumn-mBHI,False,mBHI,B2-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,7,B2-e003Coalescence-mBHI-p7,AA-AC/PP-mBHI-mBHI,False,1
152,B4,B4-mBHI,AC/PP-AE-mBHI,B4-e003Coalescence-Inoculumn-mBHI,False,mBHI,B4-AC/PP-AE-mBHI-mBHI,mBHI,AC/PP-AE,3,B4-e003Coalescence-mBHI-p3,AC/PP-AE-mBHI-mBHI,False,1
153,C2,C2-mBHI,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C2-AA-AE-mBHI-mBHI,mBHI,AA-AE,7,C2-e003Coalescence-mBHI-p7,AA-AE-mBHI-mBHI,False,1
154,A9,A9-mGAM,AA-AC/PP-mGAM,A3-e003Coalescence-Inoculumn-mGAM,False,mGAM,A9-AA-AC/PP-mGAM-mGAM,mGAM,AA-AC/PP,5,A9-e003Coalescence-mGAM-p5,AA-AC/PP-mGAM-mGAM,False,1
155,C10,C10-mGAM,AE-AE-mGAM,C4-e003Coalescence-Inoculumn-mGAM,False,mGAM,C10-AE-AE-mGAM-mGAM,mGAM,AE-AE,7,C10-e003Coalescence-mGAM-p7,AE-AE-mGAM-mGAM,False,1
156,A11,A11-mGAM,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,False,mGAM,A11-AA-AF-mGAM-mGAM,mGAM,AA-AF,3,A11-e003Coalescence-mGAM-p3,AA-AF-mGAM-mGAM,False,1
157,C10,C10-mBHI,AE-AE-mGAM,C4-e003Coalescence-Inoculumn-mGAM,False,mBHI,C10-AE-AE-mGAM-mBHI,mGAM,AE-AE,3,C10-e003Coalescence-mBHI-p3,AE-AE-mGAM-mBHI,False,1
158,D2,D2-mBHI,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mBHI,D2-AA-AF-mBHI-mBHI,mBHI,AA-AF,3,D2-e003Coalescence-mBHI-p3,AA-AF-mBHI-mBHI,False,1
159,H5,H5-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,False,mBHI,H5-AF-AF-mBHI-mBHI,mBHI,AF-AF,5,H5-e003Coalescence-mBHI-p5_S40,AF-AF-mBHI-mBHI,False,1
160,E2,E2-mGAM,AA-AA-mBHI,A2-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,E2-AA-AA-mBHI-mGAM,mBHI,AA-AA,7,E2-e003Coalescence-mGAM-p7_S145,AA-AA-mBHI-mGAM,False,1
161,G5,G5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,G5-AE-AF-mBHI-mBHI,mBHI,AE-AF,7,G5-e003Coalescence-mBHI-p7_S124,AE-AF-mBHI-mBHI,False,1
162,H11,H11-mGAM,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mGAM,H11-AF-AF-mGAM-mGAM,mGAM,AF-AF,7,H111-e003Coalescence-mGAM-p7_S188,AF-AF-mGAM-mGAM,False,1
163,H4,H4-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mGAM,H4-AE-AF-mBHI-mGAM,mBHI,AE-AF,7,H4-e003Coalescence-mGAM-p7_S183,AE-AF-mBHI-mGAM,False,1
164,F5,F5-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mGAM,F5-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,5,F5-e003Coalescence-mGAM-p5_S64,AC/PP-AF-mBHI-mGAM,False,1
165,F5,F5-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,False,mGAM,F5-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,7,F5-e003Coalescence-mGAM-p7_S160,AC/PP-AF-mBHI-mGAM,False,1
166,F8,F8-mBHI,AA-AC/PP-mGAM,B2-e003Coalescence-Inoculumn-mGAM,False,mBHI,F8-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,3,F8-e003Coalescence-mBHI-p3_S117,AA-AC/PP-mGAM-mBHI,False,1
167,H3,H3-mBHI,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mBHI,H3-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,3,H3-e003Coalescence-mBHI-p3_S46,AC/PP-AF-mBHI-mBHI,False,1
168,H2,H2-mBHI,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mBHI,H2-AA-AF-mBHI-mBHI,mBHI,AA-AF,7,H2-e003Coalescence-mBHI-p7_S133,AA-AF-mBHI-mBHI,False,1
169,E3,E3-mBHI,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,E3-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,7,E3-e003Coalescence-mBHI-p7_S98,AA-AC/PP-mBHI-mBHI,False,1
170,E5,E5-mBHI,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,False,mBHI,E5-AA-AF-mBHI-mBHI,mBHI,AA-AF,3,E5-e003Coalescence-mBHI-p3_S12,AA-AF-mBHI-mBHI,False,1
171,F10,F10-mGAM,AC/PP-AE-mGAM,B4-e003Coalescence-Inoculumn-mGAM,False,mGAM,F10-AC/PP-AE-mGAM-mGAM,mGAM,AC/PP-AE,7,F100-e003Coalescence-mGAM-p7_S163,AC/PP-AE-mGAM-mGAM,False,1
172,E11,E11-mGAM,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,False,mGAM,E11-AA-AF-mGAM-mGAM,mGAM,AA-AF,7,E111-e003Coalescence-mGAM-p7_S152,AA-AF-mGAM-mGAM,False,1
173,F9,F9-mBHI,AC/PP-AC/PP-mGAM,B3-e003Coalescence-Inoculumn-mGAM,False,mBHI,F9-AC/PP-AC/PP-mGAM-mBHI,mGAM,AC/PP-AC/PP,5,F9-e003Coalescence-mBHI-p5_S18,AC/PP-AC/PP-mGAM-mBHI,False,1
174,H3,H3-mBHI,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mBHI,H3-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,7,H3-e003Coalescence-mBHI-p7_S134,AC/PP-AF-mBHI-mBHI,False,1
175,E3,E3-mGAM,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,E3-AA-AC/PP-mBHI-mGAM,mBHI,AA-AC/PP,3,E3-e003Coalescence-mGAM-p3_S58,AA-AC/PP-mBHI-mGAM,False,1
176,H8,H8-mBHI,AA-AF-mGAM,D2-e003Coalescence-Inoculumn-mGAM,False,mBHI,H8-AA-AF-mGAM-mBHI,mGAM,AA-AF,3,H8-e003Coalescence-mBHI-p3_S141,AA-AF-mGAM-mBHI,False,1
177,G4,G4-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,G4-AE-AE-mBHI-mBHI,mBHI,AE-AE,5,G4-e003Coalescence-mBHI-p5_S27,AE-AE-mBHI-mBHI,False,1
178,E8,E8-mBHI,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,False,mBHI,E8-AA-AA-mGAM-mBHI,mGAM,AA-AA,5,E8-e003Coalescence-mBHI-p5_S5,AA-AA-mGAM-mBHI,False,1
179,G2,G2-mBHI,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,G2-AA-AE-mBHI-mBHI,mBHI,AA-AE,3,G2-e003Coalescence-mBHI-p3_S33,AA-AE-mBHI-mBHI,False,1
180,F10,F10-mBHI,AC/PP-AE-mGAM,B4-e003Coalescence-Inoculumn-mGAM,False,mBHI,F10-AC/PP-AE-mGAM-mBHI,mGAM,AC/PP-AE,3,F100-e003Coalescence-mBHI-p3_S119,AC/PP-AE-mGAM-mBHI,False,1
181,E9,E9-mBHI,AA-AC/PP-mGAM,A3-e003Coalescence-Inoculumn-mGAM,False,mBHI,E9-AA-AC/PP-mGAM-mBHI,mGAM,AA-AC/PP,5,E9-e003Coalescence-mBHI-p5_S6,AA-AC/PP-mGAM-mBHI,False,1
182,G3,G3-mGAM,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mGAM,G3-AC/PP-AE-mBHI-mGAM,mBHI,AC/PP-AE,7,G3-e003Coalescence-mGAM-p7_S170,AC/PP-AE-mBHI-mGAM,False,1
183,H11,H11-mBHI,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mBHI,H11-AF-AF-mGAM-mBHI,mGAM,AF-AF,3,H111-e003Coalescence-mBHI-p3_S144,AF-AF-mGAM-mBHI,False,1
184,G11,G11-mGAM,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mGAM,G11-AE-AF-mGAM-mGAM,mGAM,AE-AF,5,G111-e003Coalescence-mGAM-p5_S80,AE-AF-mGAM-mGAM,False,1
185,G10,G10-mGAM,AE-AE-mGAM,C4-e003Coalescence-Inoculumn-mGAM,False,mGAM,G10-AE-AE-mGAM-mGAM,mGAM,AE-AE,3,G100-e003Coalescence-mGAM-p3_S179,AE-AE-mGAM-mGAM,False,1
186,F11,F11-mGAM,AC/PP-AF-mGAM,B5-e003Coalescence-Inoculumn-mGAM,False,mGAM,F11-AC/PP-AF-mGAM-mGAM,mGAM,AC/PP-AF,5,F111-e003Coalescence-mGAM-p5_S68,AC/PP-AF-mGAM-mGAM,False,1
187,G11,G11-mBHI,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mBHI,G11-AE-AF-mGAM-mBHI,mGAM,AE-AF,5,G111-e003Coalescence-mBHI-p5_S32,AE-AF-mGAM-mBHI,False,1
188,G5,G5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,G5-AE-AF-mBHI-mBHI,mBHI,AE-AF,3,G5-e003Coalescence-mBHI-p3_S36,AE-AF-mBHI-mBHI,False,1
189,H2,H2-mGAM,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mGAM,H2-AA-AF-mBHI-mGAM,mBHI,AA-AF,7,H2-e003Coalescence-mGAM-p7_S181,AA-AF-mBHI-mGAM,False,1
190,H9,H9-mGAM,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,False,mGAM,H9-AC/PP-AF-mGAM-mGAM,mGAM,AC/PP-AF,3,H9-e003Coalescence-mGAM-p3_S190,AC/PP-AF-mGAM-mGAM,False,1
191,F2,F2-mBHI,AA-AC/PP-mBHI,B2-e003Coalescence-Inoculumn-mBHI,False,mBHI,F2-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,7,F2-e003Coalescence-mBHI-p7_S109,AA-AC/PP-mBHI-mBHI,False,1
192,E3,E3-mBHI,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,E3-AA-AC/PP-mBHI-mBHI,mBHI,AA-AC/PP,3,E3-e003Coalescence-mBHI-p3_S10,AA-AC/PP-mBHI-mBHI,False,1
193,H2,H2-mGAM,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mGAM,H2-AA-AF-mBHI-mGAM,mBHI,AA-AF,5,H2-e003Coalescence-mGAM-p5_S85,AA-AF-mBHI-mGAM,False,1
194,G8,G8-mGAM,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,False,mGAM,G8-AA-AE-mGAM-mGAM,mGAM,AA-AE,3,G8-e003Coalescence-mGAM-p3_S177,AA-AE-mGAM-mGAM,False,1
195,H11,H11-mBHI,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,False,mBHI,H11-AF-AF-mGAM-mBHI,mGAM,AF-AF,7,H111-e003Coalescence-mBHI-p7_S140,AF-AF-mGAM-mBHI,False,1
196,F2,F2-mGAM,AA-AC/PP-mBHI,B2-e003Coalescence-Inoculumn-mBHI,False,mGAM,F2-AA-AC/PP-mBHI-mGAM,mBHI,AA-AC/PP,7,F2-e003Coalescence-mGAM-p7_S157,AA-AC/PP-mBHI-mGAM,False,1
197,H3,H3-mGAM,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mGAM,H3-AC/PP-AF-mBHI-mGAM,mBHI,AC/PP-AF,3,H3-e003Coalescence-mGAM-p3_S94,AC/PP-AF-mBHI-mGAM,False,1
198,H8,H8-mGAM,AA-AF-mGAM,D2-e003Coalescence-Inoculumn-mGAM,False,mGAM,H8-AA-AF-mGAM-mGAM,mGAM,AA-AF,3,H8-e003Coalescence-mGAM-p3_S189,AA-AF-mGAM-mGAM,False,1
199,H4,H4-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mGAM,H4-AE-AF-mBHI-mGAM,mBHI,AE-AF,3,H4-e003Coalescence-mGAM-p3_S95,AE-AF-mBHI-mGAM,False,1
200,E5,E5-mBHI,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,False,mBHI,E5-AA-AF-mBHI-mBHI,mBHI,AA-AF,7,E5-e003Coalescence-mBHI-p7_S100,AA-AF-mBHI-mBHI,False,1
201,G11,G11-mBHI,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mBHI,G11-AE-AF-mGAM-mBHI,mGAM,AE-AF,3,G111-e003Coalescence-mBHI-p3_S132,AE-AF-mGAM-mBHI,False,1
202,F3,F3-mGAM,AC/PP-AC/PP-mBHI,B3-e003Coalescence-Inoculumn-mBHI,False,mGAM,F3-AC/PP-AC/PP-mBHI-mGAM,mBHI,AC/PP-AC/PP,3,F3-e003Coalescence-mGAM-p3_S70,AC/PP-AC/PP-mBHI-mGAM,False,1
203,E10,E10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,E10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,E100-e003Coalescence-mBHI-p7_S103,AA-AE-mGAM-mBHI,False,1
204,F9,F9-mGAM,AC/PP-AC/PP-mGAM,B3-e003Coalescence-Inoculumn-mGAM,False,mGAM,F9-AC/PP-AC/PP-mGAM-mGAM,mGAM,AC/PP-AC/PP,5,F9-e003Coalescence-mGAM-p5_S66,AC/PP-AC/PP-mGAM-mGAM,False,1
205,G11,G11-mGAM,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mGAM,G11-AE-AF-mGAM-mGAM,mGAM,AE-AF,7,G111-e003Coalescence-mGAM-p7_S176,AE-AF-mGAM-mGAM,False,1
206,H10,H10-mGAM,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,False,mGAM,H10-AE-AF-mGAM-mGAM,mGAM,AE-AF,7,H100-e003Coalescence-mGAM-p7_S187,AE-AF-mGAM-mGAM,False,1
