,sample_name,round2,sample,ise003,comm,is_inoculumn,passage,media,parent_media,parent_subjects,mesocosm,type_mesocosm,inoculumn,inoculumn_sample,sample2,sample_name2
15,A5-e003Coalescence-mGAM-p5,False,A5-e003Coalescence-mGAM-p5,True,A5,False,5,mGAM,mBHI,AA-AF,A5-AA-AF-mBHI-mGAM,AA-AF-mBHI-mGAM,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-mGAM-p5,A5-e003Coalescence-mGAM-p5
16,B4-e003Coalescence-mBHI-p5,False,B4-e003Coalescence-mBHI-p5,True,B4,False,5,mBHI,mBHI,AC/PP-AE,B4-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI,B4-e003Coalescence-Inoculumn-mBHI,B4-e003Coalescence-mBHI-p5,B4-e003Coalescence-mBHI-p5
17,A3-e003Coalescence-mBHI-p7,False,A3-e003Coalescence-mBHI-p7,True,A3,False,7,mBHI,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,A3-e003Coalescence-mBHI-p7,A3-e003Coalescence-mBHI-p7
18,B9-e003Coalescence-mGAM-p5,False,B9-e003Coalescence-mGAM-p5,True,B9,False,5,mGAM,mGAM,AC/PP-AC/PP,B9-AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM-mGAM,AC/PP-AC/PP-mGAM,B3-e003Coalescence-Inoculumn-mGAM,B9-e003Coalescence-mGAM-p5,B9-e003Coalescence-mGAM-p5
20,B3-e003Coalescence-mBHI-p3,False,B3-e003Coalescence-mBHI-p3,True,B3,False,3,mBHI,mBHI,AC/PP-AC/PP,B3-AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI-mBHI,AC/PP-AC/PP-mBHI,B3-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-mBHI-p3,B3-e003Coalescence-mBHI-p3
21,D4-e003Coalescence-mBHI-p5,False,D4-e003Coalescence-mBHI-p5,True,D4,False,5,mBHI,mBHI,AE-AF,D4-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-mBHI-p5,D4-e003Coalescence-mBHI-p5
22,C2-e003Coalescence-mBHI-p5,False,C2-e003Coalescence-mBHI-p5,True,C2,False,5,mBHI,mBHI,AA-AE,C2-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,C2-e003Coalescence-mBHI-p5,C2-e003Coalescence-mBHI-p5
25,D4-e003Coalescence-mBHI-p3,False,D4-e003Coalescence-mBHI-p3,True,D4,False,3,mBHI,mBHI,AE-AF,D4-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-mBHI-p3,D4-e003Coalescence-mBHI-p3
32,B2-e003Coalescence-mBHI-p5,False,B2-e003Coalescence-mBHI-p5,True,B2,False,5,mBHI,mBHI,AA-AC/PP,B2-AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI-mBHI,AA-AC/PP-mBHI,B2-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-mBHI-p5,B2-e003Coalescence-mBHI-p5
36,C4-e003Coalescence-mGAM-p7,False,C4-e003Coalescence-mGAM-p7,True,C4,False,7,mGAM,mBHI,AE-AE,C4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mGAM-p7,C4-e003Coalescence-mGAM-p7
39,B2-e003Coalescence-mGAM-p7,False,B2-e003Coalescence-mGAM-p7,True,B2,False,7,mGAM,mBHI,AA-AC/PP,B2-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI,B2-e003Coalescence-Inoculumn-mBHI,B2-e003Coalescence-mGAM-p7,B2-e003Coalescence-mGAM-p7
42,C3-e003Coalescence-mGAM-p3,False,C3-e003Coalescence-mGAM-p3,True,C3,False,3,mGAM,mBHI,AC/PP-AE,C3-AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,C3-e003Coalescence-mGAM-p3,C3-e003Coalescence-mGAM-p3
48,C3-e003Coalescence-mBHI-p7,False,C3-e003Coalescence-mBHI-p7,True,C3,False,7,mBHI,mBHI,AC/PP-AE,C3-AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI-mBHI,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,C3-e003Coalescence-mBHI-p7,C3-e003Coalescence-mBHI-p7
49,D11-e003Coalescence-mGAM-p5,False,D11-e003Coalescence-mGAM-p5,True,D11,False,5,mGAM,mGAM,AF-AF,D11-AF-AF-mGAM-mGAM,AF-AF-mGAM-mGAM,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,D11-e003Coalescence-mGAM-p5,D11-e003Coalescence-mGAM-p5
50,A11-e003Coalescence-mGAM-p7,False,A11-e003Coalescence-mGAM-p7,True,A11,False,7,mGAM,mGAM,AA-AF,A11-AA-AF-mGAM-mGAM,AA-AF-mGAM-mGAM,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,A11-e003Coalescence-mGAM-p7,A11-e003Coalescence-mGAM-p7
51,A3-e003Coalescence-mGAM-p3,False,A3-e003Coalescence-mGAM-p3,True,A3,False,3,mGAM,mBHI,AA-AC/PP,A3-AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI-mGAM,AA-AC/PP-mBHI,A3-e003Coalescence-mBHI-inoculumn-redo,A3-e003Coalescence-mGAM-p3,A3-e003Coalescence-mGAM-p3
52,B8-e003Coalescence-mBHI-p5,False,B8-e003Coalescence-mBHI-p5,True,B8,False,5,mBHI,mGAM,AA-AC/PP,B8-AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM-mBHI,AA-AC/PP-mGAM,B2-e003Coalescence-Inoculumn-mGAM,B8-e003Coalescence-mBHI-p5,B8-e003Coalescence-mBHI-p5
54,C2-e003Coalescence-mGAM-p7,False,C2-e003Coalescence-mGAM-p7,True,C2,False,7,mGAM,mBHI,AA-AE,C2-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,C2-e003Coalescence-mGAM-p7,C2-e003Coalescence-mGAM-p7
55,D3-e003Coalescence-mBHI-p5,False,D3-e003Coalescence-mBHI-p5,True,D3,False,5,mBHI,mBHI,AC/PP-AF,D3-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,D3-e003Coalescence-mBHI-p5,D3-e003Coalescence-mBHI-p5
56,B11-e003Coalescence-mGAM-p3,False,B11-e003Coalescence-mGAM-p3,True,B11,False,3,mGAM,mGAM,AC/PP-AF,B11-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM,B5-e003Coalescence-Inoculumn-mGAM,B11-e003Coalescence-mGAM-p3,B11-e003Coalescence-mGAM-p3
59,D2-e003Coalescence-mBHI-p5,False,D2-e003Coalescence-mBHI-p5,True,D2,False,5,mBHI,mBHI,AA-AF,D2-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-mBHI-p5,D2-e003Coalescence-mBHI-p5
61,C8-e003Coalescence-mGAM-p5,False,C8-e003Coalescence-mGAM-p5,True,C8,False,5,mGAM,mGAM,AA-AE,C8-AA-AE-mGAM-mGAM,AA-AE-mGAM-mGAM,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,C8-e003Coalescence-mGAM-p5,C8-e003Coalescence-mGAM-p5
62,D5-e003Coalescence-mGAM-p5,False,D5-e003Coalescence-mGAM-p5,True,D5,False,5,mGAM,mBHI,AF-AF,D5-AF-AF-mBHI-mGAM,AF-AF-mBHI-mGAM,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mGAM-p5,D5-e003Coalescence-mGAM-p5
63,B5-e003Coalescence-mBHI-p5,False,B5-e003Coalescence-mBHI-p5,True,B5,False,5,mBHI,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-mBHI-p5,B5-e003Coalescence-mBHI-p5
64,D5-e003Coalescence-mBHI-p7,False,D5-e003Coalescence-mBHI-p7,True,D5,False,7,mBHI,mBHI,AF-AF,D5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mBHI-p7,D5-e003Coalescence-mBHI-p7
65,C9-e003Coalescence-mBHI-p5,False,C9-e003Coalescence-mBHI-p5,True,C9,False,5,mBHI,mGAM,AC/PP-AE,C9-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM,C3-e003Coalescence-Inoculumn-mGAM,C9-e003Coalescence-mBHI-p5,C9-e003Coalescence-mBHI-p5
66,A10-e003Coalescence-mBHI-p3,False,A10-e003Coalescence-mBHI-p3,True,A10,False,3,mBHI,mGAM,AA-AE,A10-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,A10-e003Coalescence-mBHI-p3,A10-e003Coalescence-mBHI-p3
67,A5-e003Coalescence-mGAM-p3,False,A5-e003Coalescence-mGAM-p3,True,A5,False,3,mGAM,mBHI,AA-AF,A5-AA-AF-mBHI-mGAM,AA-AF-mBHI-mGAM,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-mGAM-p3,A5-e003Coalescence-mGAM-p3
71,D8-e003Coalescence-mGAM-p5,False,D8-e003Coalescence-mGAM-p5,True,D8,False,5,mGAM,mGAM,AA-AF,D8-AA-AF-mGAM-mGAM,AA-AF-mGAM-mGAM,AA-AF-mGAM,D2-e003Coalescence-Inoculumn-mGAM,D8-e003Coalescence-mGAM-p5,D8-e003Coalescence-mGAM-p5
74,C2-e003Coalescence-mBHI-p3,False,C2-e003Coalescence-mBHI-p3,True,C2,False,3,mBHI,mBHI,AA-AE,C2-AA-AE-mBHI-mBHI,AA-AE-mBHI-mBHI,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,C2-e003Coalescence-mBHI-p3,C2-e003Coalescence-mBHI-p3
76,D9-e003Coalescence-mGAM-p7,False,D9-e003Coalescence-mGAM-p7,True,D9,False,7,mGAM,mGAM,AC/PP-AF,D9-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,D9-e003Coalescence-mGAM-p7,D9-e003Coalescence-mGAM-p7
77,D4-e003Coalescence-mBHI-p7,False,D4-e003Coalescence-mBHI-p7,True,D4,False,7,mBHI,mBHI,AE-AF,D4-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-mBHI-p7,D4-e003Coalescence-mBHI-p7
82,B10-e003Coalescence-mGAM-p3,False,B10-e003Coalescence-mGAM-p3,True,B10,False,3,mGAM,mGAM,AC/PP-AE,B10-AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM-mGAM,AC/PP-AE-mGAM,B4-e003Coalescence-Inoculumn-mGAM,B10-e003Coalescence-mGAM-p3,B10-e003Coalescence-mGAM-p3
83,A9-e003Coalescence-mGAM-p7,False,A9-e003Coalescence-mGAM-p7,True,A9,False,7,mGAM,mGAM,AA-AC/PP,A9-AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM-mGAM,AA-AC/PP-mGAM,A3-e003Coalescence-Inoculumn-mGAM,A9-e003Coalescence-mGAM-p7,A9-e003Coalescence-mGAM-p7
86,D10-e003Coalescence-mBHI-p5,False,D10-e003Coalescence-mBHI-p5,True,D10,False,5,mBHI,mGAM,AE-AF,D10-AE-AF-mGAM-mBHI,AE-AF-mGAM-mBHI,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,D10-e003Coalescence-mBHI-p5,D10-e003Coalescence-mBHI-p5
87,D5-e003Coalescence-mBHI-p3,False,D5-e003Coalescence-mBHI-p3,True,D5,False,3,mBHI,mBHI,AF-AF,D5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mBHI-p3,D5-e003Coalescence-mBHI-p3
88,A5-e003Coalescence-mBHI-p5,False,A5-e003Coalescence-mBHI-p5,True,A5,False,5,mBHI,mBHI,AA-AF,A5-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI,A5-e003Coalescence-Inoculumn-mBHI,A5-e003Coalescence-mBHI-p5,A5-e003Coalescence-mBHI-p5
89,C5-e003Coalescence-mBHI-p3,False,C5-e003Coalescence-mBHI-p3,True,C5,False,3,mBHI,mBHI,AE-AF,C5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,C5-e003Coalescence-mBHI-p3,C5-e003Coalescence-mBHI-p3
90,D9-e003Coalescence-mGAM-p5,False,D9-e003Coalescence-mGAM-p5,True,D9,False,5,mGAM,mGAM,AC/PP-AF,D9-AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM-mGAM,AC/PP-AF-mGAM,D3-e003Coalescence-Inoculumn-mGAM,D9-e003Coalescence-mGAM-p5,D9-e003Coalescence-mGAM-p5
91,C9-e003Coalescence-mBHI-p3,False,C9-e003Coalescence-mBHI-p3,True,C9,False,3,mBHI,mGAM,AC/PP-AE,C9-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM,C3-e003Coalescence-Inoculumn-mGAM,C9-e003Coalescence-mBHI-p3,C9-e003Coalescence-mBHI-p3
92,D10-e003Coalescence-mGAM-p5,False,D10-e003Coalescence-mGAM-p5,True,D10,False,5,mGAM,mGAM,AE-AF,D10-AE-AF-mGAM-mGAM,AE-AF-mGAM-mGAM,AE-AF-mGAM,D4-e003Coalescence-Inoculumn-mGAM,D10-e003Coalescence-mGAM-p5,D10-e003Coalescence-mGAM-p5
93,C8-e003Coalescence-mBHI-p7,False,C8-e003Coalescence-mBHI-p7,True,C8,False,7,mBHI,mGAM,AA-AE,C8-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,C8-e003Coalescence-mBHI-p7,C8-e003Coalescence-mBHI-p7
94,C4-e003Coalescence-mBHI-p3,False,C4-e003Coalescence-mBHI-p3,True,C4,False,3,mBHI,mBHI,AE-AE,C4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-p3,C4-e003Coalescence-mBHI-p3
97,B4-e003Coalescence-mGAM-p5,False,B4-e003Coalescence-mGAM-p5,True,B4,False,5,mGAM,mBHI,AC/PP-AE,B4-AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI-mGAM,AC/PP-AE-mBHI,B4-e003Coalescence-Inoculumn-mBHI,B4-e003Coalescence-mGAM-p5,B4-e003Coalescence-mGAM-p5
98,D4-e003Coalescence-mGAM-p5,False,D4-e003Coalescence-mGAM-p5,True,D4,False,5,mGAM,mBHI,AE-AF,D4-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-mGAM-p5,D4-e003Coalescence-mGAM-p5
100,B5-e003Coalescence-mGAM-p5,False,B5-e003Coalescence-mGAM-p5,True,B5,False,5,mGAM,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-mGAM-p5,B5-e003Coalescence-mGAM-p5
104,C2-e003Coalescence-mGAM-p3,False,C2-e003Coalescence-mGAM-p3,True,C2,False,3,mGAM,mBHI,AA-AE,C2-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,C2-e003Coalescence-mGAM-p3,C2-e003Coalescence-mGAM-p3
105,B5-e003Coalescence-mGAM-p7,False,B5-e003Coalescence-mGAM-p7,True,B5,False,7,mGAM,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI-mGAM,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-mGAM-p7,B5-e003Coalescence-mGAM-p7
106,D8-e003Coalescence-mBHI-p5,False,D8-e003Coalescence-mBHI-p5,True,D8,False,5,mBHI,mGAM,AA-AF,D8-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AA-AF-mGAM,D2-e003Coalescence-Inoculumn-mGAM,D8-e003Coalescence-mBHI-p5,D8-e003Coalescence-mBHI-p5
109,C4-e003Coalescence-mBHI-p7,False,C4-e003Coalescence-mBHI-p7,True,C4,False,7,mBHI,mBHI,AE-AE,C4-AE-AE-mBHI-mBHI,AE-AE-mBHI-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-p7,C4-e003Coalescence-mBHI-p7
111,B10-e003Coalescence-mBHI-p5,False,B10-e003Coalescence-mBHI-p5,True,B10,False,5,mBHI,mGAM,AC/PP-AE,B10-AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM-mBHI,AC/PP-AE-mGAM,B4-e003Coalescence-Inoculumn-mGAM,B10-e003Coalescence-mBHI-p5,B10-e003Coalescence-mBHI-p5
113,D11-e003Coalescence-mBHI-p3,False,D11-e003Coalescence-mBHI-p3,True,D11,False,3,mBHI,mGAM,AF-AF,D11-AF-AF-mGAM-mBHI,AF-AF-mGAM-mBHI,AF-AF-mGAM,D5-e003Coalescence-Inoculumn-mGAM,D11-e003Coalescence-mBHI-p3,D11-e003Coalescence-mBHI-p3
116,B5-e003Coalescence-mBHI-p3,False,B5-e003Coalescence-mBHI-p3,True,B5,False,3,mBHI,mBHI,AC/PP-AF,B5-AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI-mBHI,AC/PP-AF-mBHI,B5-e003Coalescence-Inoculumn-mBHI,B5-e003Coalescence-mBHI-p3,B5-e003Coalescence-mBHI-p3
118,C4-e003Coalescence-mGAM-p5,False,C4-e003Coalescence-mGAM-p5,True,C4,False,5,mGAM,mBHI,AE-AE,C4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mGAM-p5,C4-e003Coalescence-mGAM-p5
119,C5-e003Coalescence-mGAM-p7,False,C5-e003Coalescence-mGAM-p7,True,C5,False,7,mGAM,mBHI,AE-AF,C5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,C5-e003Coalescence-mGAM-p7,C5-e003Coalescence-mGAM-p7
121,A2-e003Coalescence-mBHI-p7,False,A2-e003Coalescence-mBHI-p7,True,A2,False,7,mBHI,mBHI,AA-AA,A2-AA-AA-mBHI-mBHI,AA-AA-mBHI-mBHI,AA-AA-mBHI,A2-e003Coalescence-Inoculumn-mBHI,A2-e003Coalescence-mBHI-p7,A2-e003Coalescence-mBHI-p7
122,A10-e003Coalescence-mBHI-p5,False,A10-e003Coalescence-mBHI-p5,True,A10,False,5,mBHI,mGAM,AA-AE,A10-AA-AE-mGAM-mBHI,AA-AE-mGAM-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,A10-e003Coalescence-mBHI-p5,A10-e003Coalescence-mBHI-p5
124,D2-e003Coalescence-mBHI-p7,False,D2-e003Coalescence-mBHI-p7,True,D2,False,7,mBHI,mBHI,AA-AF,D2-AA-AF-mBHI-mBHI,AA-AF-mBHI-mBHI,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,D2-e003Coalescence-mBHI-p7,D2-e003Coalescence-mBHI-p7
127,A4-e003Coalescence-mGAM-p5,False,A4-e003Coalescence-mGAM-p5,True,A4,False,5,mGAM,mBHI,AA-AE,A4-AA-AE-mBHI-mGAM,AA-AE-mBHI-mGAM,AA-AE-mBHI,A4-e003Coalescence-mBHI-inoculumn-redo,A4-e003Coalescence-mGAM-p5,A4-e003Coalescence-mGAM-p5
128,D5-e003Coalescence-mBHI-p5,False,D5-e003Coalescence-mBHI-p5,True,D5,False,5,mBHI,mBHI,AF-AF,D5-AF-AF-mBHI-mBHI,AF-AF-mBHI-mBHI,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mBHI-p5,D5-e003Coalescence-mBHI-p5
131,D4-e003Coalescence-mGAM-p7,False,D4-e003Coalescence-mGAM-p7,True,D4,False,7,mGAM,mBHI,AE-AF,D4-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,D4-e003Coalescence-mGAM-p7,D4-e003Coalescence-mGAM-p7
133,A8-e003Coalescence-mBHI-p7,False,A8-e003Coalescence-mBHI-p7,True,A8,False,7,mBHI,mGAM,AA-AA,A8-AA-AA-mGAM-mBHI,AA-AA-mGAM-mBHI,AA-AA-mGAM,A2-e003Coalescence-Inoculumn-mGAM,A8-e003Coalescence-mBHI-p7,A8-e003Coalescence-mBHI-p7
137,C4-e003Coalescence-mGAM-p3,False,C4-e003Coalescence-mGAM-p3,True,C4,False,3,mGAM,mBHI,AE-AE,C4-AE-AE-mBHI-mGAM,AE-AE-mBHI-mGAM,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mGAM-p3,C4-e003Coalescence-mGAM-p3
139,D5-e003Coalescence-mGAM-p7,False,D5-e003Coalescence-mGAM-p7,True,D5,False,7,mGAM,mBHI,AF-AF,D5-AF-AF-mBHI-mGAM,AF-AF-mBHI-mGAM,AF-AF-mBHI,D5-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-mGAM-p7,D5-e003Coalescence-mGAM-p7
140,C5-e003Coalescence-mBHI-p5,False,C5-e003Coalescence-mBHI-p5,True,C5,False,5,mBHI,mBHI,AE-AF,C5-AE-AF-mBHI-mBHI,AE-AF-mBHI-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,C5-e003Coalescence-mBHI-p5,C5-e003Coalescence-mBHI-p5
141,C5-e003Coalescence-mGAM-p3,False,C5-e003Coalescence-mGAM-p3,True,C5,False,3,mGAM,mBHI,AE-AF,C5-AE-AF-mBHI-mGAM,AE-AF-mBHI-mGAM,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,C5-e003Coalescence-mGAM-p3,C5-e003Coalescence-mGAM-p3
145,A11-e003Coalescence-mBHI-p7,False,A11-e003Coalescence-mBHI-p7,True,A11,False,7,mBHI,mGAM,AA-AF,A11-AA-AF-mGAM-mBHI,AA-AF-mGAM-mBHI,AA-AF-mGAM,A5-e003Coalescence-Inoculumn-mGAM,A11-e003Coalescence-mBHI-p7,A11-e003Coalescence-mBHI-p7
