sample_name	midas_outdir
C10-e003Coalescence-mBHI-p7	workflow/out/midas2_output/
B9-e003Coalescence-mBHI-p5	workflow/out/midas2_output/
F4-e004Assembly-epsilon-p3	workflow/out/midas2_output/
B10-e003Coalescence-mBHI-p3	workflow/out/midas2_output/
C11-e003Coalescence-mBHI-p5	workflow/out/midas2_output/
A2-e003Coalescence-mGAM-p7	workflow/out/midas2_output/
C5-e003Assembly-mBHI-p3	workflow/out/midas2_output/
F5-e004Assembly-epsilon-p3	workflow/out/midas2_output/
E3-e004Assembly-mGAM-p5	workflow/out/midas2_output/
E2-e004Assembly-mGAM-p5	workflow/out/midas2_output/
C3-e003GlycerolRevival-mBHI-p2	workflow/out/midas2_output/
D10-e003Coalescence-mGAM-p3	workflow/out/midas2_output/
B10-e003Coalescence-mGAM-p7	workflow/out/midas2_output/
C4-e004Assembly-mBHI-p3	workflow/out/midas2_output/
B4-e003Coalescence-mBHI-p7	workflow/out/midas2_output/
A9-e003Coalescence-mBHI-p7	workflow/out/midas2_output/
C2-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output/
B3-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output/
D11-e003Coalescence-mGAM-p7	workflow/out/midas2_output/
D5-e003Coalescence-mGAM-p3	workflow/out/midas2_output/
D4-e004Assembly-mGAM-p3	workflow/out/midas2_output/
E4-e004Assembly-mGAM-p5	workflow/out/midas2_output/
E5-e004Assembly-mGAM-p3	workflow/out/midas2_output/
D2-e003Coalescence-Inoculumn-mBHI	workflow/out/midas2_output/
B4-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output/
F2-e004Assembly-epsilon-p7	workflow/out/midas2_output/
A10-e003Coalescence-mGAM-p7	workflow/out/midas2_output/
B2-e003Assembly-mBHI-p3	workflow/out/midas2_output/
F4-e004Assembly-epsilon-p7	workflow/out/midas2_output/
D9-e003Coalescence-mBHI-p5	workflow/out/midas2_output/
C4-e003Coalescence-Inoculumn-mGAM	workflow/out/midas2_output/
D4-e003Coalescence-mGAM-p3	workflow/out/midas2_output/
B9-e003Coalescence-mBHI-p7	workflow/out/midas2_output/
A2-e003Coalescence-mGAM-p5	workflow/out/midas2_output/
D11-e003Assembly-mGAM-p5	workflow/out/midas2_output/
C3-e003Coalescence-mGAM-p7	workflow/out/midas2_output/
A3-e003Coalescence-mGAM-p5	workflow/out/midas2_output/
B11-e003GlycerolRevival-mGAM-p2	workflow/out/midas2_output/
C5-e004Assembly-mBHI-p7	workflow/out/midas2_output/
B3-e003Coalescence-mGAM-p5	workflow/out/midas2_output/
D9-e003Coalescence-mBHI-p7	workflow/out/midas2_output/
G5-e004Assembly-epsilon-p5	workflow/out/midas2_output/
B10-e003Assembly-mGAM-p3	workflow/out/midas2_output/
D3-e004Assembly-mGAM-p5	workflow/out/midas2_output/
C5-e003Coalescence-mBHI-p7	workflow/out/midas2_output/
D12-e003Coalescence-mBHI-p3	workflow/out/midas2_output/
E2-e004Assembly-mGAM-p3	workflow/out/midas2_output/
D4-e004Assembly-mGAM-p7	workflow/out/midas2_output/
C11-e003Coalescence-mGAM-p7	workflow/out/midas2_output/
C11-e003Assembly-mGAM-p3	workflow/out/midas2_output/
D10-e003Coalescence-mBHI-p7	workflow/out/midas2_output/
C9-e003Coalescence-mBHI-p7	workflow/out/midas2_output/
A2-e003Coalescence-mBHI-p3	workflow/out/midas2_output/
