,Unnamed: 0,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,sample,type_mesocosm,redo,counts,mesocosm-passage,replicate
10,10,C4,C4-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C4-AE-AE-mBHI-mBHI,mBHI,AE-AE,2,A_C3_C4_AE_AE_mBHI_mBHI_2_S27,AE-AE-mBHI-mBHI,False,1,C4-AE-AE-mBHI-mBHI2,0.0
11,11,C5,C5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C5-AE-AF-mBHI-mBHI,mBHI,AE-AF,2,A_C4_C5_AF_AE_mBHI_mBHI_2_S28,AE-AF-mBHI-mBHI,False,1,C5-AE-AF-mBHI-mBHI2,0.0
12,12,C8,C8-mBHI,AA-AE-mGAM,C2-e003Coalescence-Inoculumn-mGAM,False,mBHI,C8-AA-AE-mGAM-mBHI,mGAM,AA-AE,2,A_C5_C8_AA_AE_mGAM_mBHI_2_S29,AA-AE-mGAM-mBHI,False,1,C8-AA-AE-mGAM-mBHI2,0.0
13,13,C11,C11-mBHI,AE-AF-mGAM,C5-e003Coalescence-Inoculumn-mGAM,False,mBHI,C11-AE-AF-mGAM-mBHI,mGAM,AE-AF,2,A_C8_C11_AF_AE_mGAM_mBHI_2_S32,AE-AF-mGAM-mBHI,False,1,C11-AE-AF-mGAM-mBHI2,0.0
14,14,C2,C2-mBHI,AA-AE-mBHI,C2-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C2-AA-AE-mBHI-mBHI,mBHI,AA-AE,4,A_C9_C2_AA_AE_mBHI_mBHI_4_S33,AA-AE-mBHI-mBHI,False,1,C2-AA-AE-mBHI-mBHI4,1.0
15,15,C3,C3-mBHI,AC/PP-AE-mBHI,C3-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C3-AC/PP-AE-mBHI-mBHI,mBHI,AC/PP-AE,4,A_C10_C3_ACPP_AE_mBHI_mBHI_4_S34,AC/PP-AE-mBHI-mBHI,False,1,C3-AC/PP-AE-mBHI-mBHI4,0.0
16,16,C4,C4-mBHI,AE-AE-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C4-AE-AE-mBHI-mBHI,mBHI,AE-AE,4,A_C11_C4_AE_AE_mBHI_mBHI_4_S35,AE-AE-mBHI-mBHI,False,1,C4-AE-AE-mBHI-mBHI4,0.0
17,17,C5,C5-mBHI,AE-AF-mBHI,C5-e003Coalescence-mBHI-inoculumn-redo,False,mBHI,C5-AE-AF-mBHI-mBHI,mBHI,AE-AF,4,A_C12_C5_AF_AE_mBHI_mBHI_4_S36,AE-AF-mBHI-mBHI,False,1,C5-AE-AF-mBHI-mBHI4,0.0
18,18,D2,D2-mBHI,AA-AF-mBHI,D2-e003Coalescence-Inoculumn-mBHI,False,mBHI,D2-AA-AF-mBHI-mBHI,mBHI,AA-AF,2,A_D1_D2_AA_AF_mBHI_mBHI_2_S37,AA-AF-mBHI-mBHI,False,1,D2-AA-AF-mBHI-mBHI2,1.0
19,19,D3,D3-mBHI,AC/PP-AF-mBHI,D3-e003Coalescence-Inoculumn-mBHI,False,mBHI,D3-AC/PP-AF-mBHI-mBHI,mBHI,AC/PP-AF,2,A_D2_D3_ACPP_AF_mBHI_mBHI_2_S38,AC/PP-AF-mBHI-mBHI,False,1,D3-AC/PP-AF-mBHI-mBHI2,0.0
20,20,D4,D4-mBHI,AE-AF-mBHI,D4-e003Coalescence-Inoculumn-mBHI,False,mBHI,D4-AE-AF-mBHI-mBHI,mBHI,AE-AF,2,A_D3_D4_AE_AF_mBHI_mBHI_2_S39,AE-AF-mBHI-mBHI,False,1,D4-AE-AF-mBHI-mBHI2,1.0
