,A2-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
A2-e003Coalescence-Inoculumn-mBHI,12365,12259
C4-e003Coalescence-mBHI-inoculumn-redo,12365,12259
A4-e003Coalescence-mBHI-inoculumn-redo,12365,12256
A4-e003Coalescence-mBHI-p3,12235,12054
A4-e003Coalescence-mBHI-p5,12344,12220
A4-e003Coalescence-mBHI-p7,12314,12187
A4-e003Coalescence-mGAM-p5,12329,12222
C2-e003Coalescence-mBHI-inoculumn-redo,12351,12249
C2-e003Coalescence-mBHI-p3,12362,12253
C2-e003Coalescence-mBHI-p5,12342,12196
C2-e003Coalescence-mGAM-p3,12305,12184
C2-e003Coalescence-mGAM-p5,12342,12205
C2-e003Coalescence-mGAM-p7,12353,12248
E4-e003Coalescence-mBHI-p3_S11,12305,12148
E4-e003Coalescence-mBHI-p5_S3,12319,12176
E4-e003Coalescence-mBHI-p7_S99,12200,11952
E4-e003Coalescence-mGAM-p3_S59,12324,12156
E4-e003Coalescence-mGAM-p5_S51,12251,12000
E4-e003Coalescence-mGAM-p7_S147,12340,12177
G2-e003Coalescence-mBHI-p3_S33,12341,12193
G2-e003Coalescence-mBHI-p5_S25,12328,12182
G2-e003Coalescence-mBHI-p7_S121,10428,9995
G2-e003Coalescence-mGAM-p3_S81,12330,12159
G2-e003Coalescence-mGAM-p5_S73,12293,12134
