,A2-e003Coalescence-Inoculumn-mBHI,B3-e003Coalescence-Inoculumn-mBHI
A2-e003Coalescence-Inoculumn-mBHI,12336,12312
B3-e003Coalescence-Inoculumn-mBHI,12336,12312
A3-e003Coalescence-mBHI-inoculumn-redo,11774,11746
A3-e003Coalescence-mBHI-p3,12278,12275
A3-e003Coalescence-mBHI-p7,12335,12310
A3-e003Coalescence-mGAM-p7,12325,12280
B2-e003Coalescence-Inoculumn-mBHI,12215,12192
B2-e003Coalescence-mBHI-p3,12294,12299
B2-e003Coalescence-mBHI-p5,12307,12283
B2-e003Coalescence-mBHI-p7,8508,8374
B2-e003Coalescence-mGAM-p3,12288,12195
E3-e003Coalescence-mBHI-p3_S10,12113,12081
E3-e003Coalescence-mBHI-p5_S2,12282,12283
E3-e003Coalescence-mGAM-p3_S58,12220,12079
E3-e003Coalescence-mGAM-p5_S50,12299,12219
E3-e003Coalescence-mGAM-p7_S146,12262,12150
F2-e003Coalescence-mBHI-p3_S21,11939,12035
F2-e003Coalescence-mBHI-p5_S13,12319,12301
F2-e003Coalescence-mGAM-p3_S69,12249,12155
F2-e003Coalescence-mGAM-p5_S61,12290,12149
F2-e003Coalescence-mGAM-p7_S157,12246,12152
