,A2-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
A2-e003Coalescence-Inoculumn-mGAM,12132,12305
C4-e003Coalescence-Inoculumn-mGAM,12132,12305
A10-e003Coalescence-mBHI-p3,11767,11851
A10-e003Coalescence-mBHI-p5,12114,12294
A10-e003Coalescence-mBHI-p7,12108,12286
A10-e003Coalescence-mGAM-p3,12119,12271
A10-e003Coalescence-mGAM-p7,12064,12174
A4-e003Coalescence-Inoculumn-mGAM,12101,12286
C2-e003Coalescence-Inoculumn-mGAM,11944,12073
C8-e003Coalescence-mBHI-p5,12130,12304
C8-e003Coalescence-mBHI-p7,12126,12297
C8-e003Coalescence-mGAM-p7,12110,12271
E100-e003Coalescence-mBHI-p5_S7,12117,12296
E100-e003Coalescence-mBHI-p7_S103,11881,11995
E100-e003Coalescence-mGAM-p3_S155,12096,12204
E100-e003Coalescence-mGAM-p5_S55,12034,12114
E100-e003Coalescence-mGAM-p7_S151,11845,11853
G8-e003Coalescence-mBHI-p3_S129,12127,12300
G8-e003Coalescence-mBHI-p5_S29,12128,12295
G8-e003Coalescence-mBHI-p7_S125,12112,12270
G8-e003Coalescence-mGAM-p3_S177,11885,11958
G8-e003Coalescence-mGAM-p5_S77,12051,12163
G8-e003Coalescence-mGAM-p7_S173,12107,12204
