,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C4-e003Coalescence-mBHI-inoculumn-redo,13400,15208
D5-e003Coalescence-Inoculumn-mBHI,13400,15208
C5-e003Coalescence-mBHI-inoculumn-redo,13400,15208
C5-e003Coalescence-mBHI-p3,12850,14423
C5-e003Coalescence-mBHI-p5,13393,15189
C5-e003Coalescence-mBHI-p7,13387,15182
C5-e003Coalescence-mGAM-p3,13381,15183
C5-e003Coalescence-mGAM-p7,13268,15019
D4-e003Coalescence-Inoculumn-mBHI,13400,15207
D4-e003Coalescence-mBHI-p3,13219,14949
D4-e003Coalescence-mBHI-p5,13316,15062
D4-e003Coalescence-mBHI-p7,13340,15094
D4-e003Coalescence-mGAM-p3,13378,15145
D4-e003Coalescence-mGAM-p5,13380,15161
D4-e003Coalescence-mGAM-p7,13305,15078
G5-e003Coalescence-mBHI-p3_S36,13220,14879
G5-e003Coalescence-mBHI-p5_S28,13377,15143
G5-e003Coalescence-mBHI-p7_S124,13317,15051
G5-e003Coalescence-mGAM-p3_S84,13326,15090
G5-e003Coalescence-mGAM-p5_S76,13322,15090
G5-e003Coalescence-mGAM-p7_S172,13349,15133
H4-e003Coalescence-mBHI-p3_S47,13362,15152
H4-e003Coalescence-mBHI-p5_S39,13354,15112
H4-e003Coalescence-mBHI-p7_S135,13362,15075
H4-e003Coalescence-mGAM-p3_S95,12530,14033
H4-e003Coalescence-mGAM-p5_S87,13273,14944
H4-e003Coalescence-mGAM-p7_S183,13359,15082
