,species_id,sample,relative_abundance,Lineage,species,genus,family,phyla,Unnamed: 0.1,Unnamed: 0,comm,comm-media,inoculumn,inoculumn_sample,is_inoculumn,media,mesocosm,parent_media,parent_subjects,passage,type_mesocosm,redo,counts,mesocosm-passage,rep_species,new_rel_abundance
10,101337,A10-e003Coalescence-mBHI-p7,0.0030395136778115497,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,s__Bacteroides fragilis,g__Bacteroides,f__Bacteroidaceae,p__Bacteroidota,104,104,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI7,GUT_GENOME096063,0.0030395136778115497
11,101714,A10-e003Coalescence-mBHI-p7,0.0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus_A;s__Coprococcus_A catus,s__Coprococcus_A catus,g__Coprococcus_A,f__Lachnospiraceae,p__Firmicutes_A,104,104,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI7,GUT_GENOME103893,0.0
12,102438,A10-e003Coalescence-mBHI-p7,0.009118541033434648,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis,s__Parabacteroides distasonis,g__Parabacteroides,f__Tannerellaceae,p__Bacteroidota,104,104,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI7,GUT_GENOME143131,0.009118541033434648
13,100035,A10-e003Coalescence-mBHI-p7,0.018237082066869297,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica,s__Blautia_A hydrogenotrophica,g__Blautia_A,f__Lachnospiraceae,p__Firmicutes_A,104,104,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI7,GUT_GENOME000139,0.018237082066869297
14,101345,A10-e003Coalescence-mBHI-p7,0.02127659574468085,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens,s__Bacteroides xylanisolvens,g__Bacteroides,f__Bacteroidaceae,p__Bacteroidota,104,104,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI7,GUT_GENOME096080,0.02127659574468085
15,100198,A10-e003Coalescence-mBHI-p7,0.0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M citroniae,s__Clostridium_M citroniae,g__Clostridium_M,f__Lachnospiraceae,p__Firmicutes_A,104,104,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI7,GUT_GENOME001135,0.0
16,101500,A10-e003Coalescence-mBHI-p7,0.0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter asaccharolyticus,s__Lawsonibacter asaccharolyticus,g__Lawsonibacter,f__Oscillospiraceae,p__Firmicutes_A,104,104,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI7,GUT_GENOME096496,0.0
17,101493,A10-e003Coalescence-mBHI-p7,0.0,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Clostridium_M;s__Clostridium_M bolteae,s__Clostridium_M bolteae,g__Clostridium_M,f__Lachnospiraceae,p__Firmicutes_A,104,104,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI7,GUT_GENOME096485,0.0
18,102455,A10-e003Coalescence-mBHI-p7,0.005065856129685916,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus,s__Bacteroides cellulosilyticus,g__Bacteroides,f__Bacteroidaceae,p__Bacteroidota,104,104,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI7,GUT_GENOME143232,0.005065856129685916
19,102448,A10-e003Coalescence-mBHI-p7,0.008105369807497466,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Ruminiclostridium_C;s__Ruminiclostridium_C sp000435295,s__Ruminiclostridium_C sp000435295,g__Ruminiclostridium_C,f__Oscillospiraceae,p__Firmicutes_A,104,104,A10,A10-mBHI,AA-AE-mGAM,A4-e003Coalescence-Inoculumn-mGAM,False,mBHI,A10-AA-AE-mGAM-mBHI,mGAM,AA-AE,7,AA-AE-mGAM-mBHI,False,1,A10-AA-AE-mGAM-mBHI7,GUT_GENOME143189,0.008105369807497466
