,C4-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,1487,11
C9-e003Coalescence-mGAM-p3,1600,11
C11-e003Coalescence-mBHI-p3,1570,10
C9-e003Coalescence-mGAM-p7,1599,11
C8-e003Coalescence-mGAM-p7,1599,11
D10-e003Coalescence-mBHI-p3,1580,11
F3-e004Assembly-epsilon-p3,1361,9
B2-e003Coalescence-mBHI-p3,1568,11
A4-e003Coalescence-mBHI-p7,1567,10
A4-e003Coalescence-mBHI-inoculumn-redo,1564,11
B3-e003Coalescence-mBHI-p3,1603,11
D4-e003Coalescence-mBHI-p5,1561,11
C2-e003Coalescence-mBHI-p5,1502,10
B3-e004Assembly-mBHI-p7,1557,10
B5-e004Assembly-mBHI-p7,1530,10
D4-e003Coalescence-mBHI-p3,1504,11
C4-e003GlycerolRevival-mBHI-p2,1588,11
G5-e004Assembly-epsilon-p3,809,2
C5-e004Assembly-mBHI-p3,1348,11
D10-e003Assembly-mGAM-p5,1449,11
C3-e004Assembly-mBHI-p5,1513,7
B2-e003Coalescence-mBHI-p5,1535,11
C4-e003Coalescence-mGAM-p7,1594,11
D3-e004Assembly-mGAM-p7,1535,10
C3-e003Coalescence-mGAM-p3,1603,11
B4-e003Assembly-mBHI-p5,1528,10
D3-e003Coalescence-Inoculumn-mBHI,1596,11
C3-e003Coalescence-mBHI-p7,1602,11
B10-e003Assembly-mGAM-p5,1535,11
C2-e003Coalescence-mGAM-p7,1602,11
D3-e003Coalescence-mBHI-p5,1557,11
C4-e003Coalescence-mBHI-inoculumn-redo,1603,11
B5-e003Coalescence-mBHI-p5,1574,11
D5-e003Coalescence-mBHI-p7,1589,11
C9-e003Coalescence-mBHI-p5,1590,11
A10-e003Coalescence-mBHI-p3,659,2
E5-e004Assembly-mGAM-p5,1015,9
C2-e003Coalescence-mBHI-p3,1597,11
D4-e003Coalescence-mBHI-p7,1583,11
E3-e004Assembly-mGAM-p3,1548,10
B10-e003Coalescence-mGAM-p3,1601,11
D10-e003Coalescence-mBHI-p5,1584,11
D5-e003Coalescence-mBHI-p3,1598,11
C5-e003Coalescence-mBHI-p3,1409,8
C9-e003Coalescence-mBHI-p3,1602,11
D10-e003Coalescence-mGAM-p5,1603,11
C8-e003Coalescence-mBHI-p7,1580,11
G3-e004Assembly-epsilon-p7,1440,8
B4-e003Coalescence-mGAM-p5,1598,11
D4-e003Coalescence-mGAM-p5,1603,11
C3-e004Assembly-mBHI-p7,1578,10
B5-e003Coalescence-mGAM-p5,1600,11
B5-e003Coalescence-Inoculumn-mBHI,1530,10
G3-e004Assembly-epsilon-p3,1185,7
C2-e003Coalescence-mGAM-p3,1574,11
B5-e003Coalescence-mGAM-p7,1589,11
C10-e003Assembly-mGAM-p3,886,7
B10-e003Coalescence-mBHI-p5,1592,11
B3-e004Assembly-mBHI-p5,1462,7
B5-e003Coalescence-mBHI-p3,1596,11
C4-e003Coalescence-mGAM-p5,1600,11
C5-e003Coalescence-mGAM-p7,1599,11
C5-e003Coalescence-mBHI-inoculumn-redo,1597,11
A10-e003Coalescence-mBHI-p5,1521,11
BF-Fecal,787,4
AM-Fecal,1570,11
A4-e003Coalescence-mGAM-p5,1593,11
D5-e003Coalescence-mBHI-p5,1603,11
D4-e003Coalescence-mGAM-p7,1602,11
E3-e004Assembly-mGAM-p7,1446,9
C4-e003Coalescence-mGAM-p3,1601,11
C5-e003Coalescence-mBHI-p5,1603,11
C5-e003Coalescence-mGAM-p3,1602,11
A3-e003Coalescence-mBHI-inoculumn-redo,602,5
D10-e003Assembly-mGAM-p3,1175,9
C3-e003Coalescence-mGAM-p5,1600,11
C10-e003GlycerolRevival-mGAM-p2,1589,11
A10-e003Coalescence-mGAM-p3,1603,11
D3-e003Coalescence-mBHI-p7,1601,11
C3-e003Coalescence-mBHI-p5,1591,11
B3-e003Assembly-mBHI-p5,1233,7
B2-e003Coalescence-mGAM-p3,1593,11
B4-e003Assembly-mBHI-p3,969,8
C11-e003Coalescence-mGAM-p5,1600,11
B3-e003Coalescence-Inoculumn-mBHI,1593,11
D5-e004Assembly-mGAM-p7,1568,11
D9-e003Coalescence-mBHI-p3,534,2
D3-e003Coalescence-mGAM-p3,1591,11
D3-e003Coalescence-mGAM-p5,1598,11
C10-e003Coalescence-mGAM-p3,1601,11
C3-e003Coalescence-Inoculumn-mGAM,1579,11
B5-e003Coalescence-mBHI-p7,1594,11
A3-e003Coalescence-mGAM-p7,1592,11
D4-e003Coalescence-Inoculumn-mBHI,1598,11
A4-e003Coalescence-mBHI-p5,1587,11
B3-e003Coalescence-mBHI-p7,1565,11
D10-e003Coalescence-mGAM-p7,1603,11
C12-e003Coalescence-mGAM-p3,1533,9
C11-e003Coalescence-mGAM-p3,1603,11
D5-e004Assembly-mGAM-p3,1345,8
A10-e003Coalescence-mBHI-p7,1579,11
C10-e003Coalescence-mBHI-p7,1594,11
B10-e003Coalescence-mBHI-p3,1594,11
C11-e003Coalescence-mBHI-p5,1603,11
E3-e004Assembly-mGAM-p5,1568,10
D10-e003Coalescence-mGAM-p3,1601,11
B10-e003Coalescence-mGAM-p7,1431,8
C2-e003Coalescence-Inoculumn-mGAM,1560,11
E5-e004Assembly-mGAM-p3,745,6
B4-e003Coalescence-Inoculumn-mGAM,1597,11
A10-e003Coalescence-mGAM-p7,1593,11
D9-e003Coalescence-mBHI-p5,1572,11
C4-e003Coalescence-Inoculumn-mGAM,1603,11
D4-e003Coalescence-mGAM-p3,1602,11
C3-e003Coalescence-mGAM-p7,1603,11
B3-e003Coalescence-mGAM-p5,1597,11
D9-e003Coalescence-mBHI-p7,1568,11
B10-e003Assembly-mGAM-p3,1346,7
D3-e004Assembly-mGAM-p5,1512,9
C5-e003Coalescence-mBHI-p7,1591,11
C11-e003Coalescence-mGAM-p7,1601,11
D10-e003Coalescence-mBHI-p7,1559,11
C9-e003Coalescence-mBHI-p7,1535,11
C3-e004Assembly-mBHI-p3,1566,10
B10-e003GlycerolRevival-mGAM-p2,1431,9
B3-e003Coalescence-mBHI-p5,1587,11
C2-e003Coalescence-mBHI-inoculumn-redo,1551,11
B2-e003Coalescence-Inoculumn-mBHI,1413,11
C10-e003Coalescence-mGAM-p5,1603,11
C4-e003Assembly-mBHI-p5,1536,11
A3-e003Coalescence-mBHI-p3,1563,11
AG-Fecal,1581,10
D4-e003Coalescence-Inoculumn-mGAM,945,7
B5-e004Assembly-mBHI-p5,739,3
C10-e003Coalescence-mBHI-p5,1591,11
C3-e003Coalescence-mBHI-inoculumn-redo,1602,11
e004-inoculumn-fecal-AR,1564,10
B5-e003Coalescence-mGAM-p3,1569,11
BK-Fecal,1252,4
A4-e003Coalescence-mBHI-p3,1470,10
F3-e004Assembly-epsilon-p5,698,1
C9-e003Coalescence-mGAM-p5,1602,11
C2-e003Coalescence-mGAM-p5,1600,11
C8-e003Coalescence-mBHI-p5,1603,11
B4-e003Coalescence-Inoculumn-mBHI,1601,11
B3-e004Assembly-mBHI-p3,1497,8
C5-e003Coalescence-Inoculumn-mGAM,1589,11
C4-e003Coalescence-mBHI-p5,1602,11
G3-e004Assembly-epsilon-p5,1505,10
A4-e003Coalescence-Inoculumn-mGAM,1601,11
B4-e003Coalescence-mBHI-p3,1586,11
C10-e003Coalescence-mGAM-p7,1603,11
F3-e004Assembly-epsilon-p7,848,1
C10-e003Coalescence-mBHI-p3,1598,10
H5-e003Coalescence-mBHI-p5_S40,1600,11
G5-e003Coalescence-mBHI-p7_S124,1601,11
H4-e003Coalescence-mGAM-p7_S183,1603,11
F5-e003Coalescence-mGAM-p5_S64,1596,11
F5-e003Coalescence-mGAM-p7_S160,1596,10
H3-e003Coalescence-mBHI-p3_S46,1594,11
F100-e003Coalescence-mGAM-p7_S163,1596,11
H3-e003Coalescence-mBHI-p7_S134,1571,11
E3-e003Coalescence-mGAM-p3_S58,1598,11
G4-e003Coalescence-mBHI-p5_S27,1602,11
G2-e003Coalescence-mBHI-p3_S33,1585,11
G111-e003Coalescence-mGAM-p5_S80,1596,11
G100-e003Coalescence-mGAM-p3_S179,1566,10
G111-e003Coalescence-mBHI-p5_S32,1601,11
G5-e003Coalescence-mBHI-p3_S36,1562,11
E3-e003Coalescence-mBHI-p3_S10,1554,11
G8-e003Coalescence-mGAM-p3_S177,1592,11
F2-e003Coalescence-mGAM-p7_S157,1579,11
H3-e003Coalescence-mGAM-p3_S94,1586,11
H4-e003Coalescence-mGAM-p3_S95,1529,11
F3-e003Coalescence-mGAM-p3_S70,1263,7
E100-e003Coalescence-mBHI-p7_S103,1565,11
H100-e003Coalescence-mGAM-p7_S187,1522,11
E100-e003Coalescence-mGAM-p3_S155,1595,11
E3-e003Coalescence-mGAM-p5_S50,1596,11
F5-e003Coalescence-mGAM-p3_S72,1554,11
H100-e003Coalescence-mBHI-p5_S43,1595,11
F2-e003Coalescence-mGAM-p5_S61,1602,11
F5-e003Coalescence-mBHI-p5_S16,1582,11
G9-e003Coalescence-mGAM-p5_S78,1568,11
G8-e003Coalescence-mGAM-p5_S77,1601,11
G3-e003Coalescence-mBHI-p3_S34,1578,11
G100-e003Coalescence-mBHI-p5_S31,1592,11
G3-e003Coalescence-mBHI-p5_S26,1602,11
G5-e003Coalescence-mBHI-p5_S28,1603,11
G4-e003Coalescence-mBHI-p3_S35,1601,11
E8-e003Coalescence-mBHI-p7_S101,1286,10
E4-e003Coalescence-mBHI-p5_S3,1595,11
E4-e003Coalescence-mGAM-p5_S51,1589,11
G9-e003Coalescence-mGAM-p7_S174,1593,11
F2-e003Coalescence-mBHI-p3_S21,1530,11
E8-e003Coalescence-mGAM-p3_S153,1601,11
G111-e003Coalescence-mGAM-p3_S180,1588,11
G5-e003Coalescence-mGAM-p3_S84,1593,11
E100-e003Coalescence-mBHI-p5_S7,1585,11
G100-e003Coalescence-mGAM-p7_S175,1393,10
F3-e003Coalescence-mBHI-p3_S22,1596,11
G3-e003Coalescence-mBHI-p7_S122,1597,11
G5-e003Coalescence-mGAM-p5_S76,1600,11
G5-e003Coalescence-mGAM-p7_S172,1602,11
G4-e003Coalescence-mGAM-p5_S75,1603,11
G8-e003Coalescence-mBHI-p3_S129,1599,11
G2-e003Coalescence-mGAM-p5_S73,1602,11
E100-e003Coalescence-mGAM-p5_S55,1573,11
G4-e003Coalescence-mGAM-p3_S83,1595,11
F4-e003Coalescence-mBHI-p7_S111,1587,11
H3-e003Coalescence-mGAM-p7_S182,1596,11
F4-e003Coalescence-mGAM-p5_S63,1575,11
G4-e003Coalescence-mGAM-p7_S171,1584,11
F3-e003Coalescence-mBHI-p5_S14,1568,11
F100-e003Coalescence-mBHI-p7_S115,1592,11
E3-e003Coalescence-mGAM-p7_S146,1595,11
F100-e003Coalescence-mGAM-p3_S167,1511,9
G4-e003Coalescence-mBHI-p7_S123,1592,11
F3-e003Coalescence-mGAM-p5_S62,1590,11
H4-e003Coalescence-mBHI-p7_S135,1599,11
E3-e003Coalescence-mBHI-p5_S2,1576,11
G111-e003Coalescence-mBHI-p7_S128,1584,11
H3-e003Coalescence-mBHI-p5_S38,1593,10
G3-e003Coalescence-mGAM-p3_S82,1576,10
F3-e003Coalescence-mGAM-p7_S158,1557,10
H4-e003Coalescence-mBHI-p3_S47,1594,11
F3-e003Coalescence-mBHI-p7_S110,1063,8
F100-e003Coalescence-mGAM-p5_S67,1529,9
G8-e003Coalescence-mBHI-p7_S125,1579,10
F4-e003Coalescence-mBHI-p5_S15,1584,11
F2-e003Coalescence-mBHI-p5_S13,1593,11
F4-e003Coalescence-mBHI-p3_S23,1547,9
F2-e003Coalescence-mGAM-p3_S69,1586,11
G3-e003Coalescence-mGAM-p5_S74,1601,11
G100-e003Coalescence-mGAM-p5_S79,1586,11
H100-e003Coalescence-mGAM-p5_S91,1576,10
G9-e003Coalescence-mBHI-p3_S130,1542,11
E4-e003Coalescence-mGAM-p7_S147,1600,11
E4-e003Coalescence-mGAM-p3_S59,1590,11
H4-e003Coalescence-mBHI-p5_S39,1603,11
F4-e003Coalescence-mGAM-p3_S71,1597,11
H100-e003Coalescence-mBHI-p7_S139,1596,11
G8-e003Coalescence-mBHI-p5_S29,1587,11
G2-e003Coalescence-mBHI-p5_S25,1578,10
G8-e003Coalescence-mGAM-p7_S173,1601,11
E4-e003Coalescence-mBHI-p3_S11,1572,11
H9-e003Coalescence-mBHI-p5_S42,1594,10
F5-e003Coalescence-mBHI-p3_S24,1593,9
H5-e003Coalescence-mBHI-p7_S136,1541,11
G9-e003Coalescence-mBHI-p5_S30,1579,11
F5-e003Coalescence-mBHI-p7_S112,1568,11
F4-e003Coalescence-mGAM-p7_S159,1585,11
H3-e003Coalescence-mGAM-p5_S86,1591,11
E4-e003Coalescence-mBHI-p7_S99,1547,11
H4-e003Coalescence-mGAM-p5_S87,1588,11
E100-e003Coalescence-mGAM-p7_S151,1560,11
G9-e003Coalescence-mGAM-p3_S178,1603,11
H9-e003Coalescence-mBHI-p7_S138,1542,10
G2-e003Coalescence-mGAM-p3_S81,1602,11
G100-e003Coalescence-mBHI-p7_S127,1579,11
