,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
B10-e003Coalescence-mBHI-p5,0.281121187139324,0.76691439581613
D5-e003Coalescence-Inoculumn-mGAM,0.8998351195383347,0.0
B3-e004Assembly-mBHI-p5,0.44352844187963725,0.8187723644371043
B5-e003Coalescence-mBHI-p3,0.4727947238252267,0.0
G4-e004Assembly-epsilon-p5,0.5313272877164056,0.7817781447839252
C4-e003Coalescence-mGAM-p5,0.247320692497939,0.7692815854665566
C5-e003Coalescence-mGAM-p7,0.8742786479802144,0.0
C5-e003Coalescence-mBHI-inoculumn-redo,0.24649629018961253,0.0011560693641618498
A10-e003Coalescence-mBHI-p5,0.07007419620774938,0.6170657858519131
BF-Fecal,0.3227535037098104,0.6276906138177815
AM-Fecal,0.37304204451772466,0.6725020644095788
B8-e003Assembly-mGAM-p3,0.046166529266281946,0.8558766859344894
A4-e003Coalescence-mGAM-p5,0.7283594394064303,0.0
D5-e003Coalescence-mBHI-p5,0.247320692497939,0.7719790806496009
D3-e003Assembly-mBHI-p3,0.5004122011541632,0.834131571703826
D4-e003Coalescence-mGAM-p7,0.9047815333882935,0.0
A8-e003Coalescence-mBHI-p7,0.01978565539983512,0.8382603908615469
e003-inoculumn-fecal-AC,0.20610057708161583,0.7810624827965869
E3-e004Assembly-mGAM-p7,0.42621599340478156,0.7855766584090283
B9-e003GlycerolRevival-mGAM-p2,0.49299258037922505,0.8082576383154417
C4-e003Coalescence-mGAM-p3,0.2436108821104699,0.7641618497109827
B2-e003Coalescence-Inoculumn-mGAM,0.003709810387469085,0.7462152491054225
D5-e003Coalescence-mGAM-p7,0.9154987633965375,0.0
C5-e003Coalescence-mBHI-p5,0.4282769991755977,5.5050922102945225e-05
C5-e003Coalescence-mGAM-p3,0.6393239901071723,0.0
A3-e003Coalescence-mBHI-inoculumn-redo,0.34295136026380874,0.7765483071841454
D9-e003Assembly-mGAM-p5,0.3903544929925804,0.6334159097164878
B12-e003Coalescence-mGAM-p3,0.6826051112943117,0.0
A11-e003Coalescence-mBHI-p7,0.11170651277823578,0.2888521882741536
A3-e003Coalescence-Inoculumn-mGAM,0.018961253091508656,0.7680704651802918
D10-e003Assembly-mGAM-p3,0.26504534212695796,0.7747316267547482
C3-e003Coalescence-mGAM-p5,0.19208573784006594,0.7061932287365813
C10-e003GlycerolRevival-mGAM-p2,0.28812860676009894,0.7916322598403523
D3-e003Assembly-mBHI-p5,0.44847485572959606,0.8266996972199284
A10-e003Coalescence-mGAM-p3,0.0403957131079967,0.7419212771813928
A9-e003Coalescence-mBHI-p3,0.016900247320692497,0.7534269199009084
A2-e003Coalescence-Inoculumn-mBHI,0.0,0.8298926507018992
D3-e003Coalescence-mBHI-p7,0.4414674361088211,0.32777319020093587
C3-e003Coalescence-mBHI-p5,0.31986809563066776,0.7653179190751445
D11-e003Assembly-mGAM-p3,0.9286892003297609,0.0
D2-e003Assembly-mBHI-p3,0.00247320692497939,0.8178915496834572
B3-e003Assembly-mBHI-p5,0.5,0.8253784750894577
A9-e003Coalescence-mBHI-p5,0.23289365210222587,0.7995045417010735
D5-e003Coalescence-Inoculumn-mBHI,0.9369332234130255,0.0
B2-e003Coalescence-mGAM-p3,0.46125309150865623,0.8220203688411781
C11-e003Coalescence-mGAM-p5,0.6549876339653751,0.0
G4-e004Assembly-epsilon-p3,0.5313272877164056,0.7843655381227636
B3-e003Coalescence-Inoculumn-mBHI,0.47732893652102226,0.8286264794935315
A8-e003Coalescence-mBHI-p5,0.031739488870568835,0.8258739333883842
D5-e004Assembly-mGAM-p7,0.6191261335531739,0.9070740434902285
C2-e003Assembly-mBHI-p5,0.02720527617477329,0.5518854940820259
D9-e003Coalescence-mBHI-p3,0.40931574608408905,0.6418387007982383
D5-e003Assembly-mBHI-p5,0.9196207749381698,0.00011010184420589045
A5-e003Coalescence-mBHI-p7,0.325638911788953,0.0002752546105147261
BG-Fecal,0.3194558944765045,0.7590421139554088
D2-e003Coalescence-mGAM-p5,0.9262159934047816,0.0
B9-e003Assembly-mGAM-p5,0.34212695795548226,0.5666941921277181
D3-e003Coalescence-mGAM-p3,0.7275350370981039,0.0
D9-e003Coalescence-mGAM-p3,0.542868920032976,0.0
D3-e003Coalescence-mGAM-p5,0.5568837592745259,0.0
C10-e003Coalescence-mGAM-p3,0.25927452596867273,0.7676300578034682
A5-e003Coalescence-mBHI-inoculumn-redo,0.23619126133553173,0.005945499587118084
B11-e003Assembly-mGAM-p3,0.9253915910964551,0.0
D2-e003Assembly-mBHI-p5,0.018961253091508656,0.7322873658133774
B9-e003Coalescence-mGAM-p7,0.5098928276999175,0.8344068263143407
B11-e003Coalescence-mGAM-p7,0.562242374278648,0.0
C3-e003Coalescence-Inoculumn-mGAM,0.2213520197856554,0.7265620699146711
B5-e003Coalescence-mBHI-p7,0.43899422918384173,0.04238921001926782
A3-e003Coalescence-mGAM-p7,0.4971145919208574,0.8319845857418112
D4-e003Coalescence-Inoculumn-mBHI,0.24278647980214343,0.00016515276630883568
A4-e003Coalescence-mBHI-p5,0.24237427864798022,0.7709881640517479
B3-e003Coalescence-mBHI-p7,0.5082440230832647,0.8335810624827966
D10-e003Coalescence-mGAM-p7,0.46331409727947237,0.0
C12-e003Coalescence-mGAM-p3,0.7044517724649629,0.0
C11-e003Coalescence-mGAM-p3,0.275762572135202,0.0
D5-e004Assembly-mGAM-p3,0.6215993404781534,0.9069088907239197
A10-e003Coalescence-mBHI-p7,0.1442704039571311,0.7477016240022021
C10-e003Coalescence-mBHI-p7,0.2699917559769167,0.7635562895678503
B9-e003Coalescence-mBHI-p5,0.5082440230832647,0.8334709606385907
F4-e004Assembly-epsilon-p3,0.5325638911788954,0.7835397742912193
B10-e003Coalescence-mBHI-p3,0.252679307502061,0.7643270024772915
C11-e003Coalescence-mBHI-p5,0.2436108821104699,0.005615194054500413
A2-e003Coalescence-mGAM-p7,0.01772464962901896,0.8284613267272227
C5-e003Assembly-mBHI-p3,0.8334707337180544,0.0
E3-e004Assembly-mGAM-p5,0.4468260511129431,0.8252683732452518
C3-e003GlycerolRevival-mBHI-p2,0.20486397361912614,0.7824938067712635
D10-e003Coalescence-mGAM-p3,0.6191261335531739,0.0
B10-e003Coalescence-mGAM-p7,0.38746908491343773,0.859344894026975
C4-e004Assembly-mBHI-p3,0.359439406430338,0.5332782824112304
A9-e003Coalescence-mBHI-p7,0.06471558120362737,0.7810624827965869
C2-e003Coalescence-Inoculumn-mGAM,0.003709810387469085,0.7208918249380677
B3-e003Coalescence-Inoculumn-mGAM,0.5115416323165705,0.8221855216074869
D11-e003Coalescence-mGAM-p7,0.910964550700742,0.0
D5-e003Coalescence-mGAM-p3,0.9245671887881286,0.0
E4-e004Assembly-mGAM-p5,0.505358615004122,0.7381778144783925
D2-e003Coalescence-Inoculumn-mBHI,0.34047815333882936,0.012716763005780347
B4-e003Coalescence-Inoculumn-mGAM,0.2019785655399835,0.7178089733003028
A10-e003Coalescence-mGAM-p7,0.0585325638911789,0.8189925681255161
B2-e003Assembly-mBHI-p3,0.004534212695795548,0.8102945224332507
F4-e004Assembly-epsilon-p7,0.5313272877164056,0.784916047343793
D9-e003Coalescence-mBHI-p5,0.5082440230832647,0.7840902835122489
C4-e003Coalescence-Inoculumn-mGAM,0.23907666941467437,0.7781998348472337
D4-e003Coalescence-mGAM-p3,0.6541632316570486,0.0
B9-e003Coalescence-mBHI-p7,0.5115416323165705,0.8344068263143407
A2-e003Coalescence-mGAM-p5,0.006183017312448475,0.814037985136251
D11-e003Assembly-mGAM-p5,0.9431162407254741,0.0
C3-e003Coalescence-mGAM-p7,0.1755976916735367,0.7048169556840077
B11-e003GlycerolRevival-mGAM-p2,0.9344600164880462,0.0
B3-e003Coalescence-mGAM-p5,0.5086562242374278,0.8345169281585466
D9-e003Coalescence-mBHI-p7,0.5131904369332234,0.8292320396366639
B10-e003Assembly-mGAM-p3,0.37840065952184665,0.7646022570878063
D3-e004Assembly-mGAM-p5,0.44641384995877986,0.8242774566473988
C5-e003Coalescence-mBHI-p7,0.4460016488046167,0.0
D12-e003Coalescence-mBHI-p3,0.9035449299258038,0.0
D4-e004Assembly-mGAM-p7,0.5226710634789777,0.7766033581062483
C11-e003Coalescence-mGAM-p7,0.2955482275350371,0.0
C11-e003Assembly-mGAM-p3,0.9208573784006595,0.0
D10-e003Coalescence-mBHI-p7,0.3239901071723001,0.21921277181392787
C9-e003Coalescence-mBHI-p7,0.3342951360263809,0.8091384530690889
A2-e003Coalescence-mBHI-p3,0.021022258862324814,0.38249380677126343
B8-e003Coalescence-mGAM-p5,0.06595218466611706,0.6027525461051473
C3-e004Assembly-mBHI-p3,0.40436933223413024,0.7966418937517203
C11-e003Assembly-mGAM-p5,0.9286892003297609,0.0
B10-e003GlycerolRevival-mGAM-p2,0.2749381698268755,0.7116983209468759
B3-e003Coalescence-mBHI-p5,0.5061830173124485,0.834131571703826
C2-e003Coalescence-mBHI-inoculumn-redo,0.03957131079967024,0.7338838425543628
A8-e003Coalescence-mGAM-p7,0.04781533388293487,0.8667767685108726
C11-e003GlycerolRevival-mGAM-p2,0.9249793899422918,0.0
B2-e003Coalescence-Inoculumn-mBHI,0.169002473206925,0.7963666391412056
A11-e003Coalescence-mBHI-p5,0.06966199505358615,0.2649050371593724
C10-e003Coalescence-mGAM-p5,0.24773289365210222,0.7078447563996697
C4-e003Assembly-mBHI-p5,0.26133553173948887,0.7700522983759978
C9-e003Assembly-mGAM-p5,0.2802967848309975,0.45989540324800443
A5-e003Coalescence-Inoculumn-mGAM,0.0032976092333058533,0.0003853564547206166
A3-e003Coalescence-mBHI-p3,0.15539983511953834,0.41723093861822186
AG-Fecal,0.4422918384171476,0.8579686209744013
D4-e003Coalescence-Inoculumn-mGAM,0.4674361088211047,0.0010459675199559592
A2-e003Coalescence-mBHI-p5,0.030502885408079144,0.6678227360308285
B5-e004Assembly-mBHI-p5,0.4909315746084089,0.6961739609138453
C5-e003Assembly-mBHI-p5,0.5136026380873866,0.0003853564547206166
C10-e003Coalescence-mBHI-p5,0.28565539983511956,0.7672447013487476
B9-e003Coalescence-mBHI-p3,0.5103050288540808,0.8342416735480319
C3-e003Coalescence-mBHI-inoculumn-redo,0.17848309975267931,0.7108725571153317
e004-inoculumn-fecal-AR,0.35614179719703215,0.7599779796311589
B5-e003Coalescence-mGAM-p3,0.5206100577081616,0.0
BK-Fecal,0.47361912613355317,0.8075419763281035
C3-e003Assembly-mBHI-p5,0.31698268755152514,0.8008257638315441
A5-e003Coalescence-mBHI-p3,0.45012366034624895,0.006165703275529865
C4-e004Assembly-mBHI-p7,0.35490519373454243,0.5090008257638315
C9-e003GlycerolRevival-mGAM-p2,0.5082440230832647,0.8329755023396642
F3-e004Assembly-epsilon-p5,0.354080791426216,0.7600880814753647
C9-e003Coalescence-mGAM-p5,0.27535037098103876,0.7741811175337187
A2-e003Coalescence-mBHI-inoculumn-redo,0.00041220115416323167,0.8132122213047068
C2-e003Coalescence-mGAM-p5,0.24237427864798022,0.7499036608863199
B8-e003GlycerolRevival-mGAM-p2,0.02225886232481451,0.8355628956785026
C8-e003Coalescence-mBHI-p5,0.04699093157460841,0.7631709331131297
B8-e003Coalescence-mGAM-p7,0.06883759274525969,0.7897054775667492
B4-e003Coalescence-Inoculumn-mBHI,0.1731244847485573,0.7076245527112579
D2-e003Coalescence-Inoculumn-mGAM,0.011953833470733718,0.00011010184420589045
B8-e003Coalescence-mBHI-p7,0.24237427864798022,0.8027525461051472
B3-e004Assembly-mBHI-p3,0.3911788953009068,0.794054500412882
e003-inoculumn-fecal-AE,0.24814509480626545,0.5731902009358657
D3-e003Coalescence-Inoculumn-mGAM,0.49010717230008244,0.0
B11-e003Coalescence-mBHI-p3,0.5119538334707338,0.7127993393889348
C5-e003Coalescence-Inoculumn-mGAM,0.24690849134377577,0.0
C4-e003Coalescence-mBHI-p5,0.23990107172300082,0.7528764106798789
G3-e004Assembly-epsilon-p5,0.4253915910964551,0.8012111202862648
BC-Fecal,0.5395713107996702,0.8842279108175062
e004-inoculumn-fecal-BE,0.6166529266281946,0.9026699697219929
BA-Fecal,0.44929925803792253,0.8045141756124415
e003-inoculumn-fecal-AF,0.859439406430338,0.00011010184420589045
A11-e003Coalescence-mBHI-p3,0.00494641384995878,0.0028075970272502066
A4-e003Coalescence-Inoculumn-mGAM,0.0,0.6991467107074043
B4-e003Coalescence-mBHI-p3,0.13561417971970322,0.7186897880539499
A5-e003Coalescence-Inoculumn-mBHI,0.46331409727947237,0.02857142857142857
A9-e003Coalescence-mGAM-p5,0.06718878812860676,0.794935315166529
C10-e003Coalescence-mGAM-p7,0.24649629018961253,0.7742912193779246
F3-e004Assembly-epsilon-p7,0.3631492168178071,0.689402697495183
A11-e003Coalescence-mGAM-p3,0.09109645507007419,0.0
C10-e003Coalescence-mBHI-p3,0.2514427040395713,0.7752821359757776
D2-e003Coalescence-mBHI-p3,0.5601813685078318,5.5050922102945225e-05
C5-e003GlycerolRevival-mBHI-p2,0.779472382522671,0.0
H5-e003Coalescence-mBHI-p5_S40,0.921681780708986,0.0
E2-e003Coalescence-mGAM-p7_S145,0.02926628194558945,0.8447563996696945
G5-e003Coalescence-mBHI-p7_S124,0.3722176422093982,0.0
H111-e003Coalescence-mGAM-p7_S188,0.9117889530090684,0.0
H4-e003Coalescence-mGAM-p7_S183,0.8639736191261336,0.0
F5-e003Coalescence-mGAM-p5_S64,0.6240725474031328,0.0
F5-e003Coalescence-mGAM-p7_S160,0.46578730420445175,0.0
F8-e003Coalescence-mBHI-p3_S117,0.09356966199505358,0.726672171758877
H3-e003Coalescence-mBHI-p3_S46,0.32893652102225884,0.0
H2-e003Coalescence-mBHI-p7_S133,0.2980214344600165,0.0007156619873382879
E5-e003Coalescence-mBHI-p3_S12,0.5638911788953009,0.0024222405725295897
F100-e003Coalescence-mGAM-p7_S163,0.3173948887056884,0.7768235617946601
F9-e003Coalescence-mBHI-p5_S18,0.5074196207749382,0.8277456647398844
H3-e003Coalescence-mBHI-p7_S134,0.5061830173124485,0.02180016515276631
E3-e003Coalescence-mGAM-p3_S58,0.4859851607584501,0.8107349298100743
G4-e003Coalescence-mBHI-p5_S27,0.2448474855729596,0.760803743462703
E8-e003Coalescence-mBHI-p5_S5,0.020610057708161583,0.8413432424993119
G2-e003Coalescence-mBHI-p3_S33,0.08697444352844189,0.40434902284613267
E9-e003Coalescence-mBHI-p5_S6,0.2110469909315746,0.8028075970272502
H111-e003Coalescence-mBHI-p3_S144,0.9084913437757626,0.0
G111-e003Coalescence-mGAM-p5_S80,0.813272877164056,0.0
G100-e003Coalescence-mGAM-p3_S179,0.2877164056059357,0.724580236718965
F111-e003Coalescence-mGAM-p5_S68,0.8619126133553174,0.0
G111-e003Coalescence-mBHI-p5_S32,0.24938169826875514,0.1664189375172034
G5-e003Coalescence-mBHI-p3_S36,0.5288540807914263,0.0002202036884117809
H2-e003Coalescence-mGAM-p7_S181,0.9010717230008244,0.0
H9-e003Coalescence-mGAM-p3_S190,0.8627370156636439,0.0
E3-e003Coalescence-mBHI-p3_S10,0.3446001648804617,0.7400495458298927
H2-e003Coalescence-mGAM-p5_S85,0.8920032976092334,0.0
G8-e003Coalescence-mGAM-p3_S177,0.03544929925803792,0.7414808698045692
F2-e003Coalescence-mGAM-p7_S157,0.32234130255564714,0.8062758051197357
H3-e003Coalescence-mGAM-p3_S94,0.7300082440230833,0.0
H4-e003Coalescence-mGAM-p3_S95,0.7732893652102226,0.0
E5-e003Coalescence-mBHI-p7_S100,0.42868920032976093,0.000990916597853014
F3-e003Coalescence-mGAM-p3_S70,0.49505358615004125,0.8281860721167079
E100-e003Coalescence-mBHI-p7_S103,0.05894476504534213,0.7794660060556015
F9-e003Coalescence-mGAM-p5_S66,0.5061830173124485,0.8312138728323699
G111-e003Coalescence-mGAM-p7_S176,0.7646331409727948,0.0
H100-e003Coalescence-mGAM-p7_S187,0.7662819455894476,0.0
E100-e003Coalescence-mGAM-p3_S155,0.05647155812036274,0.7453894852738784
E3-e003Coalescence-mGAM-p5_S50,0.28565539983511956,0.8078172309386182
F5-e003Coalescence-mGAM-p3_S72,0.7341302555647156,0.0
E9-e003Coalescence-mBHI-p7_S102,0.1483924154987634,0.7620148637489678
E5-e003Coalescence-mBHI-p5_S4,0.6562242374278648,0.0013762730525736307
F111-e003Coalescence-mGAM-p7_S164,0.8887056883759274,0.0033030553261767133
E111-e003Coalescence-mBHI-p5_S8,0.06718878812860676,0.17142857142857143
H100-e003Coalescence-mBHI-p5_S43,0.25061830173124483,0.025103220478943023
F2-e003Coalescence-mGAM-p5_S61,0.0898598516075845,0.7791357005229838
F5-e003Coalescence-mBHI-p5_S16,0.49422918384171477,0.03941646022570878
F8-e003Coalescence-mGAM-p5_S65,0.06842539159109645,0.794935315166529
H8-e003Coalescence-mBHI-p7_S137,0.04657873042044518,0.030828516377649325
G9-e003Coalescence-mGAM-p5_S78,0.2840065952184666,0.7757225433526012
E2-e003Coalescence-mBHI-p5_S1,0.028854080791426217,0.5219928433801266
E2-e003Coalescence-mBHI-p3_S9,0.012778235779060182,0.489457748417286
G8-e003Coalescence-mGAM-p5_S77,0.043693322341302555,0.7763281034957336
G3-e003Coalescence-mBHI-p3_S34,0.10840890354492992,0.7015689512799339
G100-e003Coalescence-mBHI-p5_S31,0.2683429513602638,0.7720341315717039
F9-e003Coalescence-mBHI-p3_S118,0.37180544105523494,0.6083126892375448
E111-e003Coalescence-mBHI-p3_S108,0.06306677658697445,0.105532617671346
F8-e003Coalescence-mGAM-p3_S165,0.07295960428689201,0.5292045141756124
G3-e003Coalescence-mBHI-p5_S26,0.1718878812860676,0.706523534269199
G5-e003Coalescence-mBHI-p5_S28,0.40189612530915086,0.0
H111-e003Coalescence-mGAM-p5_S92,0.9047815333882935,0.0
G4-e003Coalescence-mBHI-p3_S35,0.24525968672712284,0.7472061657032756
H9-e003Coalescence-mGAM-p5_S90,0.5746084089035449,0.0
H2-e003Coalescence-mBHI-p3_S45,0.4105523495465787,0.0039086154693091105
E8-e003Coalescence-mBHI-p7_S101,0.00247320692497939,0.1699421965317919
E4-e003Coalescence-mBHI-p5_S3,0.24278647980214343,0.7643270024772915
H2-e003Coalescence-mGAM-p3_S93,0.9014839241549877,0.0
E4-e003Coalescence-mGAM-p5_S51,0.24938169826875514,0.7685659234792183
G9-e003Coalescence-mGAM-p7_S174,0.2708161582852432,0.7721442334159098
F2-e003Coalescence-mBHI-p3_S21,0.22464962901896127,0.5147811725846408
E8-e003Coalescence-mGAM-p3_S153,0.2514427040395713,0.7730800990916598
G111-e003Coalescence-mGAM-p3_S180,0.5078318219291014,0.0
G5-e003Coalescence-mGAM-p3_S84,0.5449299258037923,0.0
H8-e003Coalescence-mBHI-p5_S41,0.06141797197032152,0.02708505367464905
E100-e003Coalescence-mBHI-p5_S7,0.06718878812860676,0.7964216900633085
G100-e003Coalescence-mGAM-p7_S175,0.26957955482275353,0.7737407101568952
F9-e003Coalescence-mGAM-p7_S162,0.5061830173124485,0.8270300027525461
F8-e003Coalescence-mGAM-p7_S161,0.14962901896125308,0.793889347646573
F3-e003Coalescence-mBHI-p3_S22,0.5061830173124485,0.8291769887145609
G3-e003Coalescence-mBHI-p7_S122,0.2852431986809563,0.7690063308560419
G5-e003Coalescence-mGAM-p5_S76,0.6879637262984336,0.0
G5-e003Coalescence-mGAM-p7_S172,0.86479802143446,0.0
G4-e003Coalescence-mGAM-p5_S75,0.2436108821104699,0.7227085053674649
G8-e003Coalescence-mBHI-p3_S129,0.045754328112118714,0.7652628681530416
E5-e003Coalescence-mGAM-p3_S60,0.9171475680131904,0.0
G2-e003Coalescence-mGAM-p5_S73,0.2436108821104699,0.7571153316818057
E5-e003Coalescence-mGAM-p7_S148,0.8920032976092334,0.0
H9-e003Coalescence-mGAM-p7_S186,0.5230832646331409,0.0
E100-e003Coalescence-mGAM-p5_S55,0.050700741962077495,0.7932287365813377
E8-e003Coalescence-mGAM-p5_S53,0.05894476504534213,0.8570327552986513
H5-e003Coalescence-mGAM-p3_S96,0.9253915910964551,0.0
G4-e003Coalescence-mGAM-p3_S83,0.24649629018961253,0.7606936416184971
F4-e003Coalescence-mBHI-p7_S111,0.22300082440230834,0.7431874483897605
H3-e003Coalescence-mGAM-p7_S182,0.622835943940643,0.0
H5-e003Coalescence-mGAM-p5_S88,0.9245671887881286,0.0
F4-e003Coalescence-mGAM-p5_S63,0.2213520197856554,0.7249655931736857
G4-e003Coalescence-mGAM-p7_S171,0.252679307502061,0.7680704651802918
H8-e003Coalescence-mGAM-p5_S89,0.14179719703215168,0.0
F3-e003Coalescence-mBHI-p5_S14,0.5041220115416323,0.828131021194605
F100-e003Coalescence-mBHI-p7_S115,0.22176422093981862,0.12430498210845031
E3-e003Coalescence-mGAM-p7_S146,0.38870568837592745,0.8115606936416185
F100-e003Coalescence-mGAM-p3_S167,0.2996702390766694,0.7692815854665566
G100-e003Coalescence-mBHI-p3_S131,0.010305028854080791,0.804018717313515
G4-e003Coalescence-mBHI-p7_S123,0.247320692497939,0.7668042939719241
E9-e003Coalescence-mGAM-p3_S154,0.0585325638911789,0.7861271676300579
F3-e003Coalescence-mGAM-p5_S62,0.47361912613355317,0.8215799614643545
H4-e003Coalescence-mBHI-p7_S135,0.4830997526793075,5.5050922102945225e-05
