,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,2191,7376
C9-e003Coalescence-mGAM-p3,2341,7822
C11-e003Coalescence-mBHI-p3,2273,7621
D11-e003Coalescence-mBHI-p5,2160,7210
C9-e003Coalescence-mGAM-p7,2255,7689
C8-e003Coalescence-mGAM-p7,2306,7778
D10-e003Coalescence-mBHI-p3,2323,7784
F3-e004Assembly-epsilon-p3,2271,7621
B2-e003Coalescence-mBHI-p3,1828,6082
A8-e003Coalescence-mBHI-p3,2251,7748
e004-inoculumn-fecal-BD,2185,7330
A4-e003Coalescence-mBHI-p7,1946,6640
B9-e003Coalescence-mGAM-p5,2343,7819
A4-e003Coalescence-mBHI-inoculumn-redo,2326,7786
B3-e003Coalescence-mBHI-p3,2343,7820
D4-e003Coalescence-mBHI-p5,2220,7388
C2-e003Coalescence-mBHI-p5,725,2524
B3-e004Assembly-mBHI-p7,2239,7575
B5-e004Assembly-mBHI-p7,2289,7761
D4-e003Coalescence-mBHI-p3,2187,7297
C4-e003GlycerolRevival-mBHI-p2,2226,7641
D10-e003Assembly-mGAM-p5,1536,5391
B2-e003Assembly-mBHI-p5,873,3116
C3-e004Assembly-mBHI-p5,2215,7526
B8-e003Assembly-mGAM-p5,2166,7616
F4-e004Assembly-epsilon-p5,2199,7390
C4-e003Coalescence-mGAM-p7,2274,7684
B12-e003Coalescence-mBHI-p3,2309,7613
D3-e004Assembly-mGAM-p7,2242,7532
C8-e003Assembly-mGAM-p3,2216,7735
C3-e003Coalescence-mGAM-p3,2326,7753
B4-e003Assembly-mBHI-p5,2195,7397
D4-e004Assembly-mGAM-p5,2215,7427
D3-e003Coalescence-Inoculumn-mBHI,2343,7825
C8-e003Assembly-mGAM-p5,2220,7753
C3-e003Coalescence-mBHI-p7,2339,7818
D11-e003Coalescence-mGAM-p5,2174,7211
A11-e003Coalescence-mGAM-p7,2205,7378
B8-e003Coalescence-mBHI-p5,2343,7807
B10-e003Assembly-mGAM-p5,2092,7124
C2-e003Coalescence-mGAM-p7,2248,7504
D3-e003Coalescence-mBHI-p5,2334,7789
B11-e003Coalescence-mGAM-p3,2327,7788
C4-e003Coalescence-mBHI-inoculumn-redo,2273,7614
B5-e003Assembly-mBHI-p5,2185,7217
D2-e003Coalescence-mBHI-p5,2020,6826
D8-e003Assembly-mGAM-p5,2221,7738
D5-e003Coalescence-mGAM-p5,2291,7620
B5-e003Coalescence-mBHI-p5,2340,7792
D5-e003Coalescence-mBHI-p7,2296,7668
C9-e003Coalescence-mBHI-p5,2239,7583
A5-e003Coalescence-mGAM-p3,2279,7603
A2-e003Coalescence-Inoculumn-mGAM,2254,7742
E5-e004Assembly-mGAM-p5,2110,7278
D8-e003Coalescence-mGAM-p5,2260,7518
A12-e003Coalescence-mGAM-p3,2245,7449
C2-e003Coalescence-mBHI-p3,2175,7344
C4-e004Assembly-mBHI-p5,1896,6542
D9-e003Coalescence-mGAM-p7,2303,7706
D4-e003Coalescence-mBHI-p7,2302,7660
D8-e003Assembly-mGAM-p3,2203,7678
E4-e004Assembly-mGAM-p7,2189,7341
E3-e004Assembly-mGAM-p3,2266,7624
B10-e003Coalescence-mGAM-p3,2343,7815
A9-e003Coalescence-mGAM-p7,2342,7822
D5-e004Assembly-mGAM-p5,1185,4061
B5-e003Coalescence-Inoculumn-mGAM,2277,7579
D10-e003Coalescence-mBHI-p5,2215,7520
D5-e003Coalescence-mBHI-p3,2253,7531
C5-e003Coalescence-mBHI-p3,1973,6605
D9-e003Coalescence-mGAM-p5,2327,7774
C9-e003Coalescence-mBHI-p3,2268,7712
D10-e003Coalescence-mGAM-p5,2290,7632
C8-e003Coalescence-mBHI-p7,1718,6221
B11-e003Assembly-mGAM-p5,2167,7234
G3-e004Assembly-epsilon-p7,2076,7142
B4-e003Coalescence-mGAM-p5,2312,7761
D4-e003Coalescence-mGAM-p5,2165,7226
C3-e004Assembly-mBHI-p7,2225,7536
B5-e003Coalescence-mGAM-p5,2286,7621
BB-Fecal,1402,4687
B5-e003Coalescence-Inoculumn-mBHI,2341,7812
G3-e004Assembly-epsilon-p3,2193,7478
C2-e003Coalescence-mGAM-p3,2256,7571
B5-e003Coalescence-mGAM-p7,2273,7609
D8-e003Coalescence-mBHI-p5,2312,7771
E5-e004Assembly-mGAM-p7,2004,6790
C10-e003Assembly-mGAM-p3,2220,7494
B10-e003Coalescence-mBHI-p5,2310,7721
D5-e003Coalescence-Inoculumn-mGAM,2128,7113
B3-e004Assembly-mBHI-p5,2216,7548
B5-e003Coalescence-mBHI-p3,2333,7814
G4-e004Assembly-epsilon-p5,2196,7376
C4-e003Coalescence-mGAM-p5,2312,7700
C5-e003Coalescence-mGAM-p7,2166,7201
C5-e003Coalescence-mBHI-inoculumn-redo,2343,7818
A10-e003Coalescence-mBHI-p5,1335,5292
BF-Fecal,1705,5939
AM-Fecal,1807,6082
B8-e003Assembly-mGAM-p3,2131,7631
A4-e003Coalescence-mGAM-p5,2284,7609
D5-e003Coalescence-mBHI-p5,2318,7778
D3-e003Assembly-mBHI-p3,2336,7775
D4-e003Coalescence-mGAM-p7,2147,7136
A8-e003Coalescence-mBHI-p7,2229,7729
e003-inoculumn-fecal-AC,2211,7315
E3-e004Assembly-mGAM-p7,2053,7069
B9-e003GlycerolRevival-mGAM-p2,2276,7435
C4-e003Coalescence-mGAM-p3,2330,7778
B2-e003Coalescence-Inoculumn-mGAM,2291,7767
D5-e003Coalescence-mGAM-p7,2191,7314
C5-e003Coalescence-mBHI-p5,2316,7726
C5-e003Coalescence-mGAM-p3,2187,7294
A3-e003Coalescence-mBHI-inoculumn-redo,2111,7133
D9-e003Assembly-mGAM-p5,1788,5579
B12-e003Coalescence-mGAM-p3,2306,7700
A11-e003Coalescence-mBHI-p7,2095,7116
A3-e003Coalescence-Inoculumn-mGAM,2270,7760
D10-e003Assembly-mGAM-p3,2182,7560
C3-e003Coalescence-mGAM-p5,2342,7801
C10-e003GlycerolRevival-mGAM-p2,2196,7549
D3-e003Assembly-mBHI-p5,2343,7806
A10-e003Coalescence-mGAM-p3,2321,7799
A9-e003Coalescence-mBHI-p3,2343,7822
A2-e003Coalescence-Inoculumn-mBHI,2165,7663
D3-e003Coalescence-mBHI-p7,2343,7815
C3-e003Coalescence-mBHI-p5,2343,7805
D11-e003Assembly-mGAM-p3,2212,7436
D2-e003Assembly-mBHI-p3,2252,7758
B3-e003Assembly-mBHI-p5,2314,7617
A9-e003Coalescence-mBHI-p5,2304,7661
D5-e003Coalescence-Inoculumn-mBHI,2188,7262
B2-e003Coalescence-mGAM-p3,2319,7700
C11-e003Coalescence-mGAM-p5,2200,7310
G4-e004Assembly-epsilon-p3,2225,7408
B3-e003Coalescence-Inoculumn-mBHI,2343,7825
A8-e003Coalescence-mBHI-p5,2123,7481
D5-e004Assembly-mGAM-p7,2294,7768
C2-e003Assembly-mBHI-p5,1194,4564
D9-e003Coalescence-mBHI-p3,1889,5903
D5-e003Assembly-mBHI-p5,2148,7182
A5-e003Coalescence-mBHI-p7,2271,7563
BG-Fecal,2298,7716
D2-e003Coalescence-mGAM-p5,2296,7637
B9-e003Assembly-mGAM-p5,1601,4966
D3-e003Coalescence-mGAM-p3,2231,7447
D9-e003Coalescence-mGAM-p3,2316,7723
D3-e003Coalescence-mGAM-p5,2316,7727
C10-e003Coalescence-mGAM-p3,2248,7645
A5-e003Coalescence-mBHI-inoculumn-redo,2224,7502
B11-e003Assembly-mGAM-p3,2268,7568
D2-e003Assembly-mBHI-p5,1716,6299
B9-e003Coalescence-mGAM-p7,2342,7802
B11-e003Coalescence-mGAM-p7,2313,7736
C3-e003Coalescence-Inoculumn-mGAM,2343,7809
B5-e003Coalescence-mBHI-p7,2335,7797
A3-e003Coalescence-mGAM-p7,2333,7776
D4-e003Coalescence-Inoculumn-mBHI,2338,7810
A4-e003Coalescence-mBHI-p5,2176,7366
B3-e003Coalescence-mBHI-p7,2338,7774
D10-e003Coalescence-mGAM-p7,2298,7637
C12-e003Coalescence-mGAM-p3,2190,7302
C11-e003Coalescence-mGAM-p3,2246,7478
D5-e004Assembly-mGAM-p3,2299,7765
A10-e003Coalescence-mBHI-p7,1971,6823
C10-e003Coalescence-mBHI-p7,2245,7571
B9-e003Coalescence-mBHI-p5,2343,7814
F4-e004Assembly-epsilon-p3,2210,7401
B10-e003Coalescence-mBHI-p3,2258,7692
C11-e003Coalescence-mBHI-p5,2302,7774
A2-e003Coalescence-mGAM-p7,2213,7713
C5-e003Assembly-mBHI-p3,1845,6184
E3-e004Assembly-mGAM-p5,2227,7543
C3-e003GlycerolRevival-mBHI-p2,2342,7790
D10-e003Coalescence-mGAM-p3,2219,7414
B10-e003Coalescence-mGAM-p7,2222,7650
C4-e004Assembly-mBHI-p3,1436,4973
A9-e003Coalescence-mBHI-p7,2343,7819
C2-e003Coalescence-Inoculumn-mGAM,2272,7757
B3-e003Coalescence-Inoculumn-mGAM,2336,7779
D11-e003Coalescence-mGAM-p7,2146,7156
D5-e003Coalescence-mGAM-p3,2288,7627
E4-e004Assembly-mGAM-p5,2022,6949
D2-e003Coalescence-Inoculumn-mBHI,2166,7409
B4-e003Coalescence-Inoculumn-mGAM,2339,7821
A10-e003Coalescence-mGAM-p7,2165,7589
B2-e003Assembly-mBHI-p3,2128,7627
F4-e004Assembly-epsilon-p7,2209,7413
D9-e003Coalescence-mBHI-p5,2334,7742
C4-e003Coalescence-Inoculumn-mGAM,2253,7699
D4-e003Coalescence-mGAM-p3,2200,7319
B9-e003Coalescence-mBHI-p7,2338,7798
A2-e003Coalescence-mGAM-p5,2247,7732
D11-e003Assembly-mGAM-p5,2129,7104
C3-e003Coalescence-mGAM-p7,2338,7803
B11-e003GlycerolRevival-mGAM-p2,2136,7121
B3-e003Coalescence-mGAM-p5,2341,7794
D9-e003Coalescence-mBHI-p7,2337,7780
B10-e003Assembly-mGAM-p3,2051,6986
D3-e004Assembly-mGAM-p5,2243,7560
C5-e003Coalescence-mBHI-p7,2324,7774
D12-e003Coalescence-mBHI-p3,2003,6671
D4-e004Assembly-mGAM-p7,2167,7320
C11-e003Coalescence-mGAM-p7,2212,7413
C11-e003Assembly-mGAM-p3,2195,7340
D10-e003Coalescence-mBHI-p7,2280,7683
C9-e003Coalescence-mBHI-p7,2128,7403
A2-e003Coalescence-mBHI-p3,820,2931
B8-e003Coalescence-mGAM-p5,2334,7811
C3-e004Assembly-mBHI-p3,2229,7568
C11-e003Assembly-mGAM-p5,2244,7535
B10-e003GlycerolRevival-mGAM-p2,1821,6444
B3-e003Coalescence-mBHI-p5,2341,7798
C2-e003Coalescence-mBHI-inoculumn-redo,2314,7757
A8-e003Coalescence-mGAM-p7,2203,7726
C11-e003GlycerolRevival-mGAM-p2,2219,7435
B2-e003Coalescence-Inoculumn-mBHI,2335,7800
A11-e003Coalescence-mBHI-p5,2232,7643
C10-e003Coalescence-mGAM-p5,2308,7737
C4-e003Assembly-mBHI-p5,2275,7679
C9-e003Assembly-mGAM-p5,1312,4022
A5-e003Coalescence-Inoculumn-mGAM,2332,7820
A3-e003Coalescence-mBHI-p3,975,3229
AG-Fecal,2266,7664
D4-e003Coalescence-Inoculumn-mGAM,2160,7213
A2-e003Coalescence-mBHI-p5,1501,5542
B5-e004Assembly-mBHI-p5,1687,5914
C5-e003Assembly-mBHI-p5,1101,3816
C10-e003Coalescence-mBHI-p5,2218,7445
B9-e003Coalescence-mBHI-p3,2336,7765
C3-e003Coalescence-mBHI-inoculumn-redo,2343,7823
e004-inoculumn-fecal-AR,2208,7499
B5-e003Coalescence-mGAM-p3,2310,7657
BK-Fecal,2218,7348
C3-e003Assembly-mBHI-p5,2330,7729
A5-e003Coalescence-mBHI-p3,1187,3991
C4-e004Assembly-mBHI-p7,1354,4718
C9-e003GlycerolRevival-mGAM-p2,2333,7759
F3-e004Assembly-epsilon-p5,2180,7337
C9-e003Coalescence-mGAM-p5,2299,7737
A2-e003Coalescence-mBHI-inoculumn-redo,2343,7825
C2-e003Coalescence-mGAM-p5,2277,7527
B8-e003GlycerolRevival-mGAM-p2,2222,7727
C8-e003Coalescence-mBHI-p5,2271,7748
B8-e003Coalescence-mGAM-p7,2343,7822
B4-e003Coalescence-Inoculumn-mBHI,2341,7824
D2-e003Coalescence-Inoculumn-mGAM,2334,7821
B8-e003Coalescence-mBHI-p7,2293,7618
B3-e004Assembly-mBHI-p3,2221,7551
e003-inoculumn-fecal-AE,1352,5063
D3-e003Coalescence-Inoculumn-mGAM,2308,7674
B11-e003Coalescence-mBHI-p3,2339,7796
C5-e003Coalescence-Inoculumn-mGAM,2305,7684
C4-e003Coalescence-mBHI-p5,2275,7556
G3-e004Assembly-epsilon-p5,2159,7414
BC-Fecal,2272,7676
e004-inoculumn-fecal-BE,2276,7719
BA-Fecal,2240,7568
e003-inoculumn-fecal-AF,1924,6621
A11-e003Coalescence-mBHI-p3,2326,7814
A4-e003Coalescence-Inoculumn-mGAM,2293,7764
B4-e003Coalescence-mBHI-p3,2300,7718
A5-e003Coalescence-Inoculumn-mBHI,1768,6064
A9-e003Coalescence-mGAM-p5,2340,7823
C10-e003Coalescence-mGAM-p7,2319,7778
F3-e004Assembly-epsilon-p7,1801,6258
A11-e003Coalescence-mGAM-p3,2268,7566
C10-e003Coalescence-mBHI-p3,2288,7686
D2-e003Coalescence-mBHI-p3,2245,7540
C5-e003GlycerolRevival-mBHI-p2,1714,5732
H5-e003Coalescence-mBHI-p5_S40,2220,7455
E2-e003Coalescence-mGAM-p7_S145,2174,7716
G5-e003Coalescence-mBHI-p7_S124,2300,7697
H111-e003Coalescence-mGAM-p7_S188,2114,7114
H4-e003Coalescence-mGAM-p7_S183,2106,7079
F5-e003Coalescence-mGAM-p5_S64,2257,7570
F5-e003Coalescence-mGAM-p7_S160,2273,7628
F8-e003Coalescence-mBHI-p3_S117,2332,7774
H3-e003Coalescence-mBHI-p3_S46,2342,7822
H2-e003Coalescence-mBHI-p7_S133,2266,7582
E5-e003Coalescence-mBHI-p3_S12,2187,7378
F100-e003Coalescence-mGAM-p7_S163,2337,7788
F9-e003Coalescence-mBHI-p5_S18,2339,7766
H3-e003Coalescence-mBHI-p7_S134,2308,7707
E3-e003Coalescence-mGAM-p3_S58,2312,7606
G4-e003Coalescence-mBHI-p5_S27,2268,7605
E8-e003Coalescence-mBHI-p5_S5,2192,7710
G2-e003Coalescence-mBHI-p3_S33,767,3182
E9-e003Coalescence-mBHI-p5_S6,2335,7767
H111-e003Coalescence-mBHI-p3_S144,2112,7088
G111-e003Coalescence-mGAM-p5_S80,2154,7236
G100-e003Coalescence-mGAM-p3_S179,1955,6688
F111-e003Coalescence-mGAM-p5_S68,2186,7335
G111-e003Coalescence-mBHI-p5_S32,2307,7752
G5-e003Coalescence-mBHI-p3_S36,2173,7350
H2-e003Coalescence-mGAM-p7_S181,2251,7553
H9-e003Coalescence-mGAM-p3_S190,2180,7377
E3-e003Coalescence-mBHI-p3_S10,2040,6579
H2-e003Coalescence-mGAM-p5_S85,2075,6961
G8-e003Coalescence-mGAM-p3_S177,2307,7785
F2-e003Coalescence-mGAM-p7_S157,2337,7785
H3-e003Coalescence-mGAM-p3_S94,2250,7552
H4-e003Coalescence-mGAM-p3_S95,2112,7132
E5-e003Coalescence-mBHI-p7_S100,2205,7429
F3-e003Coalescence-mGAM-p3_S70,2328,7739
E100-e003Coalescence-mBHI-p7_S103,2172,7611
F9-e003Coalescence-mGAM-p5_S66,2339,7782
G111-e003Coalescence-mGAM-p7_S176,1599,5481
H100-e003Coalescence-mGAM-p7_S187,2234,7457
E100-e003Coalescence-mGAM-p3_S155,2266,7758
E3-e003Coalescence-mGAM-p5_S50,2341,7809
F5-e003Coalescence-mGAM-p3_S72,2248,7529
E9-e003Coalescence-mBHI-p7_S102,2338,7793
E5-e003Coalescence-mBHI-p5_S4,2163,7335
F111-e003Coalescence-mGAM-p7_S164,2121,7161
E111-e003Coalescence-mBHI-p5_S8,2225,7711
H100-e003Coalescence-mBHI-p5_S43,2319,7782
F2-e003Coalescence-mGAM-p5_S61,2342,7814
F5-e003Coalescence-mBHI-p5_S16,2341,7771
F8-e003Coalescence-mGAM-p5_S65,2331,7789
H8-e003Coalescence-mBHI-p7_S137,2282,7782
G9-e003Coalescence-mGAM-p5_S78,2336,7790
E2-e003Coalescence-mBHI-p5_S1,1051,4329
E2-e003Coalescence-mBHI-p3_S9,1098,4082
G8-e003Coalescence-mGAM-p5_S77,2177,7714
G3-e003Coalescence-mBHI-p3_S34,2319,7783
G100-e003Coalescence-mBHI-p5_S31,2205,7545
F9-e003Coalescence-mBHI-p3_S118,1735,5169
E111-e003Coalescence-mBHI-p3_S108,2189,7611
F8-e003Coalescence-mGAM-p3_S165,1124,4175
G3-e003Coalescence-mBHI-p5_S26,2343,7821
G5-e003Coalescence-mBHI-p5_S28,2283,7645
H111-e003Coalescence-mGAM-p5_S92,2102,7082
G4-e003Coalescence-mBHI-p3_S35,2231,7491
H9-e003Coalescence-mGAM-p5_S90,2231,7450
H2-e003Coalescence-mBHI-p3_S45,2193,7427
E8-e003Coalescence-mBHI-p7_S101,2308,7806
E4-e003Coalescence-mBHI-p5_S3,2246,7579
H2-e003Coalescence-mGAM-p3_S93,2215,7454
E4-e003Coalescence-mGAM-p5_S51,2278,7664
G9-e003Coalescence-mGAM-p7_S174,2248,7680
F2-e003Coalescence-mBHI-p3_S21,1292,3958
E8-e003Coalescence-mGAM-p3_S153,2292,7716
G111-e003Coalescence-mGAM-p3_S180,2229,7482
G5-e003Coalescence-mGAM-p3_S84,2151,7229
H8-e003Coalescence-mBHI-p5_S41,2283,7771
E100-e003Coalescence-mBHI-p5_S7,2200,7591
G100-e003Coalescence-mGAM-p7_S175,2232,7575
F9-e003Coalescence-mGAM-p7_S162,2331,7709
F8-e003Coalescence-mGAM-p7_S161,2338,7790
F3-e003Coalescence-mBHI-p3_S22,2340,7798
G3-e003Coalescence-mBHI-p7_S122,2342,7818
G5-e003Coalescence-mGAM-p5_S76,2136,7180
G5-e003Coalescence-mGAM-p7_S172,2127,7138
G4-e003Coalescence-mGAM-p5_S75,2273,7629
G8-e003Coalescence-mBHI-p3_S129,2240,7723
E5-e003Coalescence-mGAM-p3_S60,2207,7391
G2-e003Coalescence-mGAM-p5_S73,2263,7674
E5-e003Coalescence-mGAM-p7_S148,2245,7524
H9-e003Coalescence-mGAM-p7_S186,2239,7444
E100-e003Coalescence-mGAM-p5_S55,2194,7696
E8-e003Coalescence-mGAM-p5_S53,2162,7709
H5-e003Coalescence-mGAM-p3_S96,2221,7455
G4-e003Coalescence-mGAM-p3_S83,2294,7759
F4-e003Coalescence-mBHI-p7_S111,2320,7751
H3-e003Coalescence-mGAM-p7_S182,2274,7617
H5-e003Coalescence-mGAM-p5_S88,2235,7483
F4-e003Coalescence-mGAM-p5_S63,2326,7765
G4-e003Coalescence-mGAM-p7_S171,2240,7621
H8-e003Coalescence-mGAM-p5_S89,2203,7347
F3-e003Coalescence-mBHI-p5_S14,2341,7791
F100-e003Coalescence-mBHI-p7_S115,2340,7811
E3-e003Coalescence-mGAM-p7_S146,2339,7812
F100-e003Coalescence-mGAM-p3_S167,2333,7679
G100-e003Coalescence-mBHI-p3_S131,2130,7669
G4-e003Coalescence-mBHI-p7_S123,2279,7700
E9-e003Coalescence-mGAM-p3_S154,2340,7822
F3-e003Coalescence-mGAM-p5_S62,2340,7790
H4-e003Coalescence-mBHI-p7_S135,2291,7608
G111-e003Coalescence-mBHI-p7_S128,2041,7097
H3-e003Coalescence-mBHI-p5_S38,2340,7796
G3-e003Coalescence-mGAM-p3_S82,2318,7721
F111-e003Coalescence-mGAM-p3_S168,2208,7384
F3-e003Coalescence-mGAM-p7_S158,2336,7670
F8-e003Coalescence-mBHI-p7_S113,2321,7642
H4-e003Coalescence-mBHI-p3_S47,2330,7752
F3-e003Coalescence-mBHI-p7_S110,2243,7358
F100-e003Coalescence-mGAM-p5_S67,2299,7643
G8-e003Coalescence-mBHI-p7_S125,2134,7382
F4-e003Coalescence-mBHI-p5_S15,2309,7759
H111-e003Coalescence-mBHI-p5_S44,2117,7080
E111-e003Coalescence-mBHI-p7_S104,2309,7805
E2-e003Coalescence-mGAM-p3_S57,2186,7715
F2-e003Coalescence-mBHI-p5_S13,909,2769
F4-e003Coalescence-mBHI-p3_S23,2278,7718
F2-e003Coalescence-mGAM-p3_S69,2324,7731
E9-e003Coalescence-mGAM-p5_S54,2328,7808
G3-e003Coalescence-mGAM-p5_S74,2336,7811
E111-e003Coalescence-mGAM-p5_S56,2135,7201
G100-e003Coalescence-mGAM-p5_S79,2247,7709
H100-e003Coalescence-mGAM-p5_S91,2265,7543
G9-e003Coalescence-mBHI-p3_S130,2209,7593
E4-e003Coalescence-mGAM-p7_S147,2279,7750
E4-e003Coalescence-mGAM-p3_S59,2258,7561
H4-e003Coalescence-mBHI-p5_S39,2267,7565
F4-e003Coalescence-mGAM-p3_S71,2330,7771
H100-e003Coalescence-mBHI-p7_S139,2310,7770
G8-e003Coalescence-mBHI-p5_S29,2237,7722
G2-e003Coalescence-mBHI-p5_S25,1305,4630
G8-e003Coalescence-mGAM-p7_S173,2221,7731
E4-e003Coalescence-mBHI-p3_S11,760,2861
E2-e003Coalescence-mGAM-p5_S49,2193,7726
H9-e003Coalescence-mBHI-p5_S42,2336,7757
H111-e003Coalescence-mGAM-p3_S192,2120,7121
F5-e003Coalescence-mBHI-p3_S24,2340,7796
E8-e003Coalescence-mBHI-p3_S105,2113,7625
E8-e003Coalescence-mGAM-p7_S149,2195,7721
H5-e003Coalescence-mBHI-p7_S136,2162,7168
G9-e003Coalescence-mBHI-p5_S30,2246,7673
F111-e003Coalescence-mBHI-p7_S116,2334,7750
F5-e003Coalescence-mBHI-p7_S112,2313,7707
F4-e003Coalescence-mGAM-p7_S159,2326,7788
F111-e003Coalescence-mBHI-p3_S120,2333,7707
H3-e003Coalescence-mGAM-p5_S86,2249,7548
E4-e003Coalescence-mBHI-p7_S99,2236,7686
H4-e003Coalescence-mGAM-p5_S87,2112,7076
E100-e003Coalescence-mGAM-p7_S151,2201,7698
G9-e003Coalescence-mGAM-p3_S178,2340,7823
H9-e003Coalescence-mBHI-p7_S138,2317,7654
H8-e003Coalescence-mGAM-p7_S185,2184,7328
G2-e003Coalescence-mGAM-p3_S81,2242,7716
F111-e003Coalescence-mBHI-p5_S20,2295,7423
F8-e003Coalescence-mBHI-p5_S17,2338,7795
