,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,0.28134784810126584,0.7277259100642398
C9-e003Coalescence-mGAM-p3,0.439533164556962,0.7258569593147752
C11-e003Coalescence-mBHI-p3,0.2928713924050633,0.7544728051391862
D11-e003Coalescence-mBHI-p5,0.33518329113924056,0.4524047109207709
C9-e003Coalescence-mGAM-p7,0.4552972151898734,0.9295922912205568
C8-e003Coalescence-mGAM-p7,0.6702546835443037,0.51953147751606
D10-e003Coalescence-mBHI-p3,0.3396744303797468,0.8160672376873662
F3-e004Assembly-epsilon-p3,0.3711088607594937,0.537865096359743
B2-e003Coalescence-mBHI-p3,0.3492481012658228,0.35441456102783725
A8-e003Coalescence-mBHI-p3,0.9264926582278481,0.3049832976445396
e004-inoculumn-fecal-BD,0.3618567088607595,0.5292192719486081
A4-e003Coalescence-mBHI-p7,0.2921346835443038,0.8719871520342612
B9-e003Coalescence-mGAM-p5,0.4303098734177215,0.502952034261242
A4-e003Coalescence-mBHI-inoculumn-redo,0.362566582278481,0.8371567451820129
B3-e003Coalescence-mBHI-p3,0.43427443037974683,0.5035708779443254
D4-e003Coalescence-mBHI-p5,0.2777286075949367,0.5500860813704497
C2-e003Coalescence-mBHI-p5,0.01037620253164557,0.3059374732334047
B3-e004Assembly-mBHI-p7,0.37052202531645567,0.5440256959314776
B5-e004Assembly-mBHI-p7,0.3169620253164557,0.2882072805139186
D4-e003Coalescence-mBHI-p3,0.30762481012658227,0.518610278372591
C4-e003GlycerolRevival-mBHI-p2,0.44822531645569624,0.9673550321199142
D10-e003Assembly-mGAM-p5,0.1320081012658228,0.695786295503212
B2-e003Assembly-mBHI-p5,0.3743817721518987,0.1069323340471092
C3-e004Assembly-mBHI-p5,0.36279443037974685,0.5340351177730194
B8-e003Assembly-mGAM-p5,0.8850045569620253,0.30063297644539616
F4-e004Assembly-epsilon-p5,0.3664754430379747,0.5194860813704497
C4-e003Coalescence-mGAM-p7,0.2045954430379747,0.9816749464668093
B12-e003Coalescence-mBHI-p3,0.40984759493670886,0.48478329764453965
D3-e004Assembly-mGAM-p7,0.3626820253164557,0.5389837259100643
C8-e003Assembly-mGAM-p3,0.917286582278481,0.3054235546038544
C3-e003Coalescence-mGAM-p3,0.18892455696202531,0.9437023554603853
B4-e003Assembly-mBHI-p5,0.03317974683544304,0.9737254817987153
D4-e004Assembly-mGAM-p5,0.3660759493670886,0.5301927194860814
