,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,0.2701168006771054,0.45459511554046655
C9-e003Coalescence-mGAM-p3,0.5219179009733389,0.12968908115211913
C11-e003Coalescence-mBHI-p3,0.2854058400338553,0.4852327784470485
D11-e003Coalescence-mBHI-p5,0.019207363520947946,0.9818047858942066
C9-e003Coalescence-mGAM-p7,0.5538836225137536,0.1219649545504326
C8-e003Coalescence-mGAM-p7,0.7956335167160389,0.10210004380681195
D10-e003Coalescence-mBHI-p3,0.3559145154464664,0.4034653378600373
F3-e004Assembly-epsilon-p3,0.5230846381718155,0.14578764647902748
B2-e003Coalescence-mBHI-p3,0.38411637748624633,0.10004632570364691
A8-e003Coalescence-mBHI-p3,0.9142581464240371,0.08601133501259446
e004-inoculumn-fecal-BD,0.4210749047820567,0.16788960683386267
A4-e003Coalescence-mBHI-p7,0.46526068556919176,0.0984263497973935
B9-e003Coalescence-mGAM-p5,0.48296064325010574,0.1443587230314314
A4-e003Coalescence-mBHI-inoculumn-redo,0.6488806601777402,0.12083326032198005
B3-e003Coalescence-mBHI-p3,0.4883618281845111,0.1443218157923557
D4-e003Coalescence-mBHI-p5,0.09976005078290309,0.8094586573212135
C2-e003Coalescence-mBHI-p5,0.16044350402031315,0.04080845471470814
B3-e004Assembly-mBHI-p7,0.5144401184934405,0.1404915124301829
B5-e004Assembly-mBHI-p7,0.36214176893779093,0.0810562369948527
D4-e003Coalescence-mBHI-p3,0.06806855691917055,0.8681308728507283
C4-e003GlycerolRevival-mBHI-p2,0.551267879813796,0.11776897382542986
D10-e003Assembly-mGAM-p5,0.372705035971223,0.07946013580111706
B2-e003Assembly-mBHI-p5,0.34152687261955145,0.025296188807359545
C3-e004Assembly-mBHI-p5,0.4949648751586966,0.1392851823458548
B8-e003Assembly-mGAM-p5,0.8750969107067287,0.08456746249041726
F4-e004Assembly-epsilon-p5,0.4231426153195091,0.16932198006790056
C4-e003Coalescence-mGAM-p7,0.5392970799830723,0.1288264702661264
B12-e003Coalescence-mBHI-p3,0.45440584003385526,0.14481015222867158
D3-e004Assembly-mGAM-p7,0.5040304697418535,0.13887378162304237
C8-e003Assembly-mGAM-p3,0.8946301311891663,0.08521755557989268
C3-e003Coalescence-mGAM-p3,0.5513656369022429,0.13516750629722923
B4-e003Assembly-mBHI-p5,0.5151840880236987,0.13748313437739568
