,B3-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,6031,19496
C9-e003Coalescence-mGAM-p3,6263,20721
C11-e003Coalescence-mBHI-p3,6164,20320
D11-e003Coalescence-mBHI-p5,6249,20213
C9-e003Coalescence-mGAM-p7,6126,20456
C8-e003Coalescence-mGAM-p7,6223,20571
D10-e003Coalescence-mBHI-p3,6267,20642
F3-e004Assembly-epsilon-p3,6099,20180
B2-e003Coalescence-mBHI-p3,4421,17121
A8-e003Coalescence-mBHI-p3,6153,20415
e004-inoculumn-fecal-BD,5866,19458
A4-e003Coalescence-mBHI-p7,5203,17943
B9-e003Coalescence-mGAM-p5,6160,20702
A4-e003Coalescence-mBHI-inoculumn-redo,6251,20617
B3-e003Coalescence-mBHI-p3,6198,20721
D4-e003Coalescence-mBHI-p5,6121,20019
C2-e003Coalescence-mBHI-p5,1977,7055
B3-e004Assembly-mBHI-p7,6048,19964
B5-e004Assembly-mBHI-p7,6191,20436
D4-e003Coalescence-mBHI-p3,6215,20215
C4-e003GlycerolRevival-mBHI-p2,6049,20281
D10-e003Assembly-mGAM-p5,4253,15262
B2-e003Assembly-mBHI-p5,2384,9031
C3-e004Assembly-mBHI-p5,6002,19907
B8-e003Assembly-mGAM-p5,5995,20127
F4-e004Assembly-epsilon-p5,5932,19681
C4-e003Coalescence-mGAM-p7,6127,20341
B12-e003Coalescence-mBHI-p3,5895,20351
D3-e004Assembly-mGAM-p7,6021,19930
C8-e003Assembly-mGAM-p3,6124,20370
C3-e003Coalescence-mGAM-p3,6228,20547
B4-e003Assembly-mBHI-p5,5938,19711
D4-e004Assembly-mGAM-p5,5950,19755
D3-e003Coalescence-Inoculumn-mBHI,6291,20729
C8-e003Assembly-mGAM-p5,6138,20407
C3-e003Coalescence-mBHI-p7,6256,20715
D11-e003Coalescence-mGAM-p5,6263,20312
A11-e003Coalescence-mGAM-p7,6264,20248
B8-e003Coalescence-mBHI-p5,6204,20710
B10-e003Assembly-mGAM-p5,5674,19080
C2-e003Coalescence-mGAM-p7,6041,19889
D3-e003Coalescence-mBHI-p5,6250,20625
B11-e003Coalescence-mGAM-p3,6289,20720
C4-e003Coalescence-mBHI-inoculumn-redo,6085,20217
B5-e003Assembly-mBHI-p5,6095,19098
D2-e003Coalescence-mBHI-p5,5618,16916
D8-e003Assembly-mGAM-p5,6140,20374
D5-e003Coalescence-mGAM-p5,6269,20446
B5-e003Coalescence-mBHI-p5,6247,20643
D5-e003Coalescence-mBHI-p7,6210,20361
C9-e003Coalescence-mBHI-p5,5993,20312
A5-e003Coalescence-mGAM-p3,6275,20471
A2-e003Coalescence-Inoculumn-mGAM,6155,20396
E5-e004Assembly-mGAM-p5,5716,18866
D8-e003Coalescence-mGAM-p5,6280,20625
A12-e003Coalescence-mGAM-p3,6236,20501
C2-e003Coalescence-mBHI-p3,5855,19552
C4-e004Assembly-mBHI-p5,5173,17652
D9-e003Coalescence-mGAM-p7,6284,20668
D4-e003Coalescence-mBHI-p7,6264,20594
D8-e003Assembly-mGAM-p3,6064,20272
E4-e004Assembly-mGAM-p7,5881,19600
E3-e004Assembly-mGAM-p3,6092,20103
B10-e003Coalescence-mGAM-p3,6255,20710
A9-e003Coalescence-mGAM-p7,6279,20724
D5-e004Assembly-mGAM-p5,3111,10954
B5-e003Coalescence-Inoculumn-mGAM,6271,20692
D10-e003Coalescence-mBHI-p5,6021,19754
D5-e003Coalescence-mBHI-p3,6244,20125
C5-e003Coalescence-mBHI-p3,5629,17048
D9-e003Coalescence-mGAM-p5,6286,20700
C9-e003Coalescence-mBHI-p3,6141,20473
D10-e003Coalescence-mGAM-p5,6289,20698
C8-e003Coalescence-mBHI-p7,4916,17128
B11-e003Assembly-mGAM-p5,6247,20167
G3-e004Assembly-epsilon-p7,5624,18884
B4-e003Coalescence-mGAM-p5,6212,20603
D4-e003Coalescence-mGAM-p5,6275,20477
C3-e004Assembly-mBHI-p7,6015,19944
B5-e003Coalescence-mGAM-p5,6281,20591
BB-Fecal,3674,12844
B5-e003Coalescence-Inoculumn-mBHI,6275,20702
G3-e004Assembly-epsilon-p3,5977,19825
C2-e003Coalescence-mGAM-p3,6043,20068
B5-e003Coalescence-mGAM-p7,6277,20453
D8-e003Coalescence-mBHI-p5,6253,20592
E5-e004Assembly-mGAM-p7,5363,18171
C10-e003Assembly-mGAM-p3,5967,19947
B10-e003Coalescence-mBHI-p5,6138,20539
D5-e003Coalescence-Inoculumn-mGAM,6293,20729
B3-e004Assembly-mBHI-p5,6017,19894
B5-e003Coalescence-mBHI-p3,6291,20710
G4-e004Assembly-epsilon-p5,5932,19627
C4-e003Coalescence-mGAM-p5,6194,20474
C5-e003Coalescence-mGAM-p7,6257,20396
C5-e003Coalescence-mBHI-inoculumn-redo,6285,20710
A10-e003Coalescence-mBHI-p5,4136,14699
BF-Fecal,4560,16280
AM-Fecal,4858,16177
B8-e003Assembly-mGAM-p3,6014,20068
A4-e003Coalescence-mGAM-p5,6237,20156
D5-e003Coalescence-mBHI-p5,6247,20609
D3-e003Assembly-mBHI-p3,6087,20667
D4-e003Coalescence-mGAM-p7,6251,20336
A8-e003Coalescence-mBHI-p7,6126,20379
e003-inoculumn-fecal-AC,5680,19983
E3-e004Assembly-mGAM-p7,5621,18843
B9-e003GlycerolRevival-mGAM-p2,5803,20037
C4-e003Coalescence-mGAM-p3,6245,20608
B2-e003Coalescence-Inoculumn-mGAM,6185,20513
