,C4-e003Coalescence-Inoculumn-mGAM,D5-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,2940,25126
C9-e003Coalescence-mGAM-p3,3102,26640
C11-e003Coalescence-mBHI-p3,3057,26205
D11-e003Coalescence-mBHI-p5,3101,26059
C9-e003Coalescence-mGAM-p7,3060,26521
C8-e003Coalescence-mGAM-p7,3065,26476
D10-e003Coalescence-mBHI-p3,3116,26649
F3-e004Assembly-epsilon-p3,2966,26023
B2-e003Coalescence-mBHI-p3,2301,21271
A8-e003Coalescence-mBHI-p3,3030,26282
e004-inoculumn-fecal-BD,2910,24969
A4-e003Coalescence-mBHI-p7,2567,23259
B9-e003Coalescence-mGAM-p5,3006,26072
A4-e003Coalescence-mBHI-inoculumn-redo,3090,26601
B3-e003Coalescence-mBHI-p3,3023,26107
D4-e003Coalescence-mBHI-p5,3035,25792
C2-e003Coalescence-mBHI-p5,865,9032
B3-e004Assembly-mBHI-p7,2932,25713
B5-e004Assembly-mBHI-p7,3046,26320
D4-e003Coalescence-mBHI-p3,3085,26044
C4-e003GlycerolRevival-mBHI-p2,2983,26332
D10-e003Assembly-mGAM-p5,2012,19669
B2-e003Assembly-mBHI-p5,1110,11586
C3-e004Assembly-mBHI-p5,2890,25631
B8-e003Assembly-mGAM-p5,2949,25924
F4-e004Assembly-epsilon-p5,2914,25273
C4-e003Coalescence-mGAM-p7,2984,26337
B12-e003Coalescence-mBHI-p3,2931,25539
D3-e004Assembly-mGAM-p7,2917,25656
C8-e003Assembly-mGAM-p3,3008,26224
C3-e003Coalescence-mGAM-p3,3078,26538
B4-e003Assembly-mBHI-p5,2815,25448
D4-e004Assembly-mGAM-p5,2957,25360
D3-e003Coalescence-Inoculumn-mBHI,3108,26553
C8-e003Assembly-mGAM-p5,3020,26275
C3-e003Coalescence-mBHI-p7,3075,26463
D11-e003Coalescence-mGAM-p5,3113,26191
A11-e003Coalescence-mGAM-p7,3103,26144
B8-e003Coalescence-mBHI-p5,3036,26246
B10-e003Assembly-mGAM-p5,2691,24645
C2-e003Coalescence-mGAM-p7,2928,25683
D3-e003Coalescence-mBHI-p5,3066,26223
B11-e003Coalescence-mGAM-p3,3122,26676
C4-e003Coalescence-mBHI-inoculumn-redo,2968,26154
B5-e003Assembly-mBHI-p5,3001,24552
D2-e003Coalescence-mBHI-p5,2716,21986
D8-e003Assembly-mGAM-p5,3025,26234
D5-e003Coalescence-mGAM-p5,3106,26322
B5-e003Coalescence-mBHI-p5,3071,26322
D5-e003Coalescence-mBHI-p7,3068,26204
C9-e003Coalescence-mBHI-p5,2962,26207
A5-e003Coalescence-mGAM-p3,3110,26373
A2-e003Coalescence-Inoculumn-mGAM,3027,26268
E5-e004Assembly-mGAM-p5,2803,24361
D8-e003Coalescence-mGAM-p5,3115,26563
A12-e003Coalescence-mGAM-p3,3096,26400
C2-e003Coalescence-mBHI-p3,2814,25247
