,B3-e003Coalescence-Inoculumn-mBHI,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,8720,2372
C9-e003Coalescence-mGAM-p3,9230,2576
C11-e003Coalescence-mBHI-p3,9024,2485
D11-e003Coalescence-mBHI-p5,8515,2386
C9-e003Coalescence-mGAM-p7,9121,2476
C8-e003Coalescence-mGAM-p7,9177,2536
D10-e003Coalescence-mBHI-p3,9223,2541
F3-e004Assembly-epsilon-p3,9006,2449
B2-e003Coalescence-mBHI-p3,6540,2052
A8-e003Coalescence-mBHI-p3,9081,2498
e004-inoculumn-fecal-BD,8623,2361
A4-e003Coalescence-mBHI-p7,7792,2057
B9-e003Coalescence-mGAM-p5,9047,2574
A4-e003Coalescence-mBHI-inoculumn-redo,9232,2549
B3-e003Coalescence-mBHI-p3,9130,2575
D4-e003Coalescence-mBHI-p5,8732,2428
C2-e003Coalescence-mBHI-p5,3016,649
B3-e004Assembly-mBHI-p7,8940,2412
B5-e004Assembly-mBHI-p7,9113,2517
D4-e003Coalescence-mBHI-p3,8611,2408
C4-e003GlycerolRevival-mBHI-p2,9059,2429
D10-e003Assembly-mGAM-p5,6338,1652
B2-e003Assembly-mBHI-p5,3655,954
C3-e004Assembly-mBHI-p5,8868,2374
B8-e003Assembly-mGAM-p5,8875,2450
F4-e004Assembly-epsilon-p5,8726,2365
C4-e003Coalescence-mGAM-p7,9131,2444
B12-e003Coalescence-mBHI-p3,8663,2527
D3-e004Assembly-mGAM-p7,8873,2406
C8-e003Assembly-mGAM-p3,9049,2482
C3-e003Coalescence-mGAM-p3,9225,2539
B4-e003Assembly-mBHI-p5,8905,2321
D4-e004Assembly-mGAM-p5,8733,2393
D3-e003Coalescence-Inoculumn-mBHI,9240,2578
C8-e003Assembly-mGAM-p5,9071,2499
C3-e003Coalescence-mBHI-p7,9239,2575
D11-e003Coalescence-mGAM-p5,8518,2384
A11-e003Coalescence-mGAM-p7,8716,2427
B8-e003Coalescence-mBHI-p5,9126,2575
B10-e003Assembly-mGAM-p5,8551,2222
C2-e003Coalescence-mGAM-p7,9028,2389
D3-e003Coalescence-mBHI-p5,9129,2571
B11-e003Coalescence-mGAM-p3,9214,2570
C4-e003Coalescence-mBHI-inoculumn-redo,9253,2578
B5-e003Assembly-mBHI-p5,8452,2361
D2-e003Coalescence-mBHI-p5,7951,2198
D8-e003Assembly-mGAM-p5,9061,2489
D5-e003Coalescence-mGAM-p5,9041,2517
B5-e003Coalescence-mBHI-p5,9101,2569
D5-e003Coalescence-mBHI-p7,9077,2526
C9-e003Coalescence-mBHI-p5,8925,2406
A5-e003Coalescence-mGAM-p3,9003,2518
A2-e003Coalescence-Inoculumn-mGAM,9076,2502
E5-e004Assembly-mGAM-p5,8481,2325
D8-e003Coalescence-mGAM-p5,8880,2473
