,A2-e003Coalescence-Inoculumn-mBHI,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,2277,17123
C9-e003Coalescence-mGAM-p3,2405,18129
C11-e003Coalescence-mBHI-p3,2357,17826
D11-e003Coalescence-mBHI-p5,2361,17899
C9-e003Coalescence-mGAM-p7,2326,17943
C8-e003Coalescence-mGAM-p7,2364,18060
D10-e003Coalescence-mBHI-p3,2399,18080
F3-e004Assembly-epsilon-p3,2351,17729
B2-e003Coalescence-mBHI-p3,1791,14610
A8-e003Coalescence-mBHI-p3,2303,17999
e004-inoculumn-fecal-BD,2292,17088
A4-e003Coalescence-mBHI-p7,1984,15710
B9-e003Coalescence-mGAM-p5,2373,17802
A4-e003Coalescence-mBHI-inoculumn-redo,2417,18084
B3-e003Coalescence-mBHI-p3,2382,17824
D4-e003Coalescence-mBHI-p5,2361,17660
C2-e003Coalescence-mBHI-p5,739,6128
B3-e004Assembly-mBHI-p7,2299,17537
B5-e004Assembly-mBHI-p7,2359,17967
D4-e003Coalescence-mBHI-p3,2347,17783
C4-e003GlycerolRevival-mBHI-p2,2288,17813
D10-e003Assembly-mGAM-p5,1605,13212
B2-e003Assembly-mBHI-p5,850,8082
C3-e004Assembly-mBHI-p5,2269,17455
B8-e003Assembly-mGAM-p5,2234,17747
F4-e004Assembly-epsilon-p5,2287,17250
C4-e003Coalescence-mGAM-p7,2346,17864
B12-e003Coalescence-mBHI-p3,2297,17456
D3-e004Assembly-mGAM-p7,2292,17476
C8-e003Assembly-mGAM-p3,2279,17955
C3-e003Coalescence-mGAM-p3,2413,17993
B4-e003Assembly-mBHI-p5,2290,17353
D4-e004Assembly-mGAM-p5,2326,17336
D3-e003Coalescence-Inoculumn-mBHI,2419,18099
C8-e003Assembly-mGAM-p5,2303,17999
C3-e003Coalescence-mBHI-p7,2396,18006
D11-e003Coalescence-mGAM-p5,2366,17916
A11-e003Coalescence-mGAM-p7,2390,17909
B8-e003Coalescence-mBHI-p5,2376,17898
B10-e003Assembly-mGAM-p5,2136,16761
C2-e003Coalescence-mGAM-p7,2341,17486
D3-e003Coalescence-mBHI-p5,2396,17867
B11-e003Coalescence-mGAM-p3,2426,18157
C4-e003Coalescence-mBHI-inoculumn-redo,2350,17742
B5-e003Assembly-mBHI-p5,2337,17129
D2-e003Coalescence-mBHI-p5,2137,15474
D8-e003Assembly-mGAM-p5,2310,17976
D5-e003Coalescence-mGAM-p5,2425,18114
B5-e003Coalescence-mBHI-p5,2405,17942
D5-e003Coalescence-mBHI-p7,2403,17934
C9-e003Coalescence-mBHI-p5,2292,17754
A5-e003Coalescence-mGAM-p3,2423,18125
A2-e003Coalescence-Inoculumn-mGAM,2313,17976
E5-e004Assembly-mGAM-p5,2162,16620
D8-e003Coalescence-mGAM-p5,2403,18081
A12-e003Coalescence-mGAM-p3,2378,17974
C2-e003Coalescence-mBHI-p3,2256,17151
C4-e004Assembly-mBHI-p5,1981,15473
D9-e003Coalescence-mGAM-p7,2416,18132
D4-e003Coalescence-mBHI-p7,2412,18095
D8-e003Assembly-mGAM-p3,2261,17885
E4-e004Assembly-mGAM-p7,2273,17203
E3-e004Assembly-mGAM-p3,2317,17659
B10-e003Coalescence-mGAM-p3,2412,18095
A9-e003Coalescence-mGAM-p7,2392,17925
D5-e004Assembly-mGAM-p5,1171,9512
B5-e003Coalescence-Inoculumn-mGAM,2407,18096
D10-e003Coalescence-mBHI-p5,2273,17328
D5-e003Coalescence-mBHI-p3,2406,17908
C5-e003Coalescence-mBHI-p3,2122,15203
D9-e003Coalescence-mGAM-p5,2426,18154
C9-e003Coalescence-mBHI-p3,2343,17944
D10-e003Coalescence-mGAM-p5,2414,18133
C8-e003Coalescence-mBHI-p7,1780,15006
B11-e003Assembly-mGAM-p5,2360,17832
G3-e004Assembly-epsilon-p7,2135,16647
B4-e003Coalescence-mGAM-p5,2370,18032
D4-e003Coalescence-mGAM-p5,2360,18017
C3-e004Assembly-mBHI-p7,2286,17512
B5-e003Coalescence-mGAM-p5,2426,18142
BB-Fecal,1479,11195
B5-e003Coalescence-Inoculumn-mBHI,2408,18007
G3-e004Assembly-epsilon-p3,2261,17409
C2-e003Coalescence-mGAM-p3,2305,17607
B5-e003Coalescence-mGAM-p7,2415,18102
D8-e003Coalescence-mBHI-p5,2406,18079
E5-e004Assembly-mGAM-p7,2056,15941
C10-e003Assembly-mGAM-p3,2280,17507
B10-e003Coalescence-mBHI-p5,2351,17925
D5-e003Coalescence-Inoculumn-mGAM,2338,17755
B3-e004Assembly-mBHI-p5,2282,17457
B5-e003Coalescence-mBHI-p3,2423,18156
G4-e004Assembly-epsilon-p5,2297,17248
C4-e003Coalescence-mGAM-p5,2395,17923
C5-e003Coalescence-mGAM-p7,2356,17965
C5-e003Coalescence-mBHI-inoculumn-redo,2424,18155
A10-e003Coalescence-mBHI-p5,1462,12893
BF-Fecal,1758,14349
AM-Fecal,1834,14050
B8-e003Assembly-mGAM-p3,2199,17729
A4-e003Coalescence-mGAM-p5,2417,17915
D5-e003Coalescence-mBHI-p5,2398,18055
D3-e003Assembly-mBHI-p3,2364,17760
