,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
C3-e003Coalescence-mBHI-p5,1950,2298
D11-e003Assembly-mGAM-p3,1847,2201
D2-e003Assembly-mBHI-p3,1912,2317
B3-e003Assembly-mBHI-p5,1890,2232
A9-e003Coalescence-mBHI-p5,1881,2252
D5-e003Coalescence-Inoculumn-mBHI,1825,2178
B2-e003Coalescence-mGAM-p3,1894,2242
C11-e003Coalescence-mGAM-p5,1825,2189
G4-e004Assembly-epsilon-p3,1895,2235
B3-e003Coalescence-Inoculumn-mBHI,1934,2291
A8-e003Coalescence-mBHI-p5,1814,2207
D5-e004Assembly-mGAM-p7,1939,2313
C2-e003Assembly-mBHI-p5,1039,1299
D9-e003Coalescence-mBHI-p3,1483,1756
D5-e003Assembly-mBHI-p5,1780,2118
A5-e003Coalescence-mBHI-p7,1893,2249
BG-Fecal,1941,2298
D2-e003Coalescence-mGAM-p5,1933,2269
B9-e003Assembly-mGAM-p5,1283,1480
D3-e003Coalescence-mGAM-p3,1859,2223
D9-e003Coalescence-mGAM-p3,1959,2298
D3-e003Coalescence-mGAM-p5,1949,2302
C10-e003Coalescence-mGAM-p3,1961,2308
A5-e003Coalescence-mBHI-inoculumn-redo,1870,2248
B11-e003Assembly-mGAM-p3,1917,2245
D2-e003Assembly-mBHI-p5,1496,1814
B9-e003Coalescence-mGAM-p7,1922,2290
B11-e003Coalescence-mGAM-p7,1954,2298
C3-e003Coalescence-Inoculumn-mGAM,1962,2323
B5-e003Coalescence-mBHI-p7,1960,2317
A3-e003Coalescence-mGAM-p7,1918,2276
D4-e003Coalescence-Inoculumn-mBHI,1975,2335
A4-e003Coalescence-mBHI-p5,1914,2233
B3-e003Coalescence-mBHI-p7,1935,2291
D10-e003Coalescence-mGAM-p7,1932,2287
C12-e003Coalescence-mGAM-p3,1831,2189
C11-e003Coalescence-mGAM-p3,1870,2237
D5-e004Assembly-mGAM-p3,1939,2318
A10-e003Coalescence-mBHI-p7,1695,2005
C10-e003Coalescence-mBHI-p7,1946,2267
B9-e003Coalescence-mBHI-p5,1936,2298
F4-e004Assembly-epsilon-p3,1891,2231
