,A2-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C12-e003Coalescence-mBHI-p3,2222,17207
C9-e003Coalescence-mGAM-p3,2343,18227
C11-e003Coalescence-mBHI-p3,2299,17920
D11-e003Coalescence-mBHI-p5,2309,17999
C9-e003Coalescence-mGAM-p7,2264,18048
C8-e003Coalescence-mGAM-p7,2317,18155
D10-e003Coalescence-mBHI-p3,2343,18179
F3-e004Assembly-epsilon-p3,2293,17806
B2-e003Coalescence-mBHI-p3,1733,14701
A8-e003Coalescence-mBHI-p3,2265,18093
e004-inoculumn-fecal-BD,2214,17170
A4-e003Coalescence-mBHI-p7,1922,15801
B9-e003Coalescence-mGAM-p5,2313,17899
A4-e003Coalescence-mBHI-inoculumn-redo,2353,18178
B3-e003Coalescence-mBHI-p3,2329,17924
D4-e003Coalescence-mBHI-p5,2302,17750
C2-e003Coalescence-mBHI-p5,712,6180
B3-e004Assembly-mBHI-p7,2243,17621
B5-e004Assembly-mBHI-p7,2292,18068
D4-e003Coalescence-mBHI-p3,2302,17878
C4-e003GlycerolRevival-mBHI-p2,2228,17915
D10-e003Assembly-mGAM-p5,1572,13291
B2-e003Assembly-mBHI-p5,816,8088
C3-e004Assembly-mBHI-p5,2198,17539
B8-e003Assembly-mGAM-p5,2170,17848
F4-e004Assembly-epsilon-p5,2226,17347
C4-e003Coalescence-mGAM-p7,2284,17970
B12-e003Coalescence-mBHI-p3,2240,17557
D3-e004Assembly-mGAM-p7,2226,17558
C8-e003Assembly-mGAM-p3,2222,18054
C3-e003Coalescence-mGAM-p3,2345,18091
B4-e003Assembly-mBHI-p5,2230,17421
D4-e004Assembly-mGAM-p5,2249,17434
D3-e003Coalescence-Inoculumn-mBHI,2360,18199
C8-e003Assembly-mGAM-p5,2237,18092
C3-e003Coalescence-mBHI-p7,2342,18108
D11-e003Coalescence-mGAM-p5,2317,18018
A11-e003Coalescence-mGAM-p7,2335,18004
B8-e003Coalescence-mBHI-p5,2314,17999
B10-e003Assembly-mGAM-p5,2079,16815
C2-e003Coalescence-mGAM-p7,2285,17564
D3-e003Coalescence-mBHI-p5,2334,17962
B11-e003Coalescence-mGAM-p3,2363,18254
C4-e003Coalescence-mBHI-inoculumn-redo,2291,17824
B5-e003Assembly-mBHI-p5,2275,17226
D2-e003Coalescence-mBHI-p5,2063,15543
D8-e003Assembly-mGAM-p5,2245,18062
D5-e003Coalescence-mGAM-p5,2362,18208
B5-e003Coalescence-mBHI-p5,2346,18041
D5-e003Coalescence-mBHI-p7,2339,18030
C9-e003Coalescence-mBHI-p5,2225,17856
A5-e003Coalescence-mGAM-p3,2360,18222
A2-e003Coalescence-Inoculumn-mGAM,2262,18064
E5-e004Assembly-mGAM-p5,2109,16723
D8-e003Coalescence-mGAM-p5,2346,18180
A12-e003Coalescence-mGAM-p3,2329,18070
C2-e003Coalescence-mBHI-p3,2194,17222
C4-e004Assembly-mBHI-p5,1915,15549
D9-e003Coalescence-mGAM-p7,2358,18230
D4-e003Coalescence-mBHI-p7,2350,18196
D8-e003Assembly-mGAM-p3,2220,17966
E4-e004Assembly-mGAM-p7,2204,17290
E3-e004Assembly-mGAM-p3,2268,17740
B10-e003Coalescence-mGAM-p3,2350,18195
A9-e003Coalescence-mGAM-p7,2338,18024
D5-e004Assembly-mGAM-p5,1146,9580
B5-e003Coalescence-Inoculumn-mGAM,2346,18193
D10-e003Coalescence-mBHI-p5,2217,17421
D5-e003Coalescence-mBHI-p3,2341,18007
C5-e003Coalescence-mBHI-p3,2084,15300
D9-e003Coalescence-mGAM-p5,2363,18251
C9-e003Coalescence-mBHI-p3,2273,18047
D10-e003Coalescence-mGAM-p5,2353,18230
C8-e003Coalescence-mBHI-p7,1700,15073
B11-e003Assembly-mGAM-p5,2311,17934
G3-e004Assembly-epsilon-p7,2079,16732
B4-e003Coalescence-mGAM-p5,2311,18136
D4-e003Coalescence-mGAM-p5,2312,18116
C3-e004Assembly-mBHI-p7,2226,17591
B5-e003Coalescence-mGAM-p5,2361,18239
BB-Fecal,1429,11239
B5-e003Coalescence-Inoculumn-mBHI,2354,18115
G3-e004Assembly-epsilon-p3,2208,17478
C2-e003Coalescence-mGAM-p3,2256,17703
B5-e003Coalescence-mGAM-p7,2355,18200
D8-e003Coalescence-mBHI-p5,2343,18171
E5-e004Assembly-mGAM-p7,2005,16039
C10-e003Assembly-mGAM-p3,2216,17591
B10-e003Coalescence-mBHI-p5,2296,18028
D5-e003Coalescence-Inoculumn-mGAM,2292,17854
B3-e004Assembly-mBHI-p5,2226,17539
B5-e003Coalescence-mBHI-p3,2358,18252
G4-e004Assembly-epsilon-p5,2230,17334
C4-e003Coalescence-mGAM-p5,2332,18022
C5-e003Coalescence-mGAM-p7,2305,18066
C5-e003Coalescence-mBHI-inoculumn-redo,2363,18251
A10-e003Coalescence-mBHI-p5,1398,12942
BF-Fecal,1689,14416
AM-Fecal,1795,14111
B8-e003Assembly-mGAM-p3,2141,17817
A4-e003Coalescence-mGAM-p5,2355,18013
D5-e003Coalescence-mBHI-p5,2336,18154
D3-e003Assembly-mBHI-p3,2308,17861
D4-e003Coalescence-mGAM-p7,2301,18022
A8-e003Coalescence-mBHI-p7,2248,18049
e003-inoculumn-fecal-AC,2177,17314
E3-e004Assembly-mGAM-p7,2055,16627
B9-e003GlycerolRevival-mGAM-p2,2226,17213
C4-e003Coalescence-mGAM-p3,2348,18150
B2-e003Coalescence-Inoculumn-mGAM,2300,18132
D5-e003Coalescence-mGAM-p7,2322,17950
C5-e003Coalescence-mBHI-p5,2351,18201
C5-e003Coalescence-mGAM-p3,2315,18144
A3-e003Coalescence-mBHI-inoculumn-redo,2084,16677
D9-e003Assembly-mGAM-p5,1671,13353
B12-e003Coalescence-mGAM-p3,2360,18200
A11-e003Coalescence-mBHI-p7,2053,16405
A3-e003Coalescence-Inoculumn-mGAM,2270,18106
D10-e003Assembly-mGAM-p3,2184,17730
C3-e003Coalescence-mGAM-p5,2350,18219
C10-e003GlycerolRevival-mGAM-p2,2192,17738
D3-e003Assembly-mBHI-p5,2314,17875
A10-e003Coalescence-mGAM-p3,2342,18201
A9-e003Coalescence-mBHI-p3,2347,18203
A2-e003Coalescence-Inoculumn-mBHI,2168,17916
D3-e003Coalescence-mBHI-p7,2332,17919
C3-e003Coalescence-mBHI-p5,2332,17964
D11-e003Assembly-mGAM-p3,2336,17904
D2-e003Assembly-mBHI-p3,2272,18132
B3-e003Assembly-mBHI-p5,2249,17607
A9-e003Coalescence-mBHI-p5,2261,17764
D5-e003Coalescence-Inoculumn-mBHI,2363,18262
B2-e003Coalescence-mGAM-p3,2271,17635
C11-e003Coalescence-mGAM-p5,2318,18126
G4-e004Assembly-epsilon-p3,2241,17406
B3-e003Coalescence-Inoculumn-mBHI,2303,17868
A8-e003Coalescence-mBHI-p5,2139,17558
D5-e004Assembly-mGAM-p7,2296,18095
C2-e003Assembly-mBHI-p5,1194,11073
D9-e003Coalescence-mBHI-p3,1780,14034
D5-e003Assembly-mBHI-p5,2264,16845
A5-e003Coalescence-mBHI-p7,2308,17824
BG-Fecal,2308,18061
D2-e003Coalescence-mGAM-p5,2359,18216
B9-e003Assembly-mGAM-p5,1458,11949
D3-e003Coalescence-mGAM-p3,2351,18194
D9-e003Coalescence-mGAM-p3,2363,18230
D3-e003Coalescence-mGAM-p5,2363,18255
C10-e003Coalescence-mGAM-p3,2264,17814
A5-e003Coalescence-mBHI-inoculumn-redo,2290,17788
B11-e003Assembly-mGAM-p3,2348,18080
D2-e003Assembly-mBHI-p5,1778,15169
B9-e003Coalescence-mGAM-p7,2300,17882
B11-e003Coalescence-mGAM-p7,2361,18198
C3-e003Coalescence-Inoculumn-mGAM,2333,18175
B5-e003Coalescence-mBHI-p7,2349,18062
A3-e003Coalescence-mGAM-p7,2281,17829
D4-e003Coalescence-Inoculumn-mBHI,2361,18243
A4-e003Coalescence-mBHI-p5,2195,17361
B3-e003Coalescence-mBHI-p7,2315,17865
D10-e003Coalescence-mGAM-p7,2361,18230
C12-e003Coalescence-mGAM-p3,2320,18067
C11-e003Coalescence-mGAM-p3,2336,18165
D5-e004Assembly-mGAM-p3,2303,18076
A10-e003Coalescence-mBHI-p7,1988,16408
C10-e003Coalescence-mBHI-p7,2260,17653
B9-e003Coalescence-mBHI-p5,2309,17901
F4-e004Assembly-epsilon-p3,2227,17397
B10-e003Coalescence-mBHI-p3,2254,18009
C11-e003Coalescence-mBHI-p5,2334,18190
A2-e003Coalescence-mGAM-p7,2222,17997
C5-e003Assembly-mBHI-p3,2037,14683
E3-e004Assembly-mGAM-p5,2234,17601
C3-e003GlycerolRevival-mBHI-p2,2317,18005
D10-e003Coalescence-mGAM-p3,2334,18167
B10-e003Coalescence-mGAM-p7,2235,17947
C4-e004Assembly-mBHI-p3,1431,11657
A9-e003Coalescence-mBHI-p7,2337,18021
C2-e003Coalescence-Inoculumn-mGAM,2277,18103
B3-e003Coalescence-Inoculumn-mGAM,2296,17858
D11-e003Coalescence-mGAM-p7,2300,18002
D5-e003Coalescence-mGAM-p3,2360,18201
E4-e004Assembly-mGAM-p5,2082,16313
D2-e003Coalescence-Inoculumn-mBHI,2242,17314
B4-e003Coalescence-Inoculumn-mGAM,2342,18189
A10-e003Coalescence-mGAM-p7,2156,17768
B2-e003Assembly-mBHI-p3,2110,17784
F4-e004Assembly-epsilon-p7,2242,17410
D9-e003Coalescence-mBHI-p5,2292,17763
C4-e003Coalescence-Inoculumn-mGAM,2252,18056
D4-e003Coalescence-mGAM-p3,2320,18143
B9-e003Coalescence-mBHI-p7,2308,17881
A2-e003Coalescence-mGAM-p5,2259,18050
D11-e003Assembly-mGAM-p5,2285,17859
C3-e003Coalescence-mGAM-p7,2352,18208
B11-e003GlycerolRevival-mGAM-p2,2294,17849
B3-e003Coalescence-mGAM-p5,2308,17878
D9-e003Coalescence-mBHI-p7,2308,17846
B10-e003Assembly-mGAM-p3,2076,16393
D3-e004Assembly-mGAM-p5,2246,17620
C5-e003Coalescence-mBHI-p7,2360,18243
D12-e003Coalescence-mBHI-p3,2180,16193
D4-e004Assembly-mGAM-p7,2183,17152
C11-e003Coalescence-mGAM-p7,2322,18157
C11-e003Assembly-mGAM-p3,2328,17978
D10-e003Coalescence-mBHI-p7,2303,17934
C9-e003Coalescence-mBHI-p7,2134,17437
A2-e003Coalescence-mBHI-p3,848,7527
B8-e003Coalescence-mGAM-p5,2346,18233
C3-e004Assembly-mBHI-p3,2228,17594
C11-e003Assembly-mGAM-p5,2342,17945
B10-e003GlycerolRevival-mGAM-p2,1818,15313
B3-e003Coalescence-mBHI-p5,2306,17883
C2-e003Coalescence-mBHI-inoculumn-redo,2337,18153
A8-e003Coalescence-mGAM-p7,2215,18000
C11-e003GlycerolRevival-mGAM-p2,2321,17680
B2-e003Coalescence-Inoculumn-mBHI,2307,17933
A11-e003Coalescence-mBHI-p5,2235,17791
C10-e003Coalescence-mGAM-p5,2331,18106
C4-e003Assembly-mBHI-p5,2260,17866
C9-e003Assembly-mGAM-p5,1198,9636
A5-e003Coalescence-Inoculumn-mGAM,2357,18258
A3-e003Coalescence-mBHI-p3,974,8655
AG-Fecal,2277,17721
D4-e003Coalescence-Inoculumn-mGAM,2230,17596
A2-e003Coalescence-mBHI-p5,1518,13486
B5-e004Assembly-mBHI-p5,1728,13779
C5-e003Assembly-mBHI-p5,1263,8300
C10-e003Coalescence-mBHI-p5,2215,17458
B9-e003Coalescence-mBHI-p3,2302,17860
C3-e003Coalescence-mBHI-inoculumn-redo,2361,18238
e004-inoculumn-fecal-AR,2231,17555
B5-e003Coalescence-mGAM-p3,2358,18208
BK-Fecal,2215,17344
C3-e003Assembly-mBHI-p5,2295,17865
A5-e003Coalescence-mBHI-p3,1230,8438
C4-e004Assembly-mBHI-p7,1402,11019
C9-e003GlycerolRevival-mGAM-p2,2276,17798
F3-e004Assembly-epsilon-p5,2190,17120
C9-e003Coalescence-mGAM-p5,2299,18119
A2-e003Coalescence-mBHI-inoculumn-redo,2363,18262
C2-e003Coalescence-mGAM-p5,2304,17635
B8-e003GlycerolRevival-mGAM-p2,2244,18028
C8-e003Coalescence-mBHI-p5,2295,18108
B8-e003Coalescence-mGAM-p7,2340,18080
B4-e003Coalescence-Inoculumn-mBHI,2353,18225
D2-e003Coalescence-Inoculumn-mGAM,2360,18244
B8-e003Coalescence-mBHI-p7,2264,17738
B3-e004Assembly-mBHI-p3,2234,17611
e003-inoculumn-fecal-AE,1329,11777
D3-e003Coalescence-Inoculumn-mGAM,2348,18216
B11-e003Coalescence-mBHI-p3,2304,17882
C5-e003Coalescence-Inoculumn-mGAM,2352,18209
C4-e003Coalescence-mBHI-p5,2291,17685
G3-e004Assembly-epsilon-p5,2163,17321
BC-Fecal,2266,17799
e004-inoculumn-fecal-BE,2292,17983
BA-Fecal,2257,17580
e003-inoculumn-fecal-AF,2102,15753
A11-e003Coalescence-mBHI-p3,2356,18247
A4-e003Coalescence-Inoculumn-mGAM,2300,18124
B4-e003Coalescence-mBHI-p3,2320,17996
A5-e003Coalescence-Inoculumn-mBHI,1849,13729
A9-e003Coalescence-mGAM-p5,2342,18220
C10-e003Coalescence-mGAM-p7,2334,18162
F3-e004Assembly-epsilon-p7,1768,14644
A11-e003Coalescence-mGAM-p3,2342,18188
C10-e003Coalescence-mBHI-p3,2284,18003
D2-e003Coalescence-mBHI-p3,2338,17773
C5-e003GlycerolRevival-mBHI-p2,1855,13518
H5-e003Coalescence-mBHI-p5_S40,2352,17914
E2-e003Coalescence-mGAM-p7_S145,2188,17988
G5-e003Coalescence-mBHI-p7_S124,2350,18220
H111-e003Coalescence-mGAM-p7_S188,2306,17948
H4-e003Coalescence-mGAM-p7_S183,2298,17977
F5-e003Coalescence-mGAM-p5_S64,2362,18239
F5-e003Coalescence-mGAM-p7_S160,2358,18249
F8-e003Coalescence-mBHI-p3_S117,2291,18002
H3-e003Coalescence-mBHI-p3_S46,2363,18254
H2-e003Coalescence-mBHI-p7_S133,2317,17925
E5-e003Coalescence-mBHI-p3_S12,2300,17338
F100-e003Coalescence-mGAM-p7_S163,2286,17905
F9-e003Coalescence-mBHI-p5_S18,2272,17763
H3-e003Coalescence-mBHI-p7_S134,2328,17958
E3-e003Coalescence-mGAM-p3_S58,2201,17350
G4-e003Coalescence-mBHI-p5_S27,2289,17840
E8-e003Coalescence-mBHI-p5_S5,2206,18001
G2-e003Coalescence-mBHI-p3_S33,789,8270
E9-e003Coalescence-mBHI-p5_S6,2294,17880
H111-e003Coalescence-mBHI-p3_S144,2303,17897
G111-e003Coalescence-mGAM-p5_S80,2332,17999
G100-e003Coalescence-mGAM-p3_S179,1920,15890
F111-e003Coalescence-mGAM-p5_S68,2314,17500
G111-e003Coalescence-mBHI-p5_S32,2324,18105
G5-e003Coalescence-mBHI-p3_S36,2288,17951
H2-e003Coalescence-mGAM-p7_S181,2363,18249
H9-e003Coalescence-mGAM-p3_S190,2324,17659
E3-e003Coalescence-mBHI-p3_S10,1899,15760
H2-e003Coalescence-mGAM-p5_S85,2244,16596
G8-e003Coalescence-mGAM-p3_S177,2320,18154
F2-e003Coalescence-mGAM-p7_S157,2283,17823
H3-e003Coalescence-mGAM-p3_S94,2360,18208
H4-e003Coalescence-mGAM-p3_S95,2297,17917
E5-e003Coalescence-mBHI-p7_S100,2309,17705
F3-e003Coalescence-mGAM-p3_S70,2265,17738
E100-e003Coalescence-mBHI-p7_S103,2190,17840
F9-e003Coalescence-mGAM-p5_S66,2271,17807
G111-e003Coalescence-mGAM-p7_S176,1826,12558
H100-e003Coalescence-mGAM-p7_S187,2335,17725
E100-e003Coalescence-mGAM-p3_S155,2274,18099
E3-e003Coalescence-mGAM-p5_S50,2288,17849
F5-e003Coalescence-mGAM-p3_S72,2361,18190
E9-e003Coalescence-mBHI-p7_S102,2280,17911
E5-e003Coalescence-mBHI-p5_S4,2272,17141
F111-e003Coalescence-mGAM-p7_S164,2261,16906
E111-e003Coalescence-mBHI-p5_S8,2251,18019
H100-e003Coalescence-mBHI-p5_S43,2338,18173
F2-e003Coalescence-mGAM-p5_S61,2301,17890
F5-e003Coalescence-mBHI-p5_S16,2348,18022
F8-e003Coalescence-mGAM-p5_S65,2283,18174
H8-e003Coalescence-mBHI-p7_S137,2323,18146
G9-e003Coalescence-mGAM-p5_S78,2312,18145
E2-e003Coalescence-mBHI-p5_S1,1057,10493
E2-e003Coalescence-mBHI-p3_S9,1089,9837
G8-e003Coalescence-mGAM-p5_S77,2200,18000
G3-e003Coalescence-mBHI-p3_S34,2322,18151
G100-e003Coalescence-mBHI-p5_S31,2201,17719
F9-e003Coalescence-mBHI-p3_S118,1510,12753
E111-e003Coalescence-mBHI-p3_S108,2244,17778
F8-e003Coalescence-mGAM-p3_S165,1127,10791
G3-e003Coalescence-mBHI-p5_S26,2352,18158
G5-e003Coalescence-mBHI-p5_S28,2358,18247
H111-e003Coalescence-mGAM-p5_S92,2303,17883
G4-e003Coalescence-mBHI-p3_S35,2251,17517
H9-e003Coalescence-mGAM-p5_S90,2347,17941
H2-e003Coalescence-mBHI-p3_S45,2296,17412
E8-e003Coalescence-mBHI-p7_S101,2314,18194
E4-e003Coalescence-mBHI-p5_S3,2257,17806
H2-e003Coalescence-mGAM-p3_S93,2360,18157
E4-e003Coalescence-mGAM-p5_S51,2280,17926
G9-e003Coalescence-mGAM-p7_S174,2252,18020
F2-e003Coalescence-mBHI-p3_S21,1184,10716
E8-e003Coalescence-mGAM-p3_S153,2306,18025
G111-e003Coalescence-mGAM-p3_S180,2351,18146
G5-e003Coalescence-mGAM-p3_S84,2308,18108
H8-e003Coalescence-mBHI-p5_S41,2312,18137
E100-e003Coalescence-mBHI-p5_S7,2204,17813
G100-e003Coalescence-mGAM-p7_S175,2219,17739
F9-e003Coalescence-mGAM-p7_S162,2255,17653
F8-e003Coalescence-mGAM-p7_S161,2290,17868
F3-e003Coalescence-mBHI-p3_S22,2280,17819
G3-e003Coalescence-mBHI-p7_S122,2331,18030
G5-e003Coalescence-mGAM-p5_S76,2316,18076
G5-e003Coalescence-mGAM-p7_S172,2315,17994
G4-e003Coalescence-mGAM-p5_S75,2288,17768
G8-e003Coalescence-mBHI-p3_S129,2244,18008
E5-e003Coalescence-mGAM-p3_S60,2354,18118
G2-e003Coalescence-mGAM-p5_S73,2281,17926
E5-e003Coalescence-mGAM-p7_S148,2363,18204
H9-e003Coalescence-mGAM-p7_S186,2333,17993
E100-e003Coalescence-mGAM-p5_S55,2207,17975
E8-e003Coalescence-mGAM-p5_S53,2168,17990
H5-e003Coalescence-mGAM-p3_S96,2358,18042
G4-e003Coalescence-mGAM-p3_S83,2297,18098
F4-e003Coalescence-mBHI-p7_S111,2306,18159
H3-e003Coalescence-mGAM-p7_S182,2363,18248
H5-e003Coalescence-mGAM-p5_S88,2361,18077
F4-e003Coalescence-mGAM-p5_S63,2312,18124
G4-e003Coalescence-mGAM-p7_S171,2256,17797
H8-e003Coalescence-mGAM-p5_S89,2312,18095
F3-e003Coalescence-mBHI-p5_S14,2283,17818
F100-e003Coalescence-mBHI-p7_S115,2352,18201
E3-e003Coalescence-mGAM-p7_S146,2289,17792
F100-e003Coalescence-mGAM-p3_S167,2251,17707
G100-e003Coalescence-mBHI-p3_S131,2125,17888
G4-e003Coalescence-mBHI-p7_S123,2295,17932
E9-e003Coalescence-mGAM-p3_S154,2312,18150
F3-e003Coalescence-mGAM-p5_S62,2296,17816
H4-e003Coalescence-mBHI-p7_S135,2337,18057
G111-e003Coalescence-mBHI-p7_S128,2030,16646
H3-e003Coalescence-mBHI-p5_S38,2351,18118
G3-e003Coalescence-mGAM-p3_S82,2319,17982
F111-e003Coalescence-mGAM-p3_S168,2313,17607
F3-e003Coalescence-mGAM-p7_S158,2240,17655
F8-e003Coalescence-mBHI-p7_S113,2246,17741
H4-e003Coalescence-mBHI-p3_S47,2354,18142
F3-e003Coalescence-mBHI-p7_S110,2143,17104
F100-e003Coalescence-mGAM-p5_S67,2243,17816
G8-e003Coalescence-mBHI-p7_S125,2125,17494
F4-e003Coalescence-mBHI-p5_S15,2311,18153
H111-e003Coalescence-mBHI-p5_S44,2316,17739
E111-e003Coalescence-mBHI-p7_S104,2339,18217
E2-e003Coalescence-mGAM-p3_S57,2195,18012
F2-e003Coalescence-mBHI-p5_S13,889,7881
F4-e003Coalescence-mBHI-p3_S23,2299,17959
F2-e003Coalescence-mGAM-p3_S69,2246,17727
E9-e003Coalescence-mGAM-p5_S54,2324,18190
G3-e003Coalescence-mGAM-p5_S74,2336,18217
E111-e003Coalescence-mGAM-p5_S56,2309,17989
G100-e003Coalescence-mGAM-p5_S79,2267,18029
H100-e003Coalescence-mGAM-p5_S91,2332,17896
G9-e003Coalescence-mBHI-p3_S130,2179,17845
E4-e003Coalescence-mGAM-p7_S147,2297,18116
E4-e003Coalescence-mGAM-p3_S59,2269,17638
H4-e003Coalescence-mBHI-p5_S39,2333,18156
F4-e003Coalescence-mGAM-p3_S71,2337,18143
H100-e003Coalescence-mBHI-p7_S139,2331,18165
G8-e003Coalescence-mBHI-p5_S29,2245,18046
G2-e003Coalescence-mBHI-p5_S25,1304,11098
G8-e003Coalescence-mGAM-p7_S173,2220,18036
E4-e003Coalescence-mBHI-p3_S11,808,7395
E2-e003Coalescence-mGAM-p5_S49,2203,18013
H9-e003Coalescence-mBHI-p5_S42,2271,17766
H111-e003Coalescence-mGAM-p3_S192,2312,17918
F5-e003Coalescence-mBHI-p3_S24,2360,18240
E8-e003Coalescence-mBHI-p3_S105,2109,17805
E8-e003Coalescence-mGAM-p7_S149,2206,17993
H5-e003Coalescence-mBHI-p7_S136,2299,17057
G9-e003Coalescence-mBHI-p5_S30,2262,18017
F111-e003Coalescence-mBHI-p7_S116,2318,17916
F5-e003Coalescence-mBHI-p7_S112,2317,17850
F4-e003Coalescence-mGAM-p7_S159,2336,18183
F111-e003Coalescence-mBHI-p3_S120,2263,17715
H3-e003Coalescence-mGAM-p5_S86,2363,18221
E4-e003Coalescence-mBHI-p7_S99,2246,17993
H4-e003Coalescence-mGAM-p5_S87,2305,17938
E100-e003Coalescence-mGAM-p7_S151,2190,17968
G9-e003Coalescence-mGAM-p3_S178,2343,18212
H9-e003Coalescence-mBHI-p7_S138,2243,17639
H8-e003Coalescence-mGAM-p7_S185,2309,18145
G2-e003Coalescence-mGAM-p3_S81,2264,18075
F111-e003Coalescence-mBHI-p5_S20,2203,17287
F8-e003Coalescence-mBHI-p5_S17,2311,17988
G100-e003Coalescence-mBHI-p7_S127,2087,16961
E5-e003Coalescence-mGAM-p5_S52,2361,18137
