,A2-e003Coalescence-Inoculumn-mGAM,B3-e003Coalescence-Inoculumn-mGAM
C12-e003Coalescence-mBHI-p3,6149,7113
C9-e003Coalescence-mGAM-p3,6608,7575
C11-e003Coalescence-mBHI-p3,6407,7414
D11-e003Coalescence-mBHI-p5,6032,6994
C9-e003Coalescence-mGAM-p7,6453,7451
C8-e003Coalescence-mGAM-p7,6602,7608
D10-e003Coalescence-mBHI-p3,6548,7559
F3-e004Assembly-epsilon-p3,6456,7376
B2-e003Coalescence-mBHI-p3,5191,5326
A8-e003Coalescence-mBHI-p3,6499,7589
e004-inoculumn-fecal-BD,6175,7045
A4-e003Coalescence-mBHI-p7,5549,6437
B9-e003Coalescence-mGAM-p5,6588,7437
A4-e003Coalescence-mBHI-inoculumn-redo,6567,7570
B3-e003Coalescence-mBHI-p3,6603,7471
D4-e003Coalescence-mBHI-p5,6273,7181
C2-e003Coalescence-mBHI-p5,2000,2424
B3-e004Assembly-mBHI-p7,6374,7318
B5-e004Assembly-mBHI-p7,6471,7525
D4-e003Coalescence-mBHI-p3,6118,7083
C4-e003GlycerolRevival-mBHI-p2,6339,7378
D10-e003Assembly-mGAM-p5,4433,5213
B2-e003Assembly-mBHI-p5,2250,3104
C3-e004Assembly-mBHI-p5,6315,7251
B8-e003Assembly-mGAM-p5,6210,7479
F4-e004Assembly-epsilon-p5,6216,7119
C4-e003Coalescence-mGAM-p7,6463,7426
B12-e003Coalescence-mBHI-p3,6466,7102
D3-e004Assembly-mGAM-p7,6370,7279
C8-e003Assembly-mGAM-p3,6431,7577
C3-e003Coalescence-mGAM-p3,6584,7539
B4-e003Assembly-mBHI-p5,6204,7161
D4-e004Assembly-mGAM-p5,6269,7139
D3-e003Coalescence-Inoculumn-mBHI,6609,7599
C8-e003Assembly-mGAM-p5,6457,7589
C3-e003Coalescence-mBHI-p7,6608,7563
D11-e003Coalescence-mGAM-p5,6040,7010
A11-e003Coalescence-mGAM-p7,6150,7161
B8-e003Coalescence-mBHI-p5,6596,7547
B10-e003Assembly-mGAM-p5,5919,6876
C2-e003Coalescence-mGAM-p7,6330,7295
D3-e003Coalescence-mBHI-p5,6578,7510
B11-e003Coalescence-mGAM-p3,6582,7572
C4-e003Coalescence-mBHI-inoculumn-redo,6400,7362
B5-e003Assembly-mBHI-p5,6075,6919
D2-e003Coalescence-mBHI-p5,5659,6547
D8-e003Assembly-mGAM-p5,6465,7587
D5-e003Coalescence-mGAM-p5,6456,7415
B5-e003Coalescence-mBHI-p5,6582,7501
D5-e003Coalescence-mBHI-p7,6492,7455
C9-e003Coalescence-mBHI-p5,6379,7292
A5-e003Coalescence-mGAM-p3,6423,7387
A2-e003Coalescence-Inoculumn-mGAM,6613,7608
E5-e004Assembly-mGAM-p5,5986,7015
D8-e003Coalescence-mGAM-p5,6297,7290
A12-e003Coalescence-mGAM-p3,6248,7280
C2-e003Coalescence-mBHI-p3,6154,7122
C4-e004Assembly-mBHI-p5,5438,6233
D9-e003Coalescence-mGAM-p7,6494,7483
D4-e003Coalescence-mBHI-p7,6478,7429
D8-e003Assembly-mGAM-p3,6324,7541
E4-e004Assembly-mGAM-p7,6188,7073
E3-e004Assembly-mGAM-p3,6424,7383
B10-e003Coalescence-mGAM-p3,6610,7576
A9-e003Coalescence-mGAM-p7,6612,7601
D5-e004Assembly-mGAM-p5,3261,3934
B5-e003Coalescence-Inoculumn-mGAM,6401,7346
D10-e003Coalescence-mBHI-p5,6295,7268
D5-e003Coalescence-mBHI-p3,6321,7293
C5-e003Coalescence-mBHI-p3,5509,6364
D9-e003Coalescence-mGAM-p5,6581,7557
C9-e003Coalescence-mBHI-p3,6465,7440
D10-e003Coalescence-mGAM-p5,6440,7415
C8-e003Coalescence-mBHI-p7,4878,6153
B11-e003Assembly-mGAM-p5,6029,6998
G3-e004Assembly-epsilon-p7,5920,6839
B4-e003Coalescence-mGAM-p5,6544,7530
D4-e003Coalescence-mGAM-p5,6039,7013
C3-e004Assembly-mBHI-p7,6330,7274
B5-e003Coalescence-mGAM-p5,6457,7410
BB-Fecal,3990,4453
B5-e003Coalescence-Inoculumn-mBHI,6599,7560
G3-e004Assembly-epsilon-p3,6267,7202
C2-e003Coalescence-mGAM-p3,6352,7348
B5-e003Coalescence-mGAM-p7,6432,7399
D8-e003Coalescence-mBHI-p5,6509,7564
E5-e004Assembly-mGAM-p7,5617,6536
C10-e003Assembly-mGAM-p3,6284,7258
B10-e003Coalescence-mBHI-p5,6484,7436
D5-e003Coalescence-Inoculumn-mGAM,5933,6875
B3-e004Assembly-mBHI-p5,6320,7268
