,A2-e003Coalescence-mBHI-inoculumn-redo,B3-e003Coalescence-Inoculumn-mBHI
D8-e003Coalescence-mBHI-p5,0.7148553137003841,0.27907693290734825
E5-e004Assembly-mGAM-p7,0.253947930004268,0.18389776357827475
C10-e003Assembly-mGAM-p3,0.4702163892445583,0.2926181469648562
B10-e003Coalescence-mBHI-p5,0.25333077251387115,0.610924856230032
D5-e003Coalescence-Inoculumn-mGAM,0.36809859154929575,0.3662572523961661
B3-e004Assembly-mBHI-p5,0.4474272300469484,0.3018470287539936
B5-e003Coalescence-mBHI-p3,0.2570320102432779,0.5921313738019169
G4-e004Assembly-epsilon-p5,0.431924882629108,0.3289953993610224
C4-e003Coalescence-mGAM-p5,0.4977362355953905,0.3115377635782748
C5-e003Coalescence-mGAM-p7,0.3785522833973538,0.37333571884984024
C5-e003Coalescence-mBHI-inoculumn-redo,0.45428297055057626,0.3415418530351438
A10-e003Coalescence-mBHI-p5,0.43919419547588556,0.16137571884984023
BF-Fecal,0.3125749039692702,0.24913597444089455
AM-Fecal,0.34101579172001706,0.24830670926517573
B8-e003Assembly-mGAM-p3,0.8616811779769528,0.2047244728434505
A4-e003Coalescence-mGAM-p5,0.38005420401195056,0.40163450479233226
D5-e003Coalescence-mBHI-p5,0.49335638070849336,0.3123446645367412
D3-e003Assembly-mBHI-p3,0.0016453265044814342,0.9914345047923323
D4-e003Coalescence-mGAM-p7,0.37295731967562956,0.36794913738019175
A8-e003Coalescence-mBHI-p7,0.9051523687580025,0.21202773162939298
e003-inoculumn-fecal-AC,0.2212667520273154,0.6980760383386581
E3-e004Assembly-mGAM-p7,0.4049650021340162,0.27525214057507985
B9-e003GlycerolRevival-mGAM-p2,0.0,0.9501597444089457
C4-e003Coalescence-mGAM-p3,0.4992270593256509,0.3143741853035144
B2-e003Coalescence-Inoculumn-mGAM,0.7659142125480153,0.32609316293929713
D5-e003Coalescence-mGAM-p7,0.37905121638924455,0.37031539936102237
C5-e003Coalescence-mBHI-p5,0.41424413145539907,0.3755566773162939
C5-e003Coalescence-mGAM-p3,0.38180537772087064,0.37745124600638985
A3-e003Coalescence-mBHI-inoculumn-redo,0.09171020059752454,0.8122474121405752
D9-e003Assembly-mGAM-p5,0.0,0.7129487539936102
B12-e003Coalescence-mGAM-p3,0.3798344003414426,0.4153612779552716
A11-e003Coalescence-mBHI-p7,0.6856457533077251,0.2349073482428115
A3-e003Coalescence-Inoculumn-mGAM,0.7498194622279128,0.32873226837060704
D10-e003Assembly-mGAM-p3,0.4644011950490824,0.2984879233226837
C3-e003Coalescence-mGAM-p5,0.3276538625693555,0.5166281150159744
C10-e003GlycerolRevival-mGAM-p2,0.4671621852326077,0.2961458146964856
D3-e003Assembly-mBHI-p5,0.008256081946222793,0.9867726517571885
A10-e003Coalescence-mGAM-p3,0.6676717883055912,0.26761891373801916
A9-e003Coalescence-mBHI-p3,0.35839820742637646,0.6712419169329075
A2-e003Coalescence-Inoculumn-mBHI,0.8932142552283399,0.1986647923322684
D3-e003Coalescence-mBHI-p7,0.04084933845497226,0.9349791693290735
C3-e003Coalescence-mBHI-p5,0.06025181391378575,0.8989027476038338
D11-e003Assembly-mGAM-p3,0.3779159197609902,0.37414057507987214
D2-e003Assembly-mBHI-p3,0.9191792573623558,0.20710888178913742
B3-e003Assembly-mBHI-p5,0.0008775074690567648,0.9721565495207668
A9-e003Coalescence-mBHI-p5,0.1382291933418694,0.8469593610223642
D5-e003Coalescence-Inoculumn-mBHI,0.37816944088775073,0.3713326517571885
B2-e003Coalescence-mGAM-p3,0.015795134443021764,0.9653786581469648
C11-e003Coalescence-mGAM-p5,0.38689287238583014,0.37615233226837064
G4-e004Assembly-epsilon-p3,0.44216816047801966,0.33126019169329074
B3-e003Coalescence-Inoculumn-mBHI,0.005266752027315407,0.9912079233226836
A8-e003Coalescence-mBHI-p5,0.8604515578318395,0.19372076677316294
D5-e004Assembly-mGAM-p7,0.30559112249253095,0.21803361022364215
C2-e003Assembly-mBHI-p5,0.48562142552283405,0.10850095846645368
D9-e003Coalescence-mBHI-p3,0.004513871105420401,0.7485231948881789
D5-e003Assembly-mBHI-p5,0.3737708066581306,0.35163450479233227
A5-e003Coalescence-mBHI-p7,0.4887708066581306,0.33843565495207667
BG-Fecal,0.37717968416559966,0.4368992971246006
D2-e003Coalescence-mGAM-p5,0.4014852752880922,0.38368357827476035
B9-e003Assembly-mGAM-p5,0.0,0.6346325878594249
D3-e003Coalescence-mGAM-p3,0.3847588561673069,0.38309968051118215
D9-e003Coalescence-mGAM-p3,0.38685232607767817,0.41387757188498403
D3-e003Coalescence-mGAM-p5,0.40276909944515576,0.38932396166134187
C10-e003Coalescence-mGAM-p3,0.47376056338028166,0.3050311821086262
A5-e003Coalescence-mBHI-inoculumn-redo,0.5226999573196757,0.32129303514376994
B11-e003Assembly-mGAM-p3,0.3931216389244558,0.37566428115015976
D2-e003Assembly-mBHI-p5,0.7030857874519846,0.1497717571884984
B9-e003Coalescence-mGAM-p7,1.8352539479300042e-05,0.996942875399361
B11-e003Coalescence-mGAM-p7,0.3785441741357234,0.4243463258785942
C3-e003Coalescence-Inoculumn-mGAM,0.18562782757148957,0.7137973162939297
B5-e003Coalescence-mBHI-p7,0.1400345710627401,0.7814387220447284
A3-e003Coalescence-mGAM-p7,0.0024016218523260774,0.9916578913738019
D4-e003Coalescence-Inoculumn-mBHI,0.4531374306444729,0.33945763578274757
A4-e003Coalescence-mBHI-p5,0.4744037558685446,0.28126734824281147
B3-e003Coalescence-mBHI-p7,0.0017272727272727268,0.9911302236421725
D10-e003Coalescence-mGAM-p7,0.40134314980793856,0.38533239616613413
C12-e003Coalescence-mGAM-p3,0.38555356380708494,0.3732984025559105
C11-e003Coalescence-mGAM-p3,0.39490226205719164,0.3840222364217253
D5-e004Assembly-mGAM-p3,0.3068715322236449,0.21737367412140576
A10-e003Coalescence-mBHI-p7,0.5395053350405463,0.23806070287539935
C10-e003Coalescence-mBHI-p7,0.4743235168587282,0.3050596805111821
B9-e003Coalescence-mBHI-p5,0.0003994878361075546,0.9980283706070288
F4-e004Assembly-epsilon-p3,0.43661971830985913,0.33218990415335464
B10-e003Coalescence-mBHI-p3,0.37080110968843366,0.45046990415335464
C11-e003Coalescence-mBHI-p5,0.46890610328638493,0.3257127156549521
A2-e003Coalescence-mGAM-p7,0.8936427656850193,0.21239003194888179
C5-e003Assembly-mBHI-p3,0.2971212121212121,0.3067113099041534
E3-e004Assembly-mGAM-p5,0.45040887750746905,0.2993670287539936
C3-e003GlycerolRevival-mBHI-p2,0.1708617157490397,0.7877529712460064
D10-e003Coalescence-mGAM-p3,0.38753606487409303,0.3799095207667732
B10-e003Coalescence-mGAM-p7,0.4873790012804098,0.30815079872204476
C4-e004Assembly-mBHI-p3,0.2680324370465216,0.21303514376996804
A9-e003Coalescence-mBHI-p7,0.15781476739223219,0.8488706709265176
C2-e003Coalescence-Inoculumn-mGAM,0.8491485275288091,0.22576817891373802
B3-e003Coalescence-Inoculumn-mGAM,0.0007669654289372599,0.9930907348242812
D11-e003Coalescence-mGAM-p7,0.3745860008536065,0.36951182108626196
D5-e003Coalescence-mGAM-p3,0.400419120785318,0.38301814696485625
E4-e004Assembly-mGAM-p5,0.3803619291506615,0.30764984025559106
D2-e003Coalescence-Inoculumn-mBHI,0.5099270166453265,0.312764856230032
B4-e003Coalescence-Inoculumn-mGAM,0.1969637217242851,0.7026035782747603
A10-e003Coalescence-mGAM-p7,0.7925830132309005,0.22338517571884983
B2-e003Assembly-mBHI-p3,0.8734720443875372,0.19551923322683704
F4-e004Assembly-epsilon-p7,0.43491250533504056,0.33244447284345047
D9-e003Coalescence-mBHI-p5,0.003227486128894579,0.9845654952076678
C4-e003Coalescence-Inoculumn-mGAM,0.4902522407170295,0.30516856230031947
D4-e003Coalescence-mGAM-p3,0.38475458813486985,0.3789116932907349
B9-e003Coalescence-mBHI-p7,0.0,0.9964463897763577
A2-e003Coalescence-mGAM-p5,0.9077870251813914,0.21366185303514376
D11-e003Assembly-mGAM-p5,0.36872129748186083,0.36532025559105435
C3-e003Coalescence-mGAM-p7,0.3480832266325224,0.5014566134185303
B11-e003GlycerolRevival-mGAM-p2,0.3706542893725992,0.36825316293929716
B3-e003Coalescence-mGAM-p5,0.0001229193341869398,0.9956884345047924
D9-e003Coalescence-mBHI-p7,0.00025608194622279116,0.9938904792332267
B10-e003Assembly-mGAM-p3,0.4362462654716176,0.2839536102236422
D3-e004Assembly-mGAM-p5,0.45624754588134875,0.3001197444089457
C5-e003Coalescence-mBHI-p7,0.4109581732821169,0.37942747603833865
D12-e003Coalescence-mBHI-p3,0.3404652155356381,0.3419320127795527
D4-e004Assembly-mGAM-p7,0.4233888177550149,0.3269133546325878
C11-e003Coalescence-mGAM-p7,0.3894063166880068,0.37918198083067095
C11-e003Assembly-mGAM-p3,0.3789577464788732,0.3710802555910543
D10-e003Coalescence-mBHI-p7,0.4653431498079385,0.31622223642172526
C9-e003Coalescence-mBHI-p7,0.417145966709347,0.327882428115016
A2-e003Coalescence-mBHI-p3,0.3356338028169014,0.0630088178913738
B8-e003Coalescence-mGAM-p5,0.5018809218950063,0.5382470287539937
C3-e004Assembly-mBHI-p3,0.4501523687580025,0.3019631948881789
C11-e003Assembly-mGAM-p5,0.3904310712761417,0.37410453674121413
B10-e003GlycerolRevival-mGAM-p2,0.36865556978233033,0.24272319488817892
B3-e003Coalescence-mBHI-p5,0.0003585147247119079,0.9959736741214058
C2-e003Coalescence-mBHI-inoculumn-redo,0.5931101152368757,0.285662875399361
A8-e003Coalescence-mGAM-p7,0.8897853179684165,0.21372511182108628
C11-e003GlycerolRevival-mGAM-p2,0.38802176696542895,0.36781635782747596
B2-e003Coalescence-Inoculumn-mBHI,0.14344472897994026,0.8517247284345048
A11-e003Coalescence-mBHI-p5,0.7716649594536918,0.24644869009584663
C10-e003Coalescence-mGAM-p5,0.48925778915919754,0.30945392971246005
C4-e003Assembly-mBHI-p5,0.48031754161331625,0.3063732907348243
C9-e003Assembly-mGAM-p5,0.0,0.5139936102236422
A5-e003Coalescence-Inoculumn-mGAM,0.6796888604353393,0.29178722044728433
A3-e003Coalescence-mBHI-p3,0.04800128040973111,0.36402875399361023
AG-Fecal,0.4745992317541613,0.26953597444089455
D4-e003Coalescence-Inoculumn-mGAM,0.3799236022193769,0.3489217891373802
A2-e003Coalescence-mBHI-p5,0.6106696542893726,0.12775603833865815
B5-e004Assembly-mBHI-p5,0.21084080239009817,0.15450479233226838
C5-e003Assembly-mBHI-p5,0.1739086641058472,0.17306709265175718
C10-e003Coalescence-mBHI-p5,0.4645002134016219,0.30261827476038344
B9-e003Coalescence-mBHI-p3,0.0,0.9922515015974441
C3-e003Coalescence-mBHI-inoculumn-redo,0.22588092189500641,0.6705382747603833
e004-inoculumn-fecal-AR,0.4270085360648741,0.3031739297124601
B5-e003Coalescence-mGAM-p3,0.39031711481007253,0.396351821086262
BK-Fecal,0.4015842936406317,0.37225980830670924
C3-e003Assembly-mBHI-p5,0.09141997439180538,0.8651922044728434
A5-e003Coalescence-mBHI-p3,0.22346564233888175,0.1730576357827476
C4-e004Assembly-mBHI-p7,0.24583866837387963,0.2009773801916933
C9-e003GlycerolRevival-mGAM-p2,2.9876227059325653e-05,0.99147910543131
F3-e004Assembly-epsilon-p5,0.42694024754588134,0.29557891373801914
C9-e003Coalescence-mGAM-p5,0.35113615023474176,0.49138095846645363
A2-e003Coalescence-mBHI-inoculumn-redo,0.9929065300896287,0.2036438338658147
C2-e003Coalescence-mGAM-p5,0.49034400341442597,0.31393265175718854
B8-e003GlycerolRevival-mGAM-p2,0.8995283824157064,0.21077162939297125
C8-e003Coalescence-mBHI-p5,0.713767392232181,0.255126517571885
B8-e003Coalescence-mGAM-p7,0.2600606060606061,0.7519467092651757
