,A2-e003Coalescence-mBHI-inoculumn-redo,C4-e003Coalescence-mBHI-inoculumn-redo
C12-e003Coalescence-mBHI-p3,0.21399999999999997,0.9512532855020112
C9-e003Coalescence-mGAM-p3,0.4405,0.9958131536016435
C11-e003Coalescence-mBHI-p3,0.25,0.9686168670662744
D11-e003Coalescence-mBHI-p5,0.006899673395028946,0.15800000000000003
C9-e003Coalescence-mGAM-p7,0.11299999999999999,0.9976171461240033
C8-e003Coalescence-mGAM-p7,0.708,0.345
D10-e003Coalescence-mBHI-p3,0.34199999999999997,0.9842492303767085
F3-e004Assembly-epsilon-p3,0.30600000000000005,0.571
B2-e003Coalescence-mBHI-p3,0.214,0.273
A8-e003Coalescence-mBHI-p3,0.9975734551039612,0.16700000000000004
e004-inoculumn-fecal-BD,0.03496131439087692,0.9575372719306053
A4-e003Coalescence-mBHI-p7,0.0835627111175728,0.983678162120918
B9-e003Coalescence-mGAM-p5,0.005192580784469677,0.993998662552128
A4-e003Coalescence-mBHI-inoculumn-redo,0.33899999999999997,0.854
B3-e003Coalescence-mBHI-p3,0.013,0.975
D4-e003Coalescence-mBHI-p5,0.025889855780051627,0.615
C2-e003Coalescence-mBHI-p5,0.1816735879764647,0.801582966655394
B3-e004Assembly-mBHI-p7,0.013098092917076686,0.9842633180667643
B5-e004Assembly-mBHI-p7,0.009259263434815727,0.008014658300900267
D4-e003Coalescence-mBHI-p3,0.01731231477038377,0.51
C4-e003GlycerolRevival-mBHI-p2,0.01688952142105115,0.9986697235791396
D10-e003Assembly-mGAM-p5,0.09508680535404625,0.9545330496764493
B2-e003Assembly-mBHI-p5,0.8584031463644899,0.21733663491208946
C3-e004Assembly-mBHI-p5,0.018183545811626935,0.9774827114788469
B8-e003Assembly-mGAM-p5,0.993319813601439,0.08899999999999997
F4-e004Assembly-epsilon-p5,0.024972367422054945,0.968813558992431
C4-e003Coalescence-mGAM-p7,0.02269982259679836,0.9990388804910552
B12-e003Coalescence-mBHI-p3,0.0363290352465704,0.903
D3-e004Assembly-mGAM-p7,0.015024283051940904,0.9815744229066581
C8-e003Assembly-mGAM-p3,0.9977057610618811,0.128
C3-e003Coalescence-mGAM-p3,0.124,0.974
B4-e003Assembly-mBHI-p5,0.007361782371918167,0.9988883348801024
D4-e004Assembly-mGAM-p5,0.012645110948210974,0.9845240312961352
D3-e003Coalescence-Inoculumn-mBHI,0.33899999999999997,0.484
C8-e003Assembly-mGAM-p5,0.9982032635067258,0.157
C3-e003Coalescence-mBHI-p7,0.0625,0.904
D11-e003Coalescence-mGAM-p5,0.004255333947691252,0.14600000000000002
A11-e003Coalescence-mGAM-p7,0.07,0.32249999999999995
B8-e003Coalescence-mBHI-p5,0.3165,0.5885
B10-e003Assembly-mGAM-p5,0.0049797471799978635,0.9955835825290196
C2-e003Coalescence-mGAM-p7,0.00184147080260131,0.9999448723128762
D3-e003Coalescence-mBHI-p5,0.29,0.5
B11-e003Coalescence-mGAM-p3,0.0835,0.4135
C4-e003Coalescence-mBHI-inoculumn-redo,0.03045892011332062,0.999613067716469
B5-e003Assembly-mBHI-p5,0.04216164541722111,0.38
D2-e003Coalescence-mBHI-p5,0.267,0.375
D8-e003Assembly-mGAM-p5,0.9985458561900733,0.08699999999999998
D5-e003Coalescence-mGAM-p5,0.0023331713993465764,0.43500000000000005
B5-e003Coalescence-mBHI-p5,0.3415,0.5
D5-e003Coalescence-mBHI-p7,0.18799999999999994,0.3805
C9-e003Coalescence-mBHI-p5,0.25,0.9786991259469258
A5-e003Coalescence-mGAM-p3,0.0024624281922972346,0.39
A2-e003Coalescence-Inoculumn-mGAM,0.9994028259621605,0.06949999999999998
E5-e004Assembly-mGAM-p5,0.04759962326243108,0.044388100602583296
D8-e003Coalescence-mGAM-p5,0.1275,0.30500000000000005
A12-e003Coalescence-mGAM-p3,0.18450000000000003,0.3255
C2-e003Coalescence-mBHI-p3,0.02828977064419239,0.9770350430921318
C4-e004Assembly-mBHI-p5,0.07190373580742754,0.9121459083887121
D9-e003Coalescence-mGAM-p7,0.0755,0.3675
D4-e003Coalescence-mBHI-p7,0.013011493264249704,0.556
D8-e003Assembly-mGAM-p3,0.9960063198053705,0.021420835379863664
E4-e004Assembly-mGAM-p7,0.017509183798234997,0.9781969600505482
E3-e004Assembly-mGAM-p3,0.159,0.758
B10-e003Coalescence-mGAM-p3,0.44099999999999995,0.9910461233599323
A9-e003Coalescence-mGAM-p7,0.27,0.653
D5-e004Assembly-mGAM-p5,0.14081939787798364,0.14054737346619936
B5-e003Coalescence-Inoculumn-mGAM,0.196,0.389
D10-e003Coalescence-mBHI-p5,0.25,0.9680554019597281
D5-e003Coalescence-mBHI-p3,0.011977022805734256,0.43100000000000005
C5-e003Coalescence-mBHI-p3,0.05197399940372755,0.9234518345960624
D9-e003Coalescence-mGAM-p5,0.097,0.473
C9-e003Coalescence-mBHI-p3,0.148,0.9901943097318773
D10-e003Coalescence-mGAM-p5,0.0014983171045946366,0.28800000000000003
C8-e003Coalescence-mBHI-p7,0.444,0.647
B11-e003Assembly-mGAM-p5,0.011065381160445411,0.21099999999999997
G3-e004Assembly-epsilon-p7,0.05804247475767725,0.9288887135833765
B4-e003Coalescence-mGAM-p5,0.264,0.897
D4-e003Coalescence-mGAM-p5,0.0009073108632779492,0.10099999999999998
C3-e004Assembly-mBHI-p7,0.007118261296622717,0.9911423476994768
B5-e003Coalescence-mGAM-p5,0.011500000000000005,0.33899999999999997
BB-Fecal,0.14435175994488222,0.16435274987925655
B5-e003Coalescence-Inoculumn-mBHI,0.3525,0.475
G3-e004Assembly-epsilon-p3,0.02856587250735956,0.839
C2-e003Coalescence-mGAM-p3,0.028900590501399658,0.9984118743286534
B5-e003Coalescence-mGAM-p7,0.003006308240175386,0.366
D8-e003Coalescence-mBHI-p5,0.717,0.364
E5-e004Assembly-mGAM-p7,0.057511063341660625,0.05247988237181848
C10-e003Assembly-mGAM-p3,0.03819014598152968,0.9973760904059848
B10-e003Coalescence-mBHI-p5,0.375,0.969545464053772
D5-e003Coalescence-Inoculumn-mGAM,0.0029864073871359387,0.09599999999999997
B3-e004Assembly-mBHI-p5,0.020500416692133486,0.9751267294455451
B5-e003Coalescence-mBHI-p3,0.342,0.474
G4-e004Assembly-epsilon-p5,0.02617823247717102,0.9677464476437915
