,B3-e003Coalescence-Inoculumn-mGAM,C4-e003Coalescence-Inoculumn-mGAM
D8-e003Coalescence-mBHI-p5,0.2966697187704382,0.41130651085141895
E5-e004Assembly-mGAM-p7,0.1642903858731197,0.201669449081803
C10-e003Assembly-mGAM-p3,0.13153145846958797,0.8099459098497496
B10-e003Coalescence-mBHI-p5,0.4313257030739046,0.5000220367278797
D5-e003Coalescence-Inoculumn-mGAM,0.3421746239372139,0.3862170283806344
B3-e004Assembly-mBHI-p5,0.2695768476128188,0.42952220367278804
B5-e003Coalescence-mBHI-p3,0.5713952910398954,0.2632794657762938
G4-e004Assembly-epsilon-p5,0.28808227599738395,0.4013355592654424
C4-e003Coalescence-mGAM-p5,0.16934911706998038,0.8396270450751252
C5-e003Coalescence-mGAM-p7,0.35373328973185086,0.40226510851419034
C5-e003Coalescence-mBHI-inoculumn-redo,0.2332418574231524,0.6884871452420702
A10-e003Coalescence-mBHI-p5,0.15588266841072596,0.3315041736227045
BF-Fecal,0.20932844996729894,0.30482270450751253
AM-Fecal,0.21635055591890123,0.27545909849749584
B8-e003Assembly-mGAM-p3,0.24520130804447351,0.3980213689482471
A4-e003Coalescence-mGAM-p5,0.3829090909090909,0.3843792988313856
D5-e003Coalescence-mBHI-p5,0.12294767822105951,0.8914517529215359
D3-e003Assembly-mBHI-p3,0.9583220405493788,0.0012440734557595994
D4-e003Coalescence-mGAM-p7,0.3474617396991498,0.3919609348914858
A8-e003Coalescence-mBHI-p7,0.25702943100065406,0.42642237061769617
e003-inoculumn-fecal-AC,0.6770164813603663,0.10687679465776294
E3-e004Assembly-mGAM-p7,0.2465729234793983,0.3912186978297162
B9-e003GlycerolRevival-mGAM-p2,0.9174623937213865,0.00022971619365609347
C4-e003Coalescence-mGAM-p3,0.12546566383257032,0.8891158597662772
B2-e003Coalescence-Inoculumn-mGAM,0.35907298888162203,0.357212020033389
D5-e003Coalescence-mGAM-p7,0.3485364290385873,0.39361068447412356
C5-e003Coalescence-mBHI-p5,0.35055879659908434,0.48538196994991656
C5-e003Coalescence-mGAM-p3,0.3570592544146501,0.4049943238731219
A3-e003Coalescence-mBHI-inoculumn-redo,0.7546206671026816,0.0373118530884808
D9-e003Assembly-mGAM-p5,0.6570077174623938,8.914858096828048e-05
B12-e003Coalescence-mGAM-p3,0.3952294310006541,0.39056761268781304
A11-e003Coalescence-mBHI-p7,0.2524791366906475,0.36688480801335555
A3-e003Coalescence-Inoculumn-mGAM,0.35919803793328975,0.3475736227045076
D10-e003Assembly-mGAM-p3,0.09859372138652714,0.8474934891485809
C3-e003Coalescence-mGAM-p5,0.330441726618705,0.6162420701168614
C10-e003GlycerolRevival-mGAM-p2,0.0539410071942446,0.8969679465776293
D3-e003Assembly-mBHI-p5,0.9552839764551996,0.0041268781302170295
A10-e003Coalescence-mGAM-p3,0.16304983649444083,0.7002220367278797
A9-e003Coalescence-mBHI-p3,0.6788664486592545,0.16856661101836395
A2-e003Coalescence-Inoculumn-mBHI,0.2429249182472204,0.4302884808013355
D3-e003Coalescence-mBHI-p7,0.910387704381949,0.035069449081803
C3-e003Coalescence-mBHI-p5,0.872232047089601,0.08280267111853087
D11-e003Assembly-mGAM-p3,0.3534069326357096,0.39303939899833046
D2-e003Assembly-mBHI-p3,0.25225938521909747,0.428433388981636
B3-e003Assembly-mBHI-p5,0.9256155657292348,0.0004400667779632721
A9-e003Coalescence-mBHI-p5,0.8270988881621975,0.06065642737896494
D5-e003Coalescence-Inoculumn-mBHI,0.35228240680183126,0.39327545909849754
B2-e003Coalescence-mGAM-p3,0.9261530412034009,0.00808380634390651
C11-e003Coalescence-mGAM-p5,0.35227835186396333,0.4121779632721202
